Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;52.82;51.75;
Zonas Estadísticas;01;Municipio de Madrid ;51.79;50.75;
Zonas Estadísticas;02;Norte Metropolitano ;52.22;51.09;
Zonas Estadísticas;03;Este Metropolitano  ;54.51;53.41;
Zonas Estadísticas;04;Sur Metropolitano   ;55.49;54.01;
Zonas Estadísticas;05;Oeste Metropolitano ;48.34;46.89;
Zonas Estadísticas;06;Sierra Norte        ;49.55;48.07;
Zonas Estadísticas;07;Nordeste Comunidad  ;52.32;50.36;
Zonas Estadísticas;08;Sudeste Comunidad   ;53.84;52.37;
Zonas Estadísticas;09;Sudoeste Comunidad  ;54.50;53.10;
Zonas Estadísticas;10;Sierra Sur          ;50.63;49.36;
Zonas Estadísticas;11;Sierra Central      ;47.93;46.11;
Municipios;0014;Acebeda (La);40.00;30.30;
Municipios;0029;Ajalvir;53.42;51.52;
Municipios;0035;Alameda del Valle;43.90;41.77;
Municipios;0040;Alamo (El);50.93;49.49;
Municipios;0053;Alcalá de Henares;53.58;52.20;
Municipios;0066;Alcobendas;53.19;51.83;
Municipios;0072;Alcorcón;54.45;51.97;
Municipios;0088;Aldea del Fresno;55.32;53.30;
Municipios;0091;Algete;47.45;46.50;
Municipios;0105;Alpedrete;46.01;44.00;
Municipios;0112;Ambite;47.37;44.71;
Municipios;0127;Anchuelo;57.77;53.20;
Municipios;0133;Aranjuez;52.43;51.28;
Municipios;0148;Arganda del Rey;57.03;55.37;
Municipios;0151;Arroyomolinos;60.26;58.23;
Municipios;0164;Atazar (El);38.10;32.35;
Municipios;0170;Batres;44.98;41.73;
Municipios;0186;Becerril de la Sierra;48.89;46.65;
Municipios;0199;Belmonte de Tajo;52.83;53.81;
Municipios;0210;Berrueco (El);50.64;47.01;
Municipios;0203;Berzosa del Lozoya;36.84;42.37;
Municipios;0225;Boadilla del Monte;47.82;45.83;
Municipios;0231;Boalo (El);51.84;49.61;
Municipios;0246;Braojos;32.11;35.24;
Municipios;0259;Brea de Tajo;41.24;42.86;
Municipios;0262;Brunete;51.57;48.77;
Municipios;0278;Buitrago del Lozoya;47.61;48.07;
Municipios;0284;Bustarviejo;54.87;53.13;
Municipios;0297;Cabanillas de la Sierra;48.75;48.96;
Municipios;0301;Cabrera (La);49.45;47.88;
Municipios;0318;Cadalso de los Vidrios;51.46;50.48;
Municipios;0323;Camarma de Esteruelas;53.07;52.52;
Municipios;0339;Campo Real;57.14;55.07;
Municipios;0344;Canencia;31.69;31.58;
Municipios;0357;Carabaña;59.01;53.57;
Municipios;0360;Casarrubuelos;54.36;53.00;
Municipios;0376;Cenicientos;49.53;49.01;
Municipios;0382;Cercedilla;46.25;44.75;
Municipios;0395;Cervera de Buitrago;38.64;36.36;
Municipios;0513;Chapinería;49.82;50.06;
Municipios;0528;Chinchón;49.63;47.34;
Municipios;0409;Ciempozuelos;52.77;50.98;
Municipios;0416;Cobeña;49.07;48.00;
Municipios;0468;Collado Mediano;46.44;44.56;
Municipios;0474;Collado Villalba;50.50;49.15;
Municipios;0455;Colmenar Viejo;51.83;51.22;
Municipios;0437;Colmenar de Oreja;51.29;49.98;
Municipios;0421;Colmenar del Arroyo;52.07;52.12;
Municipios;0442;Colmenarejo;47.60;44.30;
Municipios;0480;Corpa;62.65;63.10;
Municipios;0493;Coslada;56.40;55.69;
Municipios;0506;Cubas de la Sagra;55.61;54.70;
Municipios;0534;Daganzo de Arriba;47.84;45.12;
Municipios;0549;Escorial (El);47.32;46.76;
Municipios;0552;Estremera;49.12;49.25;
Municipios;0565;Fresnedillas de la Oliva;51.16;49.37;
Municipios;0571;Fresno de Torote;57.64;51.87;
Municipios;0587;Fuenlabrada;52.65;51.92;
Municipios;0590;Fuente el Saz de Jarama;50.64;49.26;
Municipios;0604;Fuentidueña de Tajo;50.29;50.36;
Municipios;0611;Galapagar;46.53;45.26;
Municipios;0626;Garganta de los Montes;45.14;47.86;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;45.92;46.36;
Municipios;0647;Gascones;41.05;41.58;
Municipios;0650;Getafe;56.00;54.43;
Municipios;0663;Griñón;50.16;49.01;
Municipios;0679;Guadalix de la Sierra;49.36;47.56;
Municipios;0685;Guadarrama;48.26;46.53;
Municipios;0698;Hiruela (La);50.00;42.86;
Municipios;0702;Horcajo de la Sierra0Aoslos;48.08;45.00;
Municipios;0719;Horcajuelo de la Sierra;55.26;42.86;
Municipios;0724;Hoyo de Manzanares;44.35;43.91;
Municipios;0730;Humanes de Madrid;60.55;58.71;
Municipios;0745;Leganés;55.45;53.67;
Municipios;0758;Loeches;54.92;52.78;
Municipios;0761;Lozoya;53.05;54.23;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;51.12;46.77;
Municipios;0783;Madarcos;37.04;37.93;
Municipios;0796;Madrid;51.79;50.75;
Municipios;0800;Majadahonda;50.31;48.72;
Municipios;0822;Manzanares el Real;52.22;49.55;
Municipios;0838;Meco;50.15;48.80;
Municipios;0843;Mejorada del Campo;54.62;54.21;
Municipios;0856;Miraflores de la Sierra;50.18;48.76;
Municipios;0869;Molar (El);55.78;54.08;
Municipios;0875;Molinos (Los);46.41;46.96;
Municipios;0881;Montejo de la Sierra;35.85;31.82;
Municipios;0894;Moraleja de Enmedio;50.86;49.83;
Municipios;0908;Moralzarzal;46.52;43.99;
Municipios;0915;Morata de Tajuña;56.92;54.63;
