Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;30.80;31.36;
Zonas Estadísticas;01;Municipio de Madrid ;34.35;34.89;
Zonas Estadísticas;02;Norte Metropolitano ;33.28;34.09;
Zonas Estadísticas;03;Este Metropolitano  ;31.46;32.35;
Zonas Estadísticas;04;Sur Metropolitano   ;30.57;31.71;
Zonas Estadísticas;05;Oeste Metropolitano ;37.28;38.25;
Zonas Estadísticas;06;Sierra Norte        ;36.87;37.85;
Zonas Estadísticas;07;Nordeste Comunidad  ;33.15;34.74;
Zonas Estadísticas;08;Sudeste Comunidad   ;31.74;32.96;
Zonas Estadísticas;09;Sudoeste Comunidad  ;30.96;32.10;
Zonas Estadísticas;10;Sierra Sur          ;34.80;35.85;
Zonas Estadísticas;11;Sierra Central      ;38.41;39.76;
Municipios;0014;Acebeda (La);57.14;66.67;
Municipios;0029;Ajalvir;33.51;35.51;
Municipios;0035;Alameda del Valle;43.90;43.04;
Municipios;0040;Alamo (El);33.18;34.09;
Municipios;0053;Alcalá de Henares;32.35;33.32;
Municipios;0066;Alcobendas;32.45;33.47;
Municipios;0072;Alcorcón;32.79;34.55;
Municipios;0088;Aldea del Fresno;31.61;32.30;
Municipios;0091;Algete;35.95;36.58;
Municipios;0105;Alpedrete;39.53;41.66;
Municipios;0112;Ambite;44.50;45.67;
Municipios;0127;Anchuelo;33.92;35.05;
Municipios;0133;Aranjuez;32.68;33.46;
Municipios;0148;Arganda del Rey;28.87;30.14;
Municipios;0151;Arroyomolinos;26.84;28.43;
Municipios;0164;Atazar (El);57.14;64.71;
Municipios;0170;Batres;40.94;42.05;
Municipios;0186;Becerril de la Sierra;36.86;39.30;
Municipios;0199;Belmonte de Tajo;34.38;32.99;
Municipios;0210;Berrueco (El);36.91;38.89;
Municipios;0203;Berzosa del Lozoya;49.12;45.76;
Municipios;0225;Boadilla del Monte;38.98;40.68;
Municipios;0231;Boalo (El);37.49;39.67;
Municipios;0246;Braojos;50.46;51.43;
Municipios;0259;Brea de Tajo;42.94;39.43;
Municipios;0262;Brunete;34.41;35.32;
Municipios;0278;Buitrago del Lozoya;36.28;36.23;
Municipios;0284;Bustarviejo;36.44;37.20;
Municipios;0297;Cabanillas de la Sierra;41.25;38.87;
Municipios;0301;Cabrera (La);35.48;37.89;
Municipios;0318;Cadalso de los Vidrios;32.23;33.04;
