Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por grupo de cotización. Afiliados a la Seguridad Social del grupo de cotización de trabajadores menores de dieciocho años residentes. Unidad: Número. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;716;577;457;399;391;388;378;259;296;353;
Zonas Estadísticas;01;Municipio de Madrid ;267;217;183;137;146;149;141;84;85;103;
Zonas Estadísticas;02;Norte Metropolitano ;32;27;25;25;18;9;14;8;13;13;
Zonas Estadísticas;03;Este Metropolitano  ;76;68;50;55;45;54;34;22;41;35;
Zonas Estadísticas;04;Sur Metropolitano   ;186;138;101;74;87;68;81;58;68;61;
Zonas Estadísticas;05;Oeste Metropolitano ;28;21;11;15;11;11;14;15;12;24;
Zonas Estadísticas;06;Sierra Norte        ;2;3;4;4;4;6;4;6;7;7;
Zonas Estadísticas;07;Nordeste Comunidad  ;11;13;9;11;6;9;7;6;8;4;
Zonas Estadísticas;08;Sudeste Comunidad   ;32;28;22;26;26;25;22;18;14;14;
Zonas Estadísticas;09;Sudoeste Comunidad  ;20;15;12;7;8;10;14;6;10;12;
Zonas Estadísticas;10;Sierra Sur          ;4;3;3;1;1;4;4;3;2;2;
Zonas Estadísticas;11;Sierra Central      ;29;20;15;16;11;12;21;13;7;9;
Zonas Estadísticas;99;Sin Zona asignada   ;29;24;22;28;28;31;22;20;29;69;
Municipios;0014;Acebeda (La);0;0;0;0;0;0;0;0;0;0;
Municipios;0029;Ajalvir;1;1;1;1;1;1;1;1;1;1;
Municipios;0035;Alameda del Valle;0;0;1;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);2;0;1;1;0;0;1;0;0;0;
Municipios;0053;Alcalá de Henares;8;8;12;7;6;4;2;1;6;6;
Municipios;0066;Alcobendas;8;9;7;8;5;3;4;2;3;3;
Municipios;0072;Alcorcón;18;14;13;10;11;9;5;6;12;9;
Municipios;0088;Aldea del Fresno;1;0;0;0;0;0;0;0;0;0;
Municipios;0091;Algete;4;3;5;4;3;2;2;1;1;3;
Municipios;0105;Alpedrete;1;0;0;0;0;2;0;0;0;1;
Municipios;0112;Ambite;0;0;0;0;0;0;0;0;0;0;
Municipios;0127;Anchuelo;0;0;0;0;0;0;0;0;0;0;
Municipios;0133;Aranjuez;12;6;4;5;1;1;4;3;4;4;
Municipios;0148;Arganda del Rey;11;10;8;10;9;11;4;5;8;8;
Municipios;0151;Arroyomolinos;1;2;2;0;1;3;2;1;2;2;
Municipios;0164;Atazar (El);0;0;0;0;0;0;0;0;0;0;
Municipios;0170;Batres;0;0;0;0;1;1;0;0;0;0;
Municipios;0186;Becerril de la Sierra;1;0;0;0;0;0;2;1;0;0;
Municipios;0199;Belmonte de Tajo;0;0;0;1;0;1;0;1;0;0;
Municipios;0210;Berrueco (El);0;0;0;0;0;0;0;0;0;0;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;0;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;1;1;1;2;2;2;2;3;2;2;
Municipios;0231;Boalo (El);0;0;0;1;1;0;1;3;1;0;
Municipios;0246;Braojos;0;0;0;0;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;0;0;0;0;0;0;0;0;0;1;
Municipios;0262;Brunete;1;1;1;0;0;0;0;0;0;0;
Municipios;0278;Buitrago del Lozoya;0;0;0;0;0;1;1;0;0;0;
Municipios;0284;Bustarviejo;1;1;1;0;0;0;0;0;0;0;
Municipios;0297;Cabanillas de la Sierra;0;0;0;0;0;0;0;0;0;0;
Municipios;0301;Cabrera (La);0;0;0;0;0;1;1;1;2;1;
Municipios;0318;Cadalso de los Vidrios;0;0;0;0;0;0;0;0;0;0;
Municipios;0323;Camarma de Esteruelas;0;0;0;1;0;1;0;0;0;0;
Municipios;0339;Campo Real;2;2;1;1;1;0;1;0;0;1;
Municipios;0344;Canencia;0;0;0;0;0;0;0;0;0;0;
Municipios;0357;Carabaña;0;0;0;0;0;0;0;0;0;0;
Municipios;0360;Casarrubuelos;0;0;0;0;1;0;0;0;0;0;
