Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;964934;988925;1048982;1109294;
Zonas Estadísticas;01;Municipio de Madrid ;467885;474664;498488;521269;
Zonas Estadísticas;02;Norte Metropolitano ;48151;49343;52042;55087;
Zonas Estadísticas;03;Este Metropolitano  ;84756;86467;90949;95669;
Zonas Estadísticas;04;Sur Metropolitano   ;156794;161423;172142;182923;
Zonas Estadísticas;05;Oeste Metropolitano ;72405;75312;80061;84791;
Zonas Estadísticas;06;Sierra Norte        ;5335;5573;6001;6338;
Zonas Estadísticas;07;Nordeste Comunidad  ;7524;7892;8631;9376;
Zonas Estadísticas;08;Sudeste Comunidad   ;12103;12512;13416;14330;
Zonas Estadísticas;09;Sudoeste Comunidad  ;15002;15917;17376;18881;
Zonas Estadísticas;10;Sierra Sur          ;3855;4038;4286;4566;
Zonas Estadísticas;11;Sierra Central      ;24730;25963;27890;29859;
Municipios;0014;Acebeda (La);25;22;20;22;
Municipios;0029;Ajalvir;560;577;628;701;
Municipios;0035;Alameda del Valle;32;36;36;34;
Municipios;0040;Alamo (El);988;1035;1140;1225;
Municipios;0053;Alcalá de Henares;24036;24654;25955;27309;
Municipios;0066;Alcobendas;16029;16468;17449;18536;
Municipios;0072;Alcorcón;21422;22436;24260;26198;
Municipios;0088;Aldea del Fresno;260;281;288;303;
Municipios;0091;Algete;3247;3254;3385;3509;
Municipios;0105;Alpedrete;2111;2230;2434;2617;
Municipios;0112;Ambite;91;91;93;95;
Municipios;0127;Anchuelo;142;140;155;170;
Municipios;0133;Aranjuez;6125;6355;6772;7130;
Municipios;0148;Arganda del Rey;6375;6604;7055;7530;
Municipios;0151;Arroyomolinos;2778;2962;3337;3753;
Municipios;0164;Atazar (El);25;24;24;22;
Municipios;0170;Batres;221;239;253;267;
Municipios;0186;Becerril de la Sierra;766;797;861;957;
Municipios;0199;Belmonte de Tajo;214;220;231;225;
Municipios;0210;Berrueco (El);83;82;86;91;
Municipios;0203;Berzosa del Lozoya;26;30;28;27;
Municipios;0225;Boadilla del Monte;7529;8177;9081;9999;
Municipios;0231;Boalo (El);1018;1069;1191;1284;
Municipios;0246;Braojos;53;52;55;54;
Municipios;0259;Brea de Tajo;80;80;76;69;
Municipios;0262;Brunete;1390;1474;1573;1656;
Municipios;0278;Buitrago del Lozoya;280;288;304;300;
Municipios;0284;Bustarviejo;318;342;352;369;
Municipios;0297;Cabanillas de la Sierra;122;120;132;131;
Municipios;0301;Cabrera (La);379;369;386;421;
Municipios;0318;Cadalso de los Vidrios;307;317;332;343;
Municipios;0323;Camarma de Esteruelas;794;857;941;987;
Municipios;0339;Campo Real;686;731;778;845;
