Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;3311760;3240328;3405633;3537654;
Zonas Estadísticas;01;Municipio de Madrid ;1436912;1393758;1451234;1494001;
Zonas Estadísticas;02;Norte Metropolitano ;153661;150221;156377;161578;
Zonas Estadísticas;03;Este Metropolitano  ;285262;278255;289050;295738;
Zonas Estadísticas;04;Sur Metropolitano   ;555910;541963;563029;576837;
Zonas Estadísticas;05;Oeste Metropolitano ;207867;205270;214784;221664;
Zonas Estadísticas;06;Sierra Norte        ;15561;15401;16274;16744;
Zonas Estadísticas;07;Nordeste Comunidad  ;24770;24476;26038;26988;
Zonas Estadísticas;08;Sudeste Comunidad   ;40454;40144;42272;43483;
Zonas Estadísticas;09;Sudoeste Comunidad  ;53092;53024;56122;58813;
Zonas Estadísticas;10;Sierra Sur          ;11679;11573;12317;12737;
Zonas Estadísticas;11;Sierra Central      ;70285;69493;72602;75106;
Municipios;0014;Acebeda (La);41;38;35;33;
Municipios;0029;Ajalvir;1818;1772;1874;1974;
Municipios;0035;Alameda del Valle;78;77;82;79;
Municipios;0040;Alamo (El);3305;3242;3436;3593;
Municipios;0053;Alcalá de Henares;79950;78031;80228;81965;
Municipios;0066;Alcobendas;53468;51948;53779;55382;
Municipios;0072;Alcorcón;73359;71523;73991;75818;
Municipios;0088;Aldea del Fresno;849;858;911;938;
Municipios;0091;Algete;9238;8967;9416;9592;
Municipios;0105;Alpedrete;5966;5885;6158;6282;
Municipios;0112;Ambite;203;196;209;208;
Municipios;0127;Anchuelo;457;433;457;485;
Municipios;0133;Aranjuez;19991;19840;20724;21311;
Municipios;0148;Arganda del Rey;23781;23258;24433;24982;
Municipios;0151;Arroyomolinos;11521;11591;12431;13202;
Municipios;0164;Atazar (El);45;44;42;34;
Municipios;0170;Batres;550;583;618;635;
Municipios;0186;Becerril de la Sierra;2196;2183;2336;2435;
Municipios;0199;Belmonte de Tajo;649;670;672;682;
Municipios;0210;Berrueco (El);219;217;233;234;
Municipios;0203;Berzosa del Lozoya;58;59;57;59;
Municipios;0225;Boadilla del Monte;21337;21560;23296;24578;
Municipios;0231;Boalo (El);3033;3018;3177;3237;
Municipios;0246;Braojos;103;102;109;105;
Municipios;0259;Brea de Tajo;192;180;177;175;
Municipios;0262;Brunete;4409;4350;4572;4689;
Municipios;0278;Buitrago del Lozoya;832;811;838;828;
Municipios;0284;Bustarviejo;921;931;966;992;
Municipios;0297;Cabanillas de la Sierra;309;299;320;337;
Municipios;0301;Cabrera (La);1072;1034;1088;1111;
Municipios;0318;Cadalso de los Vidrios;977;983;1030;1038;
Municipios;0323;Camarma de Esteruelas;2689;2675;2830;2900;
Municipios;0339;Campo Real;2553;2557;2620;2700;
Municipios;0344;Canencia;137;134;142;133;
Municipios;0357;Carabaña;692;715;771;799;
Municipios;0360;Casarrubuelos;1351;1369;1422;1498;
Municipios;0376;Cenicientos;644;639;644;655;
Municipios;0382;Cercedilla;2835;2851;2930;3077;
Municipios;0395;Cervera de Buitrago;51;46;44;33;
Municipios;0513;Chapinería;766;785;855;861;
Municipios;0528;Chinchón;2034;1961;2053;2108;
Municipios;0409;Ciempozuelos;9220;9134;9428;9727;
Municipios;0416;Cobeña;2929;2898;3020;3131;
Municipios;0468;Collado Mediano;2790;2716;2892;2994;
Municipios;0474;Collado Villalba;27962;27502;28734;29611;
Municipios;0455;Colmenar Viejo;22155;21879;22831;23803;
Municipios;0437;Colmenar de Oreja;2992;2979;3149;3207;
Municipios;0421;Colmenar del Arroyo;536;556;580;612;
Municipios;0442;Colmenarejo;3741;3675;3826;4018;
Municipios;0480;Corpa;252;249;249;271;
Municipios;0493;Coslada;39926;38338;38865;38993;
Municipios;0506;Cubas de la Sagra;2218;2232;2345;2479;
Municipios;0534;Daganzo de Arriba;4252;4246;4477;4614;
Municipios;0549;Escorial (El);6318;6219;6418;6636;
Municipios;0552;Estremera;442;433;456;465;
Municipios;0565;Fresnedillas de la Oliva;581;570;604;636;
Municipios;0571;Fresno de Torote;730;716;753;804;
Municipios;0587;Fuenlabrada;89774;86755;89447;90115;
Municipios;0590;Fuente el Saz de Jarama;2723;2687;2881;2984;
Municipios;0604;Fuentidueña de Tajo;675;672;686;695;
Municipios;0611;Galapagar;14933;14637;15426;15940;
Municipios;0626;Garganta de los Montes;120;126;144;140;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;97;93;98;110;
Municipios;0647;Gascones;84;87;95;101;
Municipios;0650;Getafe;76549;75114;78648;80998;
Municipios;0663;Griñón;4039;4000;4101;4205;
Municipios;0679;Guadalix de la Sierra;2451;2428;2581;2666;
Municipios;0685;Guadarrama;6636;6485;6681;6910;
Municipios;0698;Hiruela (La);6;5;6;7;
Municipios;0702;Horcajo de la Sierra0Aoslos;56;50;52;60;
Municipios;0719;Horcajuelo de la Sierra;25;35;38;35;
Municipios;0724;Hoyo de Manzanares;3271;3271;3409;3514;
Municipios;0730;Humanes de Madrid;8209;8016;8282;8627;
Municipios;0745;Leganés;79360;77481;79952;81898;
Municipios;0758;Loeches;3655;3578;3793;3878;
Municipios;0761;Lozoya;203;192;213;201;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;405;396;446;449;
Municipios;0783;Madarcos;28;27;27;29;
Municipios;0796;Madrid;1436912;1393758;1451234;1494001;
Municipios;0800;Majadahonda;30710;30043;31185;31900;
Municipios;0822;Manzanares el Real;3341;3361;3485;3582;
Municipios;0838;Meco;5321;5339;5651;5773;
Municipios;0843;Mejorada del Campo;10613;10244;10656;10744;
Municipios;0856;Miraflores de la Sierra;2377;2395;2503;2588;
Municipios;0869;Molar (El);3386;3308;3510;3643;
Municipios;0875;Molinos (Los);1780;1745;1836;1893;
Municipios;0881;Montejo de la Sierra;92;101;106;110;
Municipios;0894;Moraleja de Enmedio;2214;2167;2269;2334;
Municipios;0908;Moralzarzal;4959;4979;5200;5420;
Municipios;0915;Morata de Tajuña;2951;2888;3055;3143;
Municipios;0920;Móstoles;90340;87295;89947;91515;
Municipios;0936;Navacerrada;1089;1094;1143;1195;
Municipios;0941;Navalafuente;534;507;570;606;
Municipios;0954;Navalagamella;922;916;964;1013;
Municipios;0967;Navalcarnero;10848;10830;11561;12147;
Municipios;0973;Navarredonda y San Mamés;30;37;41;38;
Municipios;0992;Navas del Rey;947;946;1003;1042;
Municipios;1006;Nuevo Baztán;2275;2240;2366;2472;
Municipios;1013;Olmeda de las Fuentes;140;138;141;134;
Municipios;1028;Orusco de Tajuña;393;382;433;453;
Municipios;1049;Paracuellos de Jarama;9393;9466;10084;10492;
Municipios;1065;Parla;51493;50124;52816;54613;
Municipios;1071;Patones;151;147;155;157;
Municipios;1087;Pedrezuela;2194;2194;2292;2430;
Municipios;1090;Pelayos de la Presa;793;771;846;893;
Municipios;1104;Perales de Tajuña;1057;1060;1132;1143;
Municipios;1111;Pezuela de las Torres;270;259;272;274;
Municipios;1126;Pinilla del Valle;51;52;54;60;
Municipios;1132;Pinto;21036;20591;21659;22480;
Municipios;1147;Piñuécar0Gandullas;74;73;75;79;
Municipios;1150;Pozuelo de Alarcón;36388;36054;37304;38276;
Municipios;1163;Pozuelo del Rey;446;433;464;485;
Municipios;1179;Prádena del Rincón;42;44;43;50;
Municipios;1185;Puebla de la Sierra;22;19;19;19;
Municipios;9020;Puentes Viejas;233;227;242;237;
Municipios;1198;Quijorna;1322;1340;1402;1491;
Municipios;1202;Rascafría;653;645;666;670;
Municipios;1219;Redueña;99;103;107;112;
Municipios;1224;Ribatejada;240;243;256;282;
Municipios;1230;Rivas0Vaciamadrid;37552;37317;39469;41087;
Municipios;1245;Robledillo de la Jara;25;22;25;31;
Municipios;1258;Robledo de Chavela;1320;1320;1432;1503;
Municipios;1261;Robregordo;13;13;14;16;
Municipios;1277;Rozas de Madrid (Las);39837;39084;40763;42167;
Municipios;1283;Rozas de Puerto Real;111;105;134;137;
Municipios;1296;San Agustín del Guadalix;5534;5482;5697;5831;
Municipios;1300;San Fernando de Henares;19621;18869;19249;19488;
Municipios;1317;San Lorenzo de El Escorial;7264;7095;7407;7612;
Municipios;1338;San Martín de Valdeiglesias;2804;2720;2900;2977;
Municipios;1322;San Martín de la Vega;7649;7495;7888;8157;
Municipios;1343;San Sebastián de los Reyes;40239;39272;40905;42395;
Municipios;1356;Santa María de la Alameda;454;442;464;486;
Municipios;1369;Santorcaz;254;275;301;304;
Municipios;1375;Santos de la Humosa (Los);827;846;870;875;
Municipios;1381;Serna del Monte (La);34;39;41;37;
Municipios;1408;Serranillos del Valle;1624;1627;1678;1790;
Municipios;1415;Sevilla la Nueva;3781;3725;3900;4013;
Municipios;1436;Somosierra;28;30;25;31;
Municipios;1441;Soto del Real;3603;3480;3621;3749;
Municipios;1454;Talamanca de Jarama;1447;1375;1509;1584;
Municipios;1467;Tielmes;963;986;1014;1035;
Municipios;1473;Titulcia;514;520;528;539;
Municipios;1489;Torrejón de Ardoz;57221;55620;58532;60141;
Municipios;1505;Torrejón de Velasco;1656;1633;1770;1856;
Municipios;1492;Torrejón de la Calzada;3376;3371;3551;3675;
Municipios;1512;Torrelaguna;1855;1836;1939;1974;
Municipios;1527;Torrelodones;9239;9263;9682;10038;
Municipios;1533;Torremocha de Jarama;274;269;293;300;
Municipios;1548;Torres de la Alameda;3116;3092;3205;3245;
Municipios;9036;Tres Cantos;20098;19775;20729;21444;
Municipios;1551;Valdaracete;213;219;225;234;
Municipios;1564;Valdeavero;514;516;529;567;
Municipios;1570;Valdelaguna;220;217;240;240;
Municipios;1586;Valdemanco;295;301;322;332;
Municipios;1599;Valdemaqueda;256;253;281;276;
Municipios;1603;Valdemorillo;5073;5087;5440;5595;
Municipios;1610;Valdemoro;28930;28595;30247;31578;
Municipios;1625;Valdeolmos0Alalpardo;1552;1510;1606;1717;
Municipios;1631;Valdepiélagos;211;215;243;256;
Municipios;1646;Valdetorres de Jarama;1705;1646;1793;1864;
Municipios;1659;Valdilecha;1116;1123;1176;1205;
Municipios;1662;Valverde de Alcalá;167;166;174;176;
Municipios;1678;Velilla de San Antonio;5387;5340;5660;5872;
Municipios;1684;Vellón (El);669;672;686;725;
Municipios;1697;Venturada;762;749;813;854;
Municipios;1718;Villa del Prado;2450;2523;2621;2725;
Municipios;1701;Villaconejos;1272;1289;1357;1334;
Municipios;1723;Villalbilla;5378;5338;5791;6176;
Municipios;1739;Villamanrique de Tajo;215;238;245;243;
Municipios;1744;Villamanta;867;854;934;990;
Municipios;1757;Villamantilla;498;494;551;578;
Municipios;1782;Villanueva de Perales;623;585;621;664;
Municipios;1760;Villanueva de la Cañada;8523;8489;8963;9258;
Municipios;1776;Villanueva del Pardillo;7284;7225;7549;7883;
Municipios;1795;Villar del Olmo;992;973;1061;1106;
Municipios;1809;Villarejo de Salvanés;2879;2839;2930;2994;
Municipios;1816;Villaviciosa de Odón;11258;11017;11450;11693;
Municipios;1821;Villavieja del Lozoya;90;90;90;100;
Municipios;1837;Zarzalejo;568;567;580;608;
