Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;54.44;54.26;52.82;51.75;
Zonas Estadísticas;01;Municipio de Madrid ;53.47;53.10;51.79;50.75;
Zonas Estadísticas;02;Norte Metropolitano ;53.91;53.59;52.22;51.09;
Zonas Estadísticas;03;Este Metropolitano  ;56.14;55.87;54.51;53.41;
Zonas Estadísticas;04;Sur Metropolitano   ;57.68;57.25;55.49;54.01;
Zonas Estadísticas;05;Oeste Metropolitano ;50.99;50.06;48.34;46.89;
Zonas Estadísticas;06;Sierra Norte        ;52.23;51.20;49.55;48.07;
Zonas Estadísticas;07;Nordeste Comunidad  ;55.55;54.62;52.32;50.36;
Zonas Estadísticas;08;Sudeste Comunidad   ;55.16;54.89;53.84;52.37;
Zonas Estadísticas;09;Sudoeste Comunidad  ;57.41;56.43;54.50;53.10;
Zonas Estadísticas;10;Sierra Sur          ;51.98;51.77;50.63;49.36;
Zonas Estadísticas;11;Sierra Central      ;51.27;50.01;47.93;46.11;
Municipios;0014;Acebeda (La);36.59;42.11;40.00;30.30;
Municipios;0029;Ajalvir;57.21;56.32;53.42;51.52;
Municipios;0035;Alameda del Valle;50.00;42.86;43.90;41.77;
Municipios;0040;Alamo (El);54.58;52.59;50.93;49.49;
Municipios;0053;Alcalá de Henares;55.65;55.00;53.58;52.20;
Municipios;0066;Alcobendas;55.35;54.74;53.19;51.83;
Municipios;0072;Alcorcón;58.34;57.11;54.45;51.97;
Municipios;0088;Aldea del Fresno;56.18;54.66;55.32;53.30;
Municipios;0091;Algete;48.73;48.96;47.45;46.50;
Municipios;0105;Alpedrete;50.92;48.72;46.01;44.00;
Municipios;0112;Ambite;46.80;45.92;47.37;44.71;
Municipios;0127;Anchuelo;57.55;59.35;57.77;53.20;
Municipios;0133;Aranjuez;54.83;54.08;52.43;51.28;
Municipios;0148;Arganda del Rey;58.74;58.33;57.03;55.37;
Municipios;0151;Arroyomolinos;63.36;63.07;60.26;58.23;
Municipios;0164;Atazar (El);42.22;38.64;38.10;32.35;
Municipios;0170;Batres;47.45;45.45;44.98;41.73;
Municipios;0186;Becerril de la Sierra;51.18;51.03;48.89;46.65;
Municipios;0199;Belmonte de Tajo;53.16;51.94;52.83;53.81;
Municipios;0210;Berrueco (El);49.32;50.23;50.64;47.01;
Municipios;0203;Berzosa del Lozoya;46.55;37.29;36.84;42.37;
Municipios;0225;Boadilla del Monte;52.12;50.25;47.82;45.83;
Municipios;0231;Boalo (El);55.92;55.14;51.84;49.61;
Municipios;0246;Braojos;35.92;36.27;32.11;35.24;
Municipios;0259;Brea de Tajo;42.19;41.67;41.24;42.86;
Municipios;0262;Brunete;54.46;52.39;51.57;48.77;
Municipios;0278;Buitrago del Lozoya;50.60;48.83;47.61;48.07;
Municipios;0284;Bustarviejo;55.27;53.38;54.87;53.13;
Municipios;0297;Cabanillas de la Sierra;49.51;50.50;48.75;48.96;
Municipios;0301;Cabrera (La);50.19;50.39;49.45;47.88;
Municipios;0318;Cadalso de los Vidrios;52.00;53.31;51.46;50.48;
Municipios;0323;Camarma de Esteruelas;57.87;56.04;53.07;52.52;
Municipios;0339;Campo Real;58.99;58.39;57.14;55.07;
Municipios;0344;Canencia;41.61;35.07;31.69;31.58;
Municipios;0357;Carabaña;59.83;59.30;59.01;53.57;
Municipios;0360;Casarrubuelos;58.48;54.57;54.36;53.00;
Municipios;0376;Cenicientos;50.93;49.92;49.53;49.01;
Municipios;0382;Cercedilla;48.57;48.23;46.25;44.75;
Municipios;0395;Cervera de Buitrago;35.29;34.78;38.64;36.36;
Municipios;0513;Chapinería;51.96;51.72;49.82;50.06;
Municipios;0528;Chinchón;49.31;49.46;49.63;47.34;
Municipios;0409;Ciempozuelos;55.14;54.26;52.77;50.98;
Municipios;0416;Cobeña;52.13;51.48;49.07;48.00;
Municipios;0468;Collado Mediano;49.82;48.23;46.44;44.56;
Municipios;0474;Collado Villalba;52.34;51.85;50.50;49.15;
Municipios;0455;Colmenar Viejo;53.11;52.73;51.83;51.22;
Municipios;0437;Colmenar de Oreja;53.18;52.00;51.29;49.98;
Municipios;0421;Colmenar del Arroyo;53.54;53.42;52.07;52.12;
Municipios;0442;Colmenarejo;50.23;48.79;47.60;44.30;
Municipios;0480;Corpa;66.67;65.46;62.65;63.10;
Municipios;0493;Coslada;56.49;57.02;56.40;55.69;
Municipios;0506;Cubas de la Sagra;57.98;56.94;55.61;54.70;
Municipios;0534;Daganzo de Arriba;54.16;52.07;47.84;45.12;
Municipios;0549;Escorial (El);49.02;48.71;47.32;46.76;
Municipios;0552;Estremera;50.45;50.81;49.12;49.25;
Municipios;0565;Fresnedillas de la Oliva;52.32;52.46;51.16;49.37;
Municipios;0571;Fresno de Torote;62.19;60.75;57.64;51.87;
Municipios;0587;Fuenlabrada;54.06;53.96;52.65;51.92;
Municipios;0590;Fuente el Saz de Jarama;53.07;52.51;50.64;49.26;
Municipios;0604;Fuentidueña de Tajo;50.52;50.74;50.29;50.36;
Municipios;0611;Galapagar;49.29;49.04;46.53;45.26;
