Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;29.14;30.52;30.80;31.36;
Zonas Estadísticas;01;Municipio de Madrid ;32.56;34.06;34.35;34.89;
Zonas Estadísticas;02;Norte Metropolitano ;31.34;32.85;33.28;34.09;
Zonas Estadísticas;03;Este Metropolitano  ;29.71;31.07;31.46;32.35;
Zonas Estadísticas;04;Sur Metropolitano   ;28.20;29.78;30.57;31.71;
Zonas Estadísticas;05;Oeste Metropolitano ;34.83;36.69;37.28;38.25;
Zonas Estadísticas;06;Sierra Norte        ;34.28;36.19;36.87;37.85;
Zonas Estadísticas;07;Nordeste Comunidad  ;30.38;32.24;33.15;34.74;
Zonas Estadísticas;08;Sudeste Comunidad   ;29.92;31.17;31.74;32.96;
Zonas Estadísticas;09;Sudoeste Comunidad  ;28.26;30.02;30.96;32.10;
Zonas Estadísticas;10;Sierra Sur          ;33.01;34.89;34.80;35.85;
Zonas Estadísticas;11;Sierra Central      ;35.19;37.36;38.41;39.76;
Municipios;0014;Acebeda (La);60.98;57.89;57.14;66.67;
Municipios;0029;Ajalvir;30.80;32.56;33.51;35.51;
Municipios;0035;Alameda del Valle;41.03;46.75;43.90;43.04;
Municipios;0040;Alamo (El);29.89;31.92;33.18;34.09;
Municipios;0053;Alcalá de Henares;30.06;31.60;32.35;33.32;
Municipios;0066;Alcobendas;29.98;31.70;32.45;33.47;
Municipios;0072;Alcorcón;29.20;31.37;32.79;34.55;
Municipios;0088;Aldea del Fresno;30.62;32.75;31.61;32.30;
Municipios;0091;Algete;35.15;36.29;35.95;36.58;
Municipios;0105;Alpedrete;35.38;37.89;39.53;41.66;
Municipios;0112;Ambite;44.83;46.43;44.50;45.67;
Municipios;0127;Anchuelo;31.07;32.33;33.92;35.05;
Municipios;0133;Aranjuez;30.64;32.03;32.68;33.46;
Municipios;0148;Arganda del Rey;26.81;28.39;28.87;30.14;
Municipios;0151;Arroyomolinos;24.11;25.55;26.84;28.43;
Municipios;0164;Atazar (El);55.56;54.55;57.14;64.71;
Municipios;0170;Batres;40.18;40.99;40.94;42.05;
Municipios;0186;Becerril de la Sierra;34.88;36.51;36.86;39.30;
Municipios;0199;Belmonte de Tajo;32.97;32.84;34.38;32.99;
Municipios;0210;Berrueco (El);37.90;37.79;36.91;38.89;
Municipios;0203;Berzosa del Lozoya;44.83;50.85;49.12;45.76;
Municipios;0225;Boadilla del Monte;35.29;37.93;38.98;40.68;
Municipios;0231;Boalo (El);33.56;35.42;37.49;39.67;
Municipios;0246;Braojos;51.46;50.98;50.46;51.43;
Municipios;0259;Brea de Tajo;41.67;44.44;42.94;39.43;
Municipios;0262;Brunete;31.53;33.89;34.41;35.32;
Municipios;0278;Buitrago del Lozoya;33.65;35.51;36.28;36.23;
Municipios;0284;Bustarviejo;34.53;36.73;36.44;37.20;
Municipios;0297;Cabanillas de la Sierra;39.48;40.13;41.25;38.87;
Municipios;0301;Cabrera (La);35.35;35.69;35.48;37.89;
Municipios;0318;Cadalso de los Vidrios;31.42;32.25;32.23;33.04;
Municipios;0323;Camarma de Esteruelas;29.53;32.04;33.25;34.03;
Municipios;0339;Campo Real;26.87;28.59;29.69;31.30;
Municipios;0344;Canencia;49.64;55.22;51.41;51.88;
Municipios;0357;Carabaña;26.16;27.41;27.76;31.79;
Municipios;0360;Casarrubuelos;27.24;30.53;31.15;31.91;
Municipios;0376;Cenicientos;31.06;32.55;32.30;34.35;
Municipios;0382;Cercedilla;38.73;39.53;40.41;40.82;
Municipios;0395;Cervera de Buitrago;60.78;56.52;47.73;45.45;
Municipios;0513;Chapinería;32.11;34.27;35.20;36.35;
Municipios;0528;Chinchón;34.02;34.68;35.70;37.19;
Municipios;0409;Ciempozuelos;29.44;31.13;32.21;34.02;
Municipios;0416;Cobeña;33.63;35.85;36.99;37.14;
Municipios;0468;Collado Mediano;38.10;39.91;41.08;41.55;
Municipios;0474;Collado Villalba;32.35;33.85;34.31;35.31;
Municipios;0455;Colmenar Viejo;31.77;33.20;33.46;33.77;
Municipios;0437;Colmenar de Oreja;30.15;31.92;32.11;33.33;
Municipios;0421;Colmenar del Arroyo;33.21;35.79;34.66;34.48;
Municipios;0442;Colmenarejo;34.96;37.25;37.45;39.32;
Municipios;0480;Corpa;24.60;27.31;27.31;27.31;
Municipios;0493;Coslada;30.21;30.99;30.86;31.47;
Municipios;0506;Cubas de la Sagra;27.68;30.20;31.17;32.23;
Municipios;0534;Daganzo de Arriba;32.81;35.47;37.37;39.42;
Municipios;0549;Escorial (El);36.96;38.37;39.03;39.47;
Municipios;0552;Estremera;32.13;30.72;32.68;31.83;
Municipios;0565;Fresnedillas de la Oliva;31.33;34.04;35.93;36.32;
Municipios;0571;Fresno de Torote;26.85;27.65;30.54;36.19;
Municipios;0587;Fuenlabrada;30.53;31.96;32.24;32.89;
Municipios;0590;Fuente el Saz de Jarama;31.07;33.09;33.39;34.85;
Municipios;0604;Fuentidueña de Tajo;31.26;31.10;32.07;33.53;
Municipios;0611;Galapagar;35.78;37.39;38.40;39.23;
Municipios;0626;Garganta de los Montes;34.17;34.92;39.58;37.14;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;36.08;37.63;44.90;45.45;
Municipios;0647;Gascones;39.29;43.68;44.21;43.56;
Municipios;0650;Getafe;27.78;29.29;30.27;31.57;
Municipios;0663;Griñón;31.79;33.28;34.16;35.27;
Municipios;0679;Guadalix de la Sierra;32.88;34.88;35.99;37.13;
Municipios;0685;Guadarrama;34.60;36.90;38.15;38.87;
Municipios;0698;Hiruela (La);50.00;60.00;50.00;57.14;
Municipios;0702;Horcajo de la Sierra0Aoslos;35.71;34.00;36.54;41.67;
Municipios;0719;Horcajuelo de la Sierra;44.00;37.14;28.95;40.00;
Municipios;0724;Hoyo de Manzanares;38.40;40.39;40.83;40.55;
Municipios;0730;Humanes de Madrid;24.55;26.01;26.94;28.17;
Municipios;0745;Leganés;28.36;30.09;31.11;32.35;
Municipios;0758;Loeches;28.15;30.41;30.87;32.88;
Municipios;0761;Lozoya;33.99;35.94;37.56;38.31;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;31.36;33.08;34.30;37.86;
Municipios;0783;Madarcos;46.43;55.56;48.15;51.72;
Municipios;0796;Madrid;32.56;34.06;34.35;34.89;
Municipios;0800;Majadahonda;33.52;35.51;36.12;37.13;
Municipios;0822;Manzanares el Real;33.22;35.64;36.81;38.58;
Municipios;0838;Meco;30.84;32.46;33.66;34.64;
Municipios;0843;Mejorada del Campo;28.99;30.06;30.11;31.10;
Municipios;0856;Miraflores de la Sierra;33.95;36.41;37.00;38.56;
Municipios;0869;Molar (El);29.12;30.59;30.74;32.45;
Municipios;0875;Molinos (Los);36.63;38.74;38.51;37.51;
Municipios;0881;Montejo de la Sierra;48.91;42.57;46.23;45.45;
Municipios;0894;Moraleja de Enmedio;30.35;31.47;32.04;32.95;
Municipios;0908;Moralzarzal;35.09;37.50;39.29;40.81;
Municipios;0915;Morata de Tajuña;27.79;28.74;28.67;30.77;
Municipios;0920;Móstoles;27.97;28.98;29.23;29.83;
Municipios;0936;Navacerrada;35.72;38.03;39.46;39.41;
Municipios;0941;Navalafuente;32.40;32.74;32.98;33.66;
