Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;16.42;15.22;16.38;16.90;
Zonas Estadísticas;01;Municipio de Madrid ;13.97;12.84;13.86;14.36;
Zonas Estadísticas;02;Norte Metropolitano ;14.75;13.56;14.50;14.81;
Zonas Estadísticas;03;Este Metropolitano  ;14.15;13.06;14.02;14.24;
Zonas Estadísticas;04;Sur Metropolitano   ;14.12;12.97;13.93;14.28;
Zonas Estadísticas;05;Oeste Metropolitano ;14.18;13.25;14.39;14.85;
Zonas Estadísticas;06;Sierra Norte        ;13.49;12.61;13.58;14.08;
Zonas Estadísticas;07;Nordeste Comunidad  ;14.07;13.13;14.54;14.90;
Zonas Estadísticas;08;Sudeste Comunidad   ;14.92;13.94;14.42;14.67;
Zonas Estadísticas;09;Sudoeste Comunidad  ;14.34;13.55;14.54;14.80;
Zonas Estadísticas;10;Sierra Sur          ;15.01;13.34;14.57;14.79;
Zonas Estadísticas;11;Sierra Central      ;13.55;12.63;13.65;14.14;
Zonas Estadísticas;99;Sin Zona asignada   ;31.03;28.82;30.10;30.32;
Municipios;0014;Acebeda (La);2.44;0.00;2.86;3.03;
Municipios;0029;Ajalvir;11.99;11.12;13.07;12.97;
Municipios;0035;Alameda del Valle;8.97;10.39;12.20;15.19;
Municipios;0040;Alamo (El);15.52;15.48;15.89;16.42;
Municipios;0053;Alcalá de Henares;14.28;13.41;14.07;14.48;
Municipios;0066;Alcobendas;14.67;13.56;14.37;14.71;
Municipios;0072;Alcorcón;12.46;11.52;12.76;13.48;
Municipios;0088;Aldea del Fresno;13.19;12.59;13.06;14.39;
Municipios;0091;Algete;16.12;14.75;16.60;16.92;
Municipios;0105;Alpedrete;13.69;13.39;14.47;14.34;
Municipios;0112;Ambite;8.37;7.65;8.13;9.62;
Municipios;0127;Anchuelo;11.38;8.31;8.32;11.75;
Municipios;0133;Aranjuez;14.53;13.89;14.90;15.26;
Municipios;0148;Arganda del Rey;14.45;13.28;14.10;14.49;
Municipios;0151;Arroyomolinos;12.52;11.38;12.90;13.35;
Municipios;0164;Atazar (El);2.22;6.82;4.76;2.94;
Municipios;0170;Batres;12.36;13.55;14.08;16.22;
Municipios;0186;Becerril de la Sierra;13.93;12.46;14.26;14.05;
Municipios;0199;Belmonte de Tajo;13.87;15.22;12.80;13.20;
Municipios;0210;Berrueco (El);12.79;11.98;12.45;14.10;
Municipios;0203;Berzosa del Lozoya;8.62;11.86;14.04;11.86;
Municipios;0225;Boadilla del Monte;12.60;11.82;13.20;13.49;
Municipios;0231;Boalo (El);10.52;9.44;10.67;10.72;
Municipios;0246;Braojos;12.62;12.75;17.43;13.33;
Municipios;0259;Brea de Tajo;16.15;13.89;15.82;17.71;
Municipios;0262;Brunete;14.02;13.72;14.02;15.91;
Municipios;0278;Buitrago del Lozoya;15.75;15.66;16.11;15.70;
Municipios;0284;Bustarviejo;10.21;9.88;8.70;9.68;
Municipios;0297;Cabanillas de la Sierra;11.00;9.36;10.00;12.17;
Municipios;0301;Cabrera (La);14.46;13.93;15.07;14.22;
Municipios;0318;Cadalso de los Vidrios;16.58;14.45;16.31;16.47;
Municipios;0323;Camarma de Esteruelas;12.61;11.93;13.67;13.45;
Municipios;0339;Campo Real;14.14;13.02;13.17;13.63;
Municipios;0344;Canencia;8.76;9.70;16.90;16.54;
Municipios;0357;Carabaña;14.02;13.29;13.23;14.64;
Municipios;0360;Casarrubuelos;14.29;14.90;14.49;15.09;
Municipios;0376;Cenicientos;18.01;17.53;18.17;16.64;
Municipios;0382;Cercedilla;12.70;12.24;13.34;14.43;
Municipios;0395;Cervera de Buitrago;3.92;8.70;13.64;18.18;
Municipios;0513;Chapinería;15.93;14.01;14.97;13.59;
Municipios;0528;Chinchón;16.67;15.86;14.66;15.46;
Municipios;0409;Ciempozuelos;15.42;14.62;15.02;15.00;
Municipios;0416;Cobeña;14.24;12.66;13.94;14.85;
Municipios;0468;Collado Mediano;12.08;11.86;12.48;13.89;
Municipios;0474;Collado Villalba;15.31;14.30;15.19;15.53;
Municipios;0455;Colmenar Viejo;15.13;14.07;14.70;15.00;
Municipios;0437;Colmenar de Oreja;16.68;16.08;16.61;16.68;
Municipios;0421;Colmenar del Arroyo;13.25;10.79;13.28;13.40;
Municipios;0442;Colmenarejo;14.81;13.96;14.95;16.38;
Municipios;0480;Corpa;8.73;7.23;10.04;9.59;
Municipios;0493;Coslada;13.30;11.99;12.74;12.83;
Municipios;0506;Cubas de la Sagra;14.34;12.86;13.22;13.07;
Municipios;0534;Daganzo de Arriba;13.03;12.46;14.79;15.45;
Municipios;0549;Escorial (El);14.02;12.93;13.65;13.77;
Municipios;0552;Estremera;17.42;18.48;18.20;18.92;
Municipios;0565;Fresnedillas de la Oliva;16.35;13.51;12.91;14.31;
Municipios;0571;Fresno de Torote;10.96;11.59;11.82;11.94;
Municipios;0587;Fuenlabrada;15.40;14.08;15.12;15.18;
Municipios;0590;Fuente el Saz de Jarama;15.86;14.40;15.97;15.88;
Municipios;0604;Fuentidueña de Tajo;18.22;18.15;17.64;16.12;
Municipios;0611;Galapagar;14.93;13.57;15.08;15.51;
Municipios;0626;Garganta de los Montes;18.33;18.25;15.28;15.00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;3.09;5.38;9.18;8.18;
Municipios;0647;Gascones;22.62;13.79;14.74;14.85;
Municipios;0650;Getafe;13.86;12.80;13.73;14.00;
Municipios;0663;Griñón;15.40;14.58;15.68;15.72;
Municipios;0679;Guadalix de la Sierra;15.63;13.80;14.65;15.30;
Municipios;0685;Guadarrama;14.09;13.18;13.59;14.60;
Municipios;0698;Hiruela (La);16.67;20.00;0.00;0.00;
Municipios;0702;Horcajo de la Sierra0Aoslos;16.07;14.00;15.38;13.33;
Municipios;0719;Horcajuelo de la Sierra;24.00;22.86;15.79;17.14;
Municipios;0724;Hoyo de Manzanares;14.55;13.42;14.81;15.54;
Municipios;0730;Humanes de Madrid;13.58;12.11;12.51;13.12;
Municipios;0745;Leganés;13.83;12.77;13.45;13.98;
Municipios;0758;Loeches;13.60;12.33;14.21;14.34;
Municipios;0761;Lozoya;12.32;6.77;9.39;7.46;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;13.58;12.63;14.57;15.37;
Municipios;0783;Madarcos;7.14;7.41;14.81;10.34;
Municipios;0796;Madrid;13.97;12.84;13.86;14.36;
Municipios;0800;Majadahonda;13.47;12.61;13.57;14.15;
Municipios;0822;Manzanares el Real;11.25;10.41;10.96;11.86;
Municipios;0838;Meco;16.12;15.23;16.19;16.56;
Municipios;0843;Mejorada del Campo;15.45;14.48;15.27;14.70;
Municipios;0856;Miraflores de la Sierra;13.00;12.73;12.82;12.67;
Municipios;0869;Molar (El);13.70;12.70;13.48;13.48;
