Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por estrato de edad. Porcentaje de afiliados a la Seguridad Social de 30 a 49 años residentes. Unidad: Porcentaje. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;60.11;59.47;58.52;57.74;56.58;55.45;54.44;54.26;52.82;51.75;
Zonas Estadísticas;01;Municipio de Madrid ;59.57;58.75;57.74;56.83;55.56;54.45;53.47;53.10;51.79;50.75;
Zonas Estadísticas;02;Norte Metropolitano ;58.89;58.35;57.47;56.82;55.72;54.78;53.91;53.59;52.22;51.09;
Zonas Estadísticas;03;Este Metropolitano  ;59.51;59.50;59.07;58.63;57.73;57.03;56.14;55.87;54.51;53.41;
Zonas Estadísticas;04;Sur Metropolitano   ;61.11;61.25;61.02;60.71;59.84;58.76;57.68;57.25;55.49;54.01;
Zonas Estadísticas;05;Oeste Metropolitano ;58.94;57.81;56.32;55.29;53.72;52.42;50.99;50.06;48.34;46.89;
Zonas Estadísticas;06;Sierra Norte        ;59.52;58.93;57.77;57.06;54.91;53.61;52.23;51.20;49.55;48.07;
Zonas Estadísticas;07;Nordeste Comunidad  ;64.11;63.26;61.95;60.57;58.66;57.01;55.55;54.62;52.32;50.36;
Zonas Estadísticas;08;Sudeste Comunidad   ;60.01;59.76;58.86;58.06;57.15;56.15;55.16;54.89;53.84;52.37;
Zonas Estadísticas;09;Sudoeste Comunidad  ;63.12;62.79;61.61;60.79;59.52;58.41;57.41;56.43;54.50;53.10;
Zonas Estadísticas;10;Sierra Sur          ;59.14;58.00;56.65;56.38;54.92;53.05;51.98;51.77;50.63;49.36;
Zonas Estadísticas;11;Sierra Central      ;62.08;60.55;58.69;57.07;55.04;53.22;51.27;50.01;47.93;46.11;
Zonas Estadísticas;99;Sin Zona asignada   ;61.62;60.16;58.46;57.42;56.47;55.17;54.42;55.89;54.53;54.11;
Municipios;0014;Acebeda (La);55.95;53.85;52.11;47.62;45.61;40.38;36.59;42.11;40.00;30.30;
Municipios;0029;Ajalvir;66.55;65.29;62.35;61.66;60.37;60.25;57.21;56.32;53.42;51.52;
Municipios;0035;Alameda del Valle;64.38;61.11;52.63;48.00;43.48;44.00;50.00;42.86;43.90;41.77;
Municipios;0040;Alamo (El);60.84;61.14;58.90;58.52;56.90;56.71;54.58;52.59;50.93;49.49;
Municipios;0053;Alcalá de Henares;60.80;60.71;59.87;59.10;57.79;56.79;55.65;55.00;53.58;52.20;
Municipios;0066;Alcobendas;60.05;59.46;58.44;58.39;57.29;56.40;55.35;54.74;53.19;51.83;
Municipios;0072;Alcorcón;65.44;65.07;64.48;63.65;62.30;60.29;58.34;57.11;54.45;51.97;
Municipios;0088;Aldea del Fresno;58.04;56.52;54.69;53.96;55.27;55.30;56.18;54.66;55.32;53.30;
Municipios;0091;Algete;56.43;55.57;54.08;52.57;50.75;49.31;48.73;48.96;47.45;46.50;
Municipios;0105;Alpedrete;64.85;62.46;60.41;58.20;55.68;53.70;50.92;48.72;46.01;44.00;
Municipios;0112;Ambite;51.24;50.99;46.15;45.18;45.75;48.15;46.80;45.92;47.37;44.71;
Municipios;0127;Anchuelo;59.34;63.90;63.02;61.06;60.68;60.99;57.55;59.35;57.77;53.20;
Municipios;0133;Aranjuez;60.23;59.78;59.16;58.06;56.70;55.70;54.83;54.08;52.43;51.28;
Municipios;0148;Arganda del Rey;62.01;61.94;61.92;61.37;60.60;59.75;58.74;58.33;57.03;55.37;
Municipios;0151;Arroyomolinos;68.87;68.74;67.71;66.99;65.49;64.43;63.36;63.07;60.26;58.23;
Municipios;0164;Atazar (El);54.35;52.17;55.56;51.16;52.27;47.92;42.22;38.64;38.10;32.35;
Municipios;0170;Batres;52.46;51.30;48.61;49.43;47.99;48.82;47.45;45.45;44.98;41.73;
Municipios;0186;Becerril de la Sierra;60.64;58.36;56.51;56.02;54.90;53.02;51.18;51.03;48.89;46.65;
Municipios;0199;Belmonte de Tajo;54.58;55.46;54.07;54.76;56.23;53.63;53.16;51.94;52.83;53.81;
Municipios;0210;Berrueco (El);53.42;55.83;55.21;54.00;46.35;50.25;49.32;50.23;50.64;47.01;
Municipios;0203;Berzosa del Lozoya;48.84;50.67;44.59;43.84;43.75;45.16;46.55;37.29;36.84;42.37;
Municipios;0225;Boadilla del Monte;64.67;62.72;60.61;59.53;57.03;54.88;52.12;50.25;47.82;45.83;
Municipios;0231;Boalo (El);64.46;63.54;62.82;60.49;59.85;58.29;55.92;55.14;51.84;49.61;
Municipios;0246;Braojos;45.87;40.37;40.18;42.59;43.69;40.00;35.92;36.27;32.11;35.24;
Municipios;0259;Brea de Tajo;49.24;48.68;51.26;47.31;44.74;43.85;42.19;41.67;41.24;42.86;
Municipios;0262;Brunete;65.05;63.82;61.86;60.22;57.74;56.49;54.46;52.39;51.57;48.77;
Municipios;0278;Buitrago del Lozoya;54.17;53.63;51.64;51.75;52.88;52.40;50.60;48.83;47.61;48.07;
Municipios;0284;Bustarviejo;59.92;59.08;57.81;58.31;57.14;57.01;55.27;53.38;54.87;53.13;
Municipios;0297;Cabanillas de la Sierra;55.43;56.13;51.07;51.76;48.70;47.64;49.51;50.50;48.75;48.96;
Municipios;0301;Cabrera (La);57.68;57.72;55.99;54.56;51.47;51.56;50.19;50.39;49.45;47.88;
Municipios;0318;Cadalso de los Vidrios;54.62;55.61;52.03;52.73;53.08;52.39;52.00;53.31;51.46;50.48;
Municipios;0323;Camarma de Esteruelas;66.38;65.61;63.78;62.58;61.84;59.49;57.87;56.04;53.07;52.52;
Municipios;0339;Campo Real;62.25;62.78;60.70;60.58;61.04;59.79;58.99;58.39;57.14;55.07;
Municipios;0344;Canencia;50.90;48.47;44.03;50.32;47.62;42.11;41.61;35.07;31.69;31.58;
Municipios;0357;Carabaña;61.27;61.44;63.74;63.44;61.83;62.19;59.83;59.30;59.01;53.57;
Municipios;0360;Casarrubuelos;64.66;64.71;63.44;63.31;61.74;61.06;58.48;54.57;54.36;53.00;
Municipios;0376;Cenicientos;55.20;52.97;52.95;52.90;51.21;50.64;50.93;49.92;49.53;49.01;
Municipios;0382;Cercedilla;58.06;56.87;55.16;53.10;50.52;50.47;48.57;48.23;46.25;44.75;
Municipios;0395;Cervera de Buitrago;39.34;42.11;40.38;40.00;40.74;40.38;35.29;34.78;38.64;36.36;
Municipios;0513;Chapinería;60.98;58.00;57.14;55.00;52.97;53.78;51.96;51.72;49.82;50.06;
