Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;8159;6835;
Zonas Estadísticas;01;Municipio de Madrid ;4136;3081;
Zonas Estadísticas;02;Norte Metropolitano ;193;285;
Zonas Estadísticas;03;Este Metropolitano  ;229;223;
Zonas Estadísticas;04;Sur Metropolitano   ;1231;911;
Zonas Estadísticas;05;Oeste Metropolitano ;468;334;
Zonas Estadísticas;06;Sierra Norte        ;102;52;
Zonas Estadísticas;07;Nordeste Comunidad  ;54;75;
Zonas Estadísticas;08;Sudeste Comunidad   ;1110;1198;
Zonas Estadísticas;09;Sudoeste Comunidad  ;397;387;
Zonas Estadísticas;10;Sierra Sur          ;154;191;
Zonas Estadísticas;11;Sierra Central      ;85;98;
Municipios;0014;Acebeda (La);38;4;
Municipios;0029;Ajalvir;0;1;
Municipios;0035;Alameda del Valle;0;0;
Municipios;0040;Alamo (El);7;10;
Municipios;0053;Alcalá de Henares;114;73;
Municipios;0066;Alcobendas;85;81;
Municipios;0072;Alcorcón;116;108;
Municipios;0088;Aldea del Fresno;32;39;
Municipios;0091;Algete;8;10;
Municipios;0105;Alpedrete;1;1;
Municipios;0112;Ambite;1;1;
Municipios;0127;Anchuelo;1;0;
Municipios;0133;Aranjuez;179;131;
Municipios;0148;Arganda del Rey;18;27;
Municipios;0151;Arroyomolinos;0;0;
Municipios;0164;Atazar (El);0;0;
Municipios;0170;Batres;0;0;
Municipios;0186;Becerril de la Sierra;7;4;
Municipios;0199;Belmonte de Tajo;12;9;
Municipios;0210;Berrueco (El);2;0;
Municipios;0203;Berzosa del Lozoya;0;0;
Municipios;0225;Boadilla del Monte;55;56;
Municipios;0231;Boalo (El);3;0;
Municipios;0246;Braojos;0;3;
Municipios;0259;Brea de Tajo;9;11;
Municipios;0262;Brunete;11;1;
Municipios;0278;Buitrago del Lozoya;9;0;
Municipios;0284;Bustarviejo;2;1;
Municipios;0297;Cabanillas de la Sierra;1;1;
Municipios;0301;Cabrera (La);0;2;
Municipios;0318;Cadalso de los Vidrios;36;35;
Municipios;0323;Camarma de Esteruelas;2;0;
Municipios;0339;Campo Real;19;28;
Municipios;0344;Canencia;0;0;
Municipios;0357;Carabaña;13;15;
Municipios;0360;Casarrubuelos;2;0;
Municipios;0376;Cenicientos;10;14;
Municipios;0382;Cercedilla;5;3;
Municipios;0395;Cervera de Buitrago;0;1;
Municipios;0513;Chapinería;3;11;
Municipios;0528;Chinchón;92;89;
Municipios;0409;Ciempozuelos;32;20;
Municipios;0416;Cobeña;3;4;
Municipios;0468;Collado Mediano;5;2;
Municipios;0474;Collado Villalba;63;52;
Municipios;0455;Colmenar Viejo;40;32;
Municipios;0437;Colmenar de Oreja;66;44;
Municipios;0421;Colmenar del Arroyo;2;1;
Municipios;0442;Colmenarejo;1;1;
Municipios;0480;Corpa;0;1;
Municipios;0493;Coslada;16;17;
Municipios;0506;Cubas de la Sagra;11;5;
Municipios;0534;Daganzo de Arriba;1;0;
Municipios;0549;Escorial (El);11;17;
Municipios;0552;Estremera;436;368;
Municipios;0565;Fresnedillas de la Oliva;2;1;
Municipios;0571;Fresno de Torote;1;1;
Municipios;0587;Fuenlabrada;39;55;
Municipios;0590;Fuente el Saz de Jarama;5;6;
Municipios;0604;Fuentidueña de Tajo;45;30;
Municipios;0611;Galapagar;15;10;
Municipios;0626;Garganta de los Montes;2;2;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;
Municipios;0647;Gascones;0;0;
Municipios;0650;Getafe;101;111;
Municipios;0663;Griñón;43;108;
Municipios;0679;Guadalix de la Sierra;27;16;
Municipios;0685;Guadarrama;0;6;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;5;
Municipios;0719;Horcajuelo de la Sierra;0;0;
Municipios;0724;Hoyo de Manzanares;19;8;
Municipios;0730;Humanes de Madrid;6;36;
Municipios;0745;Leganés;632;326;
Municipios;0758;Loeches;0;0;
Municipios;0761;Lozoya;0;0;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;2;5;
