Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;37451;19834;
Zonas Estadísticas;01;Municipio de Madrid ;20854;11315;
Zonas Estadísticas;02;Norte Metropolitano ;1782;813;
Zonas Estadísticas;03;Este Metropolitano  ;4046;2173;
Zonas Estadísticas;04;Sur Metropolitano   ;6248;3193;
Zonas Estadísticas;05;Oeste Metropolitano ;1654;866;
Zonas Estadísticas;06;Sierra Norte        ;234;93;
Zonas Estadísticas;07;Nordeste Comunidad  ;425;216;
Zonas Estadísticas;08;Sudeste Comunidad   ;469;338;
Zonas Estadísticas;09;Sudoeste Comunidad  ;917;366;
Zonas Estadísticas;10;Sierra Sur          ;271;217;
Zonas Estadísticas;11;Sierra Central      ;551;244;
Municipios;0014;Acebeda (La);10;4;
Municipios;0029;Ajalvir;79;45;
Municipios;0035;Alameda del Valle;2;0;
Municipios;0040;Alamo (El);24;19;
Municipios;0053;Alcalá de Henares;976;696;
Municipios;0066;Alcobendas;699;302;
Municipios;0072;Alcorcón;617;393;
Municipios;0088;Aldea del Fresno;19;2;
Municipios;0091;Algete;157;74;
Municipios;0105;Alpedrete;59;28;
Municipios;0112;Ambite;1;1;
Municipios;0127;Anchuelo;4;0;
Municipios;0133;Aranjuez;304;132;
Municipios;0148;Arganda del Rey;1110;419;
Municipios;0151;Arroyomolinos;196;97;
Municipios;0164;Atazar (El);1;1;
Municipios;0170;Batres;2;2;
Municipios;0186;Becerril de la Sierra;11;14;
Municipios;0199;Belmonte de Tajo;2;1;
Municipios;0210;Berrueco (El);6;1;
Municipios;0203;Berzosa del Lozoya;8;2;
Municipios;0225;Boadilla del Monte;294;183;
Municipios;0231;Boalo (El);30;19;
Municipios;0246;Braojos;6;0;
Municipios;0259;Brea de Tajo;1;0;
Municipios;0262;Brunete;29;9;
Municipios;0278;Buitrago del Lozoya;13;9;
Municipios;0284;Bustarviejo;5;6;
Municipios;0297;Cabanillas de la Sierra;15;7;
Municipios;0301;Cabrera (La);21;0;
Municipios;0318;Cadalso de los Vidrios;54;63;
Municipios;0323;Camarma de Esteruelas;76;60;
Municipios;0339;Campo Real;48;10;
Municipios;0344;Canencia;8;0;
Municipios;0357;Carabaña;3;4;
