Serie;Codigo_municipio;Nombre;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;323492;448730;1075628;
Zonas Estadísticas;01;Municipio de Madrid ;206214;292869;699901;
Zonas Estadísticas;02;Norte Metropolitano ;20633;29022;60734;
Zonas Estadísticas;03;Este Metropolitano  ;22529;28641;73322;
Zonas Estadísticas;04;Sur Metropolitano   ;35364;45644;122740;
Zonas Estadísticas;05;Oeste Metropolitano ;24812;32992;68204;
Zonas Estadísticas;06;Sierra Norte        ;1949;2136;5287;
Zonas Estadísticas;07;Nordeste Comunidad  ;1721;2309;6119;
Zonas Estadísticas;08;Sudeste Comunidad   ;2250;3313;8556;
Zonas Estadísticas;09;Sudoeste Comunidad  ;4008;6470;16283;
Zonas Estadísticas;10;Sierra Sur          ;668;883;2831;
Zonas Estadísticas;11;Sierra Central      ;3344;4451;11651;
Municipios;0014;Acebeda (La);241;252;986;
Municipios;0029;Ajalvir;380;520;1237;
Municipios;0035;Alameda del Valle;29;49;162;
Municipios;0040;Alamo (El);230;312;688;
Municipios;0053;Alcalá de Henares;5549;7458;19829;
Municipios;0066;Alcobendas;10131;14522;27780;
Municipios;0072;Alcorcón;4820;6904;17228;
Municipios;0088;Aldea del Fresno;71;103;456;
Municipios;0091;Algete;771;1065;2359;
Municipios;0105;Alpedrete;292;428;1088;
Municipios;0112;Ambite;16;32;61;
Municipios;0127;Anchuelo;47;149;196;
Municipios;0133;Aranjuez;1131;1622;5222;
Municipios;0148;Arganda del Rey;1999;2592;7059;
Municipios;0151;Arroyomolinos;961;1610;4950;
Municipios;0164;Atazar (El);101;40;90;
Municipios;0170;Batres;34;97;284;
Municipios;0186;Becerril de la Sierra;106;115;407;
Municipios;0199;Belmonte de Tajo;67;94;226;
Municipios;0210;Berrueco (El);56;75;204;
Municipios;0203;Berzosa del Lozoya;92;171;150;
Municipios;0225;Boadilla del Monte;3281;4081;7646;
Municipios;0231;Boalo (El);157;208;517;
Municipios;0246;Braojos;65;40;92;
Municipios;0259;Brea de Tajo;20;78;151;
Municipios;0262;Brunete;254;285;973;
Municipios;0278;Buitrago del Lozoya;70;111;213;
Municipios;0284;Bustarviejo;203;148;313;
Municipios;0297;Cabanillas de la Sierra;12;63;139;
Municipios;0301;Cabrera (La);86;110;250;
Municipios;0318;Cadalso de los Vidrios;114;106;290;
Municipios;0323;Camarma de Esteruelas;204;269;718;
Municipios;0339;Campo Real;182;256;597;
Municipios;0344;Canencia;23;60;201;
Municipios;0357;Carabaña;38;44;156;
Municipios;0360;Casarrubuelos;117;197;847;
Municipios;0376;Cenicientos;36;82;296;
Municipios;0382;Cercedilla;147;253;655;
Municipios;0395;Cervera de Buitrago;10;30;78;
Municipios;0513;Chapinería;49;55;268;
Municipios;0528;Chinchón;140;164;688;
Municipios;0409;Ciempozuelos;797;1011;2183;
Municipios;0416;Cobeña;178;218;578;
Municipios;0468;Collado Mediano;202;277;580;
Municipios;0474;Collado Villalba;1473;1817;4875;
Municipios;0455;Colmenar Viejo;1276;1768;4368;
Municipios;0437;Colmenar de Oreja;103;186;492;
Municipios;0421;Colmenar del Arroyo;67;98;314;
Municipios;0442;Colmenarejo;99;197;510;
Municipios;0480;Corpa;7;7;52;
Municipios;0493;Coslada;3236;4298;10713;
Municipios;0506;Cubas de la Sagra;391;1337;659;
Municipios;0534;Daganzo de Arriba;330;381;1182;
Municipios;0549;Escorial (El);270;340;974;
Municipios;0552;Estremera;36;65;518;
Municipios;0565;Fresnedillas de la Oliva;10;11;56;
Municipios;0571;Fresno de Torote;13;26;46;
Municipios;0587;Fuenlabrada;5335;6043;16597;
Municipios;0590;Fuente el Saz de Jarama;199;209;625;
Municipios;0604;Fuentidueña de Tajo;37;52;152;
Municipios;0611;Galapagar;536;736;1568;
Municipios;0626;Garganta de los Montes;4;11;13;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7;4;52;
Municipios;0647;Gascones;12;23;36;
Municipios;0650;Getafe;6567;8877;25722;
Municipios;0663;Griñón;578;740;2026;
Municipios;0679;Guadalix de la Sierra;350;143;354;
Municipios;0685;Guadarrama;380;487;1346;
Municipios;0698;Hiruela (La);1;9;23;
Municipios;0702;Horcajo de la Sierra0Aoslos;3;16;37;
Municipios;0719;Horcajuelo de la Sierra;11;44;99;
Municipios;0724;Hoyo de Manzanares;120;136;416;
Municipios;0730;Humanes de Madrid;1284;1639;3631;
Municipios;0745;Leganés;4912;6668;17459;
Municipios;0758;Loeches;367;518;1328;
Municipios;0761;Lozoya;18;24;94;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;45;62;149;
Municipios;0783;Madarcos;93;107;280;
Municipios;0796;Madrid;206214;292869;699901;
Municipios;0800;Majadahonda;3067;3818;9458;
Municipios;0822;Manzanares el Real;91;129;246;
Municipios;0838;Meco;646;928;2207;
Municipios;0843;Mejorada del Campo;661;741;1696;
Municipios;0856;Miraflores de la Sierra;81;114;224;
Municipios;0869;Molar (El);96;159;457;
Municipios;0875;Molinos (Los);86;78;187;
Municipios;0881;Montejo de la Sierra;17;21;30;
Municipios;0894;Moraleja de Enmedio;196;266;636;
Municipios;0908;Moralzarzal;246;385;1027;
Municipios;0915;Morata de Tajuña;87;131;371;
Municipios;0920;Móstoles;3538;4561;11440;
Municipios;0936;Navacerrada;62;90;237;
Municipios;0941;Navalafuente;20;10;58;
Municipios;0954;Navalagamella;19;28;71;
Municipios;0967;Navalcarnero;543;734;2712;
Municipios;0973;Navarredonda y San Mamés;11;5;26;
Municipios;0992;Navas del Rey;56;48;167;
Municipios;1006;Nuevo Baztán;150;269;414;
Municipios;1013;Olmeda de las Fuentes;15;18;18;
Municipios;1028;Orusco de Tajuña;17;17;27;
Municipios;1049;Paracuellos de Jarama;693;947;1965;
Municipios;1065;Parla;1920;2239;6101;
Municipios;1071;Patones;11;27;49;
Municipios;1087;Pedrezuela;148;214;311;
Municipios;1090;Pelayos de la Presa;53;78;247;
Municipios;1104;Perales de Tajuña;29;33;199;
Municipios;1111;Pezuela de las Torres;13;19;34;
Municipios;1126;Pinilla del Valle;4;8;14;
Municipios;1132;Pinto;1879;2638;6917;
Municipios;1147;Piñuécar0Gandullas;4;1;2;
Municipios;1150;Pozuelo de Alarcón;7508;10563;17062;
Municipios;1163;Pozuelo del Rey;18;29;72;
Municipios;1179;Prádena del Rincón;2;5;3;
Municipios;1185;Puebla de la Sierra;2;5;1;
Municipios;9020;Puentes Viejas;7;6;41;
Municipios;1198;Quijorna;37;68;111;
Municipios;1202;Rascafría;45;65;153;
Municipios;1219;Redueña;11;9;14;
Municipios;1224;Ribatejada;6;14;38;
Municipios;1230;Rivas0Vaciamadrid;2915;3838;9508;
Municipios;1245;Robledillo de la Jara;0;5;3;
Municipios;1258;Robledo de Chavela;57;86;212;
Municipios;1261;Robregordo;1;0;2;
Municipios;1277;Rozas de Madrid (Las);5967;8145;18107;
Municipios;1283;Rozas de Puerto Real;19;16;60;
Municipios;1296;San Agustín del Guadalix;501;628;1349;
Municipios;1300;San Fernando de Henares;3098;3151;6604;
Municipios;1317;San Lorenzo de El Escorial;334;507;1472;
Municipios;1338;San Martín de Valdeiglesias;147;205;650;
Municipios;1322;San Martín de la Vega;532;625;1616;
Municipios;1343;San Sebastián de los Reyes;4042;5795;14921;
Municipios;1356;Santa María de la Alameda;11;22;55;
Municipios;1369;Santorcaz;6;8;47;
Municipios;1375;Santos de la Humosa (Los);30;48;98;
Municipios;1381;Serna del Monte (La);6;1;5;
Municipios;1408;Serranillos del Valle;127;159;308;
Municipios;1415;Sevilla la Nueva;174;172;642;
Municipios;1436;Somosierra;4;6;18;
Municipios;1441;Soto del Real;183;198;479;
Municipios;1454;Talamanca de Jarama;69;86;266;
Municipios;1467;Tielmes;41;37;164;
Municipios;1473;Titulcia;20;31;99;
Municipios;1489;Torrejón de Ardoz;3617;4652;12688;
Municipios;1505;Torrejón de Velasco;63;102;249;
Municipios;1492;Torrejón de la Calzada;325;359;863;
Municipios;1512;Torrelaguna;37;66;149;
Municipios;1527;Torrelodones;845;1023;2119;
Municipios;1533;Torremocha de Jarama;19;18;27;
Municipios;1548;Torres de la Alameda;197;246;598;
Municipios;9036;Tres Cantos;3734;5026;9379;
Municipios;1551;Valdaracete;5;8;25;
Municipios;1564;Valdeavero;34;50;92;
Municipios;1570;Valdelaguna;1;9;20;
Municipios;1586;Valdemanco;6;11;21;
Municipios;1599;Valdemaqueda;11;8;62;
Municipios;1603;Valdemorillo;193;208;679;
Municipios;1610;Valdemoro;2649;2817;8624;
Municipios;1625;Valdeolmos0Alalpardo;67;92;227;
Municipios;1631;Valdepiélagos;9;11;24;
Municipios;1646;Valdetorres de Jarama;48;84;237;
Municipios;1659;Valdilecha;71;74;150;
Municipios;1662;Valverde de Alcalá;0;4;17;
Municipios;1678;Velilla de San Antonio;381;444;2023;
Municipios;1684;Vellón (El);6;13;39;
Municipios;1697;Venturada;55;43;301;
Municipios;1718;Villa del Prado;111;130;577;
Municipios;1701;Villaconejos;41;72;198;
Municipios;1723;Villalbilla;286;353;768;
Municipios;1739;Villamanrique de Tajo;3;11;123;
Municipios;1744;Villamanta;23;42;137;
Municipios;1757;Villamantilla;6;20;68;
Municipios;1782;Villanueva de Perales;21;22;70;
Municipios;1760;Villanueva de la Cañada;772;1066;2766;
Municipios;1776;Villanueva del Pardillo;415;437;1023;
Municipios;1795;Villar del Olmo;31;27;82;
Municipios;1809;Villarejo de Salvanés;129;224;415;
Municipios;1816;Villaviciosa de Odón;989;1322;3214;
Municipios;1821;Villavieja del Lozoya;1;5;5;
Municipios;1837;Zarzalejo;19;40;83;
