Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;48284;47301;
Zonas Estadísticas;01;Municipio de Madrid ;17904;17648;
Zonas Estadísticas;02;Norte Metropolitano ;4295;3916;
Zonas Estadísticas;03;Este Metropolitano  ;8300;9485;
Zonas Estadísticas;04;Sur Metropolitano   ;11594;10367;
Zonas Estadísticas;05;Oeste Metropolitano ;1800;1656;
Zonas Estadísticas;06;Sierra Norte        ;262;342;
Zonas Estadísticas;07;Nordeste Comunidad  ;954;1117;
Zonas Estadísticas;08;Sudeste Comunidad   ;1500;1145;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1180;1162;
Zonas Estadísticas;10;Sierra Sur          ;156;150;
Zonas Estadísticas;11;Sierra Central      ;339;313;
Municipios;0014;Acebeda (La);25;54;
Municipios;0029;Ajalvir;313;297;
Municipios;0035;Alameda del Valle;3;8;
Municipios;0040;Alamo (El);21;22;
Municipios;0053;Alcalá de Henares;2097;2862;
Municipios;0066;Alcobendas;1550;1373;
Municipios;0072;Alcorcón;728;750;
Municipios;0088;Aldea del Fresno;1;4;
Municipios;0091;Algete;436;424;
Municipios;0105;Alpedrete;32;23;
Municipios;0112;Ambite;2;0;
Municipios;0127;Anchuelo;15;10;
Municipios;0133;Aranjuez;373;307;
Municipios;0148;Arganda del Rey;1361;1437;
Municipios;0151;Arroyomolinos;85;56;
Municipios;0164;Atazar (El);5;1;
Municipios;0170;Batres;4;0;
Municipios;0186;Becerril de la Sierra;8;29;
Municipios;0199;Belmonte de Tajo;17;17;
Municipios;0210;Berrueco (El);0;10;
Municipios;0203;Berzosa del Lozoya;2;1;
Municipios;0225;Boadilla del Monte;195;140;
Municipios;0231;Boalo (El);14;18;
Municipios;0246;Braojos;0;0;
Municipios;0259;Brea de Tajo;1;1;
Municipios;0262;Brunete;18;2;
Municipios;0278;Buitrago del Lozoya;11;2;
Municipios;0284;Bustarviejo;5;6;
Municipios;0297;Cabanillas de la Sierra;2;3;
Municipios;0301;Cabrera (La);3;9;
Municipios;0318;Cadalso de los Vidrios;11;12;
Municipios;0323;Camarma de Esteruelas;151;111;
Municipios;0339;Campo Real;168;100;
Municipios;0344;Canencia;2;2;
Municipios;0357;Carabaña;7;4;
Municipios;0360;Casarrubuelos;56;54;
Municipios;0376;Cenicientos;9;12;
Municipios;0382;Cercedilla;6;9;
Municipios;0395;Cervera de Buitrago;2;3;
Municipios;0513;Chapinería;9;6;
Municipios;0528;Chinchón;75;72;
Municipios;0409;Ciempozuelos;220;318;
Municipios;0416;Cobeña;25;62;
Municipios;0468;Collado Mediano;5;18;
Municipios;0474;Collado Villalba;212;160;
Municipios;0455;Colmenar Viejo;276;234;
Municipios;0437;Colmenar de Oreja;51;29;
Municipios;0421;Colmenar del Arroyo;67;70;
Municipios;0442;Colmenarejo;21;3;
Municipios;0480;Corpa;0;2;
Municipios;0493;Coslada;594;557;
Municipios;0506;Cubas de la Sagra;81;49;
Municipios;0534;Daganzo de Arriba;218;165;
Municipios;0549;Escorial (El);13;17;
Municipios;0552;Estremera;2;2;
Municipios;0565;Fresnedillas de la Oliva;5;0;
Municipios;0571;Fresno de Torote;5;11;
Municipios;0587;Fuenlabrada;1718;1623;
Municipios;0590;Fuente el Saz de Jarama;126;101;
Municipios;0604;Fuentidueña de Tajo;13;20;
Municipios;0611;Galapagar;26;20;
Municipios;0626;Garganta de los Montes;7;3;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;
Municipios;0647;Gascones;1;2;
Municipios;0650;Getafe;3464;2749;
Municipios;0663;Griñón;402;367;
Municipios;0679;Guadalix de la Sierra;8;14;
Municipios;0685;Guadarrama;26;17;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;2;1;
Municipios;0719;Horcajuelo de la Sierra;86;0;
Municipios;0724;Hoyo de Manzanares;1;4;
Municipios;0730;Humanes de Madrid;1066;1039;
Municipios;0745;Leganés;1180;1004;
Municipios;0758;Loeches;512;419;
Municipios;0761;Lozoya;2;3;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;8;3;
Municipios;0783;Madarcos;16;15;
Municipios;0796;Madrid;17904;17648;
Municipios;0800;Majadahonda;195;145;
Municipios;0822;Manzanares el Real;13;15;
Municipios;0838;Meco;230;572;
Municipios;0843;Mejorada del Campo;306;366;
Municipios;0856;Miraflores de la Sierra;6;1;
Municipios;0869;Molar (El);16;11;
Municipios;0875;Molinos (Los);0;4;
Municipios;0881;Montejo de la Sierra;0;0;
Municipios;0894;Moraleja de Enmedio;154;207;
Municipios;0908;Moralzarzal;30;39;
Municipios;0915;Morata de Tajuña;69;54;
Municipios;0920;Móstoles;922;837;
Municipios;0936;Navacerrada;0;10;
Municipios;0941;Navalafuente;1;1;
Municipios;0954;Navalagamella;3;7;
Municipios;0967;Navalcarnero;128;144;
Municipios;0973;Navarredonda y San Mamés;0;0;
Municipios;0992;Navas del Rey;1;1;
