Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;135799;114290;
Zonas Estadísticas;01;Municipio de Madrid ;43710;38584;
Zonas Estadísticas;02;Norte Metropolitano ;13373;10367;
Zonas Estadísticas;03;Este Metropolitano  ;26082;24919;
Zonas Estadísticas;04;Sur Metropolitano   ;34090;25300;
Zonas Estadísticas;05;Oeste Metropolitano ;3009;2563;
Zonas Estadísticas;06;Sierra Norte        ;2424;2280;
Zonas Estadísticas;07;Nordeste Comunidad  ;5672;4473;
Zonas Estadísticas;08;Sudeste Comunidad   ;4128;2799;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2365;2144;
Zonas Estadísticas;10;Sierra Sur          ;336;330;
Zonas Estadísticas;11;Sierra Central      ;610;531;
Municipios;0014;Acebeda (La);1890;1847;
Municipios;0029;Ajalvir;616;582;
Municipios;0035;Alameda del Valle;3;10;
Municipios;0040;Alamo (El);62;53;
Municipios;0053;Alcalá de Henares;10052;11254;
Municipios;0066;Alcobendas;4258;4244;
Municipios;0072;Alcorcón;2404;2236;
Municipios;0088;Aldea del Fresno;8;11;
Municipios;0091;Algete;796;684;
Municipios;0105;Alpedrete;53;55;
Municipios;0112;Ambite;2;0;
Municipios;0127;Anchuelo;21;10;
Municipios;0133;Aranjuez;4065;2036;
Municipios;0148;Arganda del Rey;3151;2607;
Municipios;0151;Arroyomolinos;152;99;
Municipios;0164;Atazar (El);7;1;
Municipios;0170;Batres;6;0;
Municipios;0186;Becerril de la Sierra;23;38;
Municipios;0199;Belmonte de Tajo;31;22;
Municipios;0210;Berrueco (El);0;12;
Municipios;0203;Berzosa del Lozoya;2;1;
Municipios;0225;Boadilla del Monte;271;190;
Municipios;0231;Boalo (El);21;20;
Municipios;0246;Braojos;0;0;
Municipios;0259;Brea de Tajo;1;1;
Municipios;0262;Brunete;41;20;
Municipios;0278;Buitrago del Lozoya;13;3;
Municipios;0284;Bustarviejo;7;11;
Municipios;0297;Cabanillas de la Sierra;3;3;
Municipios;0301;Cabrera (La);8;14;
Municipios;0318;Cadalso de los Vidrios;14;52;
Municipios;0323;Camarma de Esteruelas;625;617;
Municipios;0339;Campo Real;376;201;
Municipios;0344;Canencia;3;2;
Municipios;0357;Carabaña;27;14;
Municipios;0360;Casarrubuelos;73;81;
Municipios;0376;Cenicientos;17;13;
Municipios;0382;Cercedilla;6;10;
Municipios;0395;Cervera de Buitrago;3;4;
Municipios;0513;Chapinería;10;8;
Municipios;0528;Chinchón;158;89;
Municipios;0409;Ciempozuelos;417;443;
Municipios;0416;Cobeña;154;106;
Municipios;0468;Collado Mediano;9;23;
Municipios;0474;Collado Villalba;315;231;
Municipios;0455;Colmenar Viejo;648;404;
Municipios;0437;Colmenar de Oreja;87;72;
Municipios;0421;Colmenar del Arroyo;107;99;
Municipios;0442;Colmenarejo;40;10;
Municipios;0480;Corpa;0;2;
Municipios;0493;Coslada;1669;1635;
Municipios;0506;Cubas de la Sagra;167;151;
Municipios;0534;Daganzo de Arriba;2015;1813;
Municipios;0549;Escorial (El);25;23;
Municipios;0552;Estremera;6;8;
Municipios;0565;Fresnedillas de la Oliva;5;1;
Municipios;0571;Fresno de Torote;8;13;
Municipios;0587;Fuenlabrada;5476;4281;
Municipios;0590;Fuente el Saz de Jarama;193;147;
Municipios;0604;Fuentidueña de Tajo;34;37;
Municipios;0611;Galapagar;51;55;
Municipios;0626;Garganta de los Montes;9;3;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;1;
Municipios;0647;Gascones;2;4;
Municipios;0650;Getafe;9387;6544;
Municipios;0663;Griñón;849;786;
Municipios;0679;Guadalix de la Sierra;70;70;
Municipios;0685;Guadarrama;41;32;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;2;1;
Municipios;0719;Horcajuelo de la Sierra;214;0;
Municipios;0724;Hoyo de Manzanares;5;7;
Municipios;0730;Humanes de Madrid;1801;1548;
Municipios;0745;Leganés;2549;1861;
Municipios;0758;Loeches;1525;840;
Municipios;0761;Lozoya;11;20;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;16;4;
Municipios;0783;Madarcos;19;20;
Municipios;0796;Madrid;43710;38584;
Municipios;0800;Majadahonda;461;359;
Municipios;0822;Manzanares el Real;22;19;
Municipios;0838;Meco;1748;1384;
Municipios;0843;Mejorada del Campo;608;513;
Municipios;0856;Miraflores de la Sierra;16;4;
Municipios;0869;Molar (El);23;19;
Municipios;0875;Molinos (Los);5;7;
Municipios;0881;Montejo de la Sierra;2;1;
Municipios;0894;Moraleja de Enmedio;332;328;
Municipios;0908;Moralzarzal;49;51;
Municipios;0915;Morata de Tajuña;143;97;
