Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;927185;881813;
Zonas Estadísticas;01;Municipio de Madrid ;626041;590483;
Zonas Estadísticas;02;Norte Metropolitano ;51375;48331;
Zonas Estadísticas;03;Este Metropolitano  ;55342;57464;
Zonas Estadísticas;04;Sur Metropolitano   ;94468;93846;
Zonas Estadísticas;05;Oeste Metropolitano ;61731;55517;
Zonas Estadísticas;06;Sierra Norte        ;4450;4633;
Zonas Estadísticas;07;Nordeste Comunidad  ;4190;3970;
Zonas Estadísticas;08;Sudeste Comunidad   ;5244;5551;
Zonas Estadísticas;09;Sudoeste Comunidad  ;12329;11509;
Zonas Estadísticas;10;Sierra Sur          ;2193;1829;
Zonas Estadísticas;11;Sierra Central      ;9822;8680;
Municipios;0014;Acebeda (La);895;990;
Municipios;0029;Ajalvir;784;723;
Municipios;0035;Alameda del Valle;148;159;
Municipios;0040;Alamo (El);594;566;
Municipios;0053;Alcalá de Henares;15150;15351;
Municipios;0066;Alcobendas;24586;22910;
Municipios;0072;Alcorcón;14713;13782;
Municipios;0088;Aldea del Fresno;261;255;
Municipios;0091;Algete;1594;1728;
Municipios;0105;Alpedrete;951;884;
Municipios;0112;Ambite;52;56;
Municipios;0127;Anchuelo;176;119;
Municipios;0133;Aranjuez;4160;6424;
Municipios;0148;Arganda del Rey;4298;4614;
Municipios;0151;Arroyomolinos;4243;3817;
Municipios;0164;Atazar (El);77;93;
Municipios;0170;Batres;261;108;
Municipios;0186;Becerril de la Sierra;353;276;
Municipios;0199;Belmonte de Tajo;185;139;
Municipios;0210;Berrueco (El);176;113;
Municipios;0203;Berzosa del Lozoya;133;187;
Municipios;0225;Boadilla del Monte;6720;6327;
Municipios;0231;Boalo (El);420;377;
Municipios;0246;Braojos;89;102;
Municipios;0259;Brea de Tajo;145;73;
Municipios;0262;Brunete;855;589;
Municipios;0278;Buitrago del Lozoya;158;138;
Municipios;0284;Bustarviejo;265;226;
Municipios;0297;Cabanillas de la Sierra;108;131;
Municipios;0301;Cabrera (La);222;167;
Municipios;0318;Cadalso de los Vidrios;173;132;
Municipios;0323;Camarma de Esteruelas;468;413;
Municipios;0339;Campo Real;325;1139;
Municipios;0344;Canencia;180;252;
Municipios;0357;Carabaña;132;72;
Municipios;0360;Casarrubuelos;685;544;
Municipios;0376;Cenicientos;278;90;
Municipios;0382;Cercedilla;561;621;
Municipios;0395;Cervera de Buitrago;76;62;
Municipios;0513;Chapinería;252;219;
Municipios;0528;Chinchón;518;449;
Municipios;0409;Ciempozuelos;1645;1515;
Municipios;0416;Cobeña;525;453;
Municipios;0468;Collado Mediano;431;345;
Municipios;0474;Collado Villalba;4192;3651;
Municipios;0455;Colmenar Viejo;3260;2869;
Municipios;0437;Colmenar de Oreja;234;270;
Municipios;0421;Colmenar del Arroyo;240;284;
Municipios;0442;Colmenarejo;360;341;
Municipios;0480;Corpa;49;50;
Municipios;0493;Coslada;8903;10355;
Municipios;0506;Cubas de la Sagra;483;1026;
Municipios;0534;Daganzo de Arriba;842;682;
Municipios;0549;Escorial (El);871;862;
Municipios;0552;Estremera;104;123;
Municipios;0565;Fresnedillas de la Oliva;31;38;
Municipios;0571;Fresno de Torote;35;19;
Municipios;0587;Fuenlabrada;12527;12461;
Municipios;0590;Fuente el Saz de Jarama;441;380;
Municipios;0604;Fuentidueña de Tajo;97;63;
Municipios;0611;Galapagar;1199;1118;
Municipios;0626;Garganta de los Montes;5;12;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;52;24;
Municipios;0647;Gascones;32;17;
Municipios;0650;Getafe;19100;21371;
Municipios;0663;Griñón;1242;1073;
Municipios;0679;Guadalix de la Sierra;281;303;
Municipios;0685;Guadarrama;1185;849;
Municipios;0698;Hiruela (La);22;17;
Municipios;0702;Horcajo de la Sierra-Aoslos;29;26;
Municipios;0719;Horcajuelo de la Sierra;10;25;
Municipios;0724;Hoyo de Manzanares;372;255;
Municipios;0730;Humanes de Madrid;1855;1737;
Municipios;0745;Leganés;13659;13137;
Municipios;0758;Loeches;640;557;
Municipios;0761;Lozoya;88;64;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;120;131;
Municipios;0783;Madarcos;230;209;
Municipios;0796;Madrid;626041;590483;
Municipios;0800;Majadahonda;8702;8053;
Municipios;0822;Manzanares el Real;204;244;
Municipios;0838;Meco;1558;1623;
Municipios;0843;Mejorada del Campo;1096;1165;
Municipios;0856;Miraflores de la Sierra;191;208;
Municipios;0869;Molar (El);327;327;
Municipios;0875;Molinos (Los);165;193;
Municipios;0881;Montejo de la Sierra;29;49;
Municipios;0894;Moraleja de Enmedio;349;301;
Municipios;0908;Moralzarzal;875;786;
Municipios;0915;Morata de Tajuña;232;158;
Municipios;0920;Móstoles;9066;8280;
Municipios;0936;Navacerrada;216;218;
Municipios;0941;Navalafuente;38;59;
Municipios;0954;Navalagamella;59;77;
Municipios;0967;Navalcarnero;2200;1703;
Municipios;0973;Navarredonda y San Mamés;25;53;
Municipios;0992;Navas del Rey;140;112;
Municipios;1006;Nuevo Baztán;323;281;
Municipios;1013;Olmeda de las Fuentes;10;11;
Municipios;1028;Orusco de Tajuña;23;17;
Municipios;1049;Paracuellos de Jarama;1376;1321;
Municipios;1065;Parla;4711;4265;
Municipios;1071;Patones;46;35;
Municipios;1087;Pedrezuela;249;248;
Municipios;1090;Pelayos de la Presa;193;104;
Municipios;1104;Perales de Tajuña;167;160;
Municipios;1111;Pezuela de las Torres;26;31;
Municipios;1126;Pinilla del Valle;14;11;
Municipios;1132;Pinto;5246;4816;
Municipios;1147;Piñuécar-Gandullas;2;5;
Municipios;1150;Pozuelo de Alarcón;15849;14035;
Municipios;1163;Pozuelo del Rey;46;28;
Municipios;1179;Prádena del Rincón;2;11;
Municipios;1185;Puebla de la Sierra;1;4;
Municipios;9020;Puentes Viejas;28;14;
Municipios;1198;Quijorna;92;70;
Municipios;1202;Rascafría;128;110;
Municipios;1219;Redueña;14;16;
Municipios;1224;Ribatejada;17;19;
Municipios;1230;Rivas-Vaciamadrid;7951;7716;
Municipios;1245;Robledillo de la Jara;3;10;
Municipios;1258;Robledo de Chavela;144;210;
Municipios;1261;Robregordo;1;1;
Municipios;1277;Rozas de Madrid (Las);16558;14832;
Municipios;1283;Rozas de Puerto Real;54;41;
Municipios;1296;San Agustín del Guadalix;878;730;
Municipios;1300;San Fernando de Henares;4965;4595;
Municipios;1317;San Lorenzo de El Escorial;1359;962;
Municipios;1338;San Martín de Valdeiglesias;512;430;
Municipios;1322;San Martín de la Vega;1213;1308;
Municipios;1343;San Sebastián de los Reyes;12979;12445;
Municipios;1356;Santa María de la Alameda;40;34;
Municipios;1369;Santorcaz;41;26;
Municipios;1375;Santos de la Humosa (Los);91;72;
Municipios;1381;Serna del Monte (La);5;7;
Municipios;1408;Serranillos del Valle;190;211;
Municipios;1415;Sevilla la Nueva;548;544;
Municipios;1436;Somosierra;18;21;
Municipios;1441;Soto del Real;394;375;
Municipios;1454;Talamanca de Jarama;139;114;
Municipios;1467;Tielmes;131;126;
Municipios;1473;Titulcia;78;52;
Municipios;1489;Torrejón de Ardoz;9112;8889;
Municipios;1505;Torrejón de Velasco;181;244;
Municipios;1492;Torrejón de la Calzada;548;624;
Municipios;1512;Torrelaguna;106;108;
Municipios;1527;Torrelodones;2001;1874;
Municipios;1533;Torremocha de Jarama;23;33;
Municipios;1548;Torres de la Alameda;307;350;
Municipios;9036;Tres Cantos;7553;7196;
Municipios;1551;Valdaracete;14;8;
Municipios;1564;Valdeavero;48;43;
Municipios;1570;Valdelaguna;12;11;
Municipios;1586;Valdemanco;12;17;
Municipios;1599;Valdemaqueda;19;26;
Municipios;1603;Valdemorillo;550;443;
Municipios;1610;Valdemoro;6573;4750;
Municipios;1625;Valdeolmos-Alalpardo;156;164;
Municipios;1631;Valdepiélagos;20;9;
Municipios;1646;Valdetorres de Jarama;139;177;
Municipios;1659;Valdilecha;102;95;
Municipios;1662;Valverde de Alcalá;10;17;
Municipios;1678;Velilla de San Antonio;1707;2735;
Municipios;1684;Vellón (El);30;31;
Municipios;1697;Venturada;278;336;
Municipios;1718;Villa del Prado;254;289;
Municipios;1701;Villaconejos;159;117;
Municipios;1723;Villalbilla;533;524;
Municipios;1739;Villamanrique de Tajo;46;72;
Municipios;1744;Villamanta;118;56;
Municipios;1757;Villamantilla;24;30;
Municipios;1782;Villanueva de Perales;56;48;
Municipios;1760;Villanueva de la Cañada;2605;2232;
Municipios;1776;Villanueva del Pardillo;736;696;
Municipios;1795;Villar del Olmo;46;47;
Municipios;1809;Villarejo de Salvanés;190;238;
Municipios;1816;Villaviciosa de Odón;2678;2551;
Municipios;1821;Villavieja del Lozoya;2;6;
Municipios;1837;Zarzalejo;58;32;
