Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;2172070;1892303;
Zonas Estadísticas;01;Municipio de Madrid ;1424129;1248173;
Zonas Estadísticas;02;Norte Metropolitano ;121977;101857;
Zonas Estadísticas;03;Este Metropolitano  ;147705;125958;
Zonas Estadísticas;04;Sur Metropolitano   ;264301;224990;
Zonas Estadísticas;05;Oeste Metropolitano ;122692;108613;
Zonas Estadísticas;06;Sierra Norte        ;10947;10167;
Zonas Estadísticas;07;Nordeste Comunidad  ;14717;14668;
Zonas Estadísticas;08;Sudeste Comunidad   ;13254;12616;
Zonas Estadísticas;09;Sudoeste Comunidad  ;24889;22221;
Zonas Estadísticas;10;Sierra Sur          ;5152;4014;
Zonas Estadísticas;11;Sierra Central      ;22307;19026;
Municipios;0014;Acebeda (La);1986;1719;
Municipios;0029;Ajalvir;1677;1436;
Municipios;0035;Alameda del Valle;323;234;
Municipios;0040;Alamo (El);1568;1084;
Municipios;0053;Alcalá de Henares;43363;39300;
Municipios;0066;Alcobendas;48358;41727;
Municipios;0072;Alcorcón;35641;30396;
Municipios;0088;Aldea del Fresno;552;513;
Municipios;0091;Algete;3720;2994;
Municipios;0105;Alpedrete;2007;1882;
Municipios;0112;Ambite;241;121;
Municipios;0127;Anchuelo;329;455;
Municipios;0133;Aranjuez;21074;16434;
Municipios;0148;Arganda del Rey;9189;9247;
Municipios;0151;Arroyomolinos;7833;6132;
Municipios;0164;Atazar (El);113;169;
Municipios;0170;Batres;1072;270;
Municipios;0186;Becerril de la Sierra;816;639;
Municipios;0199;Belmonte de Tajo;612;486;
Municipios;0210;Berrueco (El);409;333;
Municipios;0203;Berzosa del Lozoya;438;653;
Municipios;0225;Boadilla del Monte;12785;13213;
Municipios;0231;Boalo (El);724;838;
Municipios;0246;Braojos;154;150;
Municipios;0259;Brea de Tajo;286;253;
Municipios;0262;Brunete;1603;1134;
Municipios;0278;Buitrago del Lozoya;721;661;
Municipios;0284;Bustarviejo;435;355;
Municipios;0297;Cabanillas de la Sierra;198;214;
Municipios;0301;Cabrera (La);516;357;
Municipios;0318;Cadalso de los Vidrios;449;273;
Municipios;0323;Camarma de Esteruelas;956;735;
Municipios;0339;Campo Real;732;1529;
Municipios;0344;Canencia;278;372;
Municipios;0357;Carabaña;467;264;
Municipios;0360;Casarrubuelos;1703;1573;
Municipios;0376;Cenicientos;435;258;
Municipios;0382;Cercedilla;1630;1330;
Municipios;0395;Cervera de Buitrago;248;138;
Municipios;0513;Chapinería;460;360;
Municipios;0528;Chinchón;1699;1134;
Municipios;0409;Ciempozuelos;7194;5858;
Municipios;0416;Cobeña;1005;822;
Municipios;0468;Collado Mediano;754;665;
Municipios;0474;Collado Villalba;8525;7022;
Municipios;0455;Colmenar Viejo;7454;6264;
Municipios;0437;Colmenar de Oreja;690;689;
Municipios;0421;Colmenar del Arroyo;822;560;
Municipios;0442;Colmenarejo;802;711;
Municipios;0480;Corpa;95;99;
Municipios;0493;Coslada;30363;20299;
Municipios;0506;Cubas de la Sagra;842;2733;
Municipios;0534;Daganzo de Arriba;1880;1554;
Municipios;0549;Escorial (El);1961;1698;
Municipios;0552;Estremera;202;218;
Municipios;0565;Fresnedillas de la Oliva;96;103;
Municipios;0571;Fresno de Torote;93;53;
Municipios;0587;Fuenlabrada;31773;23915;
Municipios;0590;Fuente el Saz de Jarama;1425;628;
Municipios;0604;Fuentidueña de Tajo;204;114;
Municipios;0611;Galapagar;2445;3525;
Municipios;0626;Garganta de los Montes;24;33;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;111;65;
Municipios;0647;Gascones;42;40;
Municipios;0650;Getafe;64569;57107;
Municipios;0663;Griñón;1966;1758;
Municipios;0679;Guadalix de la Sierra;930;619;
Municipios;0685;Guadarrama;3044;2685;
Municipios;0698;Hiruela (La);50;32;
Municipios;0702;Horcajo de la Sierra-Aoslos;65;59;
Municipios;0719;Horcajuelo de la Sierra;55;50;
Municipios;0724;Hoyo de Manzanares;1111;491;
Municipios;0730;Humanes de Madrid;4014;2979;
Municipios;0745;Leganés;29630;29634;
Municipios;0758;Loeches;1145;1108;
Municipios;0761;Lozoya;443;416;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;365;342;
Municipios;0783;Madarcos;433;447;
Municipios;0796;Madrid;1424129;1248173;
Municipios;0800;Majadahonda;16494;15445;
Municipios;0822;Manzanares el Real;574;589;
Municipios;0838;Meco;7929;9385;
Municipios;0843;Mejorada del Campo;2530;2218;
Municipios;0856;Miraflores de la Sierra;558;669;
Municipios;0869;Molar (El);585;836;
Municipios;0875;Molinos (Los);301;306;
