Serie;Codigo_municipio;Nombre;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;1502518;1946889;1374431;
Zonas Estadísticas;01;Municipio de Madrid ;862118;1128857;847350;
Zonas Estadísticas;02;Norte Metropolitano ;88225;117465;81563;
Zonas Estadísticas;03;Este Metropolitano  ;145047;179260;114341;
Zonas Estadísticas;04;Sur Metropolitano   ;235640;317540;199311;
Zonas Estadísticas;05;Oeste Metropolitano ;88854;103229;64135;
Zonas Estadísticas;06;Sierra Norte        ;8212;9941;8946;
Zonas Estadísticas;07;Nordeste Comunidad  ;14244;21852;15693;
Zonas Estadísticas;08;Sudeste Comunidad   ;17471;20497;11507;
Zonas Estadísticas;09;Sudoeste Comunidad  ;23870;24893;14763;
Zonas Estadísticas;10;Sierra Sur          ;4323;4548;3471;
Zonas Estadísticas;11;Sierra Central      ;14514;18807;13351;
Municipios;0014;Acebeda (La);1181;1668;2984;
Municipios;0029;Ajalvir;1422;1826;1275;
Municipios;0035;Alameda del Valle;137;206;177;
Municipios;0040;Alamo (El);1198;1807;1043;
Municipios;0053;Alcalá de Henares;49817;62231;37243;
Municipios;0066;Alcobendas;30997;39037;27239;
Municipios;0072;Alcorcón;35909;35806;23331;
Municipios;0088;Aldea del Fresno;390;451;337;
Municipios;0091;Algete;3574;5093;2645;
Municipios;0105;Alpedrete;1178;1666;1136;
Municipios;0112;Ambite;63;102;190;
Municipios;0127;Anchuelo;263;376;163;
Municipios;0133;Aranjuez;15893;35777;21018;
Municipios;0148;Arganda del Rey;10952;12382;7796;
Municipios;0151;Arroyomolinos;5048;6044;3853;
Municipios;0164;Atazar (El);83;48;39;
Municipios;0170;Batres;1546;1945;815;
Municipios;0186;Becerril de la Sierra;317;551;492;
Municipios;0199;Belmonte de Tajo;1587;645;454;
Municipios;0210;Berrueco (El);366;250;240;
Municipios;0203;Berzosa del Lozoya;209;171;313;
Municipios;0225;Boadilla del Monte;9081;10795;6476;
Municipios;0231;Boalo (El);536;663;342;
Municipios;0246;Braojos;106;144;71;
Municipios;0259;Brea de Tajo;193;274;149;
Municipios;0262;Brunete;1074;1598;809;
Municipios;0278;Buitrago del Lozoya;893;1098;582;
Municipios;0284;Bustarviejo;314;468;178;
Municipios;0297;Cabanillas de la Sierra;104;146;106;
Municipios;0301;Cabrera (La);288;431;320;
Municipios;0318;Cadalso de los Vidrios;610;575;338;
Municipios;0323;Camarma de Esteruelas;2140;2898;1038;
Municipios;0339;Campo Real;955;851;677;
Municipios;0344;Canencia;264;298;107;
Municipios;0357;Carabaña;152;486;365;
Municipios;0360;Casarrubuelos;1916;1899;1075;
Municipios;0376;Cenicientos;446;271;182;
Municipios;0382;Cercedilla;1123;1554;1097;
Municipios;0395;Cervera de Buitrago;74;90;175;
Municipios;0513;Chapinería;244;369;211;
Municipios;0528;Chinchón;1750;2119;1327;
Municipios;0409;Ciempozuelos;7094;7865;5906;
Municipios;0416;Cobeña;660;985;621;
Municipios;0468;Collado Mediano;534;632;391;
Municipios;0474;Collado Villalba;6173;8092;4626;
Municipios;0455;Colmenar Viejo;7506;7382;4825;
Municipios;0437;Colmenar de Oreja;776;960;579;
Municipios;0421;Colmenar del Arroyo;360;440;632;
Municipios;0442;Colmenarejo;722;1034;499;
Municipios;0480;Corpa;35;103;47;
Municipios;0493;Coslada;25974;31644;22967;
Municipios;0506;Cubas de la Sagra;534;716;494;
Municipios;0534;Daganzo de Arriba;2630;4706;2893;
Municipios;0549;Escorial (El);1204;1532;1142;
Municipios;0552;Estremera;650;655;155;
Municipios;0565;Fresnedillas de la Oliva;103;109;75;
Municipios;0571;Fresno de Torote;86;106;78;
Municipios;0587;Fuenlabrada;31104;42427;23901;
Municipios;0590;Fuente el Saz de Jarama;532;923;1082;
Municipios;0604;Fuentidueña de Tajo;349;404;139;
Municipios;0611;Galapagar;2069;2282;1384;
Municipios;0626;Garganta de los Montes;24;35;23;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;28;69;59;
Municipios;0647;Gascones;26;44;14;
Municipios;0650;Getafe;57423;74862;52813;
Municipios;0663;Griñón;1836;2334;1300;
Municipios;0679;Guadalix de la Sierra;570;910;760;
Municipios;0685;Guadarrama;1818;2450;1929;
Municipios;0698;Hiruela (La);26;37;28;
Municipios;0702;Horcajo de la Sierra0Aoslos;52;34;38;
Municipios;0719;Horcajuelo de la Sierra;113;203;173;
Municipios;0724;Hoyo de Manzanares;492;537;772;
Municipios;0730;Humanes de Madrid;4282;5362;3156;
Municipios;0745;Leganés;25240;30840;18540;
Municipios;0758;Loeches;2292;3252;1594;
Municipios;0761;Lozoya;667;632;369;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;207;320;256;
Municipios;0783;Madarcos;430;312;215;
Municipios;0796;Madrid;862118;1128857;847350;
Municipios;0800;Majadahonda;9748;13182;8338;
