Serie;Codigo_municipio;Nombre;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;82.28;81.27;56.10;
Zonas Estadísticas;01;Municipio de Madrid ;80.70;79.40;54.76;
Zonas Estadísticas;02;Norte Metropolitano ;81.05;80.19;57.32;
Zonas Estadísticas;03;Este Metropolitano  ;86.56;86.22;60.93;
Zonas Estadísticas;04;Sur Metropolitano   ;86.95;87.43;61.89;
Zonas Estadísticas;05;Oeste Metropolitano ;78.17;75.78;48.46;
Zonas Estadísticas;06;Sierra Norte        ;80.82;82.31;62.85;
Zonas Estadísticas;07;Nordeste Comunidad  ;89.22;90.44;71.95;
Zonas Estadísticas;08;Sudeste Comunidad   ;88.59;86.09;57.35;
Zonas Estadísticas;09;Sudoeste Comunidad  ;85.62;79.37;47.55;
Zonas Estadísticas;10;Sierra Sur          ;86.62;83.74;55.08;
Zonas Estadísticas;11;Sierra Central      ;81.27;80.86;53.40;
Municipios;0014;Acebeda (La);83.05;86.88;75.16;
Municipios;0029;Ajalvir;78.91;77.83;50.76;
Municipios;0035;Alameda del Valle;82.53;80.78;52.21;
Municipios;0040;Alamo (El);83.89;85.28;60.25;
Municipios;0053;Alcalá de Henares;89.98;89.30;65.26;
Municipios;0066;Alcobendas;75.37;72.89;49.51;
Municipios;0072;Alcorcón;88.17;83.84;57.52;
Municipios;0088;Aldea del Fresno;84.60;81.41;42.50;
Municipios;0091;Algete;82.26;82.71;52.86;
Municipios;0105;Alpedrete;80.14;79.56;51.08;
Municipios;0112;Ambite;79.75;76.12;75.70;
Municipios;0127;Anchuelo;84.84;71.62;45.40;
Municipios;0133;Aranjuez;93.36;95.66;80.10;
Municipios;0148;Arganda del Rey;84.56;82.69;52.48;
Municipios;0151;Arroyomolinos;84.01;78.97;43.77;
Municipios;0164;Atazar (El);45.11;54.55;30.23;
Municipios;0170;Batres;97.85;95.25;74.16;
Municipios;0186;Becerril de la Sierra;74.94;82.73;54.73;
Municipios;0199;Belmonte de Tajo;95.95;87.28;66.76;
Municipios;0210;Berrueco (El);86.73;76.92;54.05;
Municipios;0203;Berzosa del Lozoya;69.44;50.00;67.60;
Municipios;0225;Boadilla del Monte;73.46;72.57;45.86;
Municipios;0231;Boalo (El);77.34;76.12;39.81;
Municipios;0246;Braojos;61.99;78.26;43.56;
Municipios;0259;Brea de Tajo;90.61;77.84;49.67;
Municipios;0262;Brunete;80.87;84.86;45.40;
Municipios;0278;Buitrago del Lozoya;92.73;90.82;73.21;
Municipios;0284;Bustarviejo;60.74;75.97;36.25;
Municipios;0297;Cabanillas de la Sierra;89.66;69.86;43.27;
Municipios;0301;Cabrera (La);77.01;79.67;56.14;
Municipios;0318;Cadalso de los Vidrios;84.25;84.43;53.82;
Municipios;0323;Camarma de Esteruelas;91.30;91.51;59.11;
Municipios;0339;Campo Real;83.99;76.87;53.14;
Municipios;0344;Canencia;91.99;83.24;34.74;
Municipios;0357;Carabaña;80.00;91.70;70.06;
Municipios;0360;Casarrubuelos;94.24;90.60;55.93;
Municipios;0376;Cenicientos;92.53;76.77;38.08;
Municipios;0382;Cercedilla;88.43;86.00;62.61;
Municipios;0395;Cervera de Buitrago;88.10;75.00;69.17;
Municipios;0513;Chapinería;83.28;87.03;44.05;
Municipios;0528;Chinchón;92.59;92.82;65.86;
Municipios;0409;Ciempozuelos;89.90;88.61;73.01;
Municipios;0416;Cobeña;78.76;81.88;51.79;
Municipios;0468;Collado Mediano;72.55;69.53;40.27;
Municipios;0474;Collado Villalba;80.74;81.66;48.69;
Municipios;0455;Colmenar Viejo;85.47;80.68;52.49;
Municipios;0437;Colmenar de Oreja;88.28;83.77;54.06;
Municipios;0421;Colmenar del Arroyo;84.31;81.78;66.81;
Municipios;0442;Colmenarejo;87.94;84.00;49.45;
Municipios;0480;Corpa;83.33;93.64;47.47;
Municipios;0493;Coslada;88.92;88.04;68.19;
Municipios;0506;Cubas de la Sagra;57.73;34.88;42.84;
Municipios;0534;Daganzo de Arriba;88.85;92.51;70.99;
Municipios;0549;Escorial (El);81.68;81.84;53.97;
Municipios;0552;Estremera;94.75;90.97;23.03;
Municipios;0565;Fresnedillas de la Oliva;91.15;90.83;57.25;
Municipios;0571;Fresno de Torote;86.87;80.30;62.90;
Municipios;0587;Fuenlabrada;85.36;87.53;59.02;
Municipios;0590;Fuente el Saz de Jarama;72.78;81.54;63.39;
Municipios;0604;Fuentidueña de Tajo;90.41;88.60;47.77;
Municipios;0611;Galapagar;79.42;75.61;46.88;
Municipios;0626;Garganta de los Montes;85.71;76.09;63.89;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;80.00;94.52;53.15;
Municipios;0647;Gascones;68.42;65.67;28.00;
Municipios;0650;Getafe;89.74;89.40;67.25;
Municipios;0663;Griñón;76.06;75.93;39.09;
Municipios;0679;Guadalix de la Sierra;61.96;86.42;68.22;
Municipios;0685;Guadarrama;82.71;83.42;58.90;
Municipios;0698;Hiruela (La);96.30;80.43;54.90;
Municipios;0702;Horcajo de la Sierra0Aoslos;94.55;68.00;50.67;
Municipios;0719;Horcajuelo de la Sierra;91.13;82.19;63.60;
Municipios;0724;Hoyo de Manzanares;80.39;79.79;64.98;
Municipios;0730;Humanes de Madrid;76.93;76.59;46.50;
Municipios;0745;Leganés;83.71;82.22;51.50;
Municipios;0758;Loeches;86.20;86.26;54.55;
Municipios;0761;Lozoya;97.37;96.34;79.70;
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;82.14;83.77;63.21;
Municipios;0783;Madarcos;82.22;74.46;43.43;
Municipios;0796;Madrid;80.70;79.40;54.76;
Municipios;0800;Majadahonda;76.07;77.54;46.85;
Municipios;0822;Manzanares el Real;84.34;81.30;61.92;
Municipios;0838;Meco;91.68;91.83;78.39;
Municipios;0843;Mejorada del Campo;80.04;80.69;52.17;
Municipios;0856;Miraflores de la Sierra;87.16;85.50;63.46;
Municipios;0869;Molar (El);82.55;79.40;39.87;
Municipios;0875;Molinos (Los);71.99;81.34;44.35;
Municipios;0881;Montejo de la Sierra;83.17;83.20;78.10;
Municipios;0894;Moraleja de Enmedio;94.98;75.69;43.77;
Municipios;0908;Moralzarzal;79.43;76.23;33.05;
Municipios;0915;Morata de Tajuña;87.11;83.85;51.44;
Municipios;0920;Móstoles;80.68;81.99;51.13;
Municipios;0936;Navacerrada;80.56;81.71;56.35;
Municipios;0941;Navalafuente;78.95;90.74;55.73;
Municipios;0954;Navalagamella;86.23;81.70;59.20;
Municipios;0967;Navalcarnero;85.10;83.01;43.42;
Municipios;0973;Navarredonda y San Mamés;81.67;83.87;69.05;
Municipios;0992;Navas del Rey;80.76;84.42;38.83;
Municipios;1006;Nuevo Baztán;72.43;60.96;33.23;
Municipios;1013;Olmeda de las Fuentes;71.15;59.09;59.09;
Municipios;1028;Orusco de Tajuña;80.00;77.63;72.16;
Municipios;1049;Paracuellos de Jarama;83.51;80.90;54.27;
Municipios;1065;Parla;80.62;82.98;62.23;
Municipios;1071;Patones;92.95;83.33;57.76;
Municipios;1087;Pedrezuela;74.31;65.87;42.73;
Municipios;1090;Pelayos de la Presa;84.37;79.47;47.78;
Municipios;1104;Perales de Tajuña;85.78;90.98;49.36;
Municipios;1111;Pezuela de las Torres;83.12;87.82;68.81;
Municipios;1126;Pinilla del Valle;80.95;80.49;64.10;
Municipios;1132;Pinto;89.62;88.76;64.09;
Municipios;1147;Piñuécar0Gandullas;69.23;96.30;90.48;
Municipios;1150;Pozuelo de Alarcón;77.89;74.80;55.84;
Municipios;1163;Pozuelo del Rey;77.22;75.00;42.86;
Municipios;1179;Prádena del Rincón;92.00;82.76;88.89;
Municipios;1185;Puebla de la Sierra;90.91;77.27;88.89;
Municipios;9020;Puentes Viejas;87.72;95.65;56.84;
Municipios;1198;Quijorna;90.24;82.47;71.02;
Municipios;1202;Rascafría;83.15;75.66;49.17;
Municipios;1219;Redueña;74.42;85.00;66.67;
Municipios;1224;Ribatejada;93.75;86.92;69.11;
Municipios;1230;Rivas0Vaciamadrid;79.90;80.57;51.51;
Municipios;1245;Robledillo de la Jara;100.00;61.54;87.50;
Municipios;1258;Robledo de Chavela;83.85;85.12;64.90;
Municipios;1261;Robregordo;93.75;100.00;81.82;
Municipios;1277;Rozas de Madrid (Las);80.51;74.50;42.91;
Municipios;1283;Rozas de Puerto Real;81.19;89.26;58.90;
Municipios;1296;San Agustín del Guadalix;79.31;80.32;66.18;
Municipios;1300;San Fernando de Henares;83.68;84.64;60.41;
Municipios;1317;San Lorenzo de El Escorial;86.18;82.51;66.09;
Municipios;1338;San Martín de Valdeiglesias;88.98;85.13;57.32;
Municipios;1322;San Martín de la Vega;81.55;84.86;59.15;
Municipios;1343;San Sebastián de los Reyes;86.56;85.75;64.31;
Municipios;1356;Santa María de la Alameda;87.91;81.03;50.45;
Municipios;1369;Santorcaz;80.65;92.16;41.98;
Municipios;1375;Santos de la Humosa (Los);75.61;69.81;38.36;
Municipios;1381;Serna del Monte (La);62.50;94.12;28.57;
Municipios;1408;Serranillos del Valle;77.52;79.75;49.84;
Municipios;1415;Sevilla la Nueva;80.67;81.58;48.27;
Municipios;1436;Somosierra;71.43;83.33;51.35;
Municipios;1441;Soto del Real;77.95;80.40;44.56;
Municipios;1454;Talamanca de Jarama;74.25;82.23;74.67;
Municipios;1467;Tielmes;82.85;90.82;71.18;
Municipios;1473;Titulcia;87.18;91.09;84.77;
Municipios;1489;Torrejón de Ardoz;85.72;86.16;60.69;
Municipios;1505;Torrejón de Velasco;84.05;74.94;33.24;
Municipios;1492;Torrejón de la Calzada;78.73;80.04;46.79;
Municipios;1512;Torrelaguna;90.73;84.72;72.25;
Municipios;1527;Torrelodones;79.70;77.10;55.78;
Municipios;1533;Torremocha de Jarama;86.43;88.68;79.23;
Municipios;1548;Torres de la Alameda;84.29;83.68;54.59;
Municipios;9036;Tres Cantos;82.44;84.57;64.05;
Municipios;1551;Valdaracete;91.38;89.74;67.53;
Municipios;1564;Valdeavero;77.03;70.59;43.56;
Municipios;1570;Valdelaguna;96.15;86.76;69.23;
Municipios;1586;Valdemanco;84.21;78.00;52.27;
Municipios;1599;Valdemaqueda;87.78;87.69;49.18;
Municipios;1603;Valdemorillo;78.02;83.16;44.12;
Municipios;1610;Valdemoro;86.75;91.03;61.78;
Municipios;1625;Valdeolmos0Alalpardo;90.28;92.87;81.30;
Municipios;1631;Valdepiélagos;72.73;83.82;68.83;
Municipios;1646;Valdetorres de Jarama;83.16;78.79;56.75;
Municipios;1659;Valdilecha;79.60;79.89;67.39;
Municipios;1662;Valverde de Alcalá;100.00;96.08;94.69;
Municipios;1678;Velilla de San Antonio;80.15;80.57;35.45;
