Serie;Codigo_municipio;Nombre;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;1826010;2395619;2450059;
Zonas Estadísticas;01;Municipio de Madrid ;1068332;1421726;1547251;
Zonas Estadísticas;02;Norte Metropolitano ;108858;146487;142297;
Zonas Estadísticas;03;Este Metropolitano  ;167576;207901;187663;
Zonas Estadísticas;04;Sur Metropolitano   ;271004;363184;322051;
Zonas Estadísticas;05;Oeste Metropolitano ;113666;136221;132339;
Zonas Estadísticas;06;Sierra Norte        ;10161;12077;14233;
Zonas Estadísticas;07;Nordeste Comunidad  ;15965;24161;21812;
Zonas Estadísticas;08;Sudeste Comunidad   ;19721;23810;20063;
Zonas Estadísticas;09;Sudoeste Comunidad  ;27878;31363;31046;
Zonas Estadísticas;10;Sierra Sur          ;4991;5431;6302;
Zonas Estadísticas;11;Sierra Central      ;17858;23258;25002;
Municipios;0014;Acebeda (La);1422;1920;3970;
Municipios;0029;Ajalvir;1802;2346;2512;
Municipios;0035;Alameda del Valle;166;255;339;
Municipios;0040;Alamo (El);1428;2119;1731;
Municipios;0053;Alcalá de Henares;55366;69689;57072;
Municipios;0066;Alcobendas;41128;53559;55019;
Municipios;0072;Alcorcón;40729;42710;40559;
Municipios;0088;Aldea del Fresno;461;554;793;
Municipios;0091;Algete;4345;6158;5004;
Municipios;0105;Alpedrete;1470;2094;2224;
Municipios;0112;Ambite;79;134;251;
Municipios;0127;Anchuelo;310;525;359;
Municipios;0133;Aranjuez;17024;37399;26240;
Municipios;0148;Arganda del Rey;12951;14974;14855;
Municipios;0151;Arroyomolinos;6009;7654;8803;
Municipios;0164;Atazar (El);184;88;129;
Municipios;0170;Batres;1580;2042;1099;
Municipios;0186;Becerril de la Sierra;423;666;899;
Municipios;0199;Belmonte de Tajo;1654;739;680;
Municipios;0210;Berrueco (El);422;325;444;
Municipios;0203;Berzosa del Lozoya;301;342;463;
Municipios;0225;Boadilla del Monte;12362;14876;14122;
Municipios;0231;Boalo (El);693;871;859;
Municipios;0246;Braojos;171;184;163;
