Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Agricultura. Contratos indefinidos registrados en las oficinas de empleo en agricultura. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;575;488;431;460;389;548;499;653;583;660;591;509;919;3579;3500;
Zonas Estadísticas;01;Municipio de Madrid ;275;199;209;162;121;150;150;186;164;203;190;134;279;1534;1603;
Zonas Estadísticas;02;Norte Metropolitano ;26;21;21;35;24;42;36;45;63;63;39;40;53;92;123;
Zonas Estadísticas;03;Este Metropolitano  ;29;14;18;21;8;12;15;26;16;21;21;15;26;79;144;
Zonas Estadísticas;04;Sur Metropolitano   ;60;95;53;48;60;50;53;65;75;58;61;56;98;497;260;
Zonas Estadísticas;05;Oeste Metropolitano ;45;23;20;60;41;69;91;134;81;98;81;85;161;157;139;
Zonas Estadísticas;06;Sierra Norte        ;21;21;11;20;20;29;28;36;34;52;31;24;41;49;37;
Zonas Estadísticas;07;Nordeste Comunidad  ;12;9;13;12;11;20;11;18;11;13;24;16;24;31;51;
Zonas Estadísticas;08;Sudeste Comunidad   ;56;48;20;36;30;51;31;56;45;54;59;41;104;710;715;
Zonas Estadísticas;09;Sudoeste Comunidad  ;22;16;25;36;30;42;42;37;54;62;43;63;83;296;317;
Zonas Estadísticas;10;Sierra Sur          ;7;14;16;3;22;46;18;26;17;19;20;14;22;93;65;
Zonas Estadísticas;11;Sierra Central      ;22;28;25;27;22;37;24;24;23;17;22;21;28;41;46;
Municipios;0014;Acebeda (La);0;1;0;0;0;1;1;1;3;0;0;0;0;20;4;
Municipios;0029;Ajalvir;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;
Municipios;0035;Alameda del Valle;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
