Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Agricultura. Contratos temporales registrados en las oficinas de empleo en agricultura. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;7266;8998;8088;6301;6616;8209;7495;9095;10042;10948;11593;8839;9725;4580;3335;
Zonas Estadísticas;01;Municipio de Madrid ;4204;5199;4684;3453;3719;4391;3911;5512;6124;6955;7210;4610;4866;2602;1478;
Zonas Estadísticas;02;Norte Metropolitano ;85;78;228;199;145;184;178;154;248;226;288;277;294;101;162;
Zonas Estadísticas;03;Este Metropolitano  ;248;296;292;210;206;256;208;175;191;264;221;275;260;150;79;
Zonas Estadísticas;04;Sur Metropolitano   ;609;843;800;750;693;748;742;739;801;821;1020;776;845;734;651;
Zonas Estadísticas;05;Oeste Metropolitano ;565;559;662;511;633;665;674;655;658;770;669;529;1010;311;195;
Zonas Estadísticas;06;Sierra Norte        ;192;182;138;83;52;157;179;226;242;244;247;233;220;53;15;
Zonas Estadísticas;07;Nordeste Comunidad  ;49;52;74;66;55;56;74;74;95;65;77;61;52;23;24;
Zonas Estadísticas;08;Sudeste Comunidad   ;706;858;739;599;666;1190;885;858;1106;1064;1281;1501;1583;400;483;
Zonas Estadísticas;09;Sudoeste Comunidad  ;302;680;280;277;263;385;454;469;388;353;380;325;330;101;70;
Zonas Estadísticas;10;Sierra Sur          ;66;45;48;62;113;77;113;140;93;99;119;169;142;61;126;
Zonas Estadísticas;11;Sierra Central      ;240;206;143;91;71;100;77;93;96;87;81;83;123;44;52;
Municipios;0014;Acebeda (La);1;2;0;0;0;5;16;2;3;1;26;3;18;18;0;
Municipios;0029;Ajalvir;1;7;1;2;1;0;0;0;0;2;0;0;0;0;0;
Municipios;0035;Alameda del Valle;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);21;21;28;1;5;4;21;14;4;7;40;0;0;4;3;
Municipios;0053;Alcalá de Henares;104;30;108;60;45;45;50;45;71;71;116;112;96;99;24;
Municipios;0066;Alcobendas;37;28;32;94;37;86;90;58;92;81;115;87;104;60;49;
Municipios;0072;Alcorcón;106;98;105;176;41;74;93;134;152;192;297;121;96;110;68;
Municipios;0088;Aldea del Fresno;18;8;12;6;7;31;75;66;61;46;47;16;16;20;19;
Municipios;0091;Algete;4;6;134;51;48;21;11;23;9;5;10;16;7;2;3;
Municipios;0105;Alpedrete;12;18;6;2;3;5;1;0;0;0;1;0;1;0;1;
Municipios;0112;Ambite;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;
Municipios;0127;Anchuelo;1;1;1;1;1;1;1;2;1;1;1;1;1;0;0;
Municipios;0133;Aranjuez;175;270;286;288;332;259;284;235;231;196;226;193;162;108;76;
