Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Construcción. Contratos temporales registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;169386;156459;132567;110917;102023;120329;129631;131576;140669;140686;125282;114341;113657;37451;19834;
Zonas Estadísticas;01;Municipio de Madrid ;97395;87616;71359;61908;58281;72295;76843;77307;83124;82595;68419;61695;63373;20854;11315;
Zonas Estadísticas;02;Norte Metropolitano ;7332;7046;5900;6042;5588;6583;6675;6299;6647;6335;6082;6110;5490;1782;813;
Zonas Estadísticas;03;Este Metropolitano  ;15507;16021;13673;10468;9293;10874;11722;12172;12632;13077;13911;12643;12037;4046;2173;
Zonas Estadísticas;04;Sur Metropolitano   ;29348;27399;25215;18804;16555;17284;19136;20867;21028;21598;20980;19292;18282;6248;3193;
Zonas Estadísticas;05;Oeste Metropolitano ;7178;6446;6163;5444;4831;5524;6973;6580;7757;7791;6914;6209;5904;1654;866;
Zonas Estadísticas;06;Sierra Norte        ;1032;855;828;645;668;519;757;639;734;672;542;549;576;234;93;
Zonas Estadísticas;07;Nordeste Comunidad  ;1580;1356;1230;1270;941;1165;1094;1355;1475;1193;1072;818;966;425;216;
Zonas Estadísticas;08;Sudeste Comunidad   ;2746;2939;2631;1750;1758;1878;1804;1735;1846;1633;1670;1580;1483;469;338;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3581;3328;2596;2163;1955;2108;2351;2512;2917;3066;3221;3217;3108;917;366;
Zonas Estadísticas;10;Sierra Sur          ;850;736;533;526;497;517;458;387;468;622;546;518;527;271;217;
Zonas Estadísticas;11;Sierra Central      ;2837;2717;2439;1897;1656;1582;1818;1723;2041;2104;1925;1710;1911;551;244;
Municipios;0014;Acebeda (La);70;49;37;33;59;27;38;69;134;138;65;41;50;10;4;
Municipios;0029;Ajalvir;136;128;77;108;146;195;130;140;124;178;163;133;167;79;45;
Municipios;0035;Alameda del Valle;12;26;24;3;24;6;4;9;11;2;4;4;3;2;0;
Municipios;0040;Alamo (El);118;175;138;88;62;90;74;88;117;207;174;142;91;24;19;
Municipios;0053;Alcalá de Henares;4312;4701;4038;2988;2552;2863;2835;2899;3321;3712;4030;3187;2860;976;696;
Municipios;0066;Alcobendas;1910;1660;1771;1669;1745;2266;2331;1935;2076;1962;1967;1840;1850;699;302;
Municipios;0072;Alcorcón;5426;3672;2543;2019;1857;1979;2321;2164;2428;2343;2425;1904;1865;617;393;
Municipios;0088;Aldea del Fresno;27;20;78;90;44;39;64;25;38;35;25;17;104;19;2;
Municipios;0091;Algete;474;614;586;624;591;566;471;629;589;380;381;269;436;157;74;
Municipios;0105;Alpedrete;283;190;134;147;113;122;127;139;150;147;146;100;113;59;28;
Municipios;0112;Ambite;14;5;11;0;7;2;7;6;2;4;1;1;7;1;1;
Municipios;0127;Anchuelo;28;21;19;24;36;80;29;48;37;9;26;8;7;4;0;
Municipios;0133;Aranjuez;1002;1341;757;578;554;756;944;801;922;951;1017;914;640;304;132;
Municipios;0148;Arganda del Rey;1796;1656;1696;1226;1512;1586;1820;1555;1942;2024;2393;2405;2348;1110;419;
