Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Servicios. Total contratos registrados en las oficinas de empleo en servicios. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1389316;1458994;1498865;1516950;1483659;1636287;1891846;2060784;2246853;2406924;2489828;1566516;2093144;2172070;1892303;
Zonas Estadísticas;01;Municipio de Madrid ;925945;959052;983090;1006712;967660;1082562;1245696;1366438;1493804;1605656;1662237;957047;1290804;1424129;1248173;
Zonas Estadísticas;02;Norte Metropolitano ;75824;88373;90201;89374;87877;92657;105755;112129;120685;127139;133076;91991;125477;121977;101857;
Zonas Estadísticas;03;Este Metropolitano  ;89310;102633;104641;97300;101749;103263;119491;144714;154846;162047;161157;127685;163971;147705;125958;
Zonas Estadísticas;04;Sur Metropolitano   ;156941;160121;162158;153821;152482;169870;196514;206580;233628;251370;262170;215692;299793;264301;224990;
Zonas Estadísticas;05;Oeste Metropolitano ;74729;83660;90904;104397;105838;119756;146061;147151;154375;166035;174315;103037;124627;122692;108613;
Zonas Estadísticas;06;Sierra Norte        ;8092;7424;10116;8901;8176;7770;10128;10709;11419;10792;12914;8859;10467;10947;10167;
Zonas Estadísticas;07;Nordeste Comunidad  ;10077;11093;10307;11356;12193;11170;10938;10152;10935;11343;11828;10487;15759;14717;14668;
Zonas Estadísticas;08;Sudeste Comunidad   ;17342;14185;11638;10912;11867;10032;11890;12345;11778;13227;13361;10783;13215;13254;12616;
Zonas Estadísticas;09;Sudoeste Comunidad  ;13549;14735;16827;14761;16277;17152;21174;26239;27194;29213;29975;21986;24625;24889;22221;
Zonas Estadísticas;10;Sierra Sur          ;3012;3238;3669;3265;3485;3380;3954;4048;4904;5124;5485;3817;4314;5152;4014;
Zonas Estadísticas;11;Sierra Central      ;14495;14480;15314;16151;16055;18675;20245;20279;23285;24978;23310;15132;20092;22307;19026;
Municipios;0014;Acebeda (La);556;516;533;482;368;936;996;790;1064;1559;2434;1366;1829;1986;1719;
Municipios;0029;Ajalvir;1057;999;1366;873;960;1184;1303;1296;1442;1425;1432;1308;1624;1677;1436;
Municipios;0035;Alameda del Valle;143;122;1368;1566;350;152;115;117;169;176;260;159;243;323;234;
Municipios;0040;Alamo (El);642;576;1545;542;1652;839;2850;3019;1951;1690;2362;1212;1922;1568;1084;
Municipios;0053;Alcalá de Henares;32737;36735;33784;31896;36775;37921;42997;47173;50866;53610;55554;42096;54959;43363;39300;
Municipios;0066;Alcobendas;28690;33301;35745;38213;36375;42572;48063;50508;50882;53965;53948;35119;46043;48358;41727;
Municipios;0072;Alcorcón;23774;23042;23860;22675;22724;26831;32709;35982;41220;48563;48161;35826;37799;35641;30396;
Municipios;0088;Aldea del Fresno;192;168;206;243;192;291;237;320;416;1678;534;420;406;552;513;
Municipios;0091;Algete;2585;2911;2941;3309;2137;2724;3496;3384;6152;6867;4553;3327;4890;3720;2994;
Municipios;0105;Alpedrete;1164;1038;926;1101;940;1054;1215;1478;1657;1475;1634;1286;1858;2007;1882;
Municipios;0112;Ambite;87;151;113;78;80;64;95;108;149;136;95;77;121;241;121;
Municipios;0127;Anchuelo;141;83;84;110;167;65;62;154;155;360;365;143;316;329;455;
Municipios;0133;Aranjuez;8347;8872;9648;8265;7222;8648;10380;11365;13711;16146;16284;12471;31893;21074;16434;
Municipios;0148;Arganda del Rey;8147;9277;9696;8659;9599;7847;8668;8732;9887;10111;10454;7360;9144;9189;9247;
Municipios;0151;Arroyomolinos;3912;4518;4476;4017;3811;4878;5126;5121;6304;6927;6830;4876;6512;7833;6132;
Municipios;0164;Atazar (El);97;53;152;63;170;55;51;68;113;112;104;165;81;113;169;
Municipios;0170;Batres;91;117;74;56;77;207;224;528;336;585;1319;1555;2013;1072;270;
Municipios;0186;Becerril de la Sierra;251;259;365;380;355;418;527;535;556;646;585;359;573;816;639;
