Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Contratos temporales registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadística de Contratos Registrados. Ministerio de Trabajo y Economía Social.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;2004044;2115445;2058842;1752425;1398104;1462816;1492437;1376751;1413090;1589226;1824064;1969036;2130952;2241188;2330263;1502518;1946889;1374431;
Zonas Estadísticas;01;Municipio de Madrid ;1266508;1347723;1308207;1138295;904466;931508;949243;888781;900007;1015116;1151534;1247814;1354354;1430868;1486191;862118;1128857;847350;
Zonas Estadísticas;02;Norte Metropolitano ;110985;105773;104074;95912;73384;85670;87951;80810;83780;91322;103129;107218;114948;116477;121577;88225;117465;81563;
Zonas Estadísticas;03;Este Metropolitano  ;187040;184562;174129;130508;99718;113519;113973;99447;105639;117179;136532;162013;173559;178244;181646;145047;179260;114341;
Zonas Estadísticas;04;Sur Metropolitano   ;274120;289509;283222;220769;175448;179033;179886;157437;156914;181883;213766;225550;249727;265982;280501;235640;317540;199311;
Zonas Estadísticas;05;Oeste Metropolitano ;76264;85691;84546;79037;68671;77536;84724;80734;93057;105613;130553;130081;134760;143346;151561;88854;103229;64135;
Zonas Estadísticas;06;Sierra Norte        ;15406;13015;15549;12423;8632;7706;10439;8918;8190;7635;10023;10657;11219;10215;11386;8212;9941;8946;
Zonas Estadísticas;07;Nordeste Comunidad  ;12613;13517;14471;14147;12146;12942;11921;12883;13482;13282;13608;14473;16020;16574;17698;14244;21852;15693;
Zonas Estadísticas;08;Sudeste Comunidad   ;20963;29951;29081;22234;20224;17977;15237;13787;15167;16748;18178;19237;19635;19772;20216;17471;20497;11507;
Zonas Estadísticas;09;Sudoeste Comunidad  ;17667;19471;21409;17674;16146;17383;18573;15746;17183;18690;22683;28192;28842;30361;31260;23870;24893;14763;
Zonas Estadísticas;10;Sierra Sur          ;3938;4749;5111;4970;3663;3826;4067;3511;3862;3723;4313;4339;5477;5502;5928;4323;4548;3471;
Zonas Estadísticas;11;Sierra Central      ;18540;21484;19043;16456;15606;15716;16423;14697;15809;18035;19745;19462;22411;23847;22299;14514;18807;13351;
Municipios;0014;Acebeda (La);2448;1426;1024;648;543;451;453;425;363;882;849;741;906;1445;2145;1181;1668;2984;
Municipios;0029;Ajalvir;1533;1823;1845;1739;1313;1207;1549;1279;1449;1720;1953;2010;2262;2220;2042;1422;1826;1275;
Municipios;0035;Alameda del Valle;262;275;362;173;139;127;1376;1550;356;146;100;114;152;138;230;137;206;177;
