Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;782645;812756;
Zonas Estadísticas;01;Municipio de Madrid ;513823;526083;
Zonas Estadísticas;02;Norte Metropolitano ;30092;32226;
Zonas Estadísticas;03;Este Metropolitano  ;48709;51613;
Zonas Estadísticas;04;Sur Metropolitano   ;105522;109948;
Zonas Estadísticas;05;Oeste Metropolitano ;43932;47498;
Zonas Estadísticas;06;Sierra Norte        ;4353;6159;
Zonas Estadísticas;07;Nordeste Comunidad  ;2947;3407;
Zonas Estadísticas;08;Sudeste Comunidad   ;6714;7534;
Zonas Estadísticas;09;Sudoeste Comunidad  ;9430;10168;
Zonas Estadísticas;10;Sierra Sur          ;3203;3668;
Zonas Estadísticas;11;Sierra Central      ;13920;14452;
Municipios;0014;Acebeda (La);32;53;
Municipios;0029;Ajalvir;247;278;
Municipios;0035;Alameda del Valle;39;96;
Municipios;0040;Alamo (El);687;766;
Municipios;0053;Alcalá de Henares;19037;19322;
Municipios;0066;Alcobendas;12404;13596;
Municipios;0072;Alcorcón;14145;14679;
Municipios;0088;Aldea del Fresno;240;225;
Municipios;0091;Algete;1047;1166;
Municipios;0105;Alpedrete;810;781;
Municipios;0112;Ambite;41;86;
Municipios;0127;Anchuelo;99;110;
Municipios;0133;Aranjuez;6065;6232;
Municipios;0148;Arganda del Rey;4844;4804;
Municipios;0151;Arroyomolinos;1608;1718;
Municipios;0164;Atazar (El);27;49;
Municipios;0170;Batres;126;122;
Municipios;0186;Becerril de la Sierra;228;237;
Municipios;0199;Belmonte de Tajo;114;158;
Municipios;0210;Berrueco (El);75;84;
Municipios;0203;Berzosa del Lozoya;18;66;
Municipios;0225;Boadilla del Monte;4313;4433;
Municipios;0231;Boalo (El);587;676;
Municipios;0246;Braojos;33;58;
Municipios;0259;Brea de Tajo;131;123;
Municipios;0262;Brunete;647;674;
Municipios;0278;Buitrago del Lozoya;741;833;
Municipios;0284;Bustarviejo;105;157;
Municipios;0297;Cabanillas de la Sierra;67;105;
Municipios;0301;Cabrera (La);289;334;
Municipios;0318;Cadalso de los Vidrios;263;266;
Municipios;0323;Camarma de Esteruelas;229;240;
Municipios;0339;Campo Real;303;304;
Municipios;0344;Canencia;39;64;
Municipios;0357;Carabaña;171;178;
Municipios;0360;Casarrubuelos;222;255;
Municipios;0376;Cenicientos;165;176;
Municipios;0382;Cercedilla;827;839;
Municipios;0395;Cervera de Buitrago;18;59;
Municipios;0513;Chapinería;184;227;
Municipios;0528;Chinchón;303;355;
Municipios;0409;Ciempozuelos;2517;2609;
Municipios;0416;Cobeña;473;511;
Municipios;0468;Collado Mediano;462;490;
Municipios;0474;Collado Villalba;4535;4664;
Municipios;0455;Colmenar Viejo;6167;6371;
Municipios;0437;Colmenar de Oreja;348;340;
Municipios;0421;Colmenar del Arroyo;76;124;
Municipios;0442;Colmenarejo;1228;1302;
Municipios;0480;Corpa;49;60;
Municipios;0493;Coslada;7657;8624;
Municipios;0506;Cubas de la Sagra;444;461;
Municipios;0534;Daganzo de Arriba;378;416;
Municipios;0549;Escorial (El);1559;1351;
Municipios;0552;Estremera;923;955;
Municipios;0565;Fresnedillas de la Oliva;107;160;
Municipios;0571;Fresno de Torote;112;136;
Municipios;0587;Fuenlabrada;12502;12983;
Municipios;0590;Fuente el Saz de Jarama;267;306;
Municipios;0604;Fuentidueña de Tajo;131;130;
Municipios;0611;Galapagar;1770;1764;
Municipios;0626;Garganta de los Montes;36;93;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;42;104;
Municipios;0647;Gascones;30;52;
Municipios;0650;Getafe;14047;14412;
Municipios;0663;Griñón;898;946;
Municipios;0679;Guadalix de la Sierra;423;447;
Municipios;0685;Guadarrama;1309;1409;
Municipios;0698;Hiruela (La);29;54;
Municipios;0702;Horcajo de la Sierra-Aoslos;34;95;
Municipios;0719;Horcajuelo de la Sierra;35;59;
Municipios;0724;Hoyo de Manzanares;470;529;
Municipios;0730;Humanes de Madrid;1154;1234;
Municipios;0745;Leganés;13967;14062;
Municipios;0758;Loeches;383;429;
Municipios;0761;Lozoya;65;104;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;157;239;
Municipios;0783;Madarcos;28;51;
Municipios;0796;Madrid;513823;526083;
Municipios;0800;Majadahonda;6432;6818;
Municipios;0822;Manzanares el Real;420;433;
Municipios;0838;Meco;636;701;
Municipios;0843;Mejorada del Campo;875;905;
Municipios;0856;Miraflores de la Sierra;289;335;
Municipios;0869;Molar (El);387;410;
Municipios;0875;Molinos (Los);269;276;
Municipios;0881;Montejo de la Sierra;125;134;
Municipios;0894;Moraleja de Enmedio;269;316;
Municipios;0908;Moralzarzal;964;970;
Municipios;0915;Morata de Tajuña;359;381;
Municipios;0920;Móstoles;14527;14823;
Municipios;0936;Navacerrada;107;150;
Municipios;0941;Navalafuente;63;99;
Municipios;0954;Navalagamella;146;165;
Municipios;0967;Navalcarnero;2399;2500;
Municipios;0973;Navarredonda y San Mamés;28;87;
Municipios;0992;Navas del Rey;187;220;
Municipios;1006;Nuevo Baztán;249;287;
Municipios;1013;Olmeda de las Fuentes;21;61;
Municipios;1028;Orusco de Tajuña;182;199;
Municipios;1049;Paracuellos de Jarama;1453;1606;
Municipios;1065;Parla;6193;6397;
Municipios;1071;Patones;75;98;
Municipios;1087;Pedrezuela;343;372;
Municipios;1090;Pelayos de la Presa;220;237;
Municipios;1104;Perales de Tajuña;140;129;
Municipios;1111;Pezuela de las Torres;53;62;
Municipios;1126;Pinilla del Valle;16;53;
Municipios;1132;Pinto;3964;4029;
Municipios;1147;Piñuécar-Gandullas;32;90;
Municipios;1150;Pozuelo de Alarcón;10307;11377;
Municipios;1163;Pozuelo del Rey;20;64;
Municipios;1179;Prádena del Rincón;33;55;
Municipios;1185;Puebla de la Sierra;16;51;
Municipios;9020;Puentes Viejas;96;182;
Municipios;1198;Quijorna;156;212;
Municipios;1202;Rascafría;107;146;
Municipios;1219;Redueña;18;57;
Municipios;1224;Ribatejada;101;121;
Municipios;1230;Rivas-Vaciamadrid;4352;4519;
Municipios;1245;Robledillo de la Jara;24;58;
Municipios;1258;Robledo de Chavela;276;286;
Municipios;1261;Robregordo;31;51;
Municipios;1277;Rozas de Madrid (Las);7053;8243;
Municipios;1283;Rozas de Puerto Real;234;273;
Municipios;1296;San Agustín del Guadalix;613;697;
Municipios;1300;San Fernando de Henares;1522;1750;
Municipios;1317;San Lorenzo de El Escorial;1828;2121;
Municipios;1338;San Martín de Valdeiglesias;1061;1069;
Municipios;1322;San Martín de la Vega;932;985;
Municipios;1343;San Sebastián de los Reyes;6012;6313;
Municipios;1356;Santa María de la Alameda;89;204;
Municipios;1369;Santorcaz;64;106;
Municipios;1375;Santos de la Humosa (Los);106;116;
Municipios;1381;Serna del Monte (La);8;44;
Municipios;1408;Serranillos del Valle;340;395;
Municipios;1415;Sevilla la Nueva;561;647;
Municipios;1436;Somosierra;12;51;
Municipios;1441;Soto del Real;1337;1426;
Municipios;1454;Talamanca de Jarama;211;253;
Municipios;1467;Tielmes;117;157;
Municipios;1473;Titulcia;81;144;
Municipios;1489;Torrejón de Ardoz;8264;9304;
Municipios;1505;Torrejón de Velasco;212;223;
Municipios;1492;Torrejón de la Calzada;538;567;
Municipios;1512;Torrelaguna;426;509;
Municipios;1527;Torrelodones;2041;2097;
Municipios;1533;Torremocha de Jarama;144;193;
Municipios;1548;Torres de la Alameda;499;500;
Municipios;9036;Tres Cantos;3376;3572;
Municipios;1551;Valdaracete;57;96;
Municipios;1564;Valdeavero;91;109;
Municipios;1570;Valdelaguna;75;79;
Municipios;1586;Valdemanco;24;66;
Municipios;1599;Valdemaqueda;38;66;
Municipios;1603;Valdemorillo;561;666;
Municipios;1610;Valdemoro;15509;17503;
Municipios;1625;Valdeolmos-Alalpardo;336;425;
Municipios;1631;Valdepiélagos;40;63;
Municipios;1646;Valdetorres de Jarama;159;227;
Municipios;1659;Valdilecha;127;121;
Municipios;1662;Valverde de Alcalá;41;61;
Municipios;1678;Velilla de San Antonio;458;501;
Municipios;1684;Vellón (El);117;202;
Municipios;1697;Venturada;213;244;
Municipios;1718;Villa del Prado;287;268;
Municipios;1701;Villaconejos;212;259;
Municipios;1723;Villalbilla;802;912;
Municipios;1739;Villamanrique de Tajo;26;58;
Municipios;1744;Villamanta;229;280;
Municipios;1757;Villamantilla;133;149;
Municipios;1782;Villanueva de Perales;81;118;
Municipios;1760;Villanueva de la Cañada;3191;3428;
Municipios;1776;Villanueva del Pardillo;1135;990;
Municipios;1795;Villar del Olmo;46;87;
Municipios;1809;Villarejo de Salvanés;441;427;
Municipios;1816;Villaviciosa de Odón;3173;3471;
Municipios;1821;Villavieja del Lozoya;40;61;
Municipios;1837;Zarzalejo;157;195;
