Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;9131;9160;
Zonas Estadísticas;01;Municipio de Madrid ;3175;3177;
Zonas Estadísticas;02;Norte Metropolitano ;628;623;
Zonas Estadísticas;03;Este Metropolitano  ;397;390;
Zonas Estadísticas;04;Sur Metropolitano   ;1441;1745;
Zonas Estadísticas;05;Oeste Metropolitano ;894;658;
Zonas Estadísticas;06;Sierra Norte        ;298;286;
Zonas Estadísticas;07;Nordeste Comunidad  ;230;224;
Zonas Estadísticas;08;Sudeste Comunidad   ;943;933;
Zonas Estadísticas;09;Sudoeste Comunidad  ;522;535;
Zonas Estadísticas;10;Sierra Sur          ;273;265;
Zonas Estadísticas;11;Sierra Central      ;330;324;
Municipios;0014;Acebeda (La);0;0;
Municipios;0029;Ajalvir;18;17;
Municipios;0035;Alameda del Valle;5;3;
Municipios;0040;Alamo (El);21;17;
Municipios;0053;Alcalá de Henares;77;73;
Municipios;0066;Alcobendas;113;120;
Municipios;0072;Alcorcón;733;1033;
Municipios;0088;Aldea del Fresno;37;40;
Municipios;0091;Algete;45;50;
Municipios;0105;Alpedrete;11;13;
Municipios;0112;Ambite;9;9;
Municipios;0127;Anchuelo;8;6;
Municipios;0133;Aranjuez;158;160;
Municipios;0148;Arganda del Rey;94;93;
Municipios;0151;Arroyomolinos;12;9;
Municipios;0164;Atazar (El);0;0;
Municipios;0170;Batres;2;3;
Municipios;0186;Becerril de la Sierra;10;9;
Municipios;0199;Belmonte de Tajo;8;10;
Municipios;0210;Berrueco (El);0;0;
Municipios;0203;Berzosa del Lozoya;0;0;
Municipios;0225;Boadilla del Monte;222;63;
Municipios;0231;Boalo (El);29;27;
Municipios;0246;Braojos;4;4;
Municipios;0259;Brea de Tajo;22;26;
Municipios;0262;Brunete;29;29;
Municipios;0278;Buitrago del Lozoya;8;7;
Municipios;0284;Bustarviejo;14;11;
Municipios;0297;Cabanillas de la Sierra;6;6;
Municipios;0301;Cabrera (La);7;4;
Municipios;0318;Cadalso de los Vidrios;41;36;
Municipios;0323;Camarma de Esteruelas;9;6;
Municipios;0339;Campo Real;19;24;
Municipios;0344;Canencia;8;7;
Municipios;0357;Carabaña;15;16;
Municipios;0360;Casarrubuelos;2;2;
Municipios;0376;Cenicientos;29;28;
Municipios;0382;Cercedilla;9;11;
Municipios;0395;Cervera de Buitrago;0;0;
Municipios;0513;Chapinería;4;4;
Municipios;0528;Chinchón;175;167;
Municipios;0409;Ciempozuelos;50;43;
Municipios;0416;Cobeña;21;22;
Municipios;0468;Collado Mediano;4;4;
Municipios;0474;Collado Villalba;74;66;
Municipios;0455;Colmenar Viejo;168;158;
Municipios;0437;Colmenar de Oreja;86;87;
Municipios;0421;Colmenar del Arroyo;18;18;
Municipios;0442;Colmenarejo;11;8;
Municipios;0480;Corpa;2;3;
Municipios;0493;Coslada;29;25;
Municipios;0506;Cubas de la Sagra;6;9;
Municipios;0534;Daganzo de Arriba;20;21;
Municipios;0549;Escorial (El);34;33;
Municipios;0552;Estremera;45;46;
Municipios;0565;Fresnedillas de la Oliva;6;5;
Municipios;0571;Fresno de Torote;8;6;
Municipios;0587;Fuenlabrada;125;128;
Municipios;0590;Fuente el Saz de Jarama;33;26;
Municipios;0604;Fuentidueña de Tajo;71;60;
Municipios;0611;Galapagar;50;45;
Municipios;0626;Garganta de los Montes;9;8;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4;4;
Municipios;0647;Gascones;8;8;
Municipios;0650;Getafe;68;67;
Municipios;0663;Griñón;21;40;
Municipios;0679;Guadalix de la Sierra;48;56;
Municipios;0685;Guadarrama;29;27;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;7;6;
Municipios;0719;Horcajuelo de la Sierra;3;3;
Municipios;0724;Hoyo de Manzanares;10;9;
Municipios;0730;Humanes de Madrid;22;24;
Municipios;0745;Leganés;57;49;
Municipios;0758;Loeches;8;9;
Municipios;0761;Lozoya;4;4;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;7;7;
Municipios;0783;Madarcos;3;1;
Municipios;0796;Madrid;3175;3177;
Municipios;0800;Majadahonda;60;68;
Municipios;0822;Manzanares el Real;24;19;
Municipios;0838;Meco;39;41;
Municipios;0843;Mejorada del Campo;9;5;
Municipios;0856;Miraflores de la Sierra;22;21;
Municipios;0869;Molar (El);24;27;
Municipios;0875;Molinos (Los);11;10;
Municipios;0881;Montejo de la Sierra;7;5;
Municipios;0894;Moraleja de Enmedio;11;11;
Municipios;0908;Moralzarzal;32;33;
Municipios;0915;Morata de Tajuña;73;70;
Municipios;0920;Móstoles;48;51;
Municipios;0936;Navacerrada;0;0;
Municipios;0941;Navalafuente;10;9;
Municipios;0954;Navalagamella;15;14;
Municipios;0967;Navalcarnero;69;70;
Municipios;0973;Navarredonda y San Mamés;3;3;
Municipios;0992;Navas del Rey;9;8;
Municipios;1006;Nuevo Baztán;7;7;
Municipios;1013;Olmeda de las Fuentes;7;7;
Municipios;1028;Orusco de Tajuña;3;4;
Municipios;1049;Paracuellos de Jarama;21;24;
Municipios;1065;Parla;48;45;
Municipios;1071;Patones;4;4;
Municipios;1087;Pedrezuela;17;13;
Municipios;1090;Pelayos de la Presa;5;1;
Municipios;1104;Perales de Tajuña;14;13;
Municipios;1111;Pezuela de las Torres;19;21;
Municipios;1126;Pinilla del Valle;1;1;
Municipios;1132;Pinto;31;30;
Municipios;1147;Piñuécar-Gandullas;5;6;
Municipios;1150;Pozuelo de Alarcón;128;131;
Municipios;1163;Pozuelo del Rey;9;11;
Municipios;1179;Prádena del Rincón;6;5;
Municipios;1185;Puebla de la Sierra;1;1;
Municipios;9020;Puentes Viejas;5;5;
Municipios;1198;Quijorna;13;14;
Municipios;1202;Rascafría;30;34;
Municipios;1219;Redueña;3;2;
Municipios;1224;Ribatejada;5;6;
Municipios;1230;Rivas-Vaciamadrid;39;34;
Municipios;1245;Robledillo de la Jara;0;0;
Municipios;1258;Robledo de Chavela;68;71;
Municipios;1261;Robregordo;0;0;
Municipios;1277;Rozas de Madrid (Las);232;153;
Municipios;1283;Rozas de Puerto Real;10;10;
Municipios;1296;San Agustín del Guadalix;16;12;
Municipios;1300;San Fernando de Henares;15;14;
Municipios;1317;San Lorenzo de El Escorial;47;53;
Municipios;1338;San Martín de Valdeiglesias;26;23;
Municipios;1322;San Martín de la Vega;68;78;
Municipios;1343;San Sebastián de los Reyes;179;186;
Municipios;1356;Santa María de la Alameda;20;24;
Municipios;1369;Santorcaz;7;7;
Municipios;1375;Santos de la Humosa (Los);11;12;
Municipios;1381;Serna del Monte (La);5;4;
Municipios;1408;Serranillos del Valle;5;6;
Municipios;1415;Sevilla la Nueva;10;11;
Municipios;1436;Somosierra;3;3;
Municipios;1441;Soto del Real;13;14;
Municipios;1454;Talamanca de Jarama;17;17;
Municipios;1467;Tielmes;24;24;
Municipios;1473;Titulcia;9;7;
Municipios;1489;Torrejón de Ardoz;86;97;
Municipios;1505;Torrejón de Velasco;35;36;
Municipios;1492;Torrejón de la Calzada;10;10;
Municipios;1512;Torrelaguna;20;19;
Municipios;1527;Torrelodones;10;17;
Municipios;1533;Torremocha de Jarama;11;11;
Municipios;1548;Torres de la Alameda;18;20;
Municipios;9036;Tres Cantos;86;75;
Municipios;1551;Valdaracete;35;31;
Municipios;1564;Valdeavero;24;25;
Municipios;1570;Valdelaguna;6;6;
Municipios;1586;Valdemanco;0;0;
Municipios;1599;Valdemaqueda;8;9;
Municipios;1603;Valdemorillo;28;29;
Municipios;1610;Valdemoro;33;37;
Municipios;1625;Valdeolmos-Alalpardo;15;13;
Municipios;1631;Valdepiélagos;6;5;
Municipios;1646;Valdetorres de Jarama;30;31;
Municipios;1659;Valdilecha;34;33;
Municipios;1662;Valverde de Alcalá;4;5;
Municipios;1678;Velilla de San Antonio;9;8;
Municipios;1684;Vellón (El);15;15;
Municipios;1697;Venturada;4;4;
Municipios;1718;Villa del Prado;209;202;
Municipios;1701;Villaconejos;82;81;
Municipios;1723;Villalbilla;9;8;
Municipios;1739;Villamanrique de Tajo;23;21;
Municipios;1744;Villamanta;43;39;
Municipios;1757;Villamantilla;6;4;
Municipios;1782;Villanueva de Perales;10;12;
Municipios;1760;Villanueva de la Cañada;31;35;
Municipios;1776;Villanueva del Pardillo;16;13;
Municipios;1795;Villar del Olmo;6;4;
Municipios;1809;Villarejo de Salvanés;75;78;
Municipios;1816;Villaviciosa de Odón;48;42;
Municipios;1821;Villavieja del Lozoya;3;3;
Municipios;1837;Zarzalejo;14;14;
