Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;89671;92550;
Zonas Estadísticas;01;Municipio de Madrid ;25321;25316;
Zonas Estadísticas;02;Norte Metropolitano ;11918;12632;
Zonas Estadísticas;03;Este Metropolitano  ;18709;20002;
Zonas Estadísticas;04;Sur Metropolitano   ;25414;26108;
Zonas Estadísticas;05;Oeste Metropolitano ;1670;1800;
Zonas Estadísticas;06;Sierra Norte        ;129;133;
Zonas Estadísticas;07;Nordeste Comunidad  ;1496;1472;
Zonas Estadísticas;08;Sudeste Comunidad   ;2365;2511;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2048;2019;
Zonas Estadísticas;10;Sierra Sur          ;75;77;
Zonas Estadísticas;11;Sierra Central      ;526;480;
Municipios;0014;Acebeda (La);0;0;
Municipios;0029;Ajalvir;1312;1170;
Municipios;0035;Alameda del Valle;0;0;
Municipios;0040;Alamo (El);56;54;
Municipios;0053;Alcalá de Henares;5224;5761;
Municipios;0066;Alcobendas;3739;3878;
Municipios;0072;Alcorcón;1817;1840;
Municipios;0088;Aldea del Fresno;1;0;
Municipios;0091;Algete;553;542;
Municipios;0105;Alpedrete;60;70;
Municipios;0112;Ambite;1;2;
Municipios;0127;Anchuelo;4;3;
Municipios;0133;Aranjuez;601;571;
Municipios;0148;Arganda del Rey;3701;3654;
Municipios;0151;Arroyomolinos;117;110;
Municipios;0164;Atazar (El);0;0;
Municipios;0170;Batres;1;1;
Municipios;0186;Becerril de la Sierra;7;8;
Municipios;0199;Belmonte de Tajo;1;0;
Municipios;0210;Berrueco (El);1;1;
Municipios;0203;Berzosa del Lozoya;0;0;
Municipios;0225;Boadilla del Monte;176;164;
Municipios;0231;Boalo (El);57;59;
Municipios;0246;Braojos;0;0;
Municipios;0259;Brea de Tajo;0;0;
Municipios;0262;Brunete;57;73;
Municipios;0278;Buitrago del Lozoya;0;1;
Municipios;0284;Bustarviejo;3;3;
Municipios;0297;Cabanillas de la Sierra;1;1;
Municipios;0301;Cabrera (La);2;2;
Municipios;0318;Cadalso de los Vidrios;6;7;
Municipios;0323;Camarma de Esteruelas;484;519;
Municipios;0339;Campo Real;240;246;
Municipios;0344;Canencia;2;2;
Municipios;0357;Carabaña;17;30;
Municipios;0360;Casarrubuelos;158;180;
