Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;983141;1033915;
Zonas Estadísticas;01;Municipio de Madrid ;688718;730895;
Zonas Estadísticas;02;Norte Metropolitano ;74658;77566;
Zonas Estadísticas;03;Este Metropolitano  ;49411;49782;
Zonas Estadísticas;04;Sur Metropolitano   ;64301;65017;
Zonas Estadísticas;05;Oeste Metropolitano ;84605;88659;
Zonas Estadísticas;06;Sierra Norte        ;1804;1656;
Zonas Estadísticas;07;Nordeste Comunidad  ;2616;2476;
Zonas Estadísticas;08;Sudeste Comunidad   ;2363;2437;
Zonas Estadísticas;09;Sudoeste Comunidad  ;7087;7785;
Zonas Estadísticas;10;Sierra Sur          ;1354;1203;
Zonas Estadísticas;11;Sierra Central      ;6224;6439;
Municipios;0014;Acebeda (La);6;7;
Municipios;0029;Ajalvir;1022;1139;
Municipios;0035;Alameda del Valle;11;11;
Municipios;0040;Alamo (El);358;358;
Municipios;0053;Alcalá de Henares;14792;14852;
Municipios;0066;Alcobendas;39601;41908;
Municipios;0072;Alcorcón;15376;15849;
Municipios;0088;Aldea del Fresno;44;42;
Municipios;0091;Algete;1261;1298;
Municipios;0105;Alpedrete;585;596;
Municipios;0112;Ambite;9;15;
Municipios;0127;Anchuelo;17;19;
Municipios;0133;Aranjuez;2739;2490;
Municipios;0148;Arganda del Rey;4557;5053;
Municipios;0151;Arroyomolinos;1416;1536;
Municipios;0164;Atazar (El);1;0;
Municipios;0170;Batres;64;69;
Municipios;0186;Becerril de la Sierra;178;187;
Municipios;0199;Belmonte de Tajo;14;14;
Municipios;0210;Berrueco (El);8;11;
Municipios;0203;Berzosa del Lozoya;3;3;
Municipios;0225;Boadilla del Monte;7947;9183;
Municipios;0231;Boalo (El);223;222;
Municipios;0246;Braojos;290;193;
Municipios;0259;Brea de Tajo;4;4;
Municipios;0262;Brunete;618;637;
Municipios;0278;Buitrago del Lozoya;52;57;
Municipios;0284;Bustarviejo;85;89;
Municipios;0297;Cabanillas de la Sierra;13;21;
Municipios;0301;Cabrera (La);43;52;
Municipios;0318;Cadalso de los Vidrios;37;41;
Municipios;0323;Camarma de Esteruelas;255;232;
Municipios;0339;Campo Real;176;187;
Municipios;0344;Canencia;5;7;
Municipios;0357;Carabaña;11;14;
Municipios;0360;Casarrubuelos;88;111;
Municipios;0376;Cenicientos;11;11;
Municipios;0382;Cercedilla;186;221;
Municipios;0395;Cervera de Buitrago;2;2;
Municipios;0513;Chapinería;43;48;
Municipios;0528;Chinchón;92;97;
Municipios;0409;Ciempozuelos;926;761;
Municipios;0416;Cobeña;219;240;
Municipios;0468;Collado Mediano;271;291;
Municipios;0474;Collado Villalba;2787;2912;
Municipios;0455;Colmenar Viejo;1533;1605;
Municipios;0437;Colmenar de Oreja;121;116;
Municipios;0421;Colmenar del Arroyo;700;508;
Municipios;0442;Colmenarejo;469;415;
Municipios;0480;Corpa;10;11;
Municipios;0493;Coslada;6852;6640;
Municipios;0506;Cubas de la Sagra;105;96;
Municipios;0534;Daganzo de Arriba;523;540;
Municipios;0549;Escorial (El);536;524;
Municipios;0552;Estremera;64;43;
Municipios;0565;Fresnedillas de la Oliva;27;22;
Municipios;0571;Fresno de Torote;35;32;
Municipios;0587;Fuenlabrada;7428;7208;
Municipios;0590;Fuente el Saz de Jarama;367;360;
Municipios;0604;Fuentidueña de Tajo;39;14;
Municipios;0611;Galapagar;1137;1207;
Municipios;0626;Garganta de los Montes;7;7;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;5;
Municipios;0647;Gascones;1;1;
Municipios;0650;Getafe;14683;14491;
Municipios;0663;Griñón;632;684;
Municipios;0679;Guadalix de la Sierra;224;185;
Municipios;0685;Guadarrama;493;511;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;3;3;
Municipios;0719;Horcajuelo de la Sierra;0;0;
Municipios;0724;Hoyo de Manzanares;489;510;
Municipios;0730;Humanes de Madrid;1196;1181;
Municipios;0745;Leganés;7587;7963;
Municipios;0758;Loeches;354;399;
Municipios;0761;Lozoya;4;5;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;61;64;
Municipios;0783;Madarcos;1;0;
Municipios;0796;Madrid;688718;730895;
Municipios;0800;Majadahonda;6768;6939;
Municipios;0822;Manzanares el Real;206;216;
Municipios;0838;Meco;594;580;
Municipios;0843;Mejorada del Campo;527;546;
Municipios;0856;Miraflores de la Sierra;123;122;
Municipios;0869;Molar (El);178;178;
Municipios;0875;Molinos (Los);111;120;
Municipios;0881;Montejo de la Sierra;3;2;
Municipios;0894;Moraleja de Enmedio;248;163;
Municipios;0908;Moralzarzal;440;444;
Municipios;0915;Morata de Tajuña;90;102;
Municipios;0920;Móstoles;6151;6382;
Municipios;0936;Navacerrada;109;103;
Municipios;0941;Navalafuente;30;27;
Municipios;0954;Navalagamella;53;51;
Municipios;0967;Navalcarnero;3195;3726;
Municipios;0973;Navarredonda y San Mamés;3;2;
Municipios;0992;Navas del Rey;62;78;
Municipios;1006;Nuevo Baztán;154;172;
Municipios;1013;Olmeda de las Fuentes;14;11;
Municipios;1028;Orusco de Tajuña;18;20;
Municipios;1049;Paracuellos de Jarama;1082;1145;
Municipios;1065;Parla;2549;2747;
Municipios;1071;Patones;7;6;
Municipios;1087;Pedrezuela;125;116;
Municipios;1090;Pelayos de la Presa;68;78;
Municipios;1104;Perales de Tajuña;47;52;
Municipios;1111;Pezuela de las Torres;9;6;
Municipios;1126;Pinilla del Valle;2;1;
Municipios;1132;Pinto;2597;2711;
Municipios;1147;Piñuécar-Gandullas;5;4;
Municipios;1150;Pozuelo de Alarcón;39719;41202;
Municipios;1163;Pozuelo del Rey;26;31;
Municipios;1179;Prádena del Rincón;1;1;
Municipios;1185;Puebla de la Sierra;1;2;
Municipios;9020;Puentes Viejas;5;6;
Municipios;1198;Quijorna;60;56;
Municipios;1202;Rascafría;29;27;
Municipios;1219;Redueña;12;15;
Municipios;1224;Ribatejada;19;19;
Municipios;1230;Rivas-Vaciamadrid;7692;7797;
Municipios;1245;Robledillo de la Jara;0;1;
Municipios;1258;Robledo de Chavela;98;103;
Municipios;1261;Robregordo;0;0;
Municipios;1277;Rozas de Madrid (Las);20625;21514;
Municipios;1283;Rozas de Puerto Real;14;16;
Municipios;1296;San Agustín del Guadalix;664;678;
Municipios;1300;San Fernando de Henares;7156;6893;
Municipios;1317;San Lorenzo de El Escorial;615;637;
Municipios;1338;San Martín de Valdeiglesias;186;189;
Municipios;1322;San Martín de la Vega;786;796;
Municipios;1343;San Sebastián de los Reyes;15225;15860;
