Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;183475;186423;200200;206149;
Zonas Estadísticas;01;Municipio de Madrid ;88785;90476;98500;101963;
Zonas Estadísticas;02;Norte Metropolitano ;11508;11828;12159;12293;
Zonas Estadísticas;03;Este Metropolitano  ;20824;21312;22190;22459;
Zonas Estadísticas;04;Sur Metropolitano   ;35432;36105;39216;40341;
Zonas Estadísticas;05;Oeste Metropolitano ;10393;10100;10493;11072;
Zonas Estadísticas;06;Sierra Norte        ;1305;1066;1084;1110;
Zonas Estadísticas;07;Nordeste Comunidad  ;1782;1799;1923;1949;
Zonas Estadísticas;08;Sudeste Comunidad   ;2809;2850;3104;3093;
Zonas Estadísticas;09;Sudoeste Comunidad  ;5643;5729;6101;6326;
Zonas Estadísticas;10;Sierra Sur          ;1189;1212;1309;1307;
Zonas Estadísticas;11;Sierra Central      ;3805;3946;4121;4236;
Municipios;0014;Acebeda (La);1;2;1;1;
Municipios;0029;Ajalvir;289;308;371;368;
Municipios;0035;Alameda del Valle;3;2;1;1;
Municipios;0040;Alamo (El);238;228;247;277;
Municipios;0053;Alcalá de Henares;5256;5589;5813;5895;
Municipios;0066;Alcobendas;5128;5268;4995;5100;
Municipios;0072;Alcorcón;4744;4554;5040;5094;
Municipios;0088;Aldea del Fresno;65;87;107;124;
Municipios;0091;Algete;685;690;762;835;
Municipios;0105;Alpedrete;315;314;357;370;
Municipios;0112;Ambite;8;15;12;13;
Municipios;0127;Anchuelo;25;20;21;16;
Municipios;0133;Aranjuez;709;714;886;931;
Municipios;0148;Arganda del Rey;2816;2968;2767;2921;
Municipios;0151;Arroyomolinos;1415;1504;1599;1661;
Municipios;0164;Atazar (El);4;3;3;2;
Municipios;0170;Batres;35;30;22;67;
Municipios;0186;Becerril de la Sierra;164;172;190;169;
Municipios;0199;Belmonte de Tajo;26;28;27;26;
Municipios;0210;Berrueco (El);30;31;25;25;
Municipios;0203;Berzosa del Lozoya;8;7;7;12;
Municipios;0225;Boadilla del Monte;1138;1104;1285;1620;
Municipios;0231;Boalo (El);230;245;253;252;
Municipios;0246;Braojos;10;9;6;6;
Municipios;0259;Brea de Tajo;5;6;7;6;
Municipios;0262;Brunete;262;201;207;221;
Municipios;0278;Buitrago del Lozoya;47;49;87;79;
Municipios;0284;Bustarviejo;36;39;43;40;
Municipios;0297;Cabanillas de la Sierra;25;29;35;38;
Municipios;0301;Cabrera (La);79;78;65;70;
Municipios;0318;Cadalso de los Vidrios;91;104;124;115;
Municipios;0323;Camarma de Esteruelas;260;280;352;367;
Municipios;0339;Campo Real;202;201;220;230;
Municipios;0344;Canencia;30;33;27;24;
Municipios;0357;Carabaña;59;66;66;65;
Municipios;0360;Casarrubuelos;204;166;196;281;
Municipios;0376;Cenicientos;52;45;42;38;
Municipios;0382;Cercedilla;156;172;196;209;
Municipios;0395;Cervera de Buitrago;0;0;5;2;
Municipios;0513;Chapinería;81;84;82;81;
Municipios;0528;Chinchón;72;80;87;91;
Municipios;0409;Ciempozuelos;625;598;610;653;
Municipios;0416;Cobeña;93;82;88;79;
Municipios;0468;Collado Mediano;245;274;300;300;
Municipios;0474;Collado Villalba;1092;1094;1160;1241;
Municipios;0455;Colmenar Viejo;1228;1365;1491;1413;
Municipios;0437;Colmenar de Oreja;315;330;371;354;
Municipios;0421;Colmenar del Arroyo;41;49;43;47;
Municipios;0442;Colmenarejo;189;219;236;268;
Municipios;0480;Corpa;1;2;3;4;
Municipios;0493;Coslada;3437;3402;3524;3540;
Municipios;0506;Cubas de la Sagra;218;220;273;267;
Municipios;0534;Daganzo de Arriba;295;273;271;258;
Municipios;0549;Escorial (El);225;231;243;272;
Municipios;0552;Estremera;38;44;38;36;
Municipios;0565;Fresnedillas de la Oliva;29;34;35;38;
Municipios;0571;Fresno de Torote;55;64;65;57;
Municipios;0587;Fuenlabrada;5160;5206;5606;5890;
Municipios;0590;Fuente el Saz de Jarama;242;215;219;219;
Municipios;0604;Fuentidueña de Tajo;31;29;37;38;
Municipios;0611;Galapagar;826;861;873;888;
Municipios;0626;Garganta de los Montes;16;16;16;16;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;4;4;5;
Municipios;0647;Gascones;6;8;9;12;
Municipios;0650;Getafe;5706;5987;6800;7124;
Municipios;0663;Griñón;750;729;812;752;
Municipios;0679;Guadalix de la Sierra;151;172;178;205;
Municipios;0685;Guadarrama;437;436;456;426;
Municipios;0698;Hiruela (La);0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;6;9;7;6;
Municipios;0719;Horcajuelo de la Sierra;9;9;7;7;
Municipios;0724;Hoyo de Manzanares;111;108;122;122;
Municipios;0730;Humanes de Madrid;2433;2382;2248;2120;
Municipios;0745;Leganés;5613;5822;6200;6590;
Municipios;0758;Loeches;371;323;409;403;
Municipios;0761;Lozoya;12;15;14;15;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;42;40;46;48;
Municipios;0783;Madarcos;0;0;0;0;
Municipios;0796;Madrid;88785;90476;98500;101963;
Municipios;0800;Majadahonda;1257;1286;1402;1343;
Municipios;0822;Manzanares el Real;178;162;160;163;
Municipios;0838;Meco;415;475;501;531;
Municipios;0843;Mejorada del Campo;1035;1032;1192;1156;
Municipios;0856;Miraflores de la Sierra;138;135;140;139;
Municipios;0869;Molar (El);173;176;184;188;
Municipios;0875;Molinos (Los);111;116;118;122;
Municipios;0881;Montejo de la Sierra;6;4;3;3;
Municipios;0894;Moraleja de Enmedio;404;392;351;363;
Municipios;0908;Moralzarzal;247;304;286;311;
Municipios;0915;Morata de Tajuña;171;174;199;219;
Municipios;0920;Móstoles;4023;3991;4394;4343;
Municipios;0936;Navacerrada;65;65;76;80;
Municipios;0941;Navalafuente;17;16;15;19;
Municipios;0954;Navalagamella;25;26;29;26;
Municipios;0967;Navalcarnero;932;956;1055;1049;
Municipios;0973;Navarredonda y San Mamés;2;2;2;2;
Municipios;0992;Navas del Rey;138;131;153;119;
Municipios;1006;Nuevo Baztán;244;236;238;262;
Municipios;1013;Olmeda de las Fuentes;19;16;18;17;
Municipios;1028;Orusco de Tajuña;14;13;25;27;
Municipios;1049;Paracuellos de Jarama;481;487;525;571;
Municipios;1065;Parla;2285;2569;2745;2816;
Municipios;1071;Patones;12;8;8;8;
Municipios;1087;Pedrezuela;143;126;129;122;
Municipios;1090;Pelayos de la Presa;70;88;119;122;
Municipios;1104;Perales de Tajuña;85;76;94;95;
Municipios;1111;Pezuela de las Torres;12;13;10;10;
Municipios;1126;Pinilla del Valle;1;1;1;1;
Municipios;1132;Pinto;1495;1614;1747;1858;
Municipios;1147;Piñuécar-Gandullas;3;4;3;4;
Municipios;1150;Pozuelo de Alarcón;2073;1861;1906;1943;
Municipios;1163;Pozuelo del Rey;32;33;36;34;
Municipios;1179;Prádena del Rincón;16;19;21;25;
Municipios;1185;Puebla de la Sierra;0;0;0;0;
Municipios;9020;Puentes Viejas;17;17;17;18;
Municipios;1198;Quijorna;53;72;71;66;
Municipios;1202;Rascafría;50;56;49;53;
Municipios;1219;Redueña;4;5;3;5;
Municipios;1224;Ribatejada;14;13;11;12;
Municipios;1230;Rivas-Vaciamadrid;2905;3027;3199;3157;
Municipios;1245;Robledillo de la Jara;0;0;1;1;
Municipios;1258;Robledo de Chavela;132;139;161;161;
Municipios;1261;Robregordo;0;1;0;0;
Municipios;1277;Rozas de Madrid (Las);2255;2281;2085;2237;
Municipios;1283;Rozas de Puerto Real;7;6;8;9;
Municipios;1296;San Agustín del Guadalix;191;184;196;193;
Municipios;1300;San Fernando de Henares;1657;1543;1612;1688;
Municipios;1317;San Lorenzo de El Escorial;245;222;234;252;
Municipios;1338;San Martín de Valdeiglesias;313;307;315;325;
