Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;90388;88143;89671;92550;
Zonas Estadísticas;01;Municipio de Madrid ;25438;24699;25321;25316;
Zonas Estadísticas;02;Norte Metropolitano ;11523;11364;11918;12632;
Zonas Estadísticas;03;Este Metropolitano  ;18570;18431;18709;20002;
Zonas Estadísticas;04;Sur Metropolitano   ;25898;25011;25414;26108;
Zonas Estadísticas;05;Oeste Metropolitano ;1647;1642;1670;1800;
Zonas Estadísticas;06;Sierra Norte        ;150;150;129;133;
Zonas Estadísticas;07;Nordeste Comunidad  ;1730;1701;1496;1472;
Zonas Estadísticas;08;Sudeste Comunidad   ;2428;2426;2365;2511;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2083;2140;2048;2019;
Zonas Estadísticas;10;Sierra Sur          ;69;72;75;77;
Zonas Estadísticas;11;Sierra Central      ;852;507;526;480;
Municipios;0014;Acebeda (La);4;4;0;0;
Municipios;0029;Ajalvir;1392;1317;1312;1170;
Municipios;0035;Alameda del Valle;0;0;0;0;
Municipios;0040;Alamo (El);35;41;56;54;
Municipios;0053;Alcalá de Henares;5363;5407;5224;5761;
Municipios;0066;Alcobendas;3806;3498;3739;3878;
Municipios;0072;Alcorcón;1924;1843;1817;1840;
Municipios;0088;Aldea del Fresno;2;1;1;0;
Municipios;0091;Algete;628;548;553;542;
Municipios;0105;Alpedrete;61;55;60;70;
Municipios;0112;Ambite;1;1;1;2;
Municipios;0127;Anchuelo;1;5;4;3;
Municipios;0133;Aranjuez;710;580;601;571;
Municipios;0148;Arganda del Rey;4078;3770;3701;3654;
Municipios;0151;Arroyomolinos;124;205;117;110;
Municipios;0164;Atazar (El);0;0;0;0;
Municipios;0170;Batres;2;1;1;1;
Municipios;0186;Becerril de la Sierra;8;7;7;8;
Municipios;0199;Belmonte de Tajo;2;0;1;0;
Municipios;0210;Berrueco (El);0;1;1;1;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;
Municipios;0225;Boadilla del Monte;151;160;176;164;
Municipios;0231;Boalo (El);58;52;57;59;
Municipios;0246;Braojos;0;0;0;0;
