Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;116251;117697;120683;123025;
Zonas Estadísticas;01;Municipio de Madrid ;80862;81354;83646;86085;
Zonas Estadísticas;02;Norte Metropolitano ;8426;9012;9156;9407;
Zonas Estadísticas;03;Este Metropolitano  ;4816;4669;4919;4702;
Zonas Estadísticas;04;Sur Metropolitano   ;8802;8588;8255;8070;
Zonas Estadísticas;05;Oeste Metropolitano ;9613;10463;10663;10923;
Zonas Estadísticas;06;Sierra Norte        ;215;216;277;263;
Zonas Estadísticas;07;Nordeste Comunidad  ;300;302;380;358;
Zonas Estadísticas;08;Sudeste Comunidad   ;525;496;539;516;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1638;1519;1583;1484;
Zonas Estadísticas;10;Sierra Sur          ;173;176;389;369;
Zonas Estadísticas;11;Sierra Central      ;881;902;876;848;
Municipios;0014;Acebeda (La);3;3;0;0;
Municipios;0029;Ajalvir;55;42;35;36;
Municipios;0035;Alameda del Valle;0;0;1;1;
Municipios;0040;Alamo (El);54;52;64;60;
Municipios;0053;Alcalá de Henares;2039;1845;1967;1894;
Municipios;0066;Alcobendas;4592;4917;4899;5164;
Municipios;0072;Alcorcón;1208;1140;1109;1087;
Municipios;0088;Aldea del Fresno;14;14;33;31;
Municipios;0091;Algete;155;151;151;136;
Municipios;0105;Alpedrete;80;65;61;61;
Municipios;0112;Ambite;0;1;1;1;
Municipios;0127;Anchuelo;9;5;20;22;
Municipios;0133;Aranjuez;295;253;291;274;
Municipios;0148;Arganda del Rey;306;282;273;256;
Municipios;0151;Arroyomolinos;1086;1010;1027;946;
Municipios;0164;Atazar (El);4;5;0;0;
Municipios;0170;Batres;5;5;4;4;
Municipios;0186;Becerril de la Sierra;46;47;37;36;
Municipios;0199;Belmonte de Tajo;11;14;23;18;
Municipios;0210;Berrueco (El);0;0;0;0;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;
Municipios;0225;Boadilla del Monte;1095;943;1079;984;
Municipios;0231;Boalo (El);18;21;16;15;
Municipios;0246;Braojos;0;0;0;0;
Municipios;0259;Brea de Tajo;1;1;1;1;
Municipios;0262;Brunete;68;73;77;77;
Municipios;0278;Buitrago del Lozoya;38;47;54;55;
Municipios;0284;Bustarviejo;10;10;17;14;
Municipios;0297;Cabanillas de la Sierra;2;1;2;1;
Municipios;0301;Cabrera (La);13;2;20;21;
Municipios;0318;Cadalso de los Vidrios;23;25;44;41;
Municipios;0323;Camarma de Esteruelas;53;44;39;36;
Municipios;0339;Campo Real;62;57;46;45;
Municipios;0344;Canencia;0;0;0;0;
Municipios;0357;Carabaña;4;3;0;0;
Municipios;0360;Casarrubuelos;14;12;8;8;
Municipios;0376;Cenicientos;18;18;37;36;
Municipios;0382;Cercedilla;62;74;52;52;
Municipios;0395;Cervera de Buitrago;0;0;0;0;
Municipios;0513;Chapinería;10;10;16;15;
Municipios;0528;Chinchón;44;37;43;46;
Municipios;0409;Ciempozuelos;80;72;96;81;
Municipios;0416;Cobeña;39;44;54;52;
Municipios;0468;Collado Mediano;54;60;55;55;
Municipios;0474;Collado Villalba;389;389;355;344;
Municipios;0455;Colmenar Viejo;234;244;275;262;
Municipios;0437;Colmenar de Oreja;38;41;31;31;
Municipios;0421;Colmenar del Arroyo;4;5;1;1;
Municipios;0442;Colmenarejo;31;39;44;36;
Municipios;0480;Corpa;0;0;0;1;
Municipios;0493;Coslada;670;683;889;870;
Municipios;0506;Cubas de la Sagra;16;16;28;27;
Municipios;0534;Daganzo de Arriba;66;58;83;77;
Municipios;0549;Escorial (El);70;83;81;79;
Municipios;0552;Estremera;22;24;17;16;
Municipios;0565;Fresnedillas de la Oliva;5;5;1;2;
Municipios;0571;Fresno de Torote;2;3;3;1;
Municipios;0587;Fuenlabrada;1250;1295;1156;1128;
Municipios;0590;Fuente el Saz de Jarama;45;51;78;73;
Municipios;0604;Fuentidueña de Tajo;29;30;39;36;
Municipios;0611;Galapagar;119;114;103;98;
Municipios;0626;Garganta de los Montes;0;0;0;0;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;
Municipios;0647;Gascones;1;1;0;0;
Municipios;0650;Getafe;1930;1917;1815;1763;
Municipios;0663;Griñón;116;113;93;95;
Municipios;0679;Guadalix de la Sierra;20;24;25;25;
Municipios;0685;Guadarrama;75;88;76;68;
Municipios;0698;Hiruela (La);0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;0;0;0;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;
Municipios;0724;Hoyo de Manzanares;51;49;57;52;
Municipios;0730;Humanes de Madrid;69;51;76;73;
Municipios;0745;Leganés;1284;1276;1203;1171;
Municipios;0758;Loeches;46;51;43;40;
Municipios;0761;Lozoya;27;15;33;31;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;8;11;12;15;
Municipios;0783;Madarcos;0;0;0;0;
Municipios;0796;Madrid;80862;81354;83646;86085;
Municipios;0800;Majadahonda;3900;4282;4375;4431;
Municipios;0822;Manzanares el Real;63;55;50;46;
Municipios;0838;Meco;46;51;63;62;
Municipios;0843;Mejorada del Campo;73;73;90;91;
Municipios;0856;Miraflores de la Sierra;25;29;29;27;
Municipios;0869;Molar (El);52;55;38;37;
Municipios;0875;Molinos (Los);20;22;20;17;
Municipios;0881;Montejo de la Sierra;0;0;0;0;
Municipios;0894;Moraleja de Enmedio;25;14;18;15;
Municipios;0908;Moralzarzal;63;65;58;57;
Municipios;0915;Morata de Tajuña;38;27;36;35;
Municipios;0920;Móstoles;1452;1401;1352;1344;
Municipios;0936;Navacerrada;20;21;17;14;
Municipios;0941;Navalafuente;3;3;2;2;
Municipios;0954;Navalagamella;10;10;17;14;
Municipios;0967;Navalcarnero;125;101;105;109;
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;
Municipios;0992;Navas del Rey;15;16;13;11;
Municipios;1006;Nuevo Baztán;16;17;19;14;
Municipios;1013;Olmeda de las Fuentes;2;2;2;2;
Municipios;1028;Orusco de Tajuña;2;3;2;1;
Municipios;1049;Paracuellos de Jarama;101;99;111;125;
Municipios;1065;Parla;542;520;442;439;
Municipios;1071;Patones;0;0;0;0;
Municipios;1087;Pedrezuela;21;24;23;14;
Municipios;1090;Pelayos de la Presa;8;10;16;14;
