Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;726040;745092;782645;812756;
Zonas Estadísticas;01;Municipio de Madrid ;475240;485971;513823;526083;
Zonas Estadísticas;02;Norte Metropolitano ;30100;28741;30092;32226;
Zonas Estadísticas;03;Este Metropolitano  ;45190;48931;48709;51613;
Zonas Estadísticas;04;Sur Metropolitano   ;95351;99758;105522;109948;
Zonas Estadísticas;05;Oeste Metropolitano ;41283;42212;43932;47498;
Zonas Estadísticas;06;Sierra Norte        ;3748;4032;4353;6159;
Zonas Estadísticas;07;Nordeste Comunidad  ;2933;2946;2947;3407;
Zonas Estadísticas;08;Sudeste Comunidad   ;5857;6407;6714;7534;
Zonas Estadísticas;09;Sudoeste Comunidad  ;9141;9200;9430;10168;
Zonas Estadísticas;10;Sierra Sur          ;2715;2760;3203;3668;
Zonas Estadísticas;11;Sierra Central      ;14482;14134;13920;14452;
Municipios;0014;Acebeda (La);25;36;32;53;
Municipios;0029;Ajalvir;234;269;247;278;
Municipios;0035;Alameda del Valle;9;13;39;96;
Municipios;0040;Alamo (El);645;651;687;766;
Municipios;0053;Alcalá de Henares;19215;19796;19037;19322;
Municipios;0066;Alcobendas;12470;11774;12404;13596;
Municipios;0072;Alcorcón;13110;14162;14145;14679;
Municipios;0088;Aldea del Fresno;236;228;240;225;
Municipios;0091;Algete;1026;990;1047;1166;
Municipios;0105;Alpedrete;798;821;810;781;
Municipios;0112;Ambite;41;30;41;86;
Municipios;0127;Anchuelo;87;95;99;110;
Municipios;0133;Aranjuez;6001;6246;6065;6232;
Municipios;0148;Arganda del Rey;5655;6080;4844;4804;
Municipios;0151;Arroyomolinos;1694;1490;1608;1718;
Municipios;0164;Atazar (El);6;28;27;49;
Municipios;0170;Batres;101;122;126;122;
Municipios;0186;Becerril de la Sierra;219;228;228;237;
Municipios;0199;Belmonte de Tajo;107;127;114;158;
Municipios;0210;Berrueco (El);159;175;75;84;
Municipios;0203;Berzosa del Lozoya;14;16;18;66;
Municipios;0225;Boadilla del Monte;3959;4034;4313;4433;
Municipios;0231;Boalo (El);491;506;587;676;
Municipios;0246;Braojos;24;27;33;58;
Municipios;0259;Brea de Tajo;64;116;131;123;
Municipios;0262;Brunete;605;675;647;674;
Municipios;0278;Buitrago del Lozoya;474;575;741;833;
Municipios;0284;Bustarviejo;88;112;105;157;
Municipios;0297;Cabanillas de la Sierra;59;64;67;105;
Municipios;0301;Cabrera (La);298;265;289;334;
Municipios;0318;Cadalso de los Vidrios;273;269;263;266;
Municipios;0323;Camarma de Esteruelas;242;223;229;240;
Municipios;0339;Campo Real;264;295;303;304;
Municipios;0344;Canencia;30;32;39;64;
Municipios;0357;Carabaña;152;160;171;178;
Municipios;0360;Casarrubuelos;216;230;222;255;
Municipios;0376;Cenicientos;173;161;165;176;
Municipios;0382;Cercedilla;884;929;827;839;
Municipios;0395;Cervera de Buitrago;13;16;18;59;
Municipios;0513;Chapinería;167;167;184;227;
Municipios;0528;Chinchón;297;318;303;355;
Municipios;0409;Ciempozuelos;2440;2437;2517;2609;
Municipios;0416;Cobeña;415;412;473;511;
Municipios;0468;Collado Mediano;419;433;462;490;
Municipios;0474;Collado Villalba;4544;4292;4535;4664;
Municipios;0455;Colmenar Viejo;6713;6430;6167;6371;
Municipios;0437;Colmenar de Oreja;285;317;348;340;
Municipios;0421;Colmenar del Arroyo;63;82;76;124;
Municipios;0442;Colmenarejo;1898;1245;1228;1302;
Municipios;0480;Corpa;49;53;49;60;
Municipios;0493;Coslada;5802;7298;7657;8624;
Municipios;0506;Cubas de la Sagra;391;433;444;461;
Municipios;0534;Daganzo de Arriba;385;374;378;416;
Municipios;0549;Escorial (El);1664;1855;1559;1351;
Municipios;0552;Estremera;754;865;923;955;
Municipios;0565;Fresnedillas de la Oliva;90;106;107;160;
Municipios;0571;Fresno de Torote;94;107;112;136;
Municipios;0587;Fuenlabrada;12248;12461;12502;12983;
Municipios;0590;Fuente el Saz de Jarama;253;267;267;306;
Municipios;0604;Fuentidueña de Tajo;106;125;131;130;
Municipios;0611;Galapagar;1591;1757;1770;1764;
Municipios;0626;Garganta de los Montes;30;34;36;93;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;39;41;42;104;
Municipios;0647;Gascones;22;28;30;52;
Municipios;0650;Getafe;13789;13293;14047;14412;
Municipios;0663;Griñón;754;792;898;946;
Municipios;0679;Guadalix de la Sierra;379;362;423;447;
Municipios;0685;Guadarrama;1220;1220;1309;1409;
Municipios;0698;Hiruela (La);29;30;29;54;
Municipios;0702;Horcajo de la Sierra-Aoslos;26;32;34;95;
Municipios;0719;Horcajuelo de la Sierra;39;31;35;59;
Municipios;0724;Hoyo de Manzanares;356;451;470;529;
Municipios;0730;Humanes de Madrid;1044;1109;1154;1234;
Municipios;0745;Leganés;12066;12887;13967;14062;
Municipios;0758;Loeches;361;383;383;429;
Municipios;0761;Lozoya;41;50;65;104;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;158;142;157;239;
Municipios;0783;Madarcos;21;29;28;51;
Municipios;0796;Madrid;475240;485971;513823;526083;
Municipios;0800;Majadahonda;5518;5992;6432;6818;
Municipios;0822;Manzanares el Real;388;397;420;433;
Municipios;0838;Meco;696;703;636;701;
Municipios;0843;Mejorada del Campo;762;840;875;905;
Municipios;0856;Miraflores de la Sierra;256;307;289;335;
Municipios;0869;Molar (El);364;377;387;410;
Municipios;0875;Molinos (Los);252;267;269;276;
Municipios;0881;Montejo de la Sierra;142;134;125;134;
Municipios;0894;Moraleja de Enmedio;266;250;269;316;
Municipios;0908;Moralzarzal;792;810;964;970;
Municipios;0915;Morata de Tajuña;387;374;359;381;
Municipios;0920;Móstoles;13661;14554;14527;14823;
Municipios;0936;Navacerrada;99;108;107;150;
Municipios;0941;Navalafuente;54;50;63;99;
Municipios;0954;Navalagamella;147;157;146;165;
Municipios;0967;Navalcarnero;2376;2419;2399;2500;
Municipios;0973;Navarredonda y San Mamés;22;27;28;87;
Municipios;0992;Navas del Rey;179;206;187;220;
Municipios;1006;Nuevo Baztán;255;245;249;287;
Municipios;1013;Olmeda de las Fuentes;16;23;21;61;
Municipios;1028;Orusco de Tajuña;172;182;182;199;
Municipios;1049;Paracuellos de Jarama;1314;1414;1453;1606;
Municipios;1065;Parla;5469;5895;6193;6397;
Municipios;1071;Patones;41;57;75;98;
Municipios;1087;Pedrezuela;302;345;343;372;
Municipios;1090;Pelayos de la Presa;212;221;220;237;
Municipios;1104;Perales de Tajuña;123;134;140;129;
Municipios;1111;Pezuela de las Torres;55;56;53;62;
Municipios;1126;Pinilla del Valle;17;12;16;53;
Municipios;1132;Pinto;3554;4109;3964;4029;
Municipios;1147;Piñuécar-Gandullas;28;30;32;90;
Municipios;1150;Pozuelo de Alarcón;10299;9526;10307;11377;
Municipios;1163;Pozuelo del Rey;19;19;20;64;
Municipios;1179;Prádena del Rincón;25;31;33;55;
Municipios;1185;Puebla de la Sierra;10;13;16;51;
Municipios;9020;Puentes Viejas;94;93;96;182;
Municipios;1198;Quijorna;144;140;156;212;
Municipios;1202;Rascafría;98;105;107;146;
Municipios;1219;Redueña;16;16;18;57;
Municipios;1224;Ribatejada;87;92;101;121;
Municipios;1230;Rivas-Vaciamadrid;3432;4126;4352;4519;
Municipios;1245;Robledillo de la Jara;22;29;24;58;
Municipios;1258;Robledo de Chavela;268;261;276;286;
Municipios;1261;Robregordo;24;31;31;51;
Municipios;1277;Rozas de Madrid (Las);6868;7016;7053;8243;
Municipios;1283;Rozas de Puerto Real;234;213;234;273;
Municipios;1296;San Agustín del Guadalix;506;516;613;697;
Municipios;1300;San Fernando de Henares;1613;1728;1522;1750;
Municipios;1317;San Lorenzo de El Escorial;2125;2018;1828;2121;
Municipios;1338;San Martín de Valdeiglesias;675;663;1061;1069;
Municipios;1322;San Martín de la Vega;819;927;932;985;
Municipios;1343;San Sebastián de los Reyes;4990;5227;6012;6313;
Municipios;1356;Santa María de la Alameda;80;85;89;204;
Municipios;1369;Santorcaz;14;58;64;106;
Municipios;1375;Santos de la Humosa (Los);100;105;106;116;
Municipios;1381;Serna del Monte (La);3;4;8;44;
Municipios;1408;Serranillos del Valle;318;310;340;395;
Municipios;1415;Sevilla la Nueva;577;603;561;647;
Municipios;1436;Somosierra;12;14;12;51;
Municipios;1441;Soto del Real;1458;1422;1337;1426;
Municipios;1454;Talamanca de Jarama;248;223;211;253;
Municipios;1467;Tielmes;115;130;117;157;
Municipios;1473;Titulcia;67;86;81;144;
Municipios;1489;Torrejón de Ardoz;6770;6964;8264;9304;
Municipios;1505;Torrejón de Velasco;210;243;212;223;
Municipios;1492;Torrejón de la Calzada;497;538;538;567;
Municipios;1512;Torrelaguna;353;374;426;509;
Municipios;1527;Torrelodones;1866;1943;2041;2097;
Municipios;1533;Torremocha de Jarama;131;127;144;193;
Municipios;1548;Torres de la Alameda;472;472;499;500;
Municipios;9036;Tres Cantos;3980;3392;3376;3572;
Municipios;1551;Valdaracete;46;52;57;96;
Municipios;1564;Valdeavero;56;62;91;109;
Municipios;1570;Valdelaguna;64;77;75;79;
Municipios;1586;Valdemanco;23;23;24;66;
Municipios;1599;Valdemaqueda;26;27;38;66;
Municipios;1603;Valdemorillo;461;474;561;666;
Municipios;1610;Valdemoro;11150;11678;15509;17503;
Municipios;1625;Valdeolmos-Alalpardo;341;321;336;425;
Municipios;1631;Valdepiélagos;31;38;40;63;
Municipios;1646;Valdetorres de Jarama;136;159;159;227;
Municipios;1659;Valdilecha;107;121;127;121;
Municipios;1662;Valverde de Alcalá;9;46;41;61;
Municipios;1678;Velilla de San Antonio;393;416;458;501;
Municipios;1684;Vellón (El);99;112;117;202;
Municipios;1697;Venturada;221;231;213;244;
Municipios;1718;Villa del Prado;291;322;287;268;
Municipios;1701;Villaconejos;114;129;212;259;
Municipios;1723;Villalbilla;655;723;802;912;
Municipios;1739;Villamanrique de Tajo;23;32;26;58;
Municipios;1744;Villamanta;213;225;229;280;
Municipios;1757;Villamantilla;124;128;133;149;
Municipios;1782;Villanueva de Perales;88;76;81;118;
Municipios;1760;Villanueva de la Cañada;2487;2948;3191;3428;
Municipios;1776;Villanueva del Pardillo;1058;1094;1135;990;
Municipios;1795;Villar del Olmo;35;42;46;87;
Municipios;1809;Villarejo de Salvanés;442;417;441;427;
Municipios;1816;Villaviciosa de Odón;3190;3578;3173;3471;
Municipios;1821;Villavieja del Lozoya;28;36;40;61;
Municipios;1837;Zarzalejo;128;142;157;195;
