Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;723445;678120;716644;734444;
Zonas Estadísticas;01;Municipio de Madrid ;383322;349666;373742;386774;
Zonas Estadísticas;02;Norte Metropolitano ;54280;53245;54658;55695;
Zonas Estadísticas;03;Este Metropolitano  ;71428;68442;70626;70402;
Zonas Estadísticas;04;Sur Metropolitano   ;128795;123522;128585;130269;
Zonas Estadísticas;05;Oeste Metropolitano ;49768;48198;51143;52281;
Zonas Estadísticas;06;Sierra Norte        ;2927;2876;3167;3131;
Zonas Estadísticas;07;Nordeste Comunidad  ;4199;4478;4538;4850;
Zonas Estadísticas;08;Sudeste Comunidad   ;6160;5925;6343;6353;
Zonas Estadísticas;09;Sudoeste Comunidad  ;11268;10562;12024;12734;
Zonas Estadísticas;10;Sierra Sur          ;1860;1829;1909;1865;
Zonas Estadísticas;11;Sierra Central      ;9438;9377;9909;10090;
Municipios;0014;Acebeda (La);14;10;14;13;
Municipios;0029;Ajalvir;877;826;857;850;
Municipios;0035;Alameda del Valle;51;24;21;23;
Municipios;0040;Alamo (El);408;438;457;484;
Municipios;0053;Alcalá de Henares;21167;20316;20313;21052;
Municipios;0066;Alcobendas;26793;26127;26193;26594;
Municipios;0072;Alcorcón;18547;18283;18403;18673;
Municipios;0088;Aldea del Fresno;147;135;158;158;
Municipios;0091;Algete;2346;2270;2395;2422;
Municipios;0105;Alpedrete;698;754;773;787;
Municipios;0112;Ambite;34;36;29;25;
Municipios;0127;Anchuelo;45;43;98;105;
Municipios;0133;Aranjuez;6126;5892;5564;5351;
Municipios;0148;Arganda del Rey;7125;6798;7031;6778;
Municipios;0151;Arroyomolinos;3410;3121;4189;4468;
Municipios;0164;Atazar (El);10;10;39;36;
Municipios;0170;Batres;26;29;38;36;
Municipios;0186;Becerril de la Sierra;360;326;351;339;
Municipios;0199;Belmonte de Tajo;37;41;39;40;
Municipios;0210;Berrueco (El);58;52;54;54;
Municipios;0203;Berzosa del Lozoya;8;9;8;8;
Municipios;0225;Boadilla del Monte;5183;3997;4222;4325;
Municipios;0231;Boalo (El);307;289;312;328;
Municipios;0246;Braojos;15;15;8;10;
Municipios;0259;Brea de Tajo;29;24;57;56;
Municipios;0262;Brunete;538;467;604;588;
Municipios;0278;Buitrago del Lozoya;185;182;199;197;
Municipios;0284;Bustarviejo;156;149;149;156;
Municipios;0297;Cabanillas de la Sierra;34;28;37;39;
Municipios;0301;Cabrera (La);240;236;281;265;
Municipios;0318;Cadalso de los Vidrios;116;117;117;114;
Municipios;0323;Camarma de Esteruelas;345;384;366;351;
Municipios;0339;Campo Real;398;410;405;424;
Municipios;0344;Canencia;24;18;26;27;
Municipios;0357;Carabaña;59;66;69;63;
Municipios;0360;Casarrubuelos;182;202;186;175;
Municipios;0376;Cenicientos;65;64;64;60;
Municipios;0382;Cercedilla;580;583;560;500;
Municipios;0395;Cervera de Buitrago;10;11;11;8;
Municipios;0513;Chapinería;81;87;93;79;
Municipios;0528;Chinchón;528;481;535;551;
Municipios;0409;Ciempozuelos;1597;1557;1721;1694;
Municipios;0416;Cobeña;406;326;307;341;
Municipios;0468;Collado Mediano;247;251;288;324;
Municipios;0474;Collado Villalba;5494;5336;5547;5591;
Municipios;0455;Colmenar Viejo;4162;4236;4351;4485;
Municipios;0437;Colmenar de Oreja;342;342;364;371;
Municipios;0421;Colmenar del Arroyo;79;74;86;81;
Municipios;0442;Colmenarejo;236;252;272;272;
Municipios;0480;Corpa;8;8;9;7;
Municipios;0493;Coslada;8640;8283;8499;8363;
Municipios;0506;Cubas de la Sagra;199;183;202;208;
Municipios;0534;Daganzo de Arriba;1080;1073;1049;1242;
Municipios;0549;Escorial (El);689;691;753;783;
Municipios;0552;Estremera;51;53;58;60;
