Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;177940;177354;178466;191162;
Zonas Estadísticas;01;Municipio de Madrid ;109317;107253;103663;113674;
Zonas Estadísticas;02;Norte Metropolitano ;5919;5236;5564;6310;
Zonas Estadísticas;03;Este Metropolitano  ;21852;22796;23668;24482;
Zonas Estadísticas;04;Sur Metropolitano   ;26314;27196;29584;30065;
Zonas Estadísticas;05;Oeste Metropolitano ;4310;4365;4695;4857;
Zonas Estadísticas;06;Sierra Norte        ;607;564;620;613;
Zonas Estadísticas;07;Nordeste Comunidad  ;3684;3756;3912;4257;
Zonas Estadísticas;08;Sudeste Comunidad   ;2063;2131;2228;2259;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2354;2507;2629;2652;
Zonas Estadísticas;10;Sierra Sur          ;274;296;295;270;
Zonas Estadísticas;11;Sierra Central      ;1246;1254;1608;1723;
Municipios;0014;Acebeda (La);0;0;0;0;
Municipios;0029;Ajalvir;165;198;192;210;
Municipios;0035;Alameda del Valle;0;0;0;1;
Municipios;0040;Alamo (El);106;100;106;101;
Municipios;0053;Alcalá de Henares;3682;4625;4507;4883;
Municipios;0066;Alcobendas;2647;2078;2171;2604;
Municipios;0072;Alcorcón;2168;2066;2131;2075;
Municipios;0088;Aldea del Fresno;10;9;9;9;
Municipios;0091;Algete;596;534;626;789;
Municipios;0105;Alpedrete;76;87;104;100;
Municipios;0112;Ambite;4;3;5;8;
Municipios;0127;Anchuelo;18;17;20;22;
Municipios;0133;Aranjuez;828;731;906;951;
Municipios;0148;Arganda del Rey;1059;1031;1134;1105;
Municipios;0151;Arroyomolinos;539;598;606;605;
Municipios;0164;Atazar (El);0;0;0;0;
Municipios;0170;Batres;38;33;33;36;
Municipios;0186;Becerril de la Sierra;35;29;29;32;
Municipios;0199;Belmonte de Tajo;19;19;24;22;
Municipios;0210;Berrueco (El);2;3;3;3;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;
Municipios;0225;Boadilla del Monte;617;588;566;633;
Municipios;0231;Boalo (El);52;49;52;56;
Municipios;0246;Braojos;13;17;18;17;
Municipios;0259;Brea de Tajo;6;4;5;5;
Municipios;0262;Brunete;110;107;106;117;
Municipios;0278;Buitrago del Lozoya;17;13;13;12;
Municipios;0284;Bustarviejo;13;12;20;18;
Municipios;0297;Cabanillas de la Sierra;5;3;4;1;
Municipios;0301;Cabrera (La);19;22;16;19;
Municipios;0318;Cadalso de los Vidrios;17;23;22;22;
Municipios;0323;Camarma de Esteruelas;420;389;435;432;
Municipios;0339;Campo Real;136;151;167;217;
Municipios;0344;Canencia;2;2;2;2;
Municipios;0357;Carabaña;23;18;25;24;
Municipios;0360;Casarrubuelos;48;52;49;42;
Municipios;0376;Cenicientos;12;14;15;15;
Municipios;0382;Cercedilla;52;50;123;149;
Municipios;0395;Cervera de Buitrago;2;1;0;0;
Municipios;0513;Chapinería;16;16;12;10;
Municipios;0528;Chinchón;39;36;42;49;
Municipios;0409;Ciempozuelos;1262;1363;1654;1604;
Municipios;0416;Cobeña;171;135;163;158;
Municipios;0468;Collado Mediano;56;58;56;62;
Municipios;0474;Collado Villalba;747;770;906;902;
Municipios;0455;Colmenar Viejo;323;324;381;400;
Municipios;0437;Colmenar de Oreja;53;67;51;53;
Municipios;0421;Colmenar del Arroyo;69;78;42;44;
Municipios;0442;Colmenarejo;212;201;220;220;
Municipios;0480;Corpa;6;6;6;6;
Municipios;0493;Coslada;7039;7057;7331;7253;
Municipios;0506;Cubas de la Sagra;108;122;109;106;
Municipios;0534;Daganzo de Arriba;373;356;403;462;
Municipios;0549;Escorial (El);63;68;63;64;
Municipios;0552;Estremera;97;112;120;126;
Municipios;0565;Fresnedillas de la Oliva;10;8;11;11;
Municipios;0571;Fresno de Torote;19;19;14;15;
Municipios;0587;Fuenlabrada;2824;2688;2832;2821;
Municipios;0590;Fuente el Saz de Jarama;67;88;75;63;
Municipios;0604;Fuentidueña de Tajo;32;33;36;35;
Municipios;0611;Galapagar;200;188;185;192;
Municipios;0626;Garganta de los Montes;1;0;0;0;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;
Municipios;0647;Gascones;20;18;19;18;
Municipios;0650;Getafe;6762;8175;8532;8680;
Municipios;0663;Griñón;225;248;253;250;
Municipios;0679;Guadalix de la Sierra;32;47;43;43;
Municipios;0685;Guadarrama;100;113;93;97;
Municipios;0698;Hiruela (La);0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;1;1;0;1;
Municipios;0719;Horcajuelo de la Sierra;1;1;1;0;
Municipios;0724;Hoyo de Manzanares;31;29;32;27;
Municipios;0730;Humanes de Madrid;573;555;773;825;
Municipios;0745;Leganés;3785;3651;4019;4042;
Municipios;0758;Loeches;438;424;463;446;
Municipios;0761;Lozoya;5;3;3;3;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;59;59;71;74;
Municipios;0783;Madarcos;1;1;2;1;
Municipios;0796;Madrid;109317;107253;103663;113674;
Municipios;0800;Majadahonda;359;337;384;391;
Municipios;0822;Manzanares el Real;43;40;35;35;
Municipios;0838;Meco;2594;2665;2761;3061;
Municipios;0843;Mejorada del Campo;678;507;528;501;
Municipios;0856;Miraflores de la Sierra;44;54;45;28;
Municipios;0869;Molar (El);60;73;71;75;
Municipios;0875;Molinos (Los);13;21;32;29;
Municipios;0881;Montejo de la Sierra;0;1;1;1;
Municipios;0894;Moraleja de Enmedio;99;111;108;111;
Municipios;0908;Moralzarzal;169;167;177;262;
Municipios;0915;Morata de Tajuña;118;113;109;103;
Municipios;0920;Móstoles;2086;2070;2161;2235;
Municipios;0936;Navacerrada;5;8;9;10;
Municipios;0941;Navalafuente;5;7;7;9;
Municipios;0954;Navalagamella;23;25;15;13;
Municipios;0967;Navalcarnero;558;597;622;660;
Municipios;0973;Navarredonda y San Mamés;1;1;1;1;
