Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;574107;564034;584681;602497
Zonas Estadísticas;01;Municipio de Madrid ;206557;202389;210068;217858
Zonas Estadísticas;02;Norte Metropolitano ;53490;53014;54764;57037
Zonas Estadísticas;03;Este Metropolitano  ;97033;96195;98782;102131
Zonas Estadísticas;04;Sur Metropolitano   ;142824;139272;145360;148465
Zonas Estadísticas;05;Oeste Metropolitano ;22022;22000;22094;23607
Zonas Estadísticas;06;Sierra Norte        ;2012;1770;2127;2185
Zonas Estadísticas;07;Nordeste Comunidad  ;11019;10631;10828;10365
Zonas Estadísticas;08;Sudeste Comunidad   ;14448;14615;15352;15431
Zonas Estadísticas;09;Sudoeste Comunidad  ;15290;15278;15771;15889
Zonas Estadísticas;10;Sierra Sur          ;2339;2299;2553;2526
Zonas Estadísticas;11;Sierra Central      ;7073;6571;6982;7003
Municipios;0014;Acebeda (La);21;12;3;1
Municipios;0029;Ajalvir;4389;4070;4425;4255
Municipios;0035;Alameda del Valle;3;2;1;1
Municipios;0040;Alamo (El);410;386;433;460
Municipios;0053;Alcalá de Henares;24451;24996;24688;26042
Municipios;0066;Alcobendas;17964;17356;17817;18129
Municipios;0072;Alcorcón;12157;11757;12504;12661
Municipios;0088;Aldea del Fresno;72;94;116;129
Municipios;0091;Algete;4608;4645;4747;4927
Municipios;0105;Alpedrete;546;553;585;613
Municipios;0112;Ambite;11;18;28;29
Municipios;0127;Anchuelo;39;52;59;58
Municipios;0133;Aranjuez;6206;5999;6417;6512
Municipios;0148;Arganda del Rey;19312;18315;18097;18159
Municipios;0151;Arroyomolinos;2024;2327;2278;2326
Municipios;0164;Atazar (El);5;4;17;14
Municipios;0170;Batres;52;49;47;90
Municipios;0186;Becerril de la Sierra;208;224;228;205
Municipios;0199;Belmonte de Tajo;122;128;117;116
Municipios;0210;Berrueco (El);41;45;54;51
Municipios;0203;Berzosa del Lozoya;9;8;21;24
Municipios;0225;Boadilla del Monte;2045;1851;2067;2496
Municipios;0231;Boalo (El);387;395;455;452
Municipios;0246;Braojos;10;9;6;6
Municipios;0259;Brea de Tajo;16;15;29;28
Municipios;0262;Brunete;375;325;369;395
Municipios;0278;Buitrago del Lozoya;60;52;88;84
Municipios;0284;Bustarviejo;73;80;93;86
Municipios;0297;Cabanillas de la Sierra;28;32;53;54
Municipios;0301;Cabrera (La);112;114;88;95
Municipios;0318;Cadalso de los Vidrios;226;200;233;217
Municipios;0323;Camarma de Esteruelas;1508;1573;1776;1852
Municipios;0339;Campo Real;1313;1331;1349;1433
Municipios;0344;Canencia;34;37;33;30
Municipios;0357;Carabaña;94;113;126;150
Municipios;0360;Casarrubuelos;558;490;567;681
Municipios;0376;Cenicientos;70;59;61;59
Municipios;0382;Cercedilla;210;268;456;465
Municipios;0395;Cervera de Buitrago;2;1;19;14
Municipios;0513;Chapinería;167;166;192;190
Municipios;0528;Chinchón;411;445;508;542
Municipios;0409;Ciempozuelos;2303;2189;2390;2566
Municipios;0416;Cobeña;483;455;480;469
Municipios;0468;Collado Mediano;345;374;392;392
Municipios;0474;Collado Villalba;2529;2660;2763;2832
Municipios;0455;Colmenar Viejo;4684;4533;5283;5596
Municipios;0437;Colmenar de Oreja;620;624;672;641
Municipios;0421;Colmenar del Arroyo;254;248;273;294
Municipios;0442;Colmenarejo;518;405;487;436
Municipios;0480;Corpa;11;6;7;8
Municipios;0493;Coslada;8372;8126;8342;8395
Municipios;0506;Cubas de la Sagra;867;844;754;761
Municipios;0534;Daganzo de Arriba;3123;3135;3345;2904
Municipios;0549;Escorial (El);337;342;366;398
Municipios;0552;Estremera;68;73;76;74
Municipios;0565;Fresnedillas de la Oliva;52;55;70;70
Municipios;0571;Fresno de Torote;91;96;117;111
Municipios;0587;Fuenlabrada;22689;21142;22812;23199
Municipios;0590;Fuente el Saz de Jarama;1014;999;1071;1024
Municipios;0604;Fuentidueña de Tajo;80;86;134;127
Municipios;0611;Galapagar;1010;1067;1110;1118
Municipios;0626;Garganta de los Montes;52;46;60;60
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;9;8;20;19
Municipios;0647;Gascones;8;12;14;17
Municipios;0650;Getafe;36374;34921;36336;38450
Municipios;0663;Griñón;3574;3479;3608;3468
Municipios;0679;Guadalix de la Sierra;233;254;259;288
Municipios;0685;Guadarrama;692;724;729;710
Municipios;0698;Hiruela (La);2;2;14;12
Municipios;0702;Horcajo de la Sierra-Aoslos;10;13;22;19
Municipios;0719;Horcajuelo de la Sierra;11;11;21;19
Municipios;0724;Hoyo de Manzanares;147;150;177;187
Municipios;0730;Humanes de Madrid;10821;10958;10895;10590
Municipios;0745;Leganés;15699;15851;16538;16810
Municipios;0758;Loeches;4120;4193;4416;4435
Municipios;0761;Lozoya;28;31;28;31
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;82;81;125;120
Municipios;0783;Madarcos;4;4;16;14
Municipios;0796;Madrid;206557;202389;210068;217858
Municipios;0800;Majadahonda;2369;2450;2373;2424
Municipios;0822;Manzanares el Real;232;226;226;221
Municipios;0838;Meco;3709;3345;2905;2844
Municipios;0843;Mejorada del Campo;4113;3975;4257;4241
Municipios;0856;Miraflores de la Sierra;244;241;261;231
Municipios;0869;Molar (El);278;271;282;284
Municipios;0875;Molinos (Los);749;164;164;159
Municipios;0881;Montejo de la Sierra;12;11;22;18
Municipios;0894;Moraleja de Enmedio;1949;1956;1883;1942
Municipios;0908;Moralzarzal;399;437;421;457
Municipios;0915;Morata de Tajuña;783;763;740;755
Municipios;0920;Móstoles;14224;13977;13949;14018
Municipios;0936;Navacerrada;92;92;98;100
Municipios;0941;Navalafuente;37;32;32;36
