Serie;Codigo_municipio;Nombre;2020;2021; 2022
Comunidad de Madrid;;Comunidad de Madrid;1.75;-0.42;-0.01;
Zonas Estadísticas;01;Municipio de Madrid ;2.10;-0.88;-0.75;
Zonas Estadísticas;02;Norte Metropolitano ;0.23;-0.34;0.89;
Zonas Estadísticas;03;Este Metropolitano  ;2.03;0.02;1.11;
Zonas Estadísticas;04;Sur Metropolitano   ;1.05;-0.86;-0.25;
Zonas Estadísticas;05;Oeste Metropolitano ;1.26;0.25;1.39;
Zonas Estadísticas;06;Sierra Norte        ;3.11;3.01;1.31;
Zonas Estadísticas;07;Nordeste Comunidad  ;2.39;1.76;1.61;
Zonas Estadísticas;08;Sudeste Comunidad   ;2.26;2.05;1.79;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2.86;2.03;2.30;
Zonas Estadísticas;10;Sierra Sur          ;2.43;3.29;1.38;
Zonas Estadísticas;11;Sierra Central      ;1.92;1.71;1.05;
Municipios;0014;Acebeda (La);-19.05;-19.12;12.73;
Municipios;0029;Ajalvir;0.19;-0.95;1.60;
Municipios;0035;Alameda del Valle;2.00;20.59;-2.03;
Municipios;0040;Alamo (El);4.14;0.47;2.17;
Municipios;0053;Alcalá de Henares;0.98;-0.80;0.46;
Municipios;0066;Alcobendas;1.18;-1.54;0.39;
Municipios;0072;Alcorcón;1.10;-0.91;-0.31;
Municipios;0088;Aldea del Fresno;4.76;3.77;4.60;
Municipios;0091;Algete;1.23;-0.55;0.09;
Municipios;0105;Alpedrete;1.81;0.81;0.31;
Municipios;0112;Ambite;2.87;8.70;-2.11;
Municipios;0127;Anchuelo;1.18;5.68;-0.37;
Municipios;0133;Aranjuez;1.22;-0.83;-0.12;
Municipios;0148;Arganda del Rey;2.33;-0.52;2.07;
Municipios;0151;Arroyomolinos;4.90;2.28;3.40;
Municipios;0164;Atazar (El);1.12;21.11;-1.83;
Municipios;0170;Batres;3.92;4.00;0.16;
Municipios;0186;Becerril de la Sierra;2.82;3.97;1.46;
Municipios;0199;Belmonte de Tajo;1.14;4.04;1.03;
Municipios;0210;Berrueco (El);2.24;2.45;0.63;
Municipios;0203;Berzosa del Lozoya;8.29;-2.70;5.09;
Municipios;0225;Boadilla del Monte;3.97;4.09;6.05;
Municipios;0231;Boalo (El);2.06;4.52;2.58;
Municipios;0246;Braojos;0.49;5.83;0.00;
Municipios;0259;Brea de Tajo;-3.44;3.36;3.44;
Municipios;0262;Brunete;0.22;-0.32;1.11;
Municipios;0278;Buitrago del Lozoya;3.98;-0.97;0.41;
Municipios;0284;Bustarviejo;0.76;7.10;0.19;
Municipios;0297;Cabanillas de la Sierra;3.84;6.62;4.42;
Municipios;0301;Cabrera (La);2.59;1.68;0.83;
