Serie;Codigo_municipio;Nombre;2020;2021; 2022
Comunidad de Madrid;;Comunidad de Madrid;844.23;840.66;840.55;
Zonas Estadísticas;01;Municipio de Madrid ;5512.13;5463.66;5422.96;
Zonas Estadísticas;02;Norte Metropolitano ;832.48;829.62;836.98;
Zonas Estadísticas;03;Este Metropolitano  ;1604.47;1604.86;1622.68;
Zonas Estadísticas;04;Sur Metropolitano   ;1779.38;1764.16;1759.70;
Zonas Estadísticas;05;Oeste Metropolitano ;1015.02;1017.56;1031.70;
Zonas Estadísticas;06;Sierra Norte        ;32.28;33.26;33.69;
Zonas Estadísticas;07;Nordeste Comunidad  ;167.98;170.93;173.68;
Zonas Estadísticas;08;Sudeste Comunidad   ;74.87;76.41;77.78;
Zonas Estadísticas;09;Sudoeste Comunidad  ;242.87;247.79;253.49;
Zonas Estadísticas;10;Sierra Sur          ;49.44;51.06;51.77;
Zonas Estadísticas;11;Sierra Central      ;224.43;228.27;230.66;
Municipios;0014;Acebeda (La);3.11;2.51;2.83;
Municipios;0029;Ajalvir;238.43;236.16;239.95;
Municipios;0035;Alameda del Valle;7.93;9.56;9.36;
Municipios;0040;Alamo (El);448.07;450.16;459.93;
Municipios;0053;Alcalá de Henares;2245.28;2227.32;2237.62;
Municipios;0066;Alcobendas;2615.79;2575.41;2585.40;
Municipios;0072;Alcorcón;5130.48;5083.84;5068.33;
Municipios;0088;Aldea del Fresno;57.52;59.68;62.43;
Municipios;0091;Algete;549.78;546.75;547.22;
Municipios;0105;Alpedrete;1171.19;1180.66;1184.37;
Municipios;0112;Ambite;23.59;25.64;25.10;
Municipios;0127;Anchuelo;59.51;62.89;62.66;
Municipios;0133;Aranjuez;318.93;316.29;315.92;
Municipios;0148;Arganda del Rey;705.65;702.02;716.55;
Municipios;0151;Arroyomolinos;1582.65;1618.79;1673.86;
Municipios;0164;Atazar (El);3.16;3.83;3.76;
Municipios;0170;Batres;81.85;85.13;85.27;
Municipios;0186;Becerril de la Sierra;198.08;205.93;208.93;
Municipios;0199;Belmonte de Tajo;69.86;72.69;73.43;
Municipios;0210;Berrueco (El);27.33;28.00;28.17;
Municipios;0203;Berzosa del Lozoya;15.17;14.76;15.52;
Municipios;0225;Boadilla del Monte;1194.65;1243.46;1318.74;
Municipios;0231;Boalo (El);190.95;199.58;204.73;
Municipios;0246;Braojos;8.26;8.74;8.74;
Municipios;0259;Brea de Tajo;11.30;11.68;12.09;
Municipios;0262;Brunete;218.65;217.96;220.38;
Municipios;0278;Buitrago del Lozoya;75.43;74.70;75.01;
Municipios;0284;Bustarviejo;44.88;48.06;48.15;
Municipios;0297;Cabanillas de la Sierra;56.80;60.56;63.24;
Municipios;0301;Cabrera (La);123.47;125.54;126.58;
Municipios;0318;Cadalso de los Vidrios;63.65;66.91;66.70;
Municipios;0323;Camarma de Esteruelas;211.22;214.57;215.71;
Municipios;0339;Campo Real;103.87;103.80;107.60;
Municipios;0344;Canencia;8.25;8.51;8.40;
Municipios;0357;Carabaña;43.65;44.93;46.36;
Municipios;0360;Casarrubuelos;720.04;737.64;741.76;
Municipios;0376;Cenicientos;29.85;30.51;30.60;
Municipios;0382;Cercedilla;201.48;205.79;210.65;
Municipios;0395;Cervera de Buitrago;14.03;13.68;14.63;
Municipios;0513;Chapinería;94.44;97.57;98.28;
Municipios;0528;Chinchón;46.71;47.51;48.82;
Municipios;0409;Ciempozuelos;508.28;507.86;513.93;
Municipios;0416;Cobeña;359.73;357.71;362.85;
Municipios;0468;Collado Mediano;319.90;330.84;335.70;
Municipios;0474;Collado Villalba;2552.66;2530.73;2548.10;
Municipios;0455;Colmenar Viejo;283.85;286.81;291.78;
Municipios;0437;Colmenar de Oreja;64.49;65.67;66.93;
Municipios;0421;Colmenar del Arroyo;36.20;38.02;39.26;
Municipios;0442;Colmenarejo;293.02;297.65;300.73;
Municipios;0480;Corpa;27.85;28.58;29.43;
Municipios;0493;Coslada;6765.67;6755.86;6699.58;
Municipios;0506;Cubas de la Sagra;506.90;514.88;519.22;
Municipios;0534;Daganzo de Arriba;237.96;242.17;245.17;
Municipios;0549;Escorial (El);237.79;241.12;241.47;
Municipios;0552;Estremera;16.84;17.44;17.80;
Municipios;0565;Fresnedillas de la Oliva;58.09;61.29;62.77;
Municipios;0571;Fresno de Torote;72.34;76.02;76.90;
Municipios;0587;Fuenlabrada;4960.83;4902.65;4842.92;
Municipios;0590;Fuente el Saz de Jarama;205.22;207.51;212.06;
Municipios;0604;Fuentidueña de Tajo;35.46;36.99;37.36;
Municipios;0611;Galapagar;528.77;532.07;533.94;
Municipios;0626;Garganta de los Montes;9.34;10.18;9.79;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12.77;14.21;14.92;
Municipios;0647;Gascones;8.77;9.52;10.57;
Municipios;0650;Getafe;2353.29;2326.79;2328.36;
Municipios;0663;Griñón;610.23;612.11;613.51;
Municipios;0679;Guadalix de la Sierra;106.78;109.34;110.63;
Municipios;0685;Guadarrama;289.56;292.83;295.87;
Municipios;0698;Hiruela (La);3.79;4.19;4.37;
Municipios;0702;Horcajo de la Sierra-Aoslos;7.16;8.01;9.47;
Municipios;0719;Horcajuelo de la Sierra;3.73;4.44;4.61;
Municipios;0724;Hoyo de Manzanares;188.53;191.87;194.76;
Municipios;0730;Humanes de Madrid;1000.56;1002.34;1007.52;
Municipios;0745;Leganés;4418.82;4341.32;4315.84;
Municipios;0758;Loeches;200.61;199.77;201.67;
Municipios;0761;Lozoya;10.02;10.25;10.40;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;26.03;27.34;28.39;
Municipios;0783;Madarcos;5.72;6.66;7.36;
Municipios;0796;Madrid;5512.13;5463.66;5422.96;
Municipios;0800;Majadahonda;1874.64;1871.50;1875.27;
Municipios;0822;Manzanares el Real;69.92;72.00;72.36;
Municipios;0838;Meco;419.74;426.41;433.28;
Municipios;0843;Mejorada del Campo;1316.94;1322.40;1331.31;
Municipios;0856;Miraflores de la Sierra;112.70;116.65;118.88;
Municipios;0869;Molar (El);184.96;185.04;187.95;
Municipios;0875;Molinos (Los);231.13;237.90;244.99;
Municipios;0881;Montejo de la Sierra;11.30;11.33;11.55;
Municipios;0894;Moraleja de Enmedio;166.72;169.73;172.11;
Municipios;0908;Moralzarzal;306.18;311.66;319.29;
Municipios;0915;Morata de Tajuña;173.15;174.85;175.64;
Municipios;0920;Móstoles;4676.65;4661.75;4642.23;
Municipios;0936;Navacerrada;94.73;98.68;98.62;
Municipios;0941;Navalafuente;123.95;129.04;129.12;
Municipios;0954;Navalagamella;34.80;35.89;37.07;
Municipios;0967;Navalcarnero;297.20;304.24;311.02;
Municipios;0973;Navarredonda y San Mamés;4.53;4.95;4.84;
Municipios;0992;Navas del Rey;58.69;60.59;62.01;
Municipios;1006;Nuevo Baztán;320.78;329.52;335.98;
Municipios;1013;Olmeda de las Fuentes;20.92;21.58;22.73;
Municipios;1028;Orusco de Tajuña;60.57;60.38;62.02;
Municipios;1049;Paracuellos de Jarama;591.58;598.84;603.74;
Municipios;1065;Parla;5343.55;5271.78;5227.26;
Municipios;1071;Patones;15.37;14.95;15.29;
Municipios;1087;Pedrezuela;215.41;218.07;220.91;
Municipios;1090;Pelayos de la Presa;353.50;373.45;378.73;
Municipios;1104;Perales de Tajuña;60.62;62.02;63.20;
Municipios;1111;Pezuela de las Torres;20.79;22.22;22.32;
Municipios;1126;Pinilla del Valle;7.47;7.70;7.78;
Municipios;1132;Pinto;859.66;863.08;871.97;
Municipios;1147;Piñuécar-Gandullas;9.81;10.14;10.08;
Municipios;1150;Pozuelo de Alarcón;2022.86;2022.14;2035.92;
Municipios;1163;Pozuelo del Rey;37.88;38.46;38.07;
Municipios;1179;Prádena del Rincón;5.55;6.62;6.53;
Municipios;1185;Puebla de la Sierra;1.29;1.32;1.48;
Municipios;9020;Puentes Viejas;11.93;12.27;11.90;
Municipios;1198;Quijorna;137.78;139.81;143.31;
Municipios;1202;Rascafría;11.55;11.74;11.62;
Municipios;1219;Redueña;20.71;22.55;22.85;
Municipios;1224;Ribatejada;24.87;26.79;27.04;
Municipios;1230;Rivas-Vaciamadrid;1350.75;1379.73;1435.63;
Municipios;1245;Robledillo de la Jara;4.52;4.61;5.42;
Municipios;1258;Robledo de Chavela;46.32;47.54;48.68;
Municipios;1261;Robregordo;3.54;3.87;3.81;
Municipios;1277;Rozas de Madrid (Las);1647.18;1625.74;1640.53;
Municipios;1283;Rozas de Puerto Real;18.78;19.97;19.53;
Municipios;1296;San Agustín del Guadalix;351.87;353.75;355.58;
Municipios;1300;San Fernando de Henares;1017.91;1011.40;1000.87;
Municipios;1317;San Lorenzo de El Escorial;328.58;327.20;326.65;
Municipios;1338;San Martín de Valdeiglesias;74.52;75.22;75.67;
Municipios;1322;San Martín de la Vega;186.68;188.77;189.47;
Municipios;1343;San Sebastián de los Reyes;1539.39;1534.96;1537.01;
Municipios;1356;Santa María de la Alameda;17.45;18.97;19.80;
Municipios;1369;Santorcaz;31.83;32.75;33.32;
Municipios;1375;Santos de la Humosa (Los);76.84;77.84;78.47;
Municipios;1381;Serna del Monte (La);15.76;17.39;19.57;
Municipios;1408;Serranillos del Valle;329.06;339.65;345.78;
Municipios;1415;Sevilla la Nueva;379.67;377.73;378.38;
Municipios;1436;Somosierra;4.26;4.26;4.26;
Municipios;1441;Soto del Real;209.54;212.11;214.37;
Municipios;1454;Talamanca de Jarama;104.18;107.06;109.32;
Municipios;1467;Tielmes;102.86;104.55;104.62;
Municipios;1473;Titulcia;132.25;134.12;131.76;
Municipios;1489;Torrejón de Ardoz;4101.67;4099.14;4159.71;
Municipios;1505;Torrejón de Velasco;84.04;88.02;89.77;
Municipios;1492;Torrejón de la Calzada;1024.97;1064.55;1108.92;
Municipios;1512;Torrelaguna;112.65;113.65;114.64;
Municipios;1527;Torrelodones;1102.49;1112.64;1142.76;
Municipios;1533;Torremocha de Jarama;56.82;57.03;57.98;
Municipios;1548;Torres de la Alameda;180.65;178.25;177.91;
Municipios;9036;Tres Cantos;1273.08;1284.27;1322.10;
Municipios;1551;Valdaracete;9.48;9.58;9.82;
Municipios;1564;Valdeavero;84.94;89.16;90.82;
Municipios;1570;Valdelaguna;23.26;24.38;24.14;
Municipios;1586;Valdemanco;54.10;56.85;58.03;
Municipios;1599;Valdemaqueda;14.98;15.25;15.43;
Municipios;1603;Valdemorillo;136.02;141.05;143.27;
Municipios;1610;Valdemoro;1202.83;1207.77;1231.32;
Municipios;1625;Valdeolmos-Alalpardo;163.59;166.56;169.93;
Municipios;1631;Valdepiélagos;34.69;34.58;35.08;
Municipios;1646;Valdetorres de Jarama;130.48;133.75;137.57;
Municipios;1659;Valdilecha;70.03;72.31;72.90;
Municipios;1662;Valverde de Alcalá;36.22;37.67;38.69;
Municipios;1678;Velilla de San Antonio;860.92;872.25;888.04;
Municipios;1684;Vellón (El);59.80;62.16;63.38;
Municipios;1697;Venturada;219.06;233.33;239.00;
Municipios;1718;Villa del Prado;86.16;88.44;91.73;
Municipios;1701;Villaconejos;102.79;104.06;103.81;
Municipios;1723;Villalbilla;414.52;433.44;456.97;
Municipios;1739;Villamanrique de Tajo;23.88;25.73;25.57;
Municipios;1744;Villamanta;41.18;41.78;42.90;
Municipios;1757;Villamantilla;61.90;63.24;65.46;
Municipios;1782;Villanueva de Perales;50.62;50.84;51.61;
Municipios;1760;Villanueva de la Cañada;635.67;649.04;656.65;
Municipios;1776;Villanueva del Pardillo;683.54;680.16;682.99;
Municipios;1795;Villar del Olmo;74.78;79.53;79.82;
Municipios;1809;Villarejo de Salvanés;62.41;63.41;64.06;
Municipios;1816;Villaviciosa de Odón;412.55;410.82;412.60;
Municipios;1821;Villavieja del Lozoya;11.24;11.84;12.18;
