Serie;Codigo_municipio;Nombre;2020;2021; 2022
Comunidad de Madrid;;Comunidad de Madrid;41.98;42.20;42.52;
Zonas Estadísticas;01;Municipio de Madrid ;43.56;43.70;43.95;
Zonas Estadísticas;02;Norte Metropolitano ;39.74;40.07;40.42;
Zonas Estadísticas;03;Este Metropolitano  ;40.33;40.65;41.03;
Zonas Estadísticas;04;Sur Metropolitano   ;41.20;41.56;42.00;
Zonas Estadísticas;05;Oeste Metropolitano ;39.80;40.11;40.46;
Zonas Estadísticas;06;Sierra Norte        ;42.35;42.55;42.88;
Zonas Estadísticas;07;Nordeste Comunidad  ;38.21;38.55;38.97;
Zonas Estadísticas;08;Sudeste Comunidad   ;40.42;40.59;40.90;
Zonas Estadísticas;09;Sudoeste Comunidad  ;37.71;37.95;38.35;
Zonas Estadísticas;10;Sierra Sur          ;43.05;43.07;43.33;
Zonas Estadísticas;11;Sierra Central      ;40.69;41.03;41.45;
Municipios;0014;Acebeda (La);59.84;60.09;59.18;
Municipios;0029;Ajalvir;38.81;39.37;39.73;
Municipios;0035;Alameda del Valle;49.75;47.89;48.72;
Municipios;0040;Alamo (El);41.57;41.58;42.23;
Municipios;0053;Alcalá de Henares;42.32;42.62;42.99;
Municipios;0066;Alcobendas;40.50;40.94;41.30;
Municipios;0072;Alcorcón;43.74;43.99;44.45;
Municipios;0088;Aldea del Fresno;42.29;42.38;42.91;
Municipios;0091;Algete;39.43;39.89;40.15;
Municipios;0105;Alpedrete;40.06;40.52;40.89;
Municipios;0112;Ambite;45.98;45.64;46.17;
Municipios;0127;Anchuelo;39.81;39.34;39.24;
Municipios;0133;Aranjuez;40.83;41.15;41.49;
Municipios;0148;Arganda del Rey;38.65;38.94;39.36;
Municipios;0151;Arroyomolinos;33.26;33.86;34.32;
Municipios;0164;Atazar (El);50.23;47.64;48.38;
Municipios;0170;Batres;41.58;41.79;42.08;
Municipios;0186;Becerril de la Sierra;41.54;41.99;42.13;
Municipios;0199;Belmonte de Tajo;41.88;42.19;42.32;
Municipios;0210;Berrueco (El);45.20;45.34;45.23;
Municipios;0203;Berzosa del Lozoya;50.50;49.78;48.64;
Municipios;0225;Boadilla del Monte;37.30;37.45;37.62;
Municipios;0231;Boalo (El);39.01;39.41;39.72;
Municipios;0246;Braojos;44.67;44.58;45.43;
Municipios;0259;Brea de Tajo;47.95;48.41;47.90;
Municipios;0262;Brunete;38.96;39.40;40.05;
Municipios;0278;Buitrago del Lozoya;41.68;42.56;42.41;
Municipios;0284;Bustarviejo;42.26;42.46;42.95;
Municipios;0297;Cabanillas de la Sierra;42.61;42.31;42.21;
Municipios;0301;Cabrera (La);42.09;42.73;42.77;
Municipios;0318;Cadalso de los Vidrios;43.65;44.20;44.32;
Municipios;0323;Camarma de Esteruelas;37.00;38.40;38.83;
Municipios;0339;Campo Real;39.09;39.22;39.63;
Municipios;0344;Canencia;51.16;51.23;51.81;
Municipios;0357;Carabaña;41.96;41.95;42.19;
Municipios;0360;Casarrubuelos;37.58;38.01;38.48;
Municipios;0376;Cenicientos;46.68;46.56;47.06;
Municipios;0382;Cercedilla;42.79;43.13;43.23;
Municipios;0395;Cervera de Buitrago;51.26;52.61;52.34;
Municipios;0513;Chapinería;41.24;41.32;41.36;
Municipios;0528;Chinchón;43.25;43.58;43.97;
Municipios;0409;Ciempozuelos;39.00;40.30;40.96;
Municipios;0416;Cobeña;36.74;37.13;37.45;
Municipios;0468;Collado Mediano;41.03;41.29;41.61;
Municipios;0474;Collado Villalba;40.43;40.86;41.23;
Municipios;0455;Colmenar Viejo;39.38;39.53;39.89;
Municipios;0437;Colmenar de Oreja;42.77;43.04;43.22;
Municipios;0421;Colmenar del Arroyo;43.45;43.36;43.70;
Municipios;0442;Colmenarejo;38.84;39.27;39.77;
Municipios;0480;Corpa;39.83;39.68;40.52;
Municipios;0493;Coslada;43.60;43.98;44.51;
Municipios;0506;Cubas de la Sagra;37.31;37.17;37.36;
Municipios;0534;Daganzo de Arriba;36.40;36.83;37.35;
Municipios;0549;Escorial (El);42.93;43.21;43.61;
Municipios;0552;Estremera;45.83;45.62;45.89;
Municipios;0565;Fresnedillas de la Oliva;38.78;38.71;39.37;
Municipios;0571;Fresno de Torote;39.57;39.78;40.04;
Municipios;0587;Fuenlabrada;40.40;40.93;41.51;
Municipios;0590;Fuente el Saz de Jarama;40.15;40.43;40.64;
Municipios;0604;Fuentidueña de Tajo;43.17;43.06;43.54;
Municipios;0611;Galapagar;39.69;40.24;40.71;
Municipios;0626;Garganta de los Montes;47.18;46.25;47.12;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;48.12;47.69;47.51;
Municipios;0647;Gascones;42.68;42.63;42.73;
Municipios;0650;Getafe;41.88;42.18;42.47;
Municipios;0663;Griñón;40.25;40.61;40.99;
Municipios;0679;Guadalix de la Sierra;40.23;40.52;40.98;
Municipios;0685;Guadarrama;41.80;41.94;42.35;
Municipios;0698;Hiruela (La);53.54;52.13;50.88;
Municipios;0702;Horcajo de la Sierra-Aoslos;44.67;44.55;44.93;
Municipios;0719;Horcajuelo de la Sierra;47.61;46.65;46.93;
Municipios;0724;Hoyo de Manzanares;40.83;41.09;41.55;
Municipios;0730;Humanes de Madrid;36.01;36.45;37.04;
Municipios;0745;Leganés;43.54;43.94;44.35;
Municipios;0758;Loeches;36.63;37.04;37.52;
Municipios;0761;Lozoya;49.42;49.86;50.23;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;44.11;44.23;44.21;
Municipios;0783;Madarcos;53.10;48.11;48.56;
Municipios;0796;Madrid;43.56;43.70;43.95;
Municipios;0800;Majadahonda;40.35;40.74;41.14;
Municipios;0822;Manzanares el Real;39.68;40.11;40.61;
Municipios;0838;Meco;36.90;37.29;37.70;
Municipios;0843;Mejorada del Campo;39.34;39.71;40.17;
Municipios;0856;Miraflores de la Sierra;41.20;41.54;41.87;
Municipios;0869;Molar (El);38.52;38.99;39.32;
Municipios;0875;Molinos (Los);44.08;44.22;44.46;
Municipios;0881;Montejo de la Sierra;49.89;50.35;50.89;
Municipios;0894;Moraleja de Enmedio;39.59;39.77;40.07;
Municipios;0908;Moralzarzal;39.76;40.11;40.60;
Municipios;0915;Morata de Tajuña;41.87;41.79;42.42;
Municipios;0920;Móstoles;42.81;43.14;43.58;
Municipios;0936;Navacerrada;43.78;43.82;44.46;
Municipios;0941;Navalafuente;39.25;39.64;39.88;
Municipios;0954;Navalagamella;39.75;39.92;39.87;
Municipios;0967;Navalcarnero;37.53;37.68;38.19;
Municipios;0973;Navarredonda y San Mamés;55.29;53.60;53.28;
Municipios;0992;Navas del Rey;42.34;42.34;42.48;
Municipios;1006;Nuevo Baztán;40.71;41.13;41.44;
Municipios;1013;Olmeda de las Fuentes;41.15;41.64;41.71;
Municipios;1028;Orusco de Tajuña;44.10;44.53;44.45;
Municipios;1049;Paracuellos de Jarama;34.74;35.20;35.75;
Municipios;1065;Parla;37.30;37.74;38.23;
Municipios;1071;Patones;50.28;48.10;48.61;
Municipios;1087;Pedrezuela;37.65;38.16;38.49;
Municipios;1090;Pelayos de la Presa;42.95;43.13;43.34;
Municipios;1104;Perales de Tajuña;41.71;41.66;41.70;
Municipios;1111;Pezuela de las Torres;43.09;43.25;43.15;
Municipios;1126;Pinilla del Valle;50.16;50.04;49.98;
Municipios;1132;Pinto;38.73;39.05;39.50;
Municipios;1147;Piñuécar-Gandullas;45.89;46.96;46.16;
Municipios;1150;Pozuelo de Alarcón;41.10;41.37;41.67;
Municipios;1163;Pozuelo del Rey;36.92;37.43;37.89;
Municipios;1179;Prádena del Rincón;46.54;45.62;46.64;
Municipios;1185;Puebla de la Sierra;51.59;49.80;49.43;
Municipios;9020;Puentes Viejas;45.36;45.21;45.77;
Municipios;1198;Quijorna;38.19;38.42;38.96;
Municipios;1202;Rascafría;47.71;48.15;49.06;
Municipios;1219;Redueña;42.85;43.26;43.27;
Municipios;1224;Ribatejada;42.34;42.72;43.29;
Municipios;1230;Rivas-Vaciamadrid;36.59;36.93;37.28;
Municipios;1245;Robledillo de la Jara;53.64;53.90;49.77;
Municipios;1258;Robledo de Chavela;44.12;44.26;44.46;
Municipios;1261;Robregordo;53.69;50.37;51.33;
Municipios;1277;Rozas de Madrid (Las);39.13;39.46;39.90;
Municipios;1283;Rozas de Puerto Real;49.72;49.56;50.78;
Municipios;1296;San Agustín del Guadalix;37.40;37.84;38.44;
Municipios;1300;San Fernando de Henares;41.43;41.79;42.35;
Municipios;1317;San Lorenzo de El Escorial;42.35;42.61;43.19;
Municipios;1338;San Martín de Valdeiglesias;43.22;43.01;43.37;
Municipios;1322;San Martín de la Vega;37.44;37.74;38.19;
