Serie;Codigo_municipio;Nombre;2020;2021; 2022
Comunidad de Madrid;;Comunidad de Madrid;30.24;30.71;31.36;
Zonas Estadísticas;01;Municipio de Madrid ;32.79;33.16;33.76;
Zonas Estadísticas;02;Norte Metropolitano ;26.66;27.36;28.09;
Zonas Estadísticas;03;Este Metropolitano  ;27.44;28.03;28.68;
Zonas Estadísticas;04;Sur Metropolitano   ;29.08;29.66;30.39;
Zonas Estadísticas;05;Oeste Metropolitano ;27.40;28.13;28.93;
Zonas Estadísticas;06;Sierra Norte        ;30.13;30.55;31.40;
Zonas Estadísticas;07;Nordeste Comunidad  ;22.24;22.91;23.78;
Zonas Estadísticas;08;Sudeste Comunidad   ;27.25;27.62;28.20;
Zonas Estadísticas;09;Sudoeste Comunidad  ;21.97;22.33;23.04;
Zonas Estadísticas;10;Sierra Sur          ;32.63;33.06;33.67;
Zonas Estadísticas;11;Sierra Central      ;27.74;28.57;29.54;
Municipios;0014;Acebeda (La);67.65;69.09;70.97;
Municipios;0029;Ajalvir;20.93;22.39;23.09;
Municipios;0035;Alameda del Valle;42.16;42.68;46.06;
Municipios;0040;Alamo (El);28.76;28.94;30.15;
Municipios;0053;Alcalá de Henares;30.95;31.50;32.15;
Municipios;0066;Alcobendas;27.92;28.79;29.49;
Municipios;0072;Alcorcón;33.02;33.34;34.06;
Municipios;0088;Aldea del Fresno;31.48;31.64;32.38;
Municipios;0091;Algete;26.87;27.97;28.98;
Municipios;0105;Alpedrete;25.98;27.17;28.10;
Municipios;0112;Ambite;33.83;34.14;37.04;
Municipios;0127;Anchuelo;25.89;25.24;25.78;
Municipios;0133;Aranjuez;28.75;29.36;30.12;
Municipios;0148;Arganda del Rey;23.72;24.16;24.88;
Municipios;0151;Arroyomolinos;13.26;13.93;14.81;
Municipios;0164;Atazar (El);43.33;36.70;39.25;
Municipios;0170;Batres;29.43;29.89;30.39;
Municipios;0186;Becerril de la Sierra;29.51;30.34;30.74;
Municipios;0199;Belmonte de Tajo;30.54;30.61;30.98;
Municipios;0210;Berrueco (El);36.94;37.19;37.70;
Municipios;0203;Berzosa del Lozoya;48.20;46.76;45.37;
Municipios;0225;Boadilla del Monte;21.50;21.91;22.37;
Municipios;0231;Boalo (El);23.62;24.27;25.05;
Municipios;0246;Braojos;33.98;34.86;35.32;
Municipios;0259;Brea de Tajo;42.09;42.45;41.77;
Municipios;0262;Brunete;23.56;24.59;26.07;
Municipios;0278;Buitrago del Lozoya;30.37;31.34;31.57;
Municipios;0284;Bustarviejo;29.86;29.80;30.60;
Municipios;0297;Cabanillas de la Sierra;30.32;29.27;29.52;
Municipios;0301;Cabrera (La);29.57;30.77;31.05;
Municipios;0318;Cadalso de los Vidrios;34.07;35.65;36.33;
Municipios;0323;Camarma de Esteruelas;21.89;22.55;23.24;
Municipios;0339;Campo Real;24.66;24.72;25.18;
Municipios;0344;Canencia;46.76;48.16;51.21;
Municipios;0357;Carabaña;29.12;29.08;29.68;
Municipios;0360;Casarrubuelos;21.61;22.16;22.49;
Municipios;0376;Cenicientos;41.02;41.00;42.27;
Municipios;0382;Cercedilla;31.81;32.71;32.87;
Municipios;0395;Cervera de Buitrago;43.83;48.73;49.70;
Municipios;0513;Chapinería;29.95;30.51;30.65;
Municipios;0528;Chinchón;33.12;33.89;34.45;
Municipios;0409;Ciempozuelos;25.87;26.60;27.81;
Municipios;0416;Cobeña;20.45;21.40;22.26;
Municipios;0468;Collado Mediano;28.39;28.89;29.72;
Municipios;0474;Collado Villalba;27.54;28.46;29.45;
Municipios;0455;Colmenar Viejo;25.84;26.27;26.95;
Municipios;0437;Colmenar de Oreja;32.01;32.53;32.70;
Municipios;0421;Colmenar del Arroyo;32.16;32.27;33.16;
Municipios;0442;Colmenarejo;24.44;25.36;26.52;
Municipios;0480;Corpa;26.83;26.68;27.88;
Municipios;0493;Coslada;35.19;35.63;36.33;
Municipios;0506;Cubas de la Sagra;20.63;20.46;20.74;
Municipios;0534;Daganzo de Arriba;17.70;18.74;20.14;
Municipios;0549;Escorial (El);33.21;34.07;35.17;
Municipios;0552;Estremera;36.66;35.92;36.81;
Municipios;0565;Fresnedillas de la Oliva;25.50;25.60;26.35;
Municipios;0571;Fresno de Torote;24.31;24.75;24.80;
Municipios;0587;Fuenlabrada;28.69;29.69;30.84;
Municipios;0590;Fuente el Saz de Jarama;27.03;27.59;27.94;
Municipios;0604;Fuentidueña de Tajo;33.24;33.35;33.96;
Municipios;0611;Galapagar;27.16;28.41;29.56;
Municipios;0626;Garganta de los Montes;38.73;37.96;39.75;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;41.10;38.95;41.27;
Municipios;0647;Gascones;32.39;33.51;34.43;
Municipios;0650;Getafe;29.95;30.39;30.82;
Municipios;0663;Griñón;27.38;27.87;28.78;
Municipios;0679;Guadalix de la Sierra;25.92;26.74;27.86;
Municipios;0685;Guadarrama;30.01;30.42;31.41;
Municipios;0698;Hiruela (La);56.92;51.39;50.67;
Municipios;0702;Horcajo de la Sierra-Aoslos;35.53;35.29;35.32;
Municipios;0719;Horcajuelo de la Sierra;41.57;38.68;42.73;
Municipios;0724;Hoyo de Manzanares;29.76;30.40;31.36;
Municipios;0730;Humanes de Madrid;19.13;19.79;20.44;
Municipios;0745;Leganés;33.55;34.11;34.68;
Municipios;0758;Loeches;18.26;19.47;20.54;
Municipios;0761;Lozoya;42.59;43.68;44.85;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;32.01;31.84;32.24;
Municipios;0783;Madarcos;44.90;35.09;38.10;
Municipios;0796;Madrid;32.79;33.16;33.76;
Municipios;0800;Majadahonda;28.83;29.64;30.55;
Municipios;0822;Manzanares el Real;24.53;25.16;26.08;
Municipios;0838;Meco;19.91;20.83;21.88;
Municipios;0843;Mejorada del Campo;25.67;26.51;27.31;
Municipios;0856;Miraflores de la Sierra;28.18;29.01;29.74;
Municipios;0869;Molar (El);22.57;23.17;23.95;
Municipios;0875;Molinos (Los);35.42;36.23;37.26;
Municipios;0881;Montejo de la Sierra;42.58;44.66;45.43;
Municipios;0894;Moraleja de Enmedio;26.08;26.73;27.33;
Municipios;0908;Moralzarzal;25.41;26.26;27.16;
Municipios;0915;Morata de Tajuña;30.16;30.12;31.44;
Municipios;0920;Móstoles;33.28;33.71;34.34;
Municipios;0936;Navacerrada;32.97;33.11;34.40;
Municipios;0941;Navalafuente;24.75;26.06;27.13;
Municipios;0954;Navalagamella;25.29;26.29;26.66;
Municipios;0967;Navalcarnero;22.03;22.38;23.06;
Municipios;0973;Navarredonda y San Mamés;58.91;57.45;59.42;
Municipios;0992;Navas del Rey;30.75;30.96;31.43;
Municipios;1006;Nuevo Baztán;28.71;29.38;30.16;
Municipios;1013;Olmeda de las Fuentes;28.03;28.57;28.46;
Municipios;1028;Orusco de Tajuña;34.05;33.69;33.18;
Municipios;1049;Paracuellos de Jarama;15.54;16.26;17.19;
Municipios;1065;Parla;21.72;22.34;23.12;
Municipios;1071;Patones;45.83;41.98;42.91;
Municipios;1087;Pedrezuela;20.93;21.59;22.05;
Municipios;1090;Pelayos de la Presa;32.40;33.00;33.48;
Municipios;1104;Perales de Tajuña;29.30;29.78;29.68;
Municipios;1111;Pezuela de las Torres;32.76;33.33;32.76;
Municipios;1126;Pinilla del Valle;46.32;47.45;46.97;
Municipios;1132;Pinto;23.20;23.75;24.69;
Municipios;1147;Piñuécar-Gandullas;35.20;37.84;36.96;
Municipios;1150;Pozuelo de Alarcón;31.15;31.81;32.50;
Municipios;1163;Pozuelo del Rey;20.65;21.01;21.65;
Municipios;1179;Prádena del Rincón;35.20;32.89;34.69;
Municipios;1185;Puebla de la Sierra;46.58;44.00;40.48;
Municipios;9020;Puentes Viejas;36.48;36.44;37.73;
Municipios;1198;Quijorna;22.28;22.85;23.62;
Municipios;1202;Rascafría;41.51;43.39;45.91;
Municipios;1219;Redueña;29.63;29.93;29.53;
Municipios;1224;Ribatejada;29.34;29.43;30.31;
Municipios;1230;Rivas-Vaciamadrid;21.32;22.15;22.78;
Municipios;1245;Robledillo de la Jara;50.53;50.52;43.86;
Municipios;1258;Robledo de Chavela;33.96;34.65;35.27;
Municipios;1261;Robregordo;46.15;42.25;41.43;
Municipios;1277;Rozas de Madrid (Las);25.92;26.69;27.68;
Municipios;1283;Rozas de Puerto Real;43.24;43.05;44.89;
Municipios;1296;San Agustín del Guadalix;21.45;22.29;23.75;
Municipios;1300;San Fernando de Henares;29.71;30.64;32.05;
Municipios;1317;San Lorenzo de El Escorial;31.73;32.69;33.90;
Municipios;1338;San Martín de Valdeiglesias;32.86;32.93;33.60;
Municipios;1322;San Martín de la Vega;21.33;22.12;23.09;
Municipios;1343;San Sebastián de los Reyes;26.01;26.53;27.22;
