Serie;Codigo_municipio;Nombre;2020;2021; 2022
Comunidad de Madrid;;Comunidad de Madrid;25.07;24.95;24.82;
Zonas Estadísticas;01;Municipio de Madrid ;22.64;22.49;22.37;
Zonas Estadísticas;02;Norte Metropolitano ;28.34;28.16;28.02;
Zonas Estadísticas;03;Este Metropolitano  ;26.57;26.45;26.28;
Zonas Estadísticas;04;Sur Metropolitano   ;26.02;25.94;25.80;
Zonas Estadísticas;05;Oeste Metropolitano ;30.33;30.11;29.95;
Zonas Estadísticas;06;Sierra Norte        ;25.39;25.12;24.92;
Zonas Estadísticas;07;Nordeste Comunidad  ;29.97;29.81;29.48;
Zonas Estadísticas;08;Sudeste Comunidad   ;27.16;27.05;26.86;
Zonas Estadísticas;09;Sudoeste Comunidad  ;31.05;30.98;30.80;
Zonas Estadísticas;10;Sierra Sur          ;25.38;25.13;25.04;
Zonas Estadísticas;11;Sierra Central      ;28.37;28.11;27.81;
Municipios;0014;Acebeda (La);7.35;7.27;6.45;
Municipios;0029;Ajalvir;26.31;26.09;26.23;
Municipios;0035;Alameda del Valle;16.18;18.29;17.43;
Municipios;0040;Alamo (El);27.86;27.80;27.34;
Municipios;0053;Alcalá de Henares;24.81;24.65;24.41;
Municipios;0066;Alcobendas;27.47;27.21;27.07;
Municipios;0072;Alcorcón;24.26;24.30;24.12;
Municipios;0088;Aldea del Fresno;25.29;24.89;24.48;
Municipios;0091;Algete;30.43;30.15;30.08;
Municipios;0105;Alpedrete;29.97;29.67;29.40;
Municipios;0112;Ambite;19.70;20.54;20.52;
Municipios;0127;Anchuelo;26.05;27.52;28.36;
Municipios;0133;Aranjuez;27.91;27.62;27.47;
Municipios;0148;Arganda del Rey;28.19;28.04;27.80;
Municipios;0151;Arroyomolinos;35.59;35.48;35.43;
Municipios;0164;Atazar (El);15.56;19.27;17.76;
Municipios;0170;Batres;25.94;25.55;25.67;
Municipios;0186;Becerril de la Sierra;26.72;26.39;26.29;
Municipios;0199;Belmonte de Tajo;24.24;24.33;24.70;
Municipios;0210;Berrueco (El);22.27;22.74;23.10;
Municipios;0203;Berzosa del Lozoya;22.07;23.15;22.47;
Municipios;0225;Boadilla del Monte;34.89;34.94;34.84;
Municipios;0231;Boalo (El);29.78;29.57;29.70;
Municipios;0246;Braojos;22.82;22.02;21.10;
Municipios;0259;Brea de Tajo;22.33;20.08;21.44;
Municipios;0262;Brunete;29.73;29.28;28.83;
Municipios;0278;Buitrago del Lozoya;28.89;27.11;27.41;
Municipios;0284;Bustarviejo;24.43;24.07;23.87;
Municipios;0297;Cabanillas de la Sierra;25.99;25.93;25.74;
Municipios;0301;Cabrera (La);26.32;25.70;25.35;
Municipios;0318;Cadalso de los Vidrios;24.42;23.38;23.27;
Municipios;0323;Camarma de Esteruelas;30.25;30.14;29.78;
Municipios;0339;Campo Real;27.99;27.68;27.53;
Municipios;0344;Canencia;17.90;18.87;16.70;
Municipios;0357;Carabaña;25.90;25.86;25.79;
Municipios;0360;Casarrubuelos;30.01;29.83;29.46;
Municipios;0376;Cenicientos;22.18;22.37;21.78;
Municipios;0382;Cercedilla;24.97;24.34;24.37;
Municipios;0395;Cervera de Buitrago;16.67;13.92;14.20;
Municipios;0513;Chapinería;28.58;28.23;27.75;
Municipios;0528;Chinchón;24.09;23.96;23.56;
Municipios;0409;Ciempozuelos;27.01;26.94;26.32;
Municipios;0416;Cobeña;33.06;32.64;32.71;
Municipios;0468;Collado Mediano;27.99;27.49;27.17;
Municipios;0474;Collado Villalba;26.70;26.35;26.06;
Municipios;0455;Colmenar Viejo;28.51;28.43;28.17;
Municipios;0437;Colmenar de Oreja;25.40;25.14;24.88;
Municipios;0421;Colmenar del Arroyo;23.08;23.15;23.14;
Municipios;0442;Colmenarejo;31.29;31.04;30.56;
Municipios;0480;Corpa;26.97;26.95;26.44;
Municipios;0493;Coslada;21.71;21.58;21.38;
Municipios;0506;Cubas de la Sagra;32.99;33.32;33.58;
Municipios;0534;Daganzo de Arriba;34.50;34.29;34.00;
Municipios;0549;Escorial (El);24.95;24.67;24.47;
Municipios;0552;Estremera;23.39;23.03;22.20;
Municipios;0565;Fresnedillas de la Oliva;30.28;30.37;29.65;
Municipios;0571;Fresno de Torote;28.06;28.31;28.27;
Municipios;0587;Fuenlabrada;26.28;26.05;25.70;
Municipios;0590;Fuente el Saz de Jarama;28.32;28.30;28.06;
Municipios;0604;Fuentidueña de Tajo;23.31;23.70;22.84;
Municipios;0611;Galapagar;29.23;28.65;28.27;
Municipios;0626;Garganta de los Montes;16.18;16.79;15.44;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;17.80;17.73;18.84;
Municipios;0647;Gascones;23.30;23.56;23.11;
Municipios;0650;Getafe;25.19;25.19;25.23;
Municipios;0663;Griñón;28.80;28.60;28.46;
Municipios;0679;Guadalix de la Sierra;28.42;28.21;27.71;
Municipios;0685;Guadarrama;27.07;26.95;26.65;
Municipios;0698;Hiruela (La);9.23;11.11;13.33;
Municipios;0702;Horcajo de la Sierra-Aoslos;17.76;19.41;17.91;
Municipios;0719;Horcajuelo de la Sierra;20.22;21.70;21.82;
Municipios;0724;Hoyo de Manzanares;28.34;27.94;27.13;
Municipios;0730;Humanes de Madrid;31.62;31.47;31.10;
Municipios;0745;Leganés;23.84;23.70;23.58;
Municipios;0758;Loeches;30.66;30.56;30.39;
Municipios;0761;Lozoya;16.03;14.67;13.95;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;23.58;23.74;23.55;
Municipios;0783;Madarcos;12.24;17.54;15.87;
Municipios;0796;Madrid;22.64;22.49;22.37;
Municipios;0800;Majadahonda;29.68;29.36;29.32;
Municipios;0822;Manzanares el Real;27.59;27.33;27.25;
Municipios;0838;Meco;30.91;30.52;30.09;
Municipios;0843;Mejorada del Campo;27.37;27.14;26.99;
Municipios;0856;Miraflores de la Sierra;25.48;25.45;25.42;
Municipios;0869;Molar (El);27.68;27.47;27.45;
Municipios;0875;Molinos (Los);23.69;23.69;23.41;
Municipios;0881;Montejo de la Sierra;21.15;20.55;19.35;
Municipios;0894;Moraleja de Enmedio;28.15;28.03;28.04;
Municipios;0908;Moralzarzal;30.28;30.09;29.56;
Municipios;0915;Morata de Tajuña;25.49;25.63;25.10;
Municipios;0920;Móstoles;23.31;23.25;23.17;
Municipios;0936;Navacerrada;23.42;23.51;22.96;
Municipios;0941;Navalafuente;27.53;26.76;27.45;
Municipios;0954;Navalagamella;27.87;27.65;28.30;
Municipios;0967;Navalcarnero;30.70;30.72;30.32;
