Población.Otros datos de población.Indicadores de población. Crecimiento relativo de la población. Unidad: Porcentaje. Fuente: Dirección General de Economía. Comunidad de Madrid.;
Serie;;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;3.47;1.50;2.70;0.70;1.22;3.12;1.84;1.12;0.48;0.14;-0.05;-0.63;-0.27;0.47;0.62;1.09;1.30;1.75;-0.42;-0.01;
Zonas Estadísticas;01;Municipio de Madrid ;2.52;0.23;1.80;-0.80;0.12;2.58;1.33;0.53;-0.24;-0.97;-0.81;-1.31;-0.73;0.75;0.55;1.27;1.33;2.10;-0.88;-0.75;
Zonas Estadísticas;02;Norte Metropolitano ;3.52;2.05;3.00;2.15;1.87;3.33;2.87;1.76;1.09;1.44;0.91;0.70;1.09;1.06;1.32;1.22;1.54;0.23;-0.34;0.89;
Zonas Estadísticas;03;Este Metropolitano  ;4.95;2.86;3.70;2.70;2.20;4.24;1.91;1.23;1.57;1.36;0.55;-0.28;-0.54;-0.55;-0.17;0.58;1.12;2.03;0.02;1.11;
Zonas Estadísticas;04;Sur Metropolitano   ;3.00;1.88;2.60;1.56;1.59;2.77;2.03;1.23;0.51;0.80;0.44;-0.08;0.02;0.08;0.61;0.71;0.99;1.05;-0.86;-0.25;
Zonas Estadísticas;05;Oeste Metropolitano ;5.82;3.27;5.40;2.56;2.70;3.65;2.17;2.57;1.21;1.21;0.82;0.21;0.59;0.54;1.15;1.13;0.98;1.26;0.25;1.39;
Zonas Estadísticas;06;Sierra Norte        ;7.35;6.20;6.70;5.15;6.59;5.96;3.19;1.53;2.46;0.93;0.33;-0.88;-0.30;0.08;0.76;1.42;1.97;3.11;3.01;1.31;
Zonas Estadísticas;07;Nordeste Comunidad  ;11.54;10.40;7.90;5.39;7.31;7.25;4.22;2.76;1.93;2.59;1.35;0.19;1.01;0.78;1.42;2.04;2.42;2.39;1.76;1.61;
Zonas Estadísticas;08;Sudeste Comunidad   ;7.11;6.64;5.70;4.90;5.22;6.09;4.11;2.68;1.85;1.45;1.20;-0.48;-0.13;-0.18;0.66;0.90;1.95;2.26;2.05;1.79;
Zonas Estadísticas;09;Sudoeste Comunidad  ;11.70;7.90;8.40;6.12;6.53;7.64;6.24;5.48;6.32;4.59;2.76;1.55;1.76;1.60;1.92;2.23;2.92;2.86;2.03;2.30;
Zonas Estadísticas;10;Sierra Sur          ;6.60;5.26;5.10;4.52;3.37;4.13;2.43;2.12;0.93;1.39;0.90;-1.32;-0.61;-0.07;1.23;1.25;2.30;2.43;3.29;1.38;
Zonas Estadísticas;11;Sierra Central      ;8.98;6.79;6.80;5.15;3.54;4.31;2.23;2.09;1.41;1.17;0.79;-0.15;0.20;0.28;0.68;0.96;1.67;1.92;1.71;1.05;
Municipios;0014;Acebeda (La);3.77;0.00;9.10;-1.70;-1.69;-1.72;7.02;-3.28;5.08;4.84;3.08;0.00;-2.99;1.54;0.00;-1.52;29.23;-19.05;-19.12;12.73;
Municipios;0029;Ajalvir;9.07;6.17;4.70;5.50;6.72;3.19;6.24;3.41;5.17;2.24;1.38;1.83;0.09;2.23;0.34;2.33;3.36;0.19;-0.95;1.60;
Municipios;0035;Alameda del Valle;3.72;5.64;17.00;-2.10;3.39;2.46;-5.20;0.84;2.93;-1.22;2.06;-9.68;-3.13;-4.15;-4.33;-2.01;2.56;2.00;20.59;-2.03;
Municipios;0040;Alamo (El);10.53;8.21;5.70;4.90;4.73;4.34;3.65;2.83;4.90;2.67;1.65;0.95;0.40;0.58;1.46;2.23;1.25;4.14;0.47;2.17;
Municipios;0053;Alcalá de Henares;4.96;1.61;3.30;1.80;-1.32;2.48;0.46;-0.22;-0.21;0.12;0.44;-1.98;-1.01;-1.43;-0.82;-0.29;0.98;0.98;-0.80;0.46;
Municipios;0066;Alcobendas;3.48;1.92;2.80;0.90;1.76;1.48;1.48;0.89;-0.34;1.22;1.04;-0.01;0.77;0.25;1.34;1.02;0.86;1.18;-1.54;0.39;
Municipios;0072;Alcorcón;3.24;1.39;3.80;1.30;1.17;0.87;-0.02;0.20;0.13;0.47;0.27;0.33;-1.88;0.13;0.47;0.81;0.60;1.10;-0.91;-0.31;
Municipios;0088;Aldea del Fresno;11.57;4.77;7.50;4.60;5.74;7.93;1.36;1.06;1.93;1.11;0.59;-1.79;0.28;1.93;1.24;3.13;5.19;4.76;3.77;4.60;
Municipios;0091;Algete;6.15;3.71;-0.40;3.50;1.39;4.97;4.44;1.37;1.07;-0.56;-2.18;-0.17;0.23;0.81;0.53;0.26;0.67;1.23;-0.55;0.09;
Municipios;0105;Alpedrete;9.26;6.32;7.40;5.50;3.69;2.84;3.56;2.86;1.73;0.66;3.83;0.06;1.74;1.19;-1.23;0.87;1.47;1.81;0.81;0.31;
Municipios;0112;Ambite;3.53;9.60;7.90;3.10;18.53;9.64;8.79;-0.18;2.88;3.32;-0.85;3.58;1.81;-3.72;13.78;-11.23;-1.50;2.87;8.70;-2.11;
Municipios;0127;Anchuelo;-2.71;-3.14;39.70;10.20;7.01;4.69;4.80;7.76;4.80;4.67;1.77;0.17;-0.91;1.25;1.89;2.75;-0.08;1.18;5.68;-0.37;
Municipios;0133;Aranjuez;2.37;1.39;3.40;5.40;6.78;5.67;3.51;1.85;1.27;2.01;1.50;0.11;0.65;-0.41;0.49;1.42;0.97;1.22;-0.83;-0.12;
Municipios;0148;Arganda del Rey;6.79;5.57;8.20;8.90;5.07;6.20;2.35;3.20;2.04;2.37;0.86;-1.20;-1.40;-0.51;-0.80;1.36;1.53;2.33;-0.52;2.07;
Municipios;0151;Arroyomolinos;12.68;16.07;16.20;9.40;8.33;20.81;17.21;17.14;20.46;15.13;8.17;4.36;5.80;4.96;3.38;3.17;4.47;4.90;2.28;3.40;
Municipios;0164;Atazar (El);0.00;3.96;7.60;2.70;0.00;-6.03;0.00;-6.42;0.00;0.00;0.98;-4.85;-2.04;-1.04;2.11;-4.12;-4.30;1.12;21.11;-1.83;
Municipios;0170;Batres;18.82;5.79;4.30;3.20;-0.99;2.07;2.37;1.50;2.02;2.24;0.39;0.83;-0.19;0.89;1.77;1.74;2.81;3.92;4.00;0.16;
Municipios;0186;Becerril de la Sierra;5.44;6.43;5.60;3.60;2.62;2.76;1.21;1.50;1.40;2.37;0.62;-0.69;0.84;0.80;0.33;1.96;2.70;2.82;3.97;1.46;
Municipios;0199;Belmonte de Tajo;-1.29;2.80;1.70;5.90;4.74;4.15;5.07;2.55;2.08;4.02;0.70;0.00;2.14;-1.23;1.43;-0.06;2.27;1.14;4.04;1.03;
Municipios;0210;Berrueco (El);18.41;3.46;11.10;2.10;8.66;1.86;-2.66;3.42;1.65;-1.46;4.46;0.16;-2.52;21.68;-1.20;-0.27;2.56;2.24;2.45;0.63;
Municipios;0203;Berzosa del Lozoya;5.26;7.50;5.20;-1.10;6.15;23.16;-3.42;-7.96;12.50;-2.99;-5.73;-11.68;6.88;-1.98;2.53;-2.46;3.54;8.29;-2.70;5.09;
Municipios;0225;Boadilla del Monte;13.91;6.12;8.50;6.60;4.92;5.07;3.84;2.98;3.23;1.92;1.17;0.56;1.93;2.02;3.42;2.26;3.69;3.97;4.09;6.05;
Municipios;0231;Boalo (El);12.41;9.43;11.00;7.20;3.10;8.23;3.05;3.51;3.31;2.61;0.18;-0.96;2.51;0.95;1.84;0.56;1.47;2.06;4.52;2.58;
Municipios;0246;Braojos;6.15;0.53;-2.10;-5.90;-0.57;4.00;4.40;0.53;9.42;-2.39;2.94;-5.24;2.01;-0.99;3.48;-1.44;0.00;0.49;5.83;0.00;
Municipios;0259;Brea de Tajo;5.42;1.71;-3.20;12.20;1.36;-0.38;-1.15;7.96;-0.18;3.06;-1.57;0.89;-1.41;0.00;-3.75;-2.60;-0.19;-3.44;3.36;3.44;
Municipios;0262;Brunete;12.36;5.50;9.90;6.80;3.72;3.43;2.66;3.07;1.56;0.97;0.11;1.12;2.06;-0.23;-0.01;2.15;1.32;0.22;-0.32;1.11;
Municipios;0278;Buitrago del Lozoya;1.74;3.42;5.80;4.40;-0.05;6.82;0.48;-0.48;0.48;-2.26;-3.30;-0.61;-4.46;-0.21;-0.38;1.13;0.48;3.98;-0.97;0.41;
Municipios;0284;Bustarviejo;3.13;2.30;7.30;7.00;2.48;3.02;0.88;3.06;3.91;2.63;4.68;-1.01;0.81;0.13;1.22;3.63;0.68;0.76;7.10;0.19;
Municipios;0297;Cabanillas de la Sierra;5.06;7.78;8.40;2.70;7.56;5.31;1.50;-0.27;-0.81;1.90;-1.07;-1.48;0.14;-1.91;-0.97;0.00;6.18;3.84;6.62;4.42;
Municipios;0301;Cabrera (La);4.58;6.36;3.70;1.30;2.98;4.67;2.93;-0.12;2.09;0.90;1.87;-0.88;-0.62;-0.54;0.39;1.67;2.07;2.59;1.68;0.83;
Municipios;0318;Cadalso de los Vidrios;5.24;4.04;5.50;1.90;4.49;1.36;0.00;1.41;-1.29;1.31;-0.99;-5.32;0.25;0.76;9.51;-0.13;-0.33;0.26;5.12;-0.31;
Municipios;0323;Camarma de Esteruelas;21.32;20.42;11.70;10.40;8.31;6.96;4.63;2.56;1.09;1.89;2.75;0.76;1.22;-1.18;0.48;2.00;1.52;1.38;1.59;0.53;
Municipios;0339;Campo Real;11.19;7.07;6.30;9.40;8.29;8.93;4.56;3.75;3.22;4.04;0.83;1.05;1.37;0.58;1.82;1.33;2.22;3.38;-0.06;3.66;
Municipios;0344;Canencia;7.11;-5.19;-0.70;-11.20;22.83;5.25;0.38;-3.63;-0.60;-3.39;-0.21;-1.45;-2.52;-2.80;-0.67;-5.58;5.67;0.00;3.13;-1.30;
Municipios;0357;Carabaña;10.32;6.19;5.30;3.00;10.81;8.28;4.31;4.24;2.26;0.79;-1.71;-1.93;1.97;-3.42;-0.41;-1.80;5.51;3.53;2.93;3.17;
Municipios;0360;Casarrubuelos;33.94;23.63;18.60;20.30;12.34;5.18;0.59;2.87;2.35;1.71;2.50;2.95;2.54;1.16;1.70;1.56;1.92;1.77;2.44;0.56;
Municipios;0376;Cenicientos;-1.38;1.83;2.70;1.10;2.95;1.83;1.31;0.72;-0.67;1.05;-0.90;-0.86;-1.83;-2.41;-0.10;-0.20;2.68;0.25;2.21;0.29;
Municipios;0382;Cercedilla;4.31;3.21;3.10;1.60;-0.43;2.91;0.76;0.94;-0.30;-1.16;-1.37;-0.86;-0.73;-0.44;1.51;1.39;1.12;2.55;2.14;2.36;
Municipios;0395;Cervera de Buitrago;19.44;-0.78;4.70;11.90;-2.00;-3.40;9.86;16.03;3.31;-2.14;-1.64;-3.33;-5.75;-4.27;-0.64;-4.49;0.67;8.00;-2.47;6.96;
Municipios;0513;Chapinería;5.74;6.54;3.70;-0.10;7.21;1.15;6.29;3.54;0.84;-0.33;2.28;-2.46;0.84;2.59;0.50;0.67;3.93;3.69;3.31;0.72;
Municipios;0528;Chinchón;5.29;3.54;2.70;1.50;2.59;2.37;2.25;0.68;0.84;0.28;0.44;0.35;-0.20;-2.61;-1.02;-0.02;1.76;1.54;1.72;2.76;
Municipios;0409;Ciempozuelos;6.52;3.87;6.50;5.60;6.64;6.23;4.12;2.37;3.08;1.55;0.99;-0.88;-0.18;0.32;-0.15;1.47;2.10;2.08;-0.08;1.20;
Municipios;0416;Cobeña;10.64;4.58;6.70;6.80;12.83;11.60;7.62;5.95;6.42;4.01;2.36;-0.90;0.90;0.37;2.20;1.63;2.03;0.78;-0.56;1.44;
Municipios;0468;Collado Mediano;4.36;6.04;3.40;5.60;0.00;4.35;0.72;0.83;1.27;1.32;0.73;0.50;-2.67;-0.24;1.26;1.73;2.61;2.11;3.42;1.47;
Municipios;0474;Collado Villalba;3.58;0.12;3.50;-0.70;1.54;3.35;0.68;8.86;1.83;1.57;1.18;-0.15;-0.85;-0.74;0.90;1.48;0.96;1.10;-0.86;0.69;
Municipios;0455;Colmenar Viejo;4.42;4.37;1.80;3.30;0.94;3.36;2.46;1.69;2.32;1.88;1.37;1.04;0.33;0.88;1.24;1.82;2.53;2.34;1.04;1.73;
Municipios;0437;Colmenar de Oreja;14.77;6.07;3.90;5.10;5.64;6.15;2.83;0.48;-0.23;0.64;-0.09;-0.18;-4.02;-1.55;-1.71;1.18;1.65;1.52;1.83;1.91;
Municipios;0421;Colmenar del Arroyo;7.08;7.58;5.40;5.10;3.34;6.31;2.08;5.09;4.98;3.10;1.02;0.00;1.90;1.30;0.00;3.25;2.37;3.48;5.04;3.25;
Municipios;0442;Colmenarejo;11.94;7.35;5.30;3.70;3.94;4.95;3.26;3.56;0.75;1.91;1.90;0.17;0.00;0.12;0.78;1.21;0.07;1.10;1.58;1.03;
Municipios;0480;Corpa;1.99;9.98;-1.40;0.40;0.20;7.36;3.52;6.08;6.91;1.42;2.33;1.98;-0.30;0.45;1.79;1.90;2.30;1.40;2.63;2.96;
Municipios;0493;Coslada;2.90;0.29;0.60;0.40;3.90;3.98;0.40;1.04;0.70;-0.03;-0.44;-2.82;-2.17;-2.75;-1.80;-1.39;-0.24;-0.33;-0.14;-0.83;
Municipios;0506;Cubas de la Sagra;16.67;8.92;8.10;11.00;16.21;11.75;9.49;5.42;5.50;6.55;3.62;3.86;2.39;1.63;2.36;3.24;1.63;1.96;1.58;0.84;
Municipios;0534;Daganzo de Arriba;12.32;18.92;9.20;6.50;7.56;7.57;3.52;2.24;3.10;3.15;2.44;0.49;0.79;0.63;1.01;-0.21;1.43;1.29;1.77;1.24;
Municipios;0549;Escorial (El);6.35;2.42;6.10;2.50;2.69;2.63;0.71;0.86;-0.11;0.46;0.24;0.31;0.64;0.14;1.29;1.80;2.02;1.26;1.40;0.14;
Municipios;0552;Estremera;5.68;1.85;10.70;1.30;14.57;2.02;0.13;-0.66;-1.19;-0.27;-1.21;-3.95;-4.26;-2.30;-4.40;-1.98;1.94;5.87;3.52;2.10;
Municipios;0565;Fresnedillas de la Oliva;13.19;1.48;4.30;4.40;8.71;7.24;0.29;7.95;4.91;0.70;-0.94;-2.03;0.58;-0.45;0.19;0.26;1.16;5.03;5.51;2.41;
Municipios;0571;Fresno de Torote;14.80;42.21;12.00;8.60;10.37;13.50;2.78;-0.53;-1.07;2.35;-2.20;-1.13;1.04;0.15;3.47;3.12;1.83;3.51;5.09;1.16;
Municipios;0587;Fuenlabrada;4.58;2.39;1.40;-0.70;0.22;0.33;1.56;0.57;-0.21;-0.22;-0.31;-0.84;-0.35;-0.52;0.26;-0.56;0.06;0.42;-1.17;-1.22;
Municipios;0590;Fuente el Saz de Jarama;7.83;2.21;4.30;3.30;1.23;3.74;3.34;0.60;0.90;0.03;-0.86;1.34;0.48;-0.57;0.33;1.82;2.37;1.66;1.12;2.19;
Municipios;0604;Fuentidueña de Tajo;2.78;5.60;10.20;1.90;6.73;4.22;4.00;0.67;-3.25;2.47;1.49;-3.89;-3.55;-0.92;2.27;0.25;3.43;4.04;4.31;0.99;
Municipios;0611;Galapagar;7.74;5.21;3.40;-1.00;3.74;4.18;1.79;1.80;0.56;1.09;-1.24;-0.44;-0.27;0.34;1.54;1.45;1.09;2.24;0.62;0.35;
Municipios;0626;Garganta de los Montes;4.19;2.30;12.40;-1.30;-0.76;3.32;-1.98;-2.77;1.04;1.54;-0.76;-2.80;-3.93;-4.36;-5.70;5.14;-0.29;8.65;9.02;-3.89;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;8.60;5.94;7.80;6.10;1.09;3.50;-1.56;3.97;-3.56;-2.64;-0.27;-1.63;-3.04;-7.41;-3.08;0.95;-0.63;-2.22;11.33;4.94;
Municipios;0647;Gascones;13.11;14.49;-4.40;-2.60;0.68;-2.03;4.83;7.24;12.27;0.55;-4.35;1.70;-1.68;-2.84;2.92;6.82;2.66;-8.81;8.52;10.99;
Municipios;0650;Getafe;1.59;-0.20;0.90;-0.70;1.91;2.98;1.90;1.18;0.58;0.68;0.73;0.31;1.08;0.99;0.92;1.38;1.45;0.98;-1.13;0.07;
Municipios;0663;Griñón;9.75;6.75;8.90;7.50;6.81;4.14;2.47;1.69;1.93;0.23;1.24;0.56;-0.10;0.20;1.23;1.17;1.39;1.12;0.31;0.23;
Municipios;0679;Guadalix de la Sierra;11.87;10.49;9.30;2.70;4.86;6.62;1.02;2.05;1.96;1.80;-0.48;-0.23;-0.30;-0.94;1.12;1.16;1.55;3.64;2.39;1.18;
Municipios;0685;Guadarrama;6.00;4.18;4.60;-0.10;4.47;5.23;3.37;2.40;1.29;1.20;1.15;-1.05;-0.06;-0.32;0.85;1.06;1.56;3.29;1.13;1.04;
Municipios;0698;Hiruela (La);12.50;-9.09;-12.20;-3.80;-2.63;2.70;-2.63;-10.81;-16.67;1.82;-8.93;7.84;-1.82;0.00;-3.70;-7.69;18.75;14.04;10.77;4.17;
Municipios;0702;Horcajo de la Sierra-Aoslos;5.76;6.12;7.10;0.00;2.40;0.58;0.58;-1.16;2.92;-5.11;1.20;5.92;-11.17;-10.06;-0.70;4.23;-2.03;4.83;11.84;18.24;
Municipios;0719;Horcajuelo de la Sierra;5.50;1.74;-4.30;-4.50;-3.74;-0.97;-10.78;4.40;7.37;-6.86;-9.47;-6.98;10.00;-2.27;2.33;1.14;-3.37;3.49;19.10;3.77;
Municipios;0724;Hoyo de Manzanares;5.51;2.48;4.00;0.60;1.22;2.18;1.65;0.26;1.58;1.19;0.77;-0.48;0.59;1.08;0.84;2.37;2.58;1.13;1.77;1.51;
Municipios;0730;Humanes de Madrid;11.14;10.10;11.50;8.20;5.82;5.35;4.14;2.45;1.26;0.51;2.00;0.81;0.05;0.77;0.22;-0.10;0.80;-0.21;0.18;0.52;
Municipios;0745;Leganés;1.41;0.98;1.50;0.70;-0.02;0.97;1.01;0.62;-0.36;0.31;-0.07;-0.16;0.11;0.14;0.29;0.38;0.76;0.66;-1.75;-0.59;
Municipios;0758;Loeches;6.88;14.64;12.10;13.70;5.82;7.68;9.19;7.17;5.06;4.65;1.10;1.00;0.65;2.14;1.63;1.74;1.36;1.21;-0.42;0.95;
Municipios;0761;Lozoya;5.77;5.07;11.70;3.00;1.94;2.85;0.31;2.76;-3.43;-1.85;-1.57;-5.44;0.51;-3.03;-2.95;0.00;3.94;-0.17;2.24;1.52;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;9.32;9.43;8.40;6.60;0.10;8.98;2.34;-1.01;6.93;3.72;1.33;-1.64;0.59;0.58;2.23;2.34;2.61;3.16;5.00;3.84;
Municipios;0783;Madarcos;10.00;-6.06;22.60;7.90;9.76;4.44;4.26;0.00;14.29;-5.36;3.77;-14.55;-4.26;4.44;-2.13;2.17;2.13;2.08;16.33;10.53;
Municipios;0796;Madrid;2.52;0.23;1.80;-0.80;0.12;2.58;1.33;0.53;-0.24;-0.97;-0.81;-1.31;-0.73;0.75;0.55;1.27;1.33;2.10;-0.88;-0.75;
Municipios;0800;Majadahonda;6.18;4.00;5.80;0.80;2.05;4.78;2.29;1.95;0.92;0.17;0.27;-0.04;0.63;-0.06;0.77;0.68;0.06;0.46;-0.17;0.20;
Municipios;0822;Manzanares el Real;10.54;10.25;7.50;3.80;3.70;4.85;4.49;2.84;3.77;2.82;1.31;1.60;1.55;0.94;1.35;1.14;2.83;1.09;2.98;0.49;
Municipios;0838;Meco;15.11;8.34;7.90;3.00;5.63;4.09;1.81;1.30;-0.21;1.94;1.00;1.61;1.04;1.18;1.07;2.87;2.48;2.55;1.59;1.61;
Municipios;0843;Mejorada del Campo;5.00;4.01;5.60;4.00;1.51;4.20;0.99;1.44;-0.59;0.99;0.64;-1.24;0.61;-0.01;0.21;1.28;0.14;1.57;0.41;0.67;
Municipios;0856;Miraflores de la Sierra;8.10;8.61;6.60;5.70;2.68;5.90;2.34;-0.22;0.49;0.27;-1.20;-0.29;-1.41;-0.91;1.09;1.38;3.58;4.16;3.51;1.91;
Municipios;0869;Molar (El);7.77;4.71;6.40;4.70;13.29;12.85;7.61;3.42;4.29;3.17;1.69;-4.57;0.66;2.82;2.76;2.06;3.14;3.90;0.04;1.57;
Municipios;0875;Molinos (Los);3.52;8.90;1.30;2.50;2.20;3.19;-0.46;0.62;-0.07;0.61;-2.29;-2.47;-0.57;0.55;-0.64;-0.39;1.41;1.00;2.93;2.98;
Municipios;0881;Montejo de la Sierra;0.31;0.00;0.90;2.50;0.00;7.88;-0.56;2.82;-1.92;-0.84;1.41;1.11;3.03;-4.01;-0.84;1.97;-2.75;3.12;0.27;1.92;
Municipios;0894;Moraleja de Enmedio;7.88;6.75;9.20;3.80;2.71;2.75;1.71;2.97;0.68;2.03;-0.94;1.92;0.28;-1.23;-2.29;3.10;2.29;1.25;1.81;1.40;
Municipios;0908;Moralzarzal;14.68;10.29;10.80;6.30;3.78;2.84;2.33;1.89;1.56;1.18;0.35;1.26;-0.88;1.30;1.00;1.61;2.59;2.36;1.79;2.45;
Municipios;0915;Morata de Tajuña;4.45;2.23;3.00;5.10;3.57;4.50;2.47;1.65;1.10;0.70;0.51;-1.34;0.01;1.27;-0.87;0.95;1.72;2.13;0.98;0.45;
Municipios;0920;Móstoles;1.49;0.35;1.00;0.90;-0.86;0.85;0.10;-0.22;-0.49;0.50;0.20;-0.36;0.27;-0.31;0.47;0.24;1.01;0.54;-0.32;-0.42;
Municipios;0936;Navacerrada;10.66;3.50;3.10;4.30;3.66;3.88;1.31;2.03;0.51;0.50;2.51;-0.03;-0.24;1.05;0.31;0.59;2.10;4.00;4.17;-0.06;
Municipios;0941;Navalafuente;10.68;7.69;7.60;7.80;13.04;11.00;9.72;2.54;6.50;-2.01;0.25;-2.37;0.59;5.41;5.85;4.25;3.72;4.28;4.10;0.06;
Municipios;0954;Navalagamella;11.65;5.68;13.50;11.20;-0.99;8.05;6.71;3.34;-0.67;1.06;1.84;1.19;-0.12;-1.58;0.83;6.47;0.35;1.03;3.15;3.27;
Municipios;0967;Navalcarnero;5.57;4.11;4.70;2.20;5.99;7.72;7.61;7.09;6.48;3.41;2.48;1.07;1.17;1.06;2.29;2.67;3.51;2.34;2.37;2.23;
Municipios;0973;Navarredonda y San Mamés;12.50;8.73;0.70;4.30;-2.08;7.09;-5.96;-1.41;4.29;-3.42;-9.22;0.78;5.43;-2.94;-0.76;-6.87;5.74;0.00;9.30;-2.13;
Municipios;0992;Navas del Rey;10.10;7.12;5.40;5.00;-2.51;3.80;2.85;3.16;2.80;-0.60;0.68;-1.64;-0.45;1.18;3.46;2.47;3.51;1.64;3.24;2.35;
Municipios;1006;Nuevo Baztán;8.77;12.93;8.50;4.50;2.55;4.86;0.93;1.91;0.14;-0.89;0.96;-5.40;2.33;-1.31;1.21;1.03;1.98;2.84;2.73;1.96;
