Población.Otros datos de población.Indicadores de población. Edad media de la población. Unidad: Años. Fuente: Dirección General de Economía. Comunidad de Madrid.;
Serie;;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;38.00;38.32;38.37;38.49;38.69;38.64;38.79;38.79;38.93;38.98;39.16;39.25;39.43;39.68;39.97;40.27;40.63;40.95;41.19;41.42;41.62;41.81;41.98;42.20;42.52;
Zonas Estadísticas;01;Municipio de Madrid ;41.00;41.33;41.17;41.26;41.46;41.33;41.39;41.42;41.66;41.62;41.74;41.74;41.86;42.09;42.39;42.66;43.01;43.28;43.37;43.49;43.54;41.81;43.56;43.70;43.95;
Zonas Estadísticas;02;Norte Metropolitano ;33.00;33.48;33.81;34.09;34.47;34.70;34.96;35.22;35.39;35.70;36.05;36.28;36.57;36.90;37.24;37.59;37.92;38.22;38.52;38.81;39.12;43.57;39.74;40.07;40.42;
Zonas Estadísticas;03;Este Metropolitano  ;33.00;33.71;34.12;34.40;34.70;34.82;35.15;35.24;35.45;35.65;35.87;36.16;36.49;36.78;37.17;37.55;37.99;38.40;38.83;39.25;39.61;39.42;40.33;40.65;41.03;
Zonas Estadísticas;04;Sur Metropolitano   ;34.00;34.59;35.16;35.36;35.72;35.91;36.32;36.43;36.65;36.87;37.20;37.39;37.65;37.98;38.33;38.72;39.11;39.50;39.86;40.20;40.54;39.98;41.20;41.56;42.00;
Zonas Estadísticas;05;Oeste Metropolitano ;34.00;33.76;34.03;34.16;34.29;34.47;34.84;34.72;34.83;35.08;35.48;35.73;35.98;36.35;36.73;37.15;37.56;37.96;38.35;38.68;39.05;40.86;39.80;40.11;40.46;
Zonas Estadísticas;06;Sierra Norte        ;41.00;41.40;41.29;41.30;41.26;40.61;40.45;39.92;39.48;39.33;39.17;39.14;39.33;39.47;39.82;40.08;40.56;40.94;41.32;41.73;42.00;39.44;42.35;42.55;42.88;
Zonas Estadísticas;07;Nordeste Comunidad  ;34.00;34.03;33.99;34.17;34.18;33.95;34.01;33.84;33.69;33.79;33.94;34.10;34.31;34.66;35.00;35.37;35.82;36.24;36.69;37.08;37.43;42.17;38.21;38.55;38.97;
Zonas Estadísticas;08;Sudeste Comunidad   ;38.00;38.29;38.60;38.68;38.81;38.44;38.53;37.99;37.77;37.55;37.52;37.51;37.56;37.83;38.05;38.35;38.72;39.09;39.38;39.61;39.96;37.82;40.42;40.59;40.90;
Zonas Estadísticas;09;Sudoeste Comunidad  ;35.00;35.51;35.45;35.43;35.48;35.27;35.49;35.11;34.92;35.01;35.25;35.34;35.37;35.43;35.41;35.55;35.82;36.14;36.44;36.74;37.03;40.23;37.71;37.95;38.35;
Zonas Estadísticas;10;Sierra Sur          ;40.00;40.52;40.90;40.92;40.77;40.26;40.20;39.69;39.53;39.43;39.73;39.93;40.12;40.34;40.60;40.90;41.47;41.92;42.31;42.55;42.72;37.38;43.05;43.07;43.33;
Zonas Estadísticas;11;Sierra Central      ;35.00;36.12;36.11;36.12;36.10;35.89;36.01;35.72;35.64;35.74;36.04;36.31;36.54;36.93;37.33;37.71;38.11;38.57;39.00;39.43;39.86;42.94;40.69;41.03;41.45;
Municipios;0014;Acebeda (La);56.00;58.43;58.33;59.86;59.42;58.27;57.02;59.40;59.54;58.57;59.12;58.98;59.08;57.60;56.54;57.09;58.45;58.62;58.45;59.68;61.40;58.44;59.84;60.09;59.18;
Municipios;0029;Ajalvir;35.00;35.29;34.92;35.19;35.34;34.69;35.20;35.06;34.93;34.75;35.20;34.98;35.14;35.15;35.49;36.20;36.72;37.22;37.64;37.88;38.18;38.64;38.81;39.37;39.73;
Municipios;0035;Alameda del Valle;49.00;47.97;49.29;47.90;48.39;50.17;49.14;46.15;47.20;46.55;45.73;46.84;46.76;46.78;47.67;47.02;48.92;49.58;49.17;49.56;50.94;50.19;49.75;47.89;48.72;
Municipios;0040;Alamo (El);37.00;37.04;36.88;37.16;37.36;37.04;36.94;36.78;36.76;37.21;38.41;38.70;38.92;39.21;39.34;39.38;39.65;40.14;40.30;40.60;40.67;41.10;41.57;41.58;42.23;
Municipios;0053;Alcalá de Henares;34.00;34.90;35.28;35.53;35.75;35.84;36.13;36.30;36.48;36.82;37.12;37.51;37.96;38.40;38.89;39.31;39.86;40.32;40.76;41.26;41.68;42.02;42.32;42.62;42.99;
Municipios;0066;Alcobendas;34.00;34.22;34.66;34.91;35.24;35.49;35.58;35.92;36.09;36.35;36.82;37.13;37.48;37.86;38.18;38.52;38.85;39.11;39.47;39.68;39.94;40.23;40.50;40.94;41.30;
Municipios;0072;Alcorcón;36.00;37.16;37.83;37.85;38.07;38.15;38.62;38.44;38.56;39.00;39.47;39.87;40.16;40.51;40.82;41.26;41.59;42.10;42.45;42.79;43.15;43.38;43.74;43.99;44.45;
Municipios;0088;Aldea del Fresno;38.00;38.54;38.74;39.43;39.20;39.07;39.48;39.54;39.09;38.51;38.27;38.26;38.68;39.30;39.75;39.62;40.55;41.01;41.30;41.68;41.81;42.22;42.29;42.38;42.91;
Municipios;0091;Algete;31.00;31.46;32.26;32.29;32.62;32.73;33.07;33.28;33.51;33.80;34.39;34.53;34.98;35.52;36.07;36.49;36.90;37.23;37.42;38.03;38.45;38.87;39.43;39.89;40.15;
Municipios;0105;Alpedrete;34.00;34.30;34.54;34.37;34.31;34.46;34.22;34.48;34.69;34.96;36.02;35.89;36.05;36.29;36.75;36.73;37.12;37.50;38.04;38.62;39.04;39.54;40.06;40.52;40.89;
Municipios;0112;Ambite;50.00;50.26;51.80;51.81;50.53;51.68;49.71;48.95;48.38;46.37;45.45;43.82;45.11;45.87;45.06;45.33;45.27;45.29;45.22;41.89;45.27;45.36;45.98;45.64;46.17;
Municipios;0127;Anchuelo;38.00;38.89;38.79;39.16;40.07;40.28;41.77;39.38;38.48;38.10;38.25;38.16;37.74;37.46;36.96;37.37;37.77;38.18;38.22;38.28;38.86;39.36;39.81;39.34;39.24;
Municipios;0133;Aranjuez;38.00;38.09;38.52;38.41;38.47;38.37;38.45;38.43;38.63;38.12;38.03;37.94;38.10;38.30;38.40;38.59;39.03;39.42;39.69;39.99;40.28;40.53;40.83;41.15;41.49;
Municipios;0148;Arganda del Rey;34.00;34.79;34.95;35.35;35.50;35.22;35.22;35.09;34.93;34.72;34.81;34.94;35.17;35.36;35.66;35.98;36.45;36.92;37.33;37.69;38.05;38.35;38.65;38.94;39.36;
Municipios;0151;Arroyomolinos;32.00;31.48;32.08;31.62;31.77;32.00;31.82;31.41;31.56;31.80;31.54;31.40;31.20;30.88;30.63;30.82;31.05;31.44;31.75;31.99;32.46;32.89;33.26;33.86;34.32;
Municipios;0164;Atazar (El);48.00;46.81;48.55;47.35;47.09;47.00;47.38;45.71;45.74;45.63;45.89;46.38;46.18;46.54;47.76;48.80;49.02;49.29;48.85;48.92;49.14;49.85;50.23;47.64;48.38;
Municipios;0170;Batres;35.00;36.05;36.64;35.68;36.20;35.82;35.73;35.52;35.51;36.50;36.26;36.89;36.88;37.35;38.34;39.00;39.60;40.00;40.62;41.20;41.29;41.49;41.58;41.79;42.08;
Municipios;0186;Becerril de la Sierra;36.00;36.64;36.05;36.30;36.07;36.44;36.51;36.42;36.58;36.78;37.11;37.45;37.55;37.76;38.02;38.32;38.93;39.43;39.83;40.15;40.70;41.19;41.54;41.99;42.13;
Municipios;0199;Belmonte de Tajo;40.00;41.05;40.77;41.33;41.70;41.61;41.95;42.14;41.75;41.18;41.52;40.84;40.75;40.77;40.37;40.56;40.81;40.85;41.11;41.58;41.72;41.90;41.88;42.19;42.32;
Municipios;0210;Berrueco (El);43.00;44.51;45.09;44.38;43.17;40.22;41.77;40.44;40.38;39.99;39.61;40.13;40.38;41.11;41.62;41.22;41.29;41.59;45.54;45.98;45.84;45.57;45.20;45.34;45.23;
Municipios;0203;Berzosa del Lozoya;47.00;46.17;47.27;45.06;45.36;43.42;40.74;38.69;39.59;38.83;37.84;37.78;39.16;40.42;41.56;43.05;44.71;43.79;44.12;43.63;45.16;46.33;50.50;49.78;48.64;
Municipios;0225;Boadilla del Monte;34.00;34.30;34.30;33.81;33.57;33.67;33.41;33.12;32.81;32.94;33.38;33.61;33.93;34.11;34.46;34.89;35.38;35.74;36.11;36.37;36.68;36.99;37.30;37.45;37.62;
Municipios;0231;Boalo (El);36.00;36.15;36.08;36.56;36.52;36.44;36.09;35.37;34.91;34.97;35.25;35.68;35.60;36.00;36.07;36.52;36.97;37.34;37.80;37.82;38.30;38.60;39.01;39.41;39.72;
Municipios;0246;Braojos;39.00;37.66;38.71;39.14;39.13;37.72;38.27;37.81;39.96;40.89;40.34;40.44;41.10;39.68;39.82;40.83;41.55;41.67;41.46;41.14;42.48;44.21;44.67;44.58;45.43;
Municipios;0259;Brea de Tajo;45.00;46.29;47.21;47.43;47.85;47.28;47.97;46.84;44.97;45.27;45.47;45.63;44.28;43.86;43.70;44.63;44.81;45.13;44.36;45.60;46.06;46.75;47.95;48.41;47.90;
Municipios;0262;Brunete;36.00;36.30;36.29;36.05;35.30;35.20;35.38;34.87;34.10;34.16;34.27;34.46;34.65;34.98;35.42;35.86;36.36;36.73;37.24;37.68;38.17;38.54;38.96;39.40;40.05;
Municipios;0278;Buitrago del Lozoya;38.00;38.16;37.61;37.94;37.54;38.06;38.09;37.69;37.19;37.38;38.10;38.53;39.25;39.32;40.21;40.23;41.49;41.95;42.13;42.57;42.57;42.28;41.68;42.56;42.41;
Municipios;0284;Bustarviejo;42.00;42.25;41.87;42.29;41.81;41.72;41.83;40.71;40.18;39.68;40.24;40.61;40.03;39.86;40.00;39.87;40.20;40.56;41.28;41.61;41.54;41.43;42.26;42.46;42.95;
Municipios;0297;Cabanillas de la Sierra;41.00;40.71;41.05;40.73;39.87;40.15;39.97;39.18;39.45;39.78;39.26;39.16;39.48;39.75;40.13;40.15;40.84;41.27;41.91;42.45;42.78;42.49;42.61;42.31;42.21;
Municipios;0301;Cabrera (La);36.00;36.89;36.48;36.92;37.64;37.01;37.13;37.28;37.69;37.67;37.71;37.87;38.52;38.41;38.96;39.41;39.86;40.50;40.86;41.43;41.77;41.69;42.09;42.73;42.77;
Municipios;0318;Cadalso de los Vidrios;40.00;40.77;40.57;40.93;40.94;40.45;40.86;40.13;40.02;40.16;40.37;40.81;40.65;40.78;41.04;41.70;42.76;42.89;43.31;43.42;43.30;43.45;43.65;44.20;44.32;
Municipios;0323;Camarma de Esteruelas;34.00;34.67;35.30;35.34;35.08;34.63;33.92;33.45;33.11;33.12;33.18;33.43;33.64;34.03;34.27;34.75;35.15;35.52;36.10;36.67;37.07;37.49;37.00;38.40;38.83;
Municipios;0339;Campo Real;38.00;37.76;38.56;38.61;38.45;38.01;38.22;37.83;37.01;36.90;36.96;36.85;36.65;36.65;36.53;37.08;37.55;37.71;38.01;38.38;38.67;38.97;39.09;39.22;39.63;
Municipios;0344;Canencia;49.00;50.71;51.67;53.06;51.96;49.38;48.78;47.85;50.90;48.76;47.95;47.65;48.59;48.49;49.22;49.10;48.59;49.16;50.27;50.36;51.43;50.06;51.16;51.23;51.81;
Municipios;0357;Carabaña;44.00;44.02;43.57;44.29;44.11;42.83;42.35;41.49;41.13;40.49;39.58;39.51;39.42;39.64;39.91;39.90;40.23;40.46;41.01;41.48;41.89;41.89;41.96;41.95;42.19;
Municipios;0360;Casarrubuelos;36.00;36.99;35.86;36.14;35.41;33.96;33.67;32.82;32.41;32.12;32.37;32.69;32.99;33.40;33.73;34.23;34.68;35.05;35.45;35.80;36.54;37.08;37.58;38.01;38.48;
Municipios;0376;Cenicientos;44.00;44.18;44.77;45.01;45.38;44.92;45.00;44.44;44.73;44.54;44.84;44.59;44.82;45.03;44.94;45.55;45.79;46.37;46.62;47.01;46.49;46.73;46.68;46.56;47.06;
Municipios;0382;Cercedilla;38.00;37.90;37.88;38.17;37.94;38.14;37.84;37.86;37.99;38.34;39.05;39.85;40.25;41.10;41.27;41.65;41.59;41.83;41.89;41.90;42.04;42.64;42.79;43.13;43.23;
Municipios;0395;Cervera de Buitrago;48.00;45.99;48.86;45.51;47.31;46.81;48.68;49.01;45.89;45.70;45.97;45.51;44.89;46.43;46.07;46.84;47.19;48.63;49.24;49.76;51.69;50.77;51.26;52.61;52.34;
Municipios;0513;Chapinería;39.00;39.73;39.79;39.31;38.84;38.41;38.32;38.46;38.73;38.78;38.93;38.88;38.80;38.81;39.48;39.69;40.74;40.74;41.09;41.20;41.73;41.72;41.24;41.32;41.36;
Municipios;0528;Chinchón;40.00;40.47;40.65;41.14;41.29;41.02;41.06;40.55;40.40;40.42;40.31;40.41;40.71;40.98;41.28;41.37;41.69;41.93;42.36;42.61;42.97;43.21;43.25;43.58;43.97;
Municipios;0409;Ciempozuelos;37.00;37.48;37.25;37.44;37.22;36.99;36.93;36.75;36.34;36.18;36.54;36.85;37.00;37.28;37.79;38.10;38.45;38.68;38.85;39.15;39.42;39.76;39.00;40.30;40.96;
Municipios;0416;Cobeña;32.00;32.00;32.23;32.17;32.19;32.51;32.90;32.65;32.50;32.82;32.94;33.06;33.55;33.71;33.96;34.03;34.33;34.68;35.18;35.68;35.90;36.22;36.74;37.13;37.45;
Municipios;0468;Collado Mediano;35.00;35.07;35.13;35.35;35.66;35.41;35.43;35.34;35.32;35.58;36.05;36.55;36.84;37.03;37.40;37.73;37.98;39.02;39.49;39.76;40.23;40.60;41.03;41.29;41.61;
Municipios;0474;Collado Villalba;33.00;33.21;33.74;33.95;33.90;34.20;34.78;34.75;35.14;35.46;36.26;36.53;36.36;36.72;37.10;37.55;38.00;38.46;38.83;39.24;39.63;40.08;40.43;40.86;41.23;
Municipios;0455;Colmenar Viejo;35.00;34.83;34.80;35.01;35.43;35.46;35.38;35.65;35.73;36.06;36.21;36.43;36.65;36.92;37.18;37.47;37.77;38.12;38.46;38.76;38.98;39.17;39.38;39.53;39.89;
Municipios;0437;Colmenar de Oreja;38.00;38.60;38.67;39.07;40.04;38.95;39.05;38.50;38.40;38.15;38.10;38.12;38.66;39.27;39.51;40.06;40.42;40.98;41.38;41.72;42.17;42.59;42.77;43.04;43.22;
Municipios;0421;Colmenar del Arroyo;43.00;44.04;45.05;45.71;45.27;44.41;42.17;42.26;42.51;42.74;43.13;43.62;43.49;43.47;42.89;42.96;42.99;42.99;43.17;43.09;43.48;43.41;43.45;43.36;43.70;
Municipios;0442;Colmenarejo;33.00;33.76;33.16;33.28;32.96;33.01;33.22;33.09;32.80;33.09;33.55;34.01;34.22;34.73;35.18;35.67;36.00;36.49;36.96;37.47;37.86;38.39;38.84;39.27;39.77;
Municipios;0480;Corpa;41.00;42.78;43.92;44.46;43.52;42.32;40.82;41.49;41.56;41.11;39.95;40.33;39.93;38.70;39.16;38.86;39.18;38.83;39.32;39.26;39.51;40.14;39.83;39.68;40.52;
Municipios;0493;Coslada;33.00;33.52;34.53;34.79;35.33;35.67;36.40;36.53;37.13;37.14;37.36;37.77;38.18;38.54;39.07;39.64;40.34;40.86;41.52;42.13;42.65;43.08;43.60;43.98;44.51;
Municipios;0506;Cubas de la Sagra;37.00;36.22;35.63;35.90;35.09;34.87;34.80;34.41;34.12;33.73;33.32;33.47;33.68;34.08;34.40;34.61;35.51;35.76;36.01;36.40;36.89;37.05;37.31;37.17;37.36;
Municipios;0534;Daganzo de Arriba;31.00;31.28;31.03;31.24;31.26;31.22;31.42;31.25;31.03;31.16;31.25;31.34;31.59;31.90;32.23;32.58;33.20;33.58;34.15;34.65;35.13;35.65;36.40;36.83;37.35;
Municipios;0549;Escorial (El);36.00;36.21;36.51;36.71;36.87;36.96;37.46;37.00;37.02;37.26;37.69;38.11;38.61;39.20;40.07;40.48;40.71;40.98;41.41;41.72;42.10;42.47;42.93;43.21;43.61;
Municipios;0552;Estremera;41.00;42.68;42.28;43.46;43.48;42.07;42.16;40.42;40.15;40.42;42.92;43.16;42.86;42.85;43.35;43.68;44.36;44.98;45.18;45.76;46.59;46.50;45.83;45.62;45.89;
Municipios;0565;Fresnedillas de la Oliva;37.00;37.69;36.98;36.64;36.31;35.21;35.62;35.35;35.11;34.91;35.32;35.83;35.87;35.92;36.13;36.24;36.75;37.04;37.22;37.66;37.91;38.30;38.78;38.71;39.37;
Municipios;0571;Fresno de Torote;34.00;35.34;34.60;34.73;35.19;34.30;34.23;33.94;33.66;34.12;33.72;34.08;34.38;35.06;35.64;36.53;36.95;37.40;38.25;38.14;38.51;39.04;39.57;39.78;40.04;
Municipios;0587;Fuenlabrada;30.00;30.15;31.25;31.30;31.71;32.08;32.57;32.91;33.32;33.82;34.56;34.81;35.22;35.70;36.26;36.84;37.39;37.91;38.42;38.90;39.35;39.88;40.40;40.93;41.51;
Municipios;0590;Fuente el Saz de Jarama;34.00;34.24;34.05;34.09;34.10;34.15;34.41;34.67;34.68;34.62;34.95;35.41;35.88;36.26;36.80;37.29;37.71;38.15;38.74;39.09;39.67;40.10;40.15;40.43;40.64;
Municipios;0604;Fuentidueña de Tajo;39.00;39.62;39.79;40.24;40.53;40.35;40.35;39.67;39.72;39.42;39.47;39.48;39.99;40.92;41.10;40.77;41.30;41.99;42.57;42.51;43.01;43.17;43.17;43.06;43.54;
Municipios;0611;Galapagar;32.00;32.57;32.79;33.01;33.36;33.52;33.95;34.22;34.49;34.97;35.11;35.44;35.74;36.17;36.48;37.03;37.46;37.97;38.36;38.71;39.07;39.40;39.69;40.24;40.71;
Municipios;0626;Garganta de los Montes;44.00;45.03;45.86;46.07;46.19;45.42;45.23;44.04;44.01;43.77;43.73;44.27;44.80;44.99;45.70;45.80;46.60;46.91;47.10;47.31;46.79;47.33;47.18;46.25;47.12;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;50.00;50.05;48.95;46.58;47.11;45.70;44.57;44.41;43.04;43.22;44.00;44.19;44.77;45.30;46.25;45.45;45.72;46.66;46.94;47.29;46.80;47.00;48.12;47.69;47.51;
Municipios;0647;Gascones;42.00;42.52;43.09;44.66;44.39;42.02;40.84;40.95;41.48;42.21;43.12;41.87;42.53;41.72;41.34;42.26;42.15;42.05;42.44;42.00;39.97;39.67;42.68;42.63;42.73;
Municipios;0650;Getafe;36.00;36.72;37.14;37.19;37.56;37.77;38.16;38.35;38.81;38.95;39.24;39.36;39.55;39.79;40.12;40.45;40.73;40.91;41.16;41.39;41.54;41.70;41.88;42.18;42.47;
Municipios;0663;Griñón;34.00;34.71;33.98;34.48;34.83;34.66;34.97;34.69;34.72;35.31;35.86;36.26;36.59;37.07;37.59;37.80;37.91;38.28;38.82;39.18;39.60;39.99;40.25;40.61;40.99;
Municipios;0679;Guadalix de la Sierra;37.00;37.35;36.60;37.11;37.15;36.56;36.29;35.76;35.56;35.86;36.21;36.39;36.56;36.72;37.07;37.46;37.91;38.34;38.58;39.16;39.73;40.03;40.23;40.52;40.98;
Municipios;0685;Guadarrama;36.00;36.13;36.30;36.24;36.45;36.43;36.71;36.73;37.09;37.26;37.19;37.33;37.70;38.07;38.38;38.79;39.38;39.98;40.38;40.98;41.24;41.55;41.80;41.94;42.35;
Municipios;0698;Hiruela (La);55.00;50.92;51.78;49.06;53.09;51.75;53.22;53.29;55.09;56.34;55.54;55.51;52.70;54.69;55.84;58.94;59.58;59.33;59.54;56.33;58.79;57.95;53.54;52.13;50.88;
Municipios;0702;Horcajo de la Sierra-Aoslos;52.00;53.62;52.26;51.63;52.63;53.22;50.99;50.38;49.05;47.09;46.52;47.51;46.94;46.84;47.62;45.90;44.19;45.53;46.46;46.32;45.20;44.55;44.67;44.55;44.93;
