Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;9.07;9.15;
Zonas Estadísticas;01;Municipio de Madrid ;11.10;10.93;
Zonas Estadísticas;02;Norte Metropolitano ;6.56;6.84;
Zonas Estadísticas;03;Este Metropolitano  ;6.34;6.61;
Zonas Estadísticas;04;Sur Metropolitano   ;7.97;8.39;
Zonas Estadísticas;05;Oeste Metropolitano ;6.96;7.27;
Zonas Estadísticas;06;Sierra Norte        ;8.76;8.77;
Zonas Estadísticas;07;Nordeste Comunidad  ;5.00;5.14;
Zonas Estadísticas;08;Sudeste Comunidad   ;7.15;7.20;
Zonas Estadísticas;09;Sudoeste Comunidad  ;5.55;5.71;
Zonas Estadísticas;10;Sierra Sur          ;9.70;9.76;
Zonas Estadísticas;11;Sierra Central      ;7.21;7.44;
Municipios;0014;Acebeda (La);11.29;17.91;
Municipios;0029;Ajalvir;5.28;5.25;
Municipios;0035;Alameda del Valle;11.57;11.27;
Municipios;0040;Alamo (El);10.86;10.37;
Municipios;0053;Alcalá de Henares;8.71;8.98;
Municipios;0066;Alcobendas;7.83;8.19;
Municipios;0072;Alcorcón;11.87;12.42;
Municipios;0088;Aldea del Fresno;10.12;10.12;
Municipios;0091;Algete;5.95;5.93;
Municipios;0105;Alpedrete;7.23;7.23;
Municipios;0112;Ambite;12.58;12.03;
Municipios;0127;Anchuelo;5.97;6.31;
Municipios;0133;Aranjuez;8.29;8.42;
Municipios;0148;Arganda del Rey;5.36;5.50;
Municipios;0151;Arroyomolinos;2.22;2.42;
Municipios;0164;Atazar (El);12.15;13.46;
Municipios;0170;Batres;5.44;5.95;
Municipios;0186;Becerril de la Sierra;7.50;7.90;
Municipios;0199;Belmonte de Tajo;8.45;8.09;
Municipios;0210;Berrueco (El);11.78;11.33;
Municipios;0203;Berzosa del Lozoya;13.22;12.79;
Municipios;0225;Boadilla del Monte;5.22;5.53;
Municipios;0231;Boalo (El);5.52;5.79;
Municipios;0246;Braojos;10.55;11.79;
Municipios;0259;Brea de Tajo;15.65;16.03;
Municipios;0262;Brunete;6.21;6.38;
Municipios;0278;Buitrago del Lozoya;10.60;10.80;
Municipios;0284;Bustarviejo;7.83;7.78;
Municipios;0297;Cabanillas de la Sierra;8.35;7.90;
Municipios;0301;Cabrera (La);8.99;8.42;
Municipios;0318;Cadalso de los Vidrios;10.30;10.47;
Municipios;0323;Camarma de Esteruelas;4.59;4.82;
Municipios;0339;Campo Real;6.72;6.54;
Municipios;0344;Canencia;18.16;17.46;
Municipios;0357;Carabaña;8.95;9.23;
Municipios;0360;Casarrubuelos;4.11;4.54;
Municipios;0376;Cenicientos;15.14;15.52;
Municipios;0382;Cercedilla;8.85;8.95;
Municipios;0395;Cervera de Buitrago;18.67;17.68;
Municipios;0513;Chapinería;8.49;8.85;
Municipios;0528;Chinchón;9.55;9.54;
Municipios;0409;Ciempozuelos;7.21;7.52;
Municipios;0416;Cobeña;4.13;4.48;
Municipios;0468;Collado Mediano;6.84;6.86;
Municipios;0474;Collado Villalba;6.78;6.84;
Municipios;0455;Colmenar Viejo;6.36;6.41;
Municipios;0437;Colmenar de Oreja;9.03;9.15;
Municipios;0421;Colmenar del Arroyo;10.01;10.03;
Municipios;0442;Colmenarejo;5.52;5.69;
Municipios;0480;Corpa;7.38;7.41;
Municipios;0493;Coslada;7.71;8.35;
Municipios;0506;Cubas de la Sagra;5.27;5.52;
Municipios;0534;Daganzo de Arriba;3.50;3.57;
Municipios;0549;Escorial (El);8.58;8.94;
Municipios;0552;Estremera;13.49;13.53;
Municipios;0565;Fresnedillas de la Oliva;5.95;6.39;
Municipios;0571;Fresno de Torote;6.81;7.10;
Municipios;0587;Fuenlabrada;4.76;5.08;
Municipios;0590;Fuente el Saz de Jarama;6.43;6.50;
Municipios;0604;Fuentidueña de Tajo;8.36;8.63;
Municipios;0611;Galapagar;6.29;6.48;
Municipios;0626;Garganta de los Montes;9.60;8.35;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;8.62;10.05;
Municipios;0647;Gascones;7.08;6.61;
Municipios;0650;Getafe;9.64;10.12;
Municipios;0663;Griñón;6.67;6.96;
Municipios;0679;Guadalix de la Sierra;6.98;6.91;
Municipios;0685;Guadarrama;8.59;8.97;
Municipios;0698;Hiruela (La);10.53;10.81;
Municipios;0702;Horcajo de la Sierra-Aoslos;6.03;5.56;
Municipios;0719;Horcajuelo de la Sierra;13.76;14.81;
Municipios;0724;Hoyo de Manzanares;6.80;6.99;
Municipios;0730;Humanes de Madrid;3.55;3.82;
Municipios;0745;Leganés;11.03;11.50;
Municipios;0758;Loeches;3.62;3.77;
Municipios;0761;Lozoya;12.33;12.88;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;11.32;11.07;
Municipios;0783;Madarcos;17.46;15.28;
Municipios;0796;Madrid;11.10;10.93;
Municipios;0800;Majadahonda;7.98;8.56;
Municipios;0822;Manzanares el Real;6.04;6.26;
Municipios;0838;Meco;3.27;3.37;
Municipios;0843;Mejorada del Campo;4.66;4.80;
Municipios;0856;Miraflores de la Sierra;7.07;6.84;
Municipios;0869;Molar (El);5.45;5.49;
Municipios;0875;Molinos (Los);9.76;9.85;
Municipios;0881;Montejo de la Sierra;19.30;17.15;
Municipios;0894;Moraleja de Enmedio;5.57;5.83;
Municipios;0908;Moralzarzal;6.56;6.81;
Municipios;0915;Morata de Tajuña;9.12;9.23;
Municipios;0920;Móstoles;8.18;8.83;
Municipios;0936;Navacerrada;8.91;8.81;
Municipios;0941;Navalafuente;4.92;4.61;
Municipios;0954;Navalagamella;5.66;5.71;
Municipios;0967;Navalcarnero;5.84;6.05;
Municipios;0973;Navarredonda y San Mamés;13.29;14.38;
Municipios;0992;Navas del Rey;9.56;9.56;
Municipios;1006;Nuevo Baztán;4.88;5.02;
Municipios;1013;Olmeda de las Fuentes;6.58;7.41;
Municipios;1028;Orusco de Tajuña;12.00;12.80;
Municipios;1049;Paracuellos de Jarama;3.47;3.64;
Municipios;1065;Parla;4.50;4.80;
Municipios;1071;Patones;16.14;18.73;
Municipios;1087;Pedrezuela;4.81;5.19;
Municipios;1090;Pelayos de la Presa;10.13;9.79;
Municipios;1104;Perales de Tajuña;8.40;8.41;
Municipios;1111;Pezuela de las Torres;9.32;9.06;
Municipios;1126;Pinilla del Valle;13.13;11.76;
Municipios;1132;Pinto;5.71;5.94;
Municipios;1147;Piñuécar-Gandullas;11.41;11.24;
Municipios;1150;Pozuelo de Alarcón;8.64;8.99;
Municipios;1163;Pozuelo del Rey;4.52;4.62;
Municipios;1179;Prádena del Rincón;15.75;14.67;
Municipios;1185;Puebla de la Sierra;9.41;10.78;
Municipios;9020;Puentes Viejas;10.30;9.23;
Municipios;1198;Quijorna;6.43;6.92;
Municipios;1202;Rascafría;12.40;12.48;
Municipios;1219;Redueña;12.08;11.48;
Municipios;1224;Ribatejada;9.15;9.14;
Municipios;1230;Rivas-Vaciamadrid;2.91;3.05;
Municipios;1245;Robledillo de la Jara;14.91;12.69;
Municipios;1258;Robledo de Chavela;9.20;9.32;
Municipios;1261;Robregordo;21.43;17.72;
Municipios;1277;Rozas de Madrid (Las);6.27;6.59;
Municipios;1283;Rozas de Puerto Real;17.55;18.02;
Municipios;1296;San Agustín del Guadalix;4.80;4.99;
Municipios;1300;San Fernando de Henares;6.21;6.55;
Municipios;1317;San Lorenzo de El Escorial;8.94;9.44;
