Población.Otros datos de población.Indicadores de población. Grado de envejecimiento de las personas de 55 años y más. Unidad: Porcentaje. Fuente: Dirección General de Economía. Comunidad de Madrid.;
Serie;;;1996;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;23.85;23.52;24.50;24.36;24.43;24.58;24.38;24.65;24.58;24.81;24.63;24.77;24.88;25.12;25.52;26.03;26.64;27.35;28.02;28.55;29.03;29.47;29.87;30.24;30.71;31.36;
Zonas Estadísticas;01;Municipio de Madrid ;30.21;29.48;30.78;30.26;30.07;30.12;29.69;29.61;29.52;29.80;29.31;29.24;29.09;29.18;29.49;30.00;30.55;31.25;31.83;32.09;32.40;32.58;32.74;32.79;33.16;33.76;
Zonas Estadísticas;02;Norte Metropolitano ;13.77;13.86;14.63;15.09;15.69;16.33;16.76;17.53;17.88;18.32;18.70;19.27;19.66;20.08;20.63;21.22;21.96;22.65;23.30;23.99;24.64;25.34;25.99;26.66;27.36;28.09;
Zonas Estadísticas;03;Este Metropolitano  ;13.88;14.33;14.96;15.41;15.85;16.16;16.21;16.96;17.14;17.54;17.86;18.20;18.81;19.43;20.05;20.77;21.64;22.58;23.54;24.48;25.35;26.08;26.78;27.44;28.03;28.68;
Zonas Estadísticas;04;Sur Metropolitano   ;14.63;15.38;16.40;17.13;17.90;18.52;19.00;20.11;20.43;20.97;21.35;21.89;22.35;22.86;23.49;24.11;24.83;25.54;26.24;26.91;27.45;28.03;28.53;29.08;29.66;30.39;
Zonas Estadísticas;05;Oeste Metropolitano ;14.50;14.65;15.28;15.65;15.94;16.24;16.53;17.47;17.40;17.78;18.13;18.67;19.17;19.58;20.16;20.85;21.61;22.45;23.32;24.16;24.89;25.71;26.56;27.40;28.13;28.93;
Zonas Estadísticas;06;Sierra Norte        ;31.32;30.65;30.62;30.09;29.74;29.21;27.65;27.27;26.13;25.16;24.41;23.93;23.74;23.85;24.16;24.69;25.11;26.09;26.93;27.78;28.56;29.22;29.70;30.13;30.55;31.40;
Zonas Estadísticas;07;Nordeste Comunidad  ;18.16;17.22;17.15;16.81;16.61;16.31;15.69;15.54;14.90;14.75;14.49;14.58;14.80;15.13;15.68;16.20;16.84;17.66;18.47;19.33;20.07;20.73;21.52;22.24;22.91;23.78;
Zonas Estadísticas;08;Sudeste Comunidad   ;26.34;25.71;25.99;25.92;25.62;25.42;24.34;24.36;23.17;22.70;21.99;21.56;21.46;21.46;21.76;22.16;22.73;23.47;24.22;24.94;25.51;26.28;26.78;27.25;27.62;28.20;
