Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;5.37;6.54;5.03;;
Zonas Estadísticas;01;Municipio de Madrid ;5.18;6.49;4.86;;
Zonas Estadísticas;02;Norte Metropolitano ;4.24;5.18;3.96;;
Zonas Estadísticas;03;Este Metropolitano  ;6.05;7.24;5.70;;
Zonas Estadísticas;04;Sur Metropolitano   ;6.28;7.50;5.88;;
Zonas Estadísticas;05;Oeste Metropolitano ;3.67;4.36;3.39;;
Zonas Estadísticas;06;Sierra Norte        ;5.37;6.35;5.05;;
Zonas Estadísticas;07;Nordeste Comunidad  ;5.74;6.51;5.24;;
Zonas Estadísticas;08;Sudeste Comunidad   ;6.74;7.66;6.32;;
Zonas Estadísticas;09;Sudoeste Comunidad  ;5.32;6.29;5.04;;
Zonas Estadísticas;10;Sierra Sur          ;7.67;8.75;7.31;;
Zonas Estadísticas;11;Sierra Central      ;5.02;5.75;4.58;;
Municipios;0014;Acebeda (La);10.29;7.27;6.45;;
Municipios;0029;Ajalvir;5.06;5.65;4.48;;
Municipios;0035;Alameda del Valle;4.41;5.69;4.56;;
Municipios;0040;Alamo (El);6.06;7.90;5.84;;
Municipios;0053;Alcalá de Henares;6.51;7.67;6.10;;
Municipios;0066;Alcobendas;4.20;5.30;3.90;;
Municipios;0072;Alcorcón;5.55;6.60;5.14;;
Municipios;0088;Aldea del Fresno;8.01;9.08;6.88;;
Municipios;0091;Algete;4.44;5.51;4.39;;
Municipios;0105;Alpedrete;4.85;5.68;4.55;;
Municipios;0112;Ambite;9.69;11.03;7.41;;
Municipios;0127;Anchuelo;6.07;7.36;5.17;;
Municipios;0133;Aranjuez;7.09;8.13;6.71;;
Municipios;0148;Arganda del Rey;7.88;8.92;7.00;;
Municipios;0151;Arroyomolinos;4.34;5.14;4.08;;
Municipios;0164;Atazar (El);8.89;11.93;12.15;;
Municipios;0170;Batres;4.74;5.33;4.99;;
Municipios;0186;Becerril de la Sierra;5.46;5.84;4.66;;
Municipios;0199;Belmonte de Tajo;7.19;6.85;6.56;;
Municipios;0210;Berrueco (El);4.38;4.77;4.12;;
Municipios;0203;Berzosa del Lozoya;3.15;6.48;2.64;;
Municipios;0225;Boadilla del Monte;2.72;3.10;2.39;;
Municipios;0231;Boalo (El);5.22;5.61;4.82;;
Municipios;0246;Braojos;2.43;4.13;3.67;;
Municipios;0259;Brea de Tajo;9.29;11.09;9.24;;
Municipios;0262;Brunete;4.80;5.61;4.35;;
Municipios;0278;Buitrago del Lozoya;4.70;6.75;4.31;;
Municipios;0284;Bustarviejo;6.23;6.74;5.84;;
Municipios;0297;Cabanillas de la Sierra;3.44;5.85;4.46;;
Municipios;0301;Cabrera (La);7.24;7.66;5.92;;
Municipios;0318;Cadalso de los Vidrios;9.88;10.49;9.36;;
Municipios;0323;Camarma de Esteruelas;6.75;7.45;6.04;;
Municipios;0339;Campo Real;6.59;7.70;6.93;;
Municipios;0344;Canencia;6.26;7.16;5.27;;
Municipios;0357;Carabaña;7.11;7.61;6.92;;
Municipios;0360;Casarrubuelos;6.09;6.88;5.83;;
Municipios;0376;Cenicientos;9.72;9.70;8.81;;
Municipios;0382;Cercedilla;5.02;5.78;4.98;;
Municipios;0395;Cervera de Buitrago;5.56;7.59;6.51;;
Municipios;0513;Chapinería;8.08;8.02;5.77;;
Municipios;0528;Chinchón;6.80;7.41;6.22;;
Municipios;0409;Ciempozuelos;6.78;8.24;6.35;;
Municipios;0416;Cobeña;3.18;4.20;3.27;;
Municipios;0468;Collado Mediano;6.15;7.12;5.65;;
Municipios;0474;Collado Villalba;6.52;7.58;5.93;;
Municipios;0455;Colmenar Viejo;4.95;5.74;4.41;;
Municipios;0437;Colmenar de Oreja;7.89;8.33;6.82;;
Municipios;0421;Colmenar del Arroyo;6.39;5.87;5.99;;
Municipios;0442;Colmenarejo;5.38;6.40;5.08;;
Municipios;0480;Corpa;6.22;8.36;7.20;;
Municipios;0493;Coslada;5.60;6.84;5.36;;
Municipios;0506;Cubas de la Sagra;4.69;5.21;3.94;;
Municipios;0534;Daganzo de Arriba;4.92;5.59;4.57;;
Municipios;0549;Escorial (El);5.14;5.56;4.50;;
Municipios;0552;Estremera;7.05;7.97;6.38;;
