Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;93.22;92.65;
Zonas Estadísticas;01;Municipio de Madrid ;93.62;93.12;
Zonas Estadísticas;02;Norte Metropolitano ;94.52;93.95;
Zonas Estadísticas;03;Este Metropolitano  ;92.40;91.75;
Zonas Estadísticas;04;Sur Metropolitano   ;92.23;91.47;
Zonas Estadísticas;05;Oeste Metropolitano ;95.28;94.96;
Zonas Estadísticas;06;Sierra Norte        ;94.23;94.61;
Zonas Estadísticas;07;Nordeste Comunidad  ;93.52;91.94;
Zonas Estadísticas;08;Sudeste Comunidad   ;92.72;91.92;
Zonas Estadísticas;09;Sudoeste Comunidad  ;91.48;90.88;
Zonas Estadísticas;10;Sierra Sur          ;91.84;91.67;
Zonas Estadísticas;11;Sierra Central      ;94.15;93.76;
Municipios;0014;Acebeda (La);100.00;100.00;
Municipios;0029;Ajalvir;94.84;94.69;
Municipios;0035;Alameda del Valle;100.00;100.00;
Municipios;0040;Alamo (El);89.68;90.00;
Municipios;0053;Alcalá de Henares;92.45;92.06;
Municipios;0066;Alcobendas;94.78;94.04;
Municipios;0072;Alcorcón;93.03;91.85;
Municipios;0088;Aldea del Fresno;92.34;94.14;
Municipios;0091;Algete;93.20;92.72;
Municipios;0105;Alpedrete;94.00;92.63;
Municipios;0112;Ambite;95.83;96.49;
Municipios;0127;Anchuelo;87.14;84.75;
Municipios;0133;Aranjuez;91.67;91.59;
Municipios;0148;Arganda del Rey;92.70;92.30;
Municipios;0151;Arroyomolinos;91.28;90.99;
Municipios;0164;Atazar (El);92.31;100.00;
Municipios;0170;Batres;92.31;94.81;
Municipios;0186;Becerril de la Sierra;93.77;95.34;
Municipios;0199;Belmonte de Tajo;94.83;88.89;
Municipios;0210;Berrueco (El);100.00;100.00;
Municipios;0203;Berzosa del Lozoya;100.00;100.00;
Municipios;0225;Boadilla del Monte;95.86;96.01;
Municipios;0231;Boalo (El);96.97;95.47;
Municipios;0246;Braojos;75.00;83.33;
Municipios;0259;Brea de Tajo;86.00;85.71;
Municipios;0262;Brunete;93.86;94.82;
Municipios;0278;Buitrago del Lozoya;90.48;94.57;
Municipios;0284;Bustarviejo;93.67;95.45;
Municipios;0297;Cabanillas de la Sierra;100.00;97.22;
Municipios;0301;Cabrera (La);93.98;97.02;
Municipios;0318;Cadalso de los Vidrios;89.30;90.20;
Municipios;0323;Camarma de Esteruelas;91.72;92.29;
