Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;2.83;21.41;-23.19;-7.15;
Zonas Estadísticas;01;Municipio de Madrid ;2.98;24.19;-25.66;-6.37;
Zonas Estadísticas;02;Norte Metropolitano ;3.98;21.86;-22.93;-8.82;
Zonas Estadísticas;03;Este Metropolitano  ;1.72;19.67;-20.32;-8.08;
Zonas Estadísticas;04;Sur Metropolitano   ;1.71;18.42;-21.81;-8.15;
Zonas Estadísticas;05;Oeste Metropolitano ;5.77;19.07;-21.22;-6.93;
Zonas Estadísticas;06;Sierra Norte        ;2.41;21.86;-19.49;-1.88;
Zonas Estadísticas;07;Nordeste Comunidad  ;8.14;15.45;-18.23;-6.92;
Zonas Estadísticas;08;Sudeste Comunidad   ;1.69;15.99;-16.09;-7.31;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2.74;20.58;-17.98;-9.02;
Zonas Estadísticas;10;Sierra Sur          ;3.20;17.79;-15.26;-7.99;
Zonas Estadísticas;11;Sierra Central      ;6.99;16.42;-19.41;-5.38;
Municipios;0014;Acebeda (La);16.67;-42.86;0.00;50.00;
Municipios;0029;Ajalvir;12.74;10.46;-19.32;-2.82;
Municipios;0035;Alameda del Valle;-10.00;55.56;-21.43;72.73;
Municipios;0040;Alamo (El);-7.72;30.94;-24.52;-10.32;
Municipios;0053;Alcalá de Henares;1.14;16.91;-20.15;-8.82;
Municipios;0066;Alcobendas;7.77;24.13;-26.19;-9.12;
Municipios;0072;Alcorcón;1.99;17.78;-22.35;-8.09;
Municipios;0088;Aldea del Fresno;10.70;17.65;-20.71;0.00;
Municipios;0091;Algete;4.04;23.30;-20.21;-11.18;
Municipios;0105;Alpedrete;7.31;18.22;-19.65;-0.73;
Municipios;0112;Ambite;1.72;23.73;-34.25;18.75;
Municipios;0127;Anchuelo;-1.27;28.21;-30.00;-15.71;
Municipios;0133;Aranjuez;0.59;13.70;-17.60;-8.28;
Municipios;0148;Arganda del Rey;4.86;12.58;-19.92;-9.06;
Municipios;0151;Arroyomolinos;5.07;21.27;-17.95;-7.10;
Municipios;0164;Atazar (El);60.00;62.50;0.00;0.00;
Municipios;0170;Batres;-2.35;16.87;-6.19;-15.38;
Municipios;0186;Becerril de la Sierra;1.26;11.21;-19.05;11.42;
Municipios;0199;Belmonte de Tajo;11.01;-0.83;-3.33;-6.90;
Municipios;0210;Berrueco (El);3.03;11.76;-13.16;9.09;
