Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Evolución del porcentaje de paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Comunidad de Madrid;;Comunidad de Madrid;-0.06;0.39;2.30;1.08;0.00;0.74;0.63;-0.33;-0.65;-0.73;0.79;-0.52;-0.47;0.06;1.18;-1.52;
Zonas Estadísticas;01;Municipio de Madrid ;-0.06;0.29;1.93;1.04;0.00;0.70;0.57;-0.23;-0.47;-0.67;-0.65;-0.45;-0.43;0.04;1.31;-1.63;
Zonas Estadísticas;02;Norte Metropolitano ;0.03;0.29;2.12;1.05;-0.06;0.65;0.55;-0.40;-0.73;-0.67;-0.75;-0.50;-0.44;0.10;0.94;-1.22;
Zonas Estadísticas;03;Este Metropolitano  ;0.06;0.35;3.20;1.11;0.01;0.65;0.69;-0.14;-0.92;-0.90;-0.96;-0.60;-0.50;0.02;1.19;-1.53;
Zonas Estadísticas;04;Sur Metropolitano   ;-0.11;0.64;3.06;1.19;-0.04;0.82;0.88;-0.57;-0.94;-0.91;-1.08;-0.71;-0.57;0.04;1.22;-1.62;
Zonas Estadísticas;05;Oeste Metropolitano ;-0.08;0.26;1.46;0.81;-0.07;0.55;0.27;-0.28;-0.53;-0.54;-0.47;-0.36;-0.31;0.16;0.69;-0.97;
Zonas Estadísticas;06;Sierra Norte        ;-0.07;0.43;2.28;1.68;0.03;1.09;0.36;-0.42;-0.59;-0.36;-1.08;-0.67;-0.61;-0.04;0.98;-1.30;
Zonas Estadísticas;07;Nordeste Comunidad  ;-0.20;0.61;3.06;1.25;0.06;0.91;0.71;-0.52;-0.89;-1.03;-1.13;-0.49;-0.54;0.31;0.77;-1.27;
Zonas Estadísticas;08;Sudeste Comunidad   ;0.08;0.76;3.41;1.81;-0.04;1.14;0.73;-0.69;-1.09;-0.69;-1.29;-0.46;-0.55;-0.04;0.92;-1.35;
Zonas Estadísticas;09;Sudoeste Comunidad  ;-0.28;0.62;2.43;1.12;0.17;1.13;0.95;-0.78;-0.85;-0.72;-0.97;-0.71;-0.65;-0.01;0.97;-1.25;
Zonas Estadísticas;10;Sierra Sur          ;-0.45;1.04;2.65;2.02;0.27;1.66;0.87;-1.47;-0.47;-0.49;-1.44;-0.53;-1.12;0.06;1.08;-1.44;
Zonas Estadísticas;11;Sierra Central      ;-0.19;0.43;1.94;0.90;0.08;0.92;0.34;-0.35;-0.59;-0.47;-0.69;-0.43;-0.40;0.24;0.73;-1.16;
Municipios;0014;Acebeda (La);1.75;1.81;-3.62;6.84;-2.02;2.78;2.71;-2.99;-1.26;-1.63;4.55;-1.38;-2.09;3.15;-3.02;-0.82;
Municipios;0029;Ajalvir;-0.48;0.40;1.94;1.58;-0.34;1.32;0.04;-0.55;0.25;-1.19;-1.08;-0.53;0.07;0.56;0.58;-1.16;
Municipios;0035;Alameda del Valle;-3.06;0.33;1.44;2.89;-0.62;0.50;-1.36;-0.24;0.19;0.26;-1.22;-0.92;0.90;-0.59;1.28;-1.13;
Municipios;0040;Alamo (El);-0.12;0.90;3.15;1.24;0.44;1.38;0.81;-0.81;-0.70;-0.13;0.87;-0.78;-1.18;-0.78;1.84;-2.06;
Municipios;0053;Alcalá de Henares;-0.07;0.45;3.40;1.10;0.04;0.73;0.62;-0.02;-1.08;-0.87;-1.08;-0.69;-0.42;0.01;1.16;-1.57;
Municipios;0066;Alcobendas;-0.05;0.37;2.15;1.03;0.04;0.62;0.40;-0.51;-0.64;-0.70;0.75;-0.47;-0.46;0.26;1.10;-1.40;
Municipios;0072;Alcorcón;-0.17;0.48;2.34;0.99;-0.08;0.82;0.74;-0.68;-0.59;-0.70;0.99;-0.59;-0.49;0.05;1.05;-1.46;
Municipios;0088;Aldea del Fresno;-0.26;1.03;3.79;2.44;-0.14;1.79;1.36;-1.12;-0.35;-2.19;0.82;-0.83;-1.91;0.43;1.07;-2.20;
Municipios;0091;Algete;0.28;-0.11;2.11;1.24;-0.23;0.97;0.72;-0.61;-0.71;-0.53;0.77;-0.55;-0.47;0.12;1.07;-1.12;
Municipios;0105;Alpedrete;-0.06;0.52;1.74;0.34;-0.13;1.12;0.07;-0.38;-0.32;-0.50;0.83;-0.24;-0.19;0.25;0.84;-1.13;
Municipios;0112;Ambite;-0.52;0.93;4.73;2.35;-0.13;0.00;0.43;0.44;0.44;7.35;-8.84;1.99;-2.68;-0.11;1.34;-3.62;
Municipios;0127;Anchuelo;-0.04;0.55;3.28;3.60;-2.28;1.70;1.47;-0.02;-1.80;-1.28;-2.00;-0.32;0.40;-0.15;1.29;-2.19;
Municipios;0133;Aranjuez;0.18;0.25;2.72;1.13;0.21;0.73;0.75;-0.62;-0.74;-0.20;0.94;-0.42;-0.35;-0.04;1.04;-1.42;
Municipios;0148;Arganda del Rey;-0.15;0.88;4.52;1.21;-0.35;1.28;0.49;0.44;-0.98;-1.40;0.99;-0.62;-0.35;0.19;1.04;-1.92;
Municipios;0151;Arroyomolinos;-0.36;0.05;1.29;1.01;0.28;0.85;0.91;-0.48;-0.87;-0.20;0.82;-0.54;-0.58;0.01;0.81;-1.06;
Municipios;0164;Atazar (El);-1.72;0.17;0.00;5.09;-4.90;8.82;-0.11;-0.43;-2.89;0.09;-1.20;0.31;-1.91;3.27;3.04;0.22;
Municipios;0170;Batres;0.60;-0.28;2.38;1.80;-0.15;1.45;0.93;-1.86;-0.75;0.25;0.00;-0.48;-0.94;-0.30;0.59;-0.34;
Municipios;0186;Becerril de la Sierra;-0.72;0.36;2.71;1.01;0.64;1.43;0.66;-1.46;-0.61;-0.12;-1.16;-1.23;-0.19;-0.08;0.38;-1.18;
Municipios;0199;Belmonte de Tajo;0.54;0.95;3.71;2.89;-0.16;-0.68;2.69;-2.26;-1.33;-0.26;-2.71;0.13;0.04;0.64;-0.34;-0.30;
Municipios;0210;Berrueco (El);-2.14;-0.23;2.48;2.62;0.35;0.29;1.36;-1.12;1.53;-1.90;-1.78;-1.47;-1.19;0.03;0.40;-0.65;
Municipios;0203;Berzosa del Lozoya;-4.17;-0.79;0.56;0.83;1.60;-0.24;2.71;-2.00;4.51;-1.29;-4.19;1.66;-4.16;-0.26;3.33;-3.84;
Municipios;0225;Boadilla del Monte;-0.23;0.30;1.01;0.65;-0.17;0.28;0.41;0.05;-0.66;-0.50;0.31;-0.28;-0.37;0.20;0.38;-0.71;
Municipios;0231;Boalo (El);0.55;0.21;2.43;0.51;0.09;1.07;0.41;-0.34;-0.34;0.21;-1.02;-1.06;-0.17;0.08;0.39;-0.79;
Municipios;0246;Braojos;-1.69;1.54;-0.19;3.12;0.33;0.68;1.19;-3.49;-0.12;-0.94;0.31;1.54;-2.44;-1.96;1.70;-0.46;
Municipios;0259;Brea de Tajo;-2.54;1.73;2.76;2.96;-1.42;3.79;-2.12;-0.26;-0.94;1.07;2.59;-0.64;-1.89;-0.06;1.80;-1.85;
Municipios;0262;Brunete;-0.07;0.69;2.20;0.81;0.21;0.82;0.47;-0.81;-0.40;-0.48;0.96;-0.45;-0.22;0.21;0.81;-1.26;
Municipios;0278;Buitrago del Lozoya;0.00;-0.49;1.72;1.23;1.99;-0.15;0.74;-0.41;-0.73;-0.79;-1.11;-0.71;-0.29;-0.13;2.06;-2.44;
Municipios;0284;Bustarviejo;-0.90;1.62;2.14;2.72;-0.86;0.93;0.75;-1.21;-1.04;0.12;-1.43;0.61;-1.01;-0.13;0.51;-0.90;
Municipios;0297;Cabanillas de la Sierra;1.96;-1.06;0.62;2.16;0.87;-0.27;2.36;-0.95;-1.38;0.42;-2.74;0.00;-0.15;-1.19;2.41;-1.39;
Municipios;0301;Cabrera (La);-0.10;0.19;4.32;1.62;0.87;0.49;-0.58;-0.18;-0.95;-0.77;0.93;-1.34;-0.12;1.43;0.42;-1.74;
Municipios;0318;Cadalso de los Vidrios;-0.94;1.41;3.65;1.89;1.54;2.54;-0.04;-1.47;-0.44;0.21;-2.85;0.02;-2.17;0.11;0.61;-1.13;
Municipios;0323;Camarma de Esteruelas;-0.37;0.40;3.20;1.22;0.76;0.63;1.10;-0.74;-0.97;-0.87;-1.02;-0.94;-0.09;0.22;0.70;-1.41;
Municipios;0339;Campo Real;-0.61;1.65;3.41;3.00;-0.65;1.12;0.62;-0.54;-0.77;-0.96;0.77;-0.99;-0.62;-0.63;1.11;-0.77;
