Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado total. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;223860;222811;253924;405673;480022;482025;530875;571751;546879;503441;458434;409826;380051;353737;363760;441630;339223;314982;
Zonas Estadísticas;01;Municipio de Madrid ;111276;109571;121723;186334;221346;220832;241263;257657;247067;230518;211046;191437;179406;167672;172670;214446;159411;149263;
Zonas Estadísticas;02;Norte Metropolitano ;8411;8666;9830;16627;20212;20249;22636;24623;23481;21349;19357;17097;15610;14327;14897;18154;13991;12757;
Zonas Estadísticas;03;Este Metropolitano  ;22996;23844;27003;47569;55164;56074;61101;65940;64811;58471;52346;46033;42378;39591;40271;48193;38398;35296;
Zonas Estadísticas;04;Sur Metropolitano   ;54226;53761;63112;102896;119277;119361;130902;142952;135461;123350;111584;98219;89582;82898;84316;99845;78065;71701;
Zonas Estadísticas;05;Oeste Metropolitano ;11524;11490;13064;19922;24172;24152;27063;28592;27320;24941;22460;20406;18884;17522;18533;22067;17384;16179;
Zonas Estadísticas;06;Sierra Norte        ;1112;1161;1391;2321;3017;3105;3579;3737;3534;3284;3142;2724;2486;2278;2333;2843;2289;2246;
Zonas Estadísticas;07;Nordeste Comunidad  ;1670;1694;2140;3923;4739;4867;5535;6036;5734;5251;4660;4024;3796;3537;3825;4416;3611;3361;
Zonas Estadísticas;08;Sudeste Comunidad   ;3034;3266;4168;7632;9634;9774;11081;11967;11195;10060;9332;8059;7647;7214;7336;8509;7140;6618;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3332;3291;4154;6964;8585;9329;11145;12662;11858;10951;10172;9054;8276;7592;7800;9405;7714;7018;
Zonas Estadísticas;10;Sierra Sur          ;1519;1430;1825;2743;3481;3606;4228;4570;4006;3822;3651;3200;3055;2723;2810;3310;2805;2581;
Zonas Estadísticas;11;Sierra Central      ;4760;4637;5514;8742;10395;10676;12342;13015;12412;11444;10684;9573;8931;8383;8969;10442;8415;7962;
Municipios;0014;Acebeda (La);1;2;3;1;5;4;6;8;6;5;4;7;6;6;7;4;4;6;
Municipios;0029;Ajalvir;100;90;107;187;255;254;315;321;303;314;268;221;202;212;239;264;213;207;
Municipios;0035;Alameda del Valle;14;7;8;11;18;17;18;15;13;13;13;10;8;10;9;14;11;19;
Municipios;0040;Alamo (El);243;246;325;584;701;773;914;1001;938;879;872;805;750;648;598;783;591;530;
Municipios;0053;Alcalá de Henares;8835;8575;9704;16708;18907;18949;20466;21834;21364;18999;17031;14795;13410;12711;12856;15030;12002;10944;
Municipios;0066;Alcobendas;3035;3040;3483;5883;7071;7087;7858;8389;7817;7152;6382;5603;5114;4618;4977;6178;4560;4144;
Municipios;0072;Alcorcón;7288;7090;7954;11880;13562;13452;14896;16195;15083;13819;12672;11071;10157;9379;9566;11267;8749;8041;
Municipios;0088;Aldea del Fresno;102;102;135;230;293;295;344;381;346;338;288;270;256;215;238;280;222;222;
Municipios;0091;Algete;541;601;610;1064;1333;1299;1491;1603;1477;1338;1241;1090;981;891;927;1143;912;810;
Municipios;0105;Alpedrete;399;407;483;723;789;785;941;987;935;905;844;715;687;670;719;850;683;678;
Municipios;0112;Ambite;13;13;19;47;60;61;63;65;70;74;115;71;75;58;59;73;48;57;
Municipios;0127;Anchuelo;34;36;43;78;123;103;128;148;148;125;111;76;74;79;78;100;70;59;
Municipios;0133;Aranjuez;2052;2282;2544;4103;4801;4979;5494;6007;5658;5265;5130;4606;4421;4253;4278;4864;4008;3676;
Municipios;0148;Arganda del Rey;1671;1685;2233;4614;5402;5325;6164;6491;6654;6027;5239;4662;4386;4260;4467;5029;4027;3662;
Municipios;0151;Arroyomolinos;343;336;412;662;939;1185;1555;1903;1864;1738;1768;1589;1476;1360;1429;1733;1422;1321;
Municipios;0164;Atazar (El);5;3;3;3;8;3;12;12;11;8;8;7;7;5;8;13;13;13;
Municipios;0170;Batres;44;52;49;85;113;113;138;153;125;113;118;104;98;85;83;97;91;77;
Municipios;0186;Becerril de la Sierra;201;171;194;334;391;430;517;556;474;445;442;380;319;317;321;357;289;322;
Municipios;0199;Belmonte de Tajo;38;47;62;119;165;166;162;206;170;152;146;104;106;109;121;120;116;108;
Municipios;0210;Berrueco (El);30;20;19;33;50;53;54;65;58;66;66;52;41;33;34;38;33;36;
