Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de 25 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;88.76;88.99;88.80;87.52;88.65;89.18;89.67;91.22;91.93;92.12;92.52;92.65;92.31;92.06;92.26;91.12;93.22;92.65;
Zonas Estadísticas;01;Municipio de Madrid ;90.26;90.32;90.22;89.32;90.12;90.57;90.86;92.37;92.92;92.91;93.00;92.98;92.48;92.37;92.67;91.47;93.62;93.12;
Zonas Estadísticas;02;Norte Metropolitano ;88.66;89.71;89.54;87.00;89.05;89.32;89.72;91.23;92.05;92.31;93.18;93.03;93.03;93.55;93.09;92.02;94.52;93.95;
Zonas Estadísticas;03;Este Metropolitano  ;86.80;86.71;87.11;85.00;86.96;87.55;88.20;89.67;90.64;91.13;91.80;92.10;91.80;91.37;91.58;90.36;92.40;91.75;
Zonas Estadísticas;04;Sur Metropolitano   ;86.02;86.68;86.37;85.42;86.66;87.40;88.20;89.82;90.71;91.07;91.60;91.95;91.78;91.09;91.28;90.35;92.23;91.47;
Zonas Estadísticas;05;Oeste Metropolitano ;92.39;92.55;92.33;90.95;91.54;91.68;91.82;93.47;94.17;94.27;94.59;94.70;94.28;94.15;94.18;93.02;95.28;94.96;
Zonas Estadísticas;06;Sierra Norte        ;89.21;90.18;90.29;87.89;88.17;88.63;89.52;91.49;92.05;92.54;93.60;92.88;92.88;93.15;93.06;91.24;94.23;94.61;
Zonas Estadísticas;07;Nordeste Comunidad  ;88.26;88.49;87.99;85.29;86.96;87.08;88.24;89.33;90.04;91.53;91.50;93.17;92.28;92.20;92.37;90.69;93.52;91.94;
Zonas Estadísticas;08;Sudeste Comunidad   ;86.42;85.92;85.39;84.09;84.90;85.58;87.12;89.05;89.58;90.03;91.05;91.41;91.59;91.32;91.03;90.69;92.72;91.92;
Zonas Estadísticas;09;Sudoeste Comunidad  ;85.74;86.45;85.82;84.15;86.15;87.44;87.59;89.29;90.35;90.30;91.76;91.47;90.66;91.07;91.35;89.36;91.48;90.88;
Zonas Estadísticas;10;Sierra Sur          ;87.23;86.43;84.05;83.63;83.71;85.14;86.59;87.77;88.47;88.46;90.96;90.16;90.74;90.78;90.28;88.70;91.84;91.67;
