Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;;6726640;6743254;6871903;
Zonas Estadísticas;01;Municipio de Madrid ;;3277451;3267027;3340176;
Zonas Estadísticas;02;Norte Metropolitano ;;350798;353289;360688;
Zonas Estadísticas;03;Este Metropolitano  ;;666509;673085;683775;
Zonas Estadísticas;04;Sur Metropolitano   ;;1332183;1332226;1347635;
Zonas Estadísticas;05;Oeste Metropolitano ;;506391;513870;523396;
Zonas Estadísticas;06;Sierra Norte        ;;44743;45478;46541;
Zonas Estadísticas;07;Nordeste Comunidad  ;;67886;68992;70614;
Zonas Estadísticas;08;Sudeste Comunidad   ;;111268;113429;116016;
Zonas Estadísticas;09;Sudoeste Comunidad  ;;149758;153349;156963;
Zonas Estadísticas;10;Sierra Sur          ;;37766;38432;39300;
Zonas Estadísticas;11;Sierra Central      ;;181887;184077;186799;
Municipios;0014;Acebeda (La);;55;62;67;
Municipios;0029;Ajalvir;;4793;4825;4875;
Municipios;0035;Alameda del Valle;;248;242;275;
Municipios;0040;Alamo (El);;9946;10100;10298;
Municipios;0053;Alcalá de Henares;;195570;196008;198348;
Municipios;0066;Alcobendas;;116895;116935;119471;
Municipios;0072;Alcorcón;;171575;171435;172845;
Municipios;0088;Aldea del Fresno;;3078;3231;3408;
Municipios;0091;Algete;;20704;20704;20936;
Municipios;0105;Alpedrete;;15178;15185;15452;
Municipios;0112;Ambite;;663;660;690;
Municipios;0127;Anchuelo;;1365;1357;1379;
Municipios;0133;Aranjuez;;60156;60138;60998;
Municipios;0148;Arganda del Rey;;56315;57324;58623;
Municipios;0151;Arroyomolinos;;33757;34952;36102;
Municipios;0164;Atazar (El);;109;107;104;
Municipios;0170;Batres;;1818;1838;1881;
Municipios;0186;Becerril de la Sierra;;6096;6184;6267;
Municipios;0199;Belmonte de Tajo;;1749;1776;1842;
Municipios;0210;Berrueco (El);;810;815;821;
Municipios;0203;Berzosa del Lozoya;;213;227;219;
Municipios;0225;Boadilla del Monte;;59000;62625;64635;
Municipios;0231;Boalo (El);;8006;8224;8429;
Municipios;0246;Braojos;;218;218;212;
Municipios;0259;Brea de Tajo;;529;543;549;
Municipios;0262;Brunete;;10699;10812;10992;
Municipios;0278;Buitrago del Lozoya;;1943;1952;1954;
Municipios;0284;Bustarviejo;;2706;2707;2752;
Municipios;0297;Cabanillas de la Sierra;;841;874;937;
Municipios;0301;Cabrera (La);;2776;2825;2898;
Municipios;0318;Cadalso de los Vidrios;;3227;3215;3218;
Municipios;0323;Camarma de Esteruelas;;7536;7585;7782;
Municipios;0339;Campo Real;;6435;6662;6711;
Municipios;0344;Canencia;;457;457;464;
Municipios;0357;Carabaña;;2168;2234;2286;
Municipios;0360;Casarrubuelos;;3950;3987;4099;
Municipios;0376;Cenicientos;;2078;2080;2088;
Municipios;0382;Cercedilla;;7315;7527;7652;
Municipios;0395;Cervera de Buitrago;;158;166;164;
Municipios;0513;Chapinería;;2493;2508;2598;
Municipios;0528;Chinchón;;5544;5673;5670;
Municipios;0409;Ciempozuelos;;25070;25204;25672;
Municipios;0416;Cobeña;;7424;7524;7702;
Municipios;0468;Collado Mediano;;7348;7455;7463;
Municipios;0474;Collado Villalba;;64297;64843;66260;
Municipios;0455;Colmenar Viejo;;52465;53316;55100;
Municipios;0437;Colmenar de Oreja;;8422;8561;8750;
Municipios;0421;Colmenar del Arroyo;;1879;1939;1954;
Municipios;0442;Colmenarejo;;9414;9544;9655;
Municipios;0480;Corpa;;742;772;796;
Municipios;0493;Coslada;;81388;80578;80146;
Municipios;0506;Cubas de la Sagra;;6607;6692;6807;
Municipios;0534;Daganzo de Arriba;;10528;10633;10601;
Municipios;0549;Escorial (El);;16681;16733;16978;
Municipios;0552;Estremera;;1379;1408;1449;
Municipios;0565;Fresnedillas de la Oliva;;1733;1781;1799;
Municipios;0571;Fresno de Torote;;2412;2438;2508;
Municipios;0587;Fuenlabrada;;192612;190215;189287;
Municipios;0590;Fuente el Saz de Jarama;;6868;7034;7260;
Municipios;0604;Fuentidueña de Tajo;;2223;2249;2260;
Municipios;0611;Galapagar;;34653;34860;35298;
Municipios;0626;Garganta de los Montes;;411;396;419;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;;348;383;388;
Municipios;0647;Gascones;;191;212;227;
Municipios;0650;Getafe;;183872;185119;187525;
Municipios;0663;Griñón;;10489;10506;10599;
Municipios;0679;Guadalix de la Sierra;;6597;6680;6813;
Municipios;0685;Guadarrama;;16583;16870;17044;
Municipios;0698;Hiruela (La);;73;76;74;
Municipios;0702;Horcajo de la Sierra-Aoslos;;169;199;234;
Municipios;0719;Horcajuelo de la Sierra;;106;109;108;
Municipios;0724;Hoyo de Manzanares;;8669;8818;8971;
Municipios;0730;Humanes de Madrid;;19685;19762;19834;
Municipios;0745;Leganés;;188687;188122;190974;
Municipios;0758;Loeches;;8916;8995;9153;
Municipios;0761;Lozoya;;599;600;621;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;;1412;1458;1473;
Municipios;0783;Madarcos;;57;63;72;
Municipios;0796;Madrid;;3277451;3267027;3340176;
Municipios;0800;Majadahonda;;72173;72395;72833;
Municipios;0822;Manzanares el Real;;9223;9279;9396;
Municipios;0838;Meco;;14960;15199;15451;
Municipios;0843;Mejorada del Campo;;23673;23776;24133;
