Población.Censos.Censo anual.Población censada.Total. Población censada de 25 a 29 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;387486;386115;407555;
Zonas Estadísticas;01;Municipio de Madrid ;211701;211135;228310;
Zonas Estadísticas;02;Norte Metropolitano ;19198;19009;19588;
Zonas Estadísticas;03;Este Metropolitano  ;35040;34623;35264;
Zonas Estadísticas;04;Sur Metropolitano   ;66903;65993;67417;
Zonas Estadísticas;05;Oeste Metropolitano ;26645;27058;28091;
Zonas Estadísticas;06;Sierra Norte        ;1964;2019;2139;
Zonas Estadísticas;07;Nordeste Comunidad  ;3329;3330;3431;
Zonas Estadísticas;08;Sudeste Comunidad   ;5479;5510;5595;
Zonas Estadísticas;09;Sudoeste Comunidad  ;6753;6845;6891;
Zonas Estadísticas;10;Sierra Sur          ;1836;1841;1876;
Zonas Estadísticas;11;Sierra Central      ;8638;8752;8953;
Municipios;0014;Acebeda (La);0;2;3;
Municipios;0029;Ajalvir;253;266;291;
Municipios;0035;Alameda del Valle;6;8;9;
Municipios;0040;Alamo (El);526;518;526;
Municipios;0053;Alcalá de Henares;10459;10346;10669;
Municipios;0066;Alcobendas;6613;6504;6776;
Municipios;0072;Alcorcón;7538;7601;8022;
Municipios;0088;Aldea del Fresno;146;153;154;
Municipios;0091;Algete;1101;1116;1138;
Municipios;0105;Alpedrete;716;736;768;
Municipios;0112;Ambite;23;24;27;
Municipios;0127;Anchuelo;72;65;64;
Municipios;0133;Aranjuez;3149;3165;3269;
Municipios;0148;Arganda del Rey;3057;3045;3103;
Municipios;0151;Arroyomolinos;1158;1197;1251;
Municipios;0164;Atazar (El);4;5;6;
Municipios;0170;Batres;86;81;74;
Municipios;0186;Becerril de la Sierra;266;282;305;
Municipios;0199;Belmonte de Tajo;109;90;88;
Municipios;0210;Berrueco (El);25;32;41;
Municipios;0203;Berzosa del Lozoya;7;11;11;
Municipios;0225;Boadilla del Monte;2339;2492;2651;
Municipios;0231;Boalo (El);291;286;317;
Municipios;0246;Braojos;16;15;14;
Municipios;0259;Brea de Tajo;37;30;35;
Municipios;0262;Brunete;560;580;620;
Municipios;0278;Buitrago del Lozoya;101;98;108;
Municipios;0284;Bustarviejo;108;92;95;
Municipios;0297;Cabanillas de la Sierra;34;34;32;
Municipios;0301;Cabrera (La);118;134;142;
Municipios;0318;Cadalso de los Vidrios;163;163;152;
Municipios;0323;Camarma de Esteruelas;349;335;344;
Municipios;0339;Campo Real;332;344;356;
Municipios;0344;Canencia;11;19;19;
Municipios;0357;Carabaña;112;103;96;
Municipios;0360;Casarrubuelos;187;186;197;
Municipios;0376;Cenicientos;107;109;108;
Municipios;0382;Cercedilla;382;412;425;
Municipios;0395;Cervera de Buitrago;4;5;10;
Municipios;0513;Chapinería;117;119;116;
Municipios;0528;Chinchón;288;276;280;
Municipios;0409;Ciempozuelos;1391;1431;1397;
Municipios;0416;Cobeña;347;339;361;
Municipios;0468;Collado Mediano;356;369;396;
Municipios;0474;Collado Villalba;3823;3945;4003;
Municipios;0455;Colmenar Viejo;2992;2928;3034;
Municipios;0437;Colmenar de Oreja;413;421;433;
Municipios;0421;Colmenar del Arroyo;87;94;90;
Municipios;0442;Colmenarejo;467;488;516;
Municipios;0480;Corpa;29;28;27;
Municipios;0493;Coslada;4511;4261;4036;
Municipios;0506;Cubas de la Sagra;250;235;221;
Municipios;0534;Daganzo de Arriba;394;422;405;
Municipios;0549;Escorial (El);873;859;848;
Municipios;0552;Estremera;64;74;74;
Municipios;0565;Fresnedillas de la Oliva;97;101;87;
Municipios;0571;Fresno de Torote;94;94;91;
Municipios;0587;Fuenlabrada;10359;10041;9761;
Municipios;0590;Fuente el Saz de Jarama;366;348;375;
Municipios;0604;Fuentidueña de Tajo;136;135;113;
Municipios;0611;Galapagar;1981;1988;2108;
Municipios;0626;Garganta de los Montes;21;23;20;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;9;12;13;
Municipios;0647;Gascones;14;13;11;
