Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;506467;516329;521149;530482;
Zonas Estadísticas;01;Municipio de Madrid ;248289;250260;248427;248778;
Zonas Estadísticas;02;Norte Metropolitano ;26868;27271;27497;28161;
Zonas Estadísticas;03;Este Metropolitano  ;49678;50999;51927;53586;
Zonas Estadísticas;04;Sur Metropolitano   ;93775;97182;99783;103082;
Zonas Estadísticas;05;Oeste Metropolitano ;41643;42356;43226;44493;
Zonas Estadísticas;06;Sierra Norte        ;3606;3737;4017;4082;
Zonas Estadísticas;07;Nordeste Comunidad  ;5352;5732;6018;6299;
Zonas Estadísticas;08;Sudeste Comunidad   ;8215;8404;8682;9084;
Zonas Estadísticas;09;Sudoeste Comunidad  ;10383;11009;11636;12368;
Zonas Estadísticas;10;Sierra Sur          ;2902;2995;3062;3069;
Zonas Estadísticas;11;Sierra Central      ;15756;16384;16874;17480;
Municipios;0014;Acebeda (La);7;3;4;2;
Municipios;0029;Ajalvir;377;395;402;416;
Municipios;0035;Alameda del Valle;26;30;31;24;
Municipios;0040;Alamo (El);726;800;834;855;
Municipios;0053;Alcalá de Henares;15119;15429;15772;16356;
Municipios;0066;Alcobendas;8747;8913;8850;9182;
Municipios;0072;Alcorcón;12466;13052;13727;14397;
Municipios;0088;Aldea del Fresno;220;217;228;234;
Municipios;0091;Algete;1767;1776;1730;1712;
Municipios;0105;Alpedrete;1393;1445;1486;1556;
Municipios;0112;Ambite;57;63;68;66;
Municipios;0127;Anchuelo;77;83;90;87;
Municipios;0133;Aranjuez;4547;4666;4706;4724;
Municipios;0148;Arganda del Rey;3969;4200;4367;4576;
Municipios;0151;Arroyomolinos;1971;2183;2448;2604;
Municipios;0164;Atazar (El);13;13;19;17;
Municipios;0170;Batres;171;166;168;196;
Municipios;0186;Becerril de la Sierra;510;523;529;530;
Municipios;0199;Belmonte de Tajo;118;122;130;145;
Municipios;0210;Berrueco (El);50;50;57;52;
Municipios;0203;Berzosa del Lozoya;20;16;24;23;
Municipios;0225;Boadilla del Monte;4932;5314;5816;6468;
Municipios;0231;Boalo (El);635;683;771;840;
Municipios;0246;Braojos;20;19;19;24;
Municipios;0259;Brea de Tajo;40;35;42;45;
Municipios;0262;Brunete;941;990;1021;1040;
Municipios;0278;Buitrago del Lozoya;126;136;153;151;
Municipios;0284;Bustarviejo;207;213;248;253;
Municipios;0297;Cabanillas de la Sierra;82;75;81;92;
Municipios;0301;Cabrera (La);232;247;247;247;
Municipios;0318;Cadalso de los Vidrios;231;235;241;228;
Municipios;0323;Camarma de Esteruelas;535;590;647;677;
Municipios;0339;Campo Real;435;456;478;523;
Municipios;0344;Canencia;52;48;56;45;
Municipios;0357;Carabaña;144;149;163;169;
Municipios;0360;Casarrubuelos;264;284;320;343;
Municipios;0376;Cenicientos;143;131;126;121;
Municipios;0382;Cercedilla;624;635;636;687;
Municipios;0395;Cervera de Buitrago;17;20;16;16;
Municipios;0513;Chapinería;189;196;196;184;
Municipios;0528;Chinchón;450;447;456;485;
Municipios;0409;Ciempozuelos;1914;2013;2057;2171;
Municipios;0416;Cobeña;660;656;668;673;
Municipios;0468;Collado Mediano;693;708;739;771;
Municipios;0474;Collado Villalba;5282;5362;5405;5351;
Municipios;0455;Colmenar Viejo;4004;4077;4158;4227;
Municipios;0437;Colmenar de Oreja;627;638;689;709;
Municipios;0421;Colmenar del Arroyo;143;148;156;168;
Municipios;0442;Colmenarejo;842;859;872;894;
Municipios;0480;Corpa;40;38;40;43;
Municipios;0493;Coslada;5457;5411;5491;5582;
Municipios;0506;Cubas de la Sagra;460;482;504;544;
Municipios;0534;Daganzo de Arriba;952;1087;1186;1253;
Municipios;0549;Escorial (El);1376;1376;1344;1338;
Municipios;0552;Estremera;94;104;123;118;
Municipios;0565;Fresnedillas de la Oliva;124;140;145;142;
Municipios;0571;Fresno de Torote;173;189;197;227;
Municipios;0587;Fuenlabrada;15246;15440;15579;15548;
