Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;2248;2373;2401;2615;
Zonas Estadísticas;01;Municipio de Madrid ;1405;1457;1516;1616;
Zonas Estadísticas;02;Norte Metropolitano ;87;90;70;87;
Zonas Estadísticas;03;Este Metropolitano  ;143;138;138;150;
Zonas Estadísticas;04;Sur Metropolitano   ;265;291;302;344;
Zonas Estadísticas;05;Oeste Metropolitano ;152;174;169;190;
Zonas Estadísticas;06;Sierra Norte        ;29;28;31;28;
Zonas Estadísticas;07;Nordeste Comunidad  ;14;17;14;15;
Zonas Estadísticas;08;Sudeste Comunidad   ;31;32;35;40;
Zonas Estadísticas;09;Sudoeste Comunidad  ;50;60;53;55;
Zonas Estadísticas;10;Sierra Sur          ;21;27;24;25;
Zonas Estadísticas;11;Sierra Central      ;51;59;49;65;
Municipios;0014;Acebeda (La);0;0;0;0;
Municipios;0029;Ajalvir;0;0;1;2;
Municipios;0035;Alameda del Valle;0;0;0;0;
Municipios;0040;Alamo (El);6;8;5;8;
Municipios;0053;Alcalá de Henares;66;61;60;66;
Municipios;0066;Alcobendas;30;31;29;28;
Municipios;0072;Alcorcón;47;53;52;60;
Municipios;0088;Aldea del Fresno;0;2;2;1;
Municipios;0091;Algete;4;4;4;5;
Municipios;0105;Alpedrete;5;6;5;5;
Municipios;0112;Ambite;0;1;0;0;
Municipios;0127;Anchuelo;0;0;0;0;
Municipios;0133;Aranjuez;9;14;11;15;
Municipios;0148;Arganda del Rey;18;13;18;19;
Municipios;0151;Arroyomolinos;1;1;0;1;
Municipios;0164;Atazar (El);0;0;0;0;
Municipios;0170;Batres;1;0;0;0;
Municipios;0186;Becerril de la Sierra;0;1;1;2;
Municipios;0199;Belmonte de Tajo;0;0;0;0;
Municipios;0210;Berrueco (El);0;0;0;0;
Municipios;0203;Berzosa del Lozoya;1;1;1;0;
Municipios;0225;Boadilla del Monte;12;14;9;11;
Municipios;0231;Boalo (El);2;1;2;3;
Municipios;0246;Braojos;0;0;0;0;
Municipios;0259;Brea de Tajo;1;0;0;0;
Municipios;0262;Brunete;1;1;0;0;
Municipios;0278;Buitrago del Lozoya;4;3;2;3;
Municipios;0284;Bustarviejo;2;0;1;0;
Municipios;0297;Cabanillas de la Sierra;0;0;0;0;
Municipios;0301;Cabrera (La);2;2;2;3;
