Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;6663394;6779888;6751251;6750336;
Zonas Estadísticas;01;Municipio de Madrid ;3266126;3334730;3305408;3280782;
Zonas Estadísticas;02;Norte Metropolitano ;346208;351721;350513;353626;
Zonas Estadísticas;03;Este Metropolitano  ;657148;665680;665841;673232;
Zonas Estadísticas;04;Sur Metropolitano   ;1328378;1342348;1330864;1327502;
Zonas Estadísticas;05;Oeste Metropolitano ;498220;504496;505757;512784;
Zonas Estadísticas;06;Sierra Norte        ;42133;43442;44750;45338;
Zonas Estadísticas;07;Nordeste Comunidad  ;65112;66668;67841;68932;
Zonas Estadísticas;08;Sudeste Comunidad   ;106403;108813;111048;113040;
Zonas Estadísticas;09;Sudoeste Comunidad  ;142587;146669;149640;153084;
Zonas Estadísticas;10;Sierra Sur          ;35773;36642;37846;38370;
Zonas Estadísticas;11;Sierra Central      ;175306;178679;181743;183646;
Municipios;0014;Acebeda (La);84;68;55;62;
Municipios;0029;Ajalvir;4712;4721;4676;4751;
Municipios;0035;Alameda del Valle;200;204;246;241;
Municipios;0040;Alamo (El);9470;9862;9908;10123;
Municipios;0053;Alcalá de Henares;195649;197562;195982;196888;
Municipios;0066;Alcobendas;117040;118417;116589;117041;
Municipios;0072;Alcorcón;170514;172384;170817;170296;
Municipios;0088;Aldea del Fresno;2838;2973;3085;3227;
Municipios;0091;Algete;20611;20864;20749;20767;
Municipios;0105;Alpedrete;14575;14839;14959;15006;
Municipios;0112;Ambite;592;609;662;648;
Municipios;0127;Anchuelo;1271;1286;1359;1354;
Municipios;0133;Aranjuez;59607;60332;59833;59762;
Municipios;0148;Arganda del Rey;55389;56678;56386;57553;
Municipios;0151;Arroyomolinos;31396;32935;33687;34833;
Municipios;0164;Atazar (El);89;90;109;107;
Municipios;0170;Batres;1684;1750;1820;1823;
Municipios;0186;Becerril de la Sierra;5714;5875;6108;6197;
Municipios;0199;Belmonte de Tajo;1664;1683;1751;1769;
Municipios;0210;Berrueco (El);760;777;796;801;
Municipios;0203;Berzosa del Lozoya;205;222;216;227;
Municipios;0225;Boadilla del Monte;54570;56734;59052;62627;
Municipios;0231;Boalo (El);7508;7663;8009;8216;
Municipios;0246;Braojos;205;206;218;218;
Municipios;0259;Brea de Tajo;524;506;523;541;
Municipios;0262;Brunete;10736;10760;10726;10845;
Municipios;0278;Buitrago del Lozoya;1884;1959;1940;1948;
Municipios;0284;Bustarviejo;2503;2522;2701;2706;
Municipios;0297;Cabanillas de la Sierra;756;785;837;874;
Municipios;0301;Cabrera (La);2667;2736;2782;2805;
Municipios;0318;Cadalso de los Vidrios;3039;3047;3203;3193;
Municipios;0323;Camarma de Esteruelas;7336;7437;7555;7595;
Municipios;0339;Campo Real;6210;6420;6416;6651;
Municipios;0344;Canencia;447;447;461;455;
Municipios;0357;Carabaña;2010;2081;2142;2210;
Municipios;0360;Casarrubuelos;3778;3845;3939;3961;
Municipios;0376;Cenicientos;2033;2038;2083;2089;
Municipios;0382;Cercedilla;7026;7205;7359;7533;
Municipios;0395;Cervera de Buitrago;150;162;158;169;
Municipios;0513;Chapinería;2328;2414;2494;2512;
Municipios;0528;Chinchón;5331;5413;5506;5658;
Municipios;0409;Ciempozuelos;24592;25104;25083;25383;
Municipios;0416;Cobeña;7428;7486;7444;7551;
Municipios;0468;Collado Mediano;6958;7105;7348;7456;
Municipios;0474;Collado Villalba;63679;64378;63825;64263;
Municipios;0455;Colmenar Viejo;50752;51938;52480;53389;
Municipios;0437;Colmenar de Oreja;8032;8154;8303;8462;
Municipios;0421;Colmenar del Arroyo;1725;1785;1875;1936;
Municipios;0442;Colmenarejo;9130;9230;9376;9473;
Municipios;0480;Corpa;713;723;742;764;
Municipios;0493;Coslada;81661;81391;81273;80596;
Municipios;0506;Cubas de la Sagra;6413;6539;6642;6698;
Municipios;0534;Daganzo de Arriba;10205;10337;10520;10650;
