Sector agrario.Censo agrario 2020.Características  de los jefes de las explotaciones y mano de obra. Edad media de los jefes de explotaciones agrarias. Unidad: Años. Fuente: Censo Agrario. INE.;
Serie;;;2020
Comunidad de Madrid;;Comunidad de Madrid;63.29;
Zonas Estadísticas;01;Municipio de Madrid ;-;
Zonas Estadísticas;02;Norte Metropolitano ;-;
Zonas Estadísticas;03;Este Metropolitano  ;-;
Zonas Estadísticas;04;Sur Metropolitano   ;-;
Zonas Estadísticas;05;Oeste Metropolitano ;-;
Zonas Estadísticas;06;Sierra Norte        ;-;
Zonas Estadísticas;07;Nordeste Comunidad  ;-;
Zonas Estadísticas;08;Sudeste Comunidad   ;-;
Zonas Estadísticas;09;Sudoeste Comunidad  ;-;
Zonas Estadísticas;10;Sierra Sur          ;-;
Zonas Estadísticas;11;Sierra Central      ;-;
Municipios;0014;Acebeda (La);-;
Municipios;0029;Ajalvir;61.63;
Municipios;0035;Alameda del Valle;52.87;
Municipios;0040;Alamo (El);67.93;
Municipios;0053;Alcalá de Henares;53.90;
Municipios;0066;Alcobendas;-;
Municipios;0072;Alcorcón;61.56;
Municipios;0088;Aldea del Fresno;65.13;
Municipios;0091;Algete;54.31;
Municipios;0105;Alpedrete;56.44;
Municipios;0112;Ambite;64.44;
Municipios;0127;Anchuelo;62.17;
Municipios;0133;Aranjuez;62.68;
Municipios;0148;Arganda del Rey;65.94;
Municipios;0151;Arroyomolinos;-;
Municipios;0164;Atazar (El);-;
Municipios;0170;Batres;66.80;
Municipios;0186;Becerril de la Sierra;54.68;
Municipios;0199;Belmonte de Tajo;65.44;
Municipios;0210;Berrueco (El);63.75;
Municipios;0203;Berzosa del Lozoya;57.00;
Municipios;0225;Boadilla del Monte;48.50;
Municipios;0231;Boalo (El);54.37;
Municipios;0246;Braojos;60.77;
Municipios;0259;Brea de Tajo;66.45;
Municipios;0262;Brunete;57.07;
Municipios;0278;Buitrago del Lozoya;63.67;
Municipios;0284;Bustarviejo;54.94;
Municipios;0297;Cabanillas de la Sierra;61.00;
Municipios;0301;Cabrera (La);62.17;
Municipios;0318;Cadalso de los Vidrios;68.10;
Municipios;0323;Camarma de Esteruelas;65.97;
Municipios;0339;Campo Real;69.14;
Municipios;0344;Canencia;56.00;
Municipios;0357;Carabaña;65.24;
Municipios;0360;Casarrubuelos;-;
