Sector agrario.Censo agrario 2020.Características  de los jefes de las explotaciones y mano de obra. Jefes de explotaciones agrarias con cursos de formación agraria. Unidad: Número. Fuente: Censo Agrario. INE.;
Serie;;;2020
Comunidad de Madrid;;Comunidad de Madrid;1443;
Zonas Estadísticas;01;Municipio de Madrid ;25;
Zonas Estadísticas;02;Norte Metropolitano ;-;
Zonas Estadísticas;03;Este Metropolitano  ;-;
Zonas Estadísticas;04;Sur Metropolitano   ;124;
Zonas Estadísticas;05;Oeste Metropolitano ;-;
Zonas Estadísticas;06;Sierra Norte        ;-;
Zonas Estadísticas;07;Nordeste Comunidad  ;82;
Zonas Estadísticas;08;Sudeste Comunidad   ;527;
Zonas Estadísticas;09;Sudoeste Comunidad  ;-;
Zonas Estadísticas;10;Sierra Sur          ;-;
Zonas Estadísticas;11;Sierra Central      ;117;
Municipios;0014;Acebeda (La);-;
Municipios;0029;Ajalvir;4;
Municipios;0035;Alameda del Valle;6;
Municipios;0040;Alamo (El);9;
Municipios;0053;Alcalá de Henares;4;
Municipios;0066;Alcobendas;-;
Municipios;0072;Alcorcón;0;
Municipios;0088;Aldea del Fresno;5;
Municipios;0091;Algete;11;
Municipios;0105;Alpedrete;2;
Municipios;0112;Ambite;2;
Municipios;0127;Anchuelo;7;
Municipios;0133;Aranjuez;29;
Municipios;0148;Arganda del Rey;16;
Municipios;0151;Arroyomolinos;-;
Municipios;0164;Atazar (El);-;
Municipios;0170;Batres;1;
Municipios;0186;Becerril de la Sierra;10;
Municipios;0199;Belmonte de Tajo;24;
Municipios;0210;Berrueco (El);1;
Municipios;0203;Berzosa del Lozoya;1;
Municipios;0225;Boadilla del Monte;0;
Municipios;0231;Boalo (El);7;
Municipios;0246;Braojos;3;
Municipios;0259;Brea de Tajo;12;
Municipios;0262;Brunete;5;
Municipios;0278;Buitrago del Lozoya;7;
Municipios;0284;Bustarviejo;4;
Municipios;0297;Cabanillas de la Sierra;0;
Municipios;0301;Cabrera (La);1;
Municipios;0318;Cadalso de los Vidrios;24;
Municipios;0323;Camarma de Esteruelas;3;
Municipios;0339;Campo Real;7;
