Sector agrario.Censo agrario 2020.Características  de los jefes de las explotaciones y mano de obra. Jefes de explotaciones agrarias con experiencia agraria exclusivamente. Unidad: Número. Fuente: Censo Agrario. INE.;
Serie;;;2020
Comunidad de Madrid;;Comunidad de Madrid;5946;
Zonas Estadísticas;01;Municipio de Madrid ;79;
Zonas Estadísticas;02;Norte Metropolitano ;-;
Zonas Estadísticas;03;Este Metropolitano  ;-;
Zonas Estadísticas;04;Sur Metropolitano   ;438;
Zonas Estadísticas;05;Oeste Metropolitano ;-;
Zonas Estadísticas;06;Sierra Norte        ;-;
Zonas Estadísticas;07;Nordeste Comunidad  ;265;
Zonas Estadísticas;08;Sudeste Comunidad   ;2593;
Zonas Estadísticas;09;Sudoeste Comunidad  ;-;
Zonas Estadísticas;10;Sierra Sur          ;-;
Zonas Estadísticas;11;Sierra Central      ;245;
Municipios;0014;Acebeda (La);-;
Municipios;0029;Ajalvir;14;
Municipios;0035;Alameda del Valle;8;
Municipios;0040;Alamo (El);60;
Municipios;0053;Alcalá de Henares;12;
Municipios;0066;Alcobendas;-;
Municipios;0072;Alcorcón;9;
Municipios;0088;Aldea del Fresno;23;
Municipios;0091;Algete;5;
Municipios;0105;Alpedrete;6;
Municipios;0112;Ambite;21;
Municipios;0127;Anchuelo;22;
Municipios;0133;Aranjuez;148;
Municipios;0148;Arganda del Rey;149;
Municipios;0151;Arroyomolinos;-;
Municipios;0164;Atazar (El);-;
Municipios;0170;Batres;4;
Municipios;0186;Becerril de la Sierra;12;
Municipios;0199;Belmonte de Tajo;113;
Municipios;0210;Berrueco (El);7;
Municipios;0203;Berzosa del Lozoya;3;
Municipios;0225;Boadilla del Monte;4;
Municipios;0231;Boalo (El);19;
Municipios;0246;Braojos;9;
Municipios;0259;Brea de Tajo;72;
Municipios;0262;Brunete;9;
Municipios;0278;Buitrago del Lozoya;11;
Municipios;0284;Bustarviejo;8;
Municipios;0297;Cabanillas de la Sierra;4;
Municipios;0301;Cabrera (La);2;
Municipios;0318;Cadalso de los Vidrios;136;
Municipios;0323;Camarma de Esteruelas;27;
Municipios;0339;Campo Real;150;
Municipios;0344;Canencia;16;
Municipios;0357;Carabaña;81;
Municipios;0360;Casarrubuelos;-;
Municipios;0376;Cenicientos;202;
Municipios;0382;Cercedilla;22;
Municipios;0395;Cervera de Buitrago;-;
Municipios;0513;Chapinería;4;
Municipios;0528;Chinchón;319;
Municipios;0409;Ciempozuelos;69;
Municipios;0416;Cobeña;13;
Municipios;0468;Collado Mediano;16;
Municipios;0474;Collado Villalba;5;
Municipios;0455;Colmenar Viejo;100;
Municipios;0437;Colmenar de Oreja;403;
Municipios;0421;Colmenar del Arroyo;10;
Municipios;0442;Colmenarejo;6;
Municipios;0480;Corpa;29;
Municipios;0493;Coslada;-;
Municipios;0506;Cubas de la Sagra;8;
Municipios;0534;Daganzo de Arriba;16;
