Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;17027;17322;17586;17925;18012;18364;18079;17877;17752;
Zonas Estadísticas;01;Municipio de Madrid ;9958;10098;10217;10404;10506;10734;10608;10610;10566;
Zonas Estadísticas;02;Norte Metropolitano ;947;960;992;1024;1019;1038;1049;1026;1029;
Zonas Estadísticas;03;Este Metropolitano  ;1213;1199;1215;1236;1235;1262;1211;1150;1131;
Zonas Estadísticas;04;Sur Metropolitano   ;2263;2279;2278;2271;2231;2276;2189;2068;2040;
Zonas Estadísticas;05;Oeste Metropolitano ;1574;1687;1746;1805;1858;1872;1848;1869;1853;
Zonas Estadísticas;06;Sierra Norte        ;78;80;81;78;75;82;84;86;79;
Zonas Estadísticas;07;Nordeste Comunidad  ;124;124;124;124;130;129;126;125;123;
Zonas Estadísticas;08;Sudeste Comunidad   ;193;203;197;207;193;207;201;187;189;
Zonas Estadísticas;09;Sudoeste Comunidad  ;268;275;287;319;309;308;299;293;290;
Zonas Estadísticas;10;Sierra Sur          ;71;66;73;67;64;64;64;66;64;
Zonas Estadísticas;11;Sierra Central      ;338;351;376;390;392;392;400;397;388;
Municipios;0014;Acebeda (La);1;1;1;1;1;1;1;0;0;
Municipios;0029;Ajalvir;19;21;24;19;17;18;16;16;18;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;1;1;
Municipios;0040;Alamo (El);17;19;20;22;18;17;18;18;16;
Municipios;0053;Alcalá de Henares;399;384;379;396;392;412;386;369;354;
Municipios;0066;Alcobendas;414;433;444;467;463;475;494;478;488;
Municipios;0072;Alcorcón;318;322;316;320;310;329;305;287;275;
Municipios;0088;Aldea del Fresno;6;6;5;6;7;7;6;7;6;
Municipios;0091;Algete;58;55;55;51;52;59;59;56;53;
Municipios;0105;Alpedrete;37;32;32;35;34;37;32;33;30;
Municipios;0112;Ambite;1;1;1;1;0;0;1;1;1;
Municipios;0127;Anchuelo;3;3;3;4;3;4;2;3;4;
Municipios;0133;Aranjuez;93;97;101;98;104;93;96;99;94;
Municipios;0148;Arganda del Rey;97;102;111;113;107;109;108;100;95;
Municipios;0151;Arroyomolinos;62;56;59;66;70;68;72;79;77;
Municipios;0164;Atazar (El);1;1;1;1;1;1;1;0;0;
Municipios;0170;Batres;2;4;4;5;4;5;5;4;4;
