Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;175250;176137;175952;176610;176769;175380;171954;174928;172884;
Zonas Estadísticas;01;Municipio de Madrid ;89478;89534;89486;90006;89895;88867;86361;87704;86710;
Zonas Estadísticas;02;Norte Metropolitano ;9590;9676;9661;9706;9762;9613;9542;9650;9581;
Zonas Estadísticas;03;Este Metropolitano  ;16668;16827;16763;16763;16759;16719;16479;16797;16418;
Zonas Estadísticas;04;Sur Metropolitano   ;32811;32942;32950;33051;32990;32911;32369;32927;32587;
Zonas Estadísticas;05;Oeste Metropolitano ;12566;12724;12728;12659;12791;12745;12643;12925;12802;
Zonas Estadísticas;06;Sierra Norte        ;1347;1405;1420;1476;1474;1457;1455;1488;1437;
Zonas Estadísticas;07;Nordeste Comunidad  ;1515;1556;1557;1604;1585;1587;1559;1604;1593;
Zonas Estadísticas;08;Sudeste Comunidad   ;2717;2733;2727;2684;2724;2695;2687;2759;2708;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3360;3460;3483;3476;3529;3556;3614;3739;3709;
Zonas Estadísticas;10;Sierra Sur          ;975;983;986;989;993;996;1008;1007;986;
Zonas Estadísticas;11;Sierra Central      ;4223;4297;4191;4196;4267;4234;4237;4328;4353;
Municipios;0014;Acebeda (La);13;13;11;9;11;13;10;11;11;
Municipios;0029;Ajalvir;284;296;305;296;294;289;293;291;281;
Municipios;0035;Alameda del Valle;14;13;12;13;13;13;11;11;14;
Municipios;0040;Alamo (El);231;228;227;228;215;217;242;248;241;
Municipios;0053;Alcalá de Henares;4943;5055;4924;4924;4893;4863;4734;4761;4668;
Municipios;0066;Alcobendas;3506;3485;3489;3514;3567;3540;3499;3555;3503;
Municipios;0072;Alcorcón;4191;4204;4165;4200;4124;4181;4109;4202;4155;
Municipios;0088;Aldea del Fresno;58;56;53;57;63;59;57;60;54;
Municipios;0091;Algete;615;621;616;626;616;586;602;611;609;
