Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;143222;148790;152332;155872;164207;165969;164600;170111;172530;
Zonas Estadísticas;01;Municipio de Madrid ;91756;95194;97244;99596;104936;105781;104438;107446;109313;
Zonas Estadísticas;02;Norte Metropolitano ;8091;8356;8555;8728;9144;9353;9266;9579;9757;
Zonas Estadísticas;03;Este Metropolitano  ;7865;8184;8398;8502;8984;9108;9005;9288;9426;
Zonas Estadísticas;04;Sur Metropolitano   ;13203;13610;13917;14149;14885;15090;14952;15455;15458;
Zonas Estadísticas;05;Oeste Metropolitano ;14924;15579;16094;16547;17388;17585;17697;18480;18596;
Zonas Estadísticas;06;Sierra Norte        ;534;557;562;562;614;638;633;690;709;
Zonas Estadísticas;07;Nordeste Comunidad  ;865;895;894;934;983;993;1005;1058;1078;
Zonas Estadísticas;08;Sudeste Comunidad   ;996;1038;1039;1078;1128;1179;1215;1287;1293;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1571;1724;1848;1908;1981;1995;2028;2154;2179;
Zonas Estadísticas;10;Sierra Sur          ;340;376;372;395;449;441;457;497;501;
Zonas Estadísticas;11;Sierra Central      ;3077;3277;3409;3473;3715;3806;3904;4177;4220;
Municipios;0014;Acebeda (La);5;4;4;4;4;4;4;4;4;
Municipios;0029;Ajalvir;159;169;160;155;159;159;159;157;149;
Municipios;0035;Alameda del Valle;9;9;9;9;10;8;10;9;9;
Municipios;0040;Alamo (El);93;85;107;98;109;111;105;111;115;
Municipios;0053;Alcalá de Henares;2161;2219;2266;2267;2442;2473;2422;2498;2526;
Municipios;0066;Alcobendas;3396;3499;3564;3648;3825;3896;3855;3985;4069;
Municipios;0072;Alcorcón;2069;2105;2183;2172;2313;2336;2320;2408;2452;
Municipios;0088;Aldea del Fresno;18;26;27;25;27;27;27;29;27;
Municipios;0091;Algete;475;477;508;531;564;580;559;568;566;
Municipios;0105;Alpedrete;274;314;319;297;319;340;350;386;368;
Municipios;0112;Ambite;3;3;1;2;5;5;4;8;9;
Municipios;0127;Anchuelo;9;7;9;7;7;11;10;13;13;
Municipios;0133;Aranjuez;743;757;759;768;819;819;817;835;818;
Municipios;0148;Arganda del Rey;681;728;725;743;793;796;789;818;836;
Municipios;0151;Arroyomolinos;376;424;483;502;512;515;520;579;585;
Municipios;0164;Atazar (El);1;1;1;1;2;1;1;1;0;
Municipios;0170;Batres;17;25;27;23;23;24;30;35;36;
Municipios;0186;Becerril de la Sierra;103;106;105;109;116;131;145;143;152;
Municipios;0199;Belmonte de Tajo;7;11;12;10;10;7;7;8;8;
Municipios;0210;Berrueco (El);3;6;5;6;7;9;8;8;9;
Municipios;0203;Berzosa del Lozoya;2;4;2;3;4;5;4;3;3;
Municipios;0225;Boadilla del Monte;1583;1693;1753;1852;1944;1987;2059;2211;2269;
Municipios;0231;Boalo (El);113;112;109;134;132;144;154;170;176;
Municipios;0246;Braojos;4;4;4;4;5;6;5;6;6;
Municipios;0259;Brea de Tajo;4;4;2;3;2;2;3;4;4;
Municipios;0262;Brunete;236;245;231;235;249;246;257;269;263;
Municipios;0278;Buitrago del Lozoya;28;25;25;26;25;28;26;28;29;
Municipios;0284;Bustarviejo;33;31;37;38;49;46;48;61;64;
Municipios;0297;Cabanillas de la Sierra;10;10;12;8;9;10;10;11;17;
Municipios;0301;Cabrera (La);30;33;33;38;43;43;36;34;40;
Municipios;0318;Cadalso de los Vidrios;23;20;15;17;17;17;22;24;29;
Municipios;0323;Camarma de Esteruelas;93;95;93;102;111;113;111;112;108;
Municipios;0339;Campo Real;61;65;73;78;78;83;90;96;92;
Municipios;0344;Canencia;2;2;2;2;2;3;3;5;7;
Municipios;0357;Carabaña;9;11;9;16;13;8;11;11;14;
Municipios;0360;Casarrubuelos;27;34;34;35;36;39;44;41;43;
Municipios;0376;Cenicientos;7;9;8;11;15;13;9;10;11;
Municipios;0382;Cercedilla;103;116;120;119;118;129;139;143;149;
Municipios;0395;Cervera de Buitrago;0;0;0;0;2;2;1;2;2;
Municipios;0513;Chapinería;22;23;26;26;29;29;28;31;35;
Municipios;0528;Chinchón;73;72;62;68;72;73;67;67;70;
Municipios;0409;Ciempozuelos;240;237;240;254;257;274;275;277;253;
Municipios;0416;Cobeña;129;132;142;141;158;157;145;152;162;
Municipios;0468;Collado Mediano;145;157;162;168;197;185;192;190;200;
Municipios;0474;Collado Villalba;938;1004;1028;1020;1089;1106;1117;1133;1182;
Municipios;0455;Colmenar Viejo;695;736;730;741;754;804;813;834;874;
Municipios;0437;Colmenar de Oreja;63;64;75;73;74;77;76;73;68;
Municipios;0421;Colmenar del Arroyo;22;28;28;24;30;29;31;33;35;
Municipios;0442;Colmenarejo;152;144;149;149;173;183;182;208;205;
Municipios;0480;Corpa;1;1;0;2;6;7;9;7;6;
Municipios;0493;Coslada;948;977;1002;1028;1069;1058;1029;1035;1050;
Municipios;0506;Cubas de la Sagra;72;74;76;86;83;78;84;86;85;
Municipios;0534;Daganzo de Arriba;182;184;172;176;179;179;178;180;185;
Municipios;0549;Escorial (El);281;292;314;325;340;348;357;373;368;
Municipios;0552;Estremera;13;14;15;14;13;14;14;14;16;
Municipios;0565;Fresnedillas de la Oliva;21;27;19;25;31;26;24;26;22;
Municipios;0571;Fresno de Torote;28;28;31;32;27;33;32;30;27;
Municipios;0587;Fuenlabrada;1793;1826;1817;1820;1890;1889;1882;1930;1978;
Municipios;0590;Fuente el Saz de Jarama;115;118;120;134;152;147;156;162;161;
Municipios;0604;Fuentidueña de Tajo;13;15;10;14;15;12;11;15;14;
Municipios;0611;Galapagar;655;710;692;730;784;807;788;835;866;
Municipios;0626;Garganta de los Montes;5;6;6;5;6;10;9;7;7;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;5;4;4;4;4;5;5;4;
Municipios;0647;Gascones;0;1;0;0;0;1;1;1;1;
Municipios;0650;Getafe;1860;1961;1964;2065;2211;2253;2249;2382;2392;
Municipios;0663;Griñón;164;181;187;203;216;213;216;214;228;
Municipios;0679;Guadalix de la Sierra;75;81;70;72;82;78;75;88;96;
Municipios;0685;Guadarrama;215;230;221;227;242;249;254;283;284;
Municipios;0698;Hiruela (La);0;0;0;0;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;6;5;6;5;4;3;2;3;3;
Municipios;0719;Horcajuelo de la Sierra;0;0;0;0;0;0;1;0;0;
Municipios;0724;Hoyo de Manzanares;170;181;187;199;217;224;231;253;246;
Municipios;0730;Humanes de Madrid;311;302;314;308;293;311;320;331;326;
Municipios;0745;Leganés;1795;1920;1997;2017;2122;2188;2142;2177;2188;
Municipios;0758;Loeches;104;122;114;111;108;117;122;120;127;
Municipios;0761;Lozoya;7;5;5;6;3;4;5;4;5;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;10;13;14;16;15;21;23;25;25;
Municipios;0783;Madarcos;3;2;1;1;2;1;1;1;0;
Municipios;0796;Madrid;91756;95194;97244;99596;104936;105781;104438;107446;109313;
Municipios;0800;Majadahonda;2130;2262;2353;2412;2491;2442;2450;2518;2504;
Municipios;0822;Manzanares el Real;129;130;133;137;158;149;153;169;176;
Municipios;0838;Meco;141;163;159;162;163;180;177;208;215;
Municipios;0843;Mejorada del Campo;250;241;243;222;246;259;253;256;268;
Municipios;0856;Miraflores de la Sierra;91;88;97;89;96;102;114;107;105;
Municipios;0869;Molar (El);108;110;115;111;111;113;110;109;115;
Municipios;0875;Molinos (Los);56;65;72;75;87;81;89;98;100;
Municipios;0881;Montejo de la Sierra;3;3;3;3;3;2;3;3;2;
Municipios;0894;Moraleja de Enmedio;66;76;73;76;73;67;67;73;70;
Municipios;0908;Moralzarzal;218;228;241;240;252;266;266;293;298;
Municipios;0915;Morata de Tajuña;40;47;43;47;49;52;49;55;62;
Municipios;0920;Móstoles;1846;1875;1953;2003;2102;2096;2043;2089;2061;
Municipios;0936;Navacerrada;55;62;70;73;80;86;88;90;91;
Municipios;0941;Navalafuente;12;14;16;16;24;19;22;25;22;
Municipios;0954;Navalagamella;24;27;32;29;33;33;33;38;34;
Municipios;0967;Navalcarnero;290;309;319;325;341;357;371;382;386;
Municipios;0973;Navarredonda y San Mamés;2;3;3;4;2;2;2;3;2;
Municipios;0992;Navas del Rey;18;23;32;36;38;40;35;36;42;
Municipios;1006;Nuevo Baztán;87;91;99;105;123;123;127;127;132;
Municipios;1013;Olmeda de las Fuentes;5;3;3;5;4;7;8;9;7;
Municipios;1028;Orusco de Tajuña;6;8;9;7;8;10;13;17;17;
Municipios;1049;Paracuellos de Jarama;381;405;411;442;466;482;493;525;523;
Municipios;1065;Parla;796;847;862;895;946;980;952;996;981;
Municipios;1071;Patones;4;5;5;4;6;5;5;7;6;
Municipios;1087;Pedrezuela;91;90;89;94;92;93;96;94;99;
Municipios;1090;Pelayos de la Presa;22;31;28;29;34;36;36;54;52;
Municipios;1104;Perales de Tajuña;23;26;21;22;24;26;28;32;32;
Municipios;1111;Pezuela de las Torres;3;3;3;3;5;4;5;9;6;
Municipios;1126;Pinilla del Valle;1;2;3;2;2;2;2;2;1;
Municipios;1132;Pinto;654;657;686;702;733;736;730;766;760;
Municipios;1147;Piñuécar-Gandullas;3;2;4;4;3;2;2;5;4;
Municipios;1150;Pozuelo de Alarcón;3497;3594;3755;3806;4010;4114;4101;4262;4278;
Municipios;1163;Pozuelo del Rey;15;19;18;15;14;11;10;14;14;
Municipios;1179;Prádena del Rincón;2;2;1;1;1;1;1;1;1;
Municipios;1185;Puebla de la Sierra;1;1;0;0;0;0;0;1;2;
Municipios;9020;Puentes Viejas;2;5;5;3;8;10;7;5;6;
Municipios;1198;Quijorna;32;36;38;42;55;58;51;56;54;
Municipios;1202;Rascafría;8;9;9;8;14;18;16;21;19;
Municipios;1219;Redueña;7;5;4;2;6;9;9;10;10;
Municipios;1224;Ribatejada;7;7;10;9;8;12;11;10;9;
Municipios;1230;Rivas-Vaciamadrid;1268;1327;1458;1519;1578;1643;1666;1739;1792;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;1;
Municipios;1258;Robledo de Chavela;57;55;51;56;64;60;76;79;77;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);3621;3732;3860;3965;4106;4117;4148;4292;4349;
Municipios;1283;Rozas de Puerto Real;8;10;10;10;13;12;10;8;9;
Municipios;1296;San Agustín del Guadalix;300;305;323;344;345;354;361;361;366;
Municipios;1300;San Fernando de Henares;569;589;597;594;607;616;617;632;632;
Municipios;1317;San Lorenzo de El Escorial;380;389;410;403;434;449;435;459;464;
Municipios;1338;San Martín de Valdeiglesias;83;93;86;93;100;100;105;106;103;
Municipios;1322;San Martín de la Vega;241;247;245;244;246;225;243;247;241;
