Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;193774;196281;196087;195471;196449;194748;189683;193178;194634;
Zonas Estadísticas;01;Municipio de Madrid ;130024;131193;130968;130192;130435;128906;125043;126580;127089;
Zonas Estadísticas;02;Norte Metropolitano ;10157;10377;10327;10211;10166;10068;9808;10095;10208;
Zonas Estadísticas;03;Este Metropolitano  ;8244;8636;8825;9022;9238;9340;9113;9386;9458;
Zonas Estadísticas;04;Sur Metropolitano   ;13382;13675;13709;13980;14370;14616;14469;14862;14919;
Zonas Estadísticas;05;Oeste Metropolitano ;23785;24060;23877;23649;23641;23194;22675;23379;23943;
Zonas Estadísticas;06;Sierra Norte        ;526;529;536;532;521;538;523;558;574;
Zonas Estadísticas;07;Nordeste Comunidad  ;767;818;830;842;856;859;845;870;870;
Zonas Estadísticas;08;Sudeste Comunidad   ;1063;1075;1082;1105;1141;1141;1166;1197;1174;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1523;1612;1618;1667;1715;1735;1755;1839;1911;
Zonas Estadísticas;10;Sierra Sur          ;393;379;388;397;401;418;417;452;478;
Zonas Estadísticas;11;Sierra Central      ;3910;3927;3927;3874;3965;3933;3869;3960;4010;
Municipios;0014;Acebeda (La);2;2;4;3;2;1;0;0;1;
Municipios;0029;Ajalvir;72;83;87;87;88;88;89;88;85;
Municipios;0035;Alameda del Valle;2;2;3;4;4;4;3;5;4;
Municipios;0040;Alamo (El);86;93;91;90;79;93;90;95;105;
Municipios;0053;Alcalá de Henares;2755;2862;2939;2952;3041;3062;2937;2985;2986;
Municipios;0066;Alcobendas;4296;4393;4323;4264;4293;4260;4163;4261;4344;
Municipios;0072;Alcorcón;2591;2643;2626;2700;2771;2855;2803;2859;2887;
Municipios;0088;Aldea del Fresno;32;24;34;36;40;39;38;41;40;
Municipios;0091;Algete;570;579;577;560;542;538;508;533;535;
Municipios;0105;Alpedrete;366;365;382;385;395;379;361;371;377;
Municipios;0112;Ambite;8;8;7;7;8;3;4;6;4;
Municipios;0127;Anchuelo;6;10;10;10;8;12;14;13;9;
Municipios;0133;Aranjuez;755;759;730;761;785;760;734;749;761;
Municipios;0148;Arganda del Rey;532;574;579;593;613;619;609;627;626;
Municipios;0151;Arroyomolinos;355;375;362;382;411;412;440;445;458;
Municipios;0164;Atazar (El);1;1;0;0;0;0;0;0;0;
Municipios;0170;Batres;12;10;14;15;16;14;12;20;20;
Municipios;0186;Becerril de la Sierra;123;111;124;133;121;125;133;138;137;
Municipios;0199;Belmonte de Tajo;15;17;13;14;16;18;19;20;22;
Municipios;0210;Berrueco (El);5;3;8;10;12;10;10;14;14;
Municipios;0203;Berzosa del Lozoya;3;3;3;3;5;5;4;5;4;
Municipios;0225;Boadilla del Monte;2557;2618;2581;2666;2722;2688;2667;2853;3043;
