Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;115462;116529
Zonas Estadísticas;01;Municipio de Madrid ;41987;43033
Zonas Estadísticas;02;Norte Metropolitano ;6061;6086
Zonas Estadísticas;03;Este Metropolitano  ;16871;16737
Zonas Estadísticas;04;Sur Metropolitano   ;27893;27784
Zonas Estadísticas;05;Oeste Metropolitano ;6753;6924
Zonas Estadísticas;06;Sierra Norte        ;1051;1072
Zonas Estadísticas;07;Nordeste Comunidad  ;2111;2175
Zonas Estadísticas;08;Sudeste Comunidad   ;3593;3562
Zonas Estadísticas;09;Sudoeste Comunidad  ;4719;4726
Zonas Estadísticas;10;Sierra Sur          ;1026;1014
Zonas Estadísticas;11;Sierra Central      ;3397;3416
Municipios;0014;Acebeda (La);3;1
Municipios;0029;Ajalvir;547;535
Municipios;0035;Alameda del Valle;1;1
Municipios;0040;Alamo (El);259;271
Municipios;0053;Alcalá de Henares;3590;3564
Municipios;0066;Alcobendas;1784;1786
Municipios;0072;Alcorcón;2906;2889
Municipios;0088;Aldea del Fresno;65;62
Municipios;0091;Algete;620;628
Municipios;0105;Alpedrete;302;309
Municipios;0112;Ambite;14;17
Municipios;0127;Anchuelo;27;26
Municipios;0133;Aranjuez;776;795
Municipios;0148;Arganda del Rey;3167;3086
Municipios;0151;Arroyomolinos;823;817
Municipios;0164;Atazar (El);3;3
Municipios;0170;Batres;32;40
Municipios;0186;Becerril de la Sierra;137;133
Municipios;0199;Belmonte de Tajo;89;87
Municipios;0210;Berrueco (El);25;23
Municipios;0203;Berzosa del Lozoya;4;10
Municipios;0225;Boadilla del Monte;744;777
Municipios;0231;Boalo (El);205;202
Municipios;0246;Braojos;3;3
Municipios;0259;Brea de Tajo;13;14
Municipios;0262;Brunete;228;223
Municipios;0278;Buitrago del Lozoya;38;42
Municipios;0284;Bustarviejo;66;64
Municipios;0297;Cabanillas de la Sierra;16;15
Municipios;0301;Cabrera (La);73;75
Municipios;0318;Cadalso de los Vidrios;104;110
Municipios;0323;Camarma de Esteruelas;316;324
Municipios;0339;Campo Real;311;318
Municipios;0344;Canencia;23;18
Municipios;0357;Carabaña;70;76
Municipios;0360;Casarrubuelos;158;169
Municipios;0376;Cenicientos;38;31
Municipios;0382;Cercedilla;183;184
Municipios;0395;Cervera de Buitrago;3;3
