Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1426985;1433316
Zonas Estadísticas;01;Municipio de Madrid ;818258;823488
Zonas Estadísticas;02;Norte Metropolitano ;75594;76139
Zonas Estadísticas;03;Este Metropolitano  ;106675;106007
Zonas Estadísticas;04;Sur Metropolitano   ;188376;187651
Zonas Estadísticas;05;Oeste Metropolitano ;136339;137980
Zonas Estadísticas;06;Sierra Norte        ;8215;8169
Zonas Estadísticas;07;Nordeste Comunidad  ;11218;11266
Zonas Estadísticas;08;Sudeste Comunidad   ;17536;17335
Zonas Estadísticas;09;Sudoeste Comunidad  ;25071;25254
Zonas Estadísticas;10;Sierra Sur          ;5980;5988
Zonas Estadísticas;11;Sierra Central      ;33723;34039
Municipios;0014;Acebeda (La);44;43
Municipios;0029;Ajalvir;1640;1604
Municipios;0035;Alameda del Valle;66;70
Municipios;0040;Alamo (El);1447;1461
Municipios;0053;Alcalá de Henares;29017;28865
Municipios;0066;Alcobendas;29241;29533
Municipios;0072;Alcorcón;26304;26395
Municipios;0088;Aldea del Fresno;425;407
Municipios;0091;Algete;4633;4645
Municipios;0105;Alpedrete;2988;2957
Municipios;0112;Ambite;103;102
Municipios;0127;Anchuelo;190;193
Municipios;0133;Aranjuez;8429;8370
Municipios;0148;Arganda del Rey;10591;10433
Municipios;0151;Arroyomolinos;5822;5910
Municipios;0164;Atazar (El);13;11
Municipios;0170;Batres;289;293
Municipios;0186;Becerril de la Sierra;1205;1214
Municipios;0199;Belmonte de Tajo;219;220
Municipios;0210;Berrueco (El);128;130
Municipios;0203;Berzosa del Lozoya;48;52
Municipios;0225;Boadilla del Monte;16167;16825
Municipios;0231;Boalo (El);1438;1458
Municipios;0246;Braojos;55;55
Municipios;0259;Brea de Tajo;83;85
Municipios;0262;Brunete;2127;2099
Municipios;0278;Buitrago del Lozoya;420;437
Municipios;0284;Bustarviejo;501;504
Municipios;0297;Cabanillas de la Sierra;142;149
Municipios;0301;Cabrera (La);540;544
Municipios;0318;Cadalso de los Vidrios;462;463
Municipios;0323;Camarma de Esteruelas;1318;1298
Municipios;0339;Campo Real;1227;1207
Municipios;0344;Canencia;76;79
Municipios;0357;Carabaña;308;314
Municipios;0360;Casarrubuelos;632;628
Municipios;0376;Cenicientos;253;242
Municipios;0382;Cercedilla;1400;1444
Municipios;0395;Cervera de Buitrago;31;27
Municipios;0513;Chapinería;378;394
Municipios;0528;Chinchón;1105;1108
Municipios;0409;Ciempozuelos;3192;3139
Municipios;0416;Cobeña;1369;1426
Municipios;0468;Collado Mediano;1346;1416
Municipios;0474;Collado Villalba;11027;11004
Municipios;0455;Colmenar Viejo;8659;8697
Municipios;0437;Colmenar de Oreja;1184;1159
Municipios;0421;Colmenar del Arroyo;310;309
Municipios;0442;Colmenarejo;1421;1405
Municipios;0480;Corpa;67;67
Municipios;0493;Coslada;13190;12907
Municipios;0506;Cubas de la Sagra;902;917
Municipios;0534;Daganzo de Arriba;1864;1871
Municipios;0549;Escorial (El);3016;3021
Municipios;0552;Estremera;249;254
Municipios;0565;Fresnedillas de la Oliva;238;246
Municipios;0571;Fresno de Torote;241;262
Municipios;0587;Fuenlabrada;29919;29588
Municipios;0590;Fuente el Saz de Jarama;1603;1566
Municipios;0604;Fuentidueña de Tajo;319;308
Municipios;0611;Galapagar;6301;6401
Municipios;0626;Garganta de los Montes;76;76
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;68;73
Municipios;0647;Gascones;65;59
Municipios;0650;Getafe;26454;26370
Municipios;0663;Griñón;2511;2529
Municipios;0679;Guadalix de la Sierra;1021;1044
Municipios;0685;Guadarrama;2825;2852
Municipios;0698;Hiruela (La);33;35
Municipios;0702;Horcajo de la Sierra-Aoslos;54;53
Municipios;0719;Horcajuelo de la Sierra;33;23
Municipios;0724;Hoyo de Manzanares;1823;1818
Municipios;0730;Humanes de Madrid;5885;5819
Municipios;0745;Leganés;26485;26428
Municipios;0758;Loeches;1740;1750
Municipios;0761;Lozoya;136;133
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;297;300
Municipios;0783;Madarcos;21;19
Municipios;0796;Madrid;818258;823488
Municipios;0800;Majadahonda;20093;20263
Municipios;0822;Manzanares el Real;1459;1438
Municipios;0838;Meco;2307;2354
Municipios;0843;Mejorada del Campo;3916;3914
Municipios;0856;Miraflores de la Sierra;1078;1057
Municipios;0869;Molar (El);1245;1253
